##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	2-ten_S247_concat.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4921269
Sequences flagged as poor quality	0
Sequence length	101
%GC	20
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.69228363659861	37.0	37.0	37.0	37.0	37.0
2	35.97306853171408	37.0	37.0	37.0	37.0	37.0
3	36.174186983072865	37.0	37.0	37.0	37.0	37.0
4	36.0457822972083	37.0	37.0	37.0	37.0	37.0
5	36.23274017331708	37.0	37.0	37.0	37.0	37.0
6	36.34969537328685	37.0	37.0	37.0	37.0	37.0
7	36.360745978323884	37.0	37.0	37.0	37.0	37.0
8	36.26053727199224	37.0	37.0	37.0	37.0	37.0
9	36.21449752086301	37.0	37.0	37.0	37.0	37.0
10-11	36.301335692074545	37.0	37.0	37.0	37.0	37.0
12-13	36.306650378184976	37.0	37.0	37.0	37.0	37.0
14-15	36.31497302829818	37.0	37.0	37.0	37.0	37.0
16-17	36.34112563243342	37.0	37.0	37.0	37.0	37.0
18-19	36.424636409836566	37.0	37.0	37.0	37.0	37.0
20-21	36.464307173617215	37.0	37.0	37.0	37.0	37.0
22-23	36.46803923947259	37.0	37.0	37.0	37.0	37.0
24-25	36.45131895858569	37.0	37.0	37.0	37.0	37.0
26-27	36.42803675230921	37.0	37.0	37.0	37.0	37.0
28-29	36.406780039863705	37.0	37.0	37.0	37.0	37.0
30-31	36.35696240136436	37.0	37.0	37.0	37.0	37.0
32-33	36.30212004261502	37.0	37.0	37.0	37.0	37.0
34-35	36.307426600740584	37.0	37.0	37.0	37.0	37.0
36-37	36.28355044196934	37.0	37.0	37.0	37.0	37.0
38-39	36.20949596536991	37.0	37.0	37.0	37.0	37.0
40-41	36.15643058731396	37.0	37.0	37.0	37.0	37.0
42-43	36.089402753639355	37.0	37.0	37.0	37.0	37.0
44-45	36.01435747568361	37.0	37.0	37.0	37.0	37.0
46-47	35.94479045953391	37.0	37.0	37.0	37.0	37.0
48-49	35.9205032279276	37.0	37.0	37.0	37.0	37.0
50-51	35.868039727151675	37.0	37.0	37.0	37.0	37.0
52-53	35.8248971962313	37.0	37.0	37.0	37.0	37.0
54-55	35.80369290928823	37.0	37.0	37.0	37.0	37.0
56-57	35.78506478715144	37.0	37.0	37.0	37.0	37.0
58-59	35.728872370114296	37.0	37.0	37.0	37.0	37.0
60-61	35.61059657580189	37.0	37.0	37.0	37.0	37.0
62-63	35.613705326817126	37.0	37.0	37.0	37.0	37.0
64-65	35.60459934216154	37.0	37.0	37.0	37.0	37.0
66-67	35.55813591982068	37.0	37.0	37.0	37.0	37.0
68-69	35.543609382051656	37.0	37.0	37.0	37.0	37.0
70-71	35.50038110089085	37.0	37.0	37.0	37.0	37.0
72-73	35.468560040103476	37.0	37.0	37.0	37.0	37.0
74-75	35.43395555089551	37.0	37.0	37.0	37.0	37.0
76-77	35.34951858961581	37.0	37.0	37.0	37.0	37.0
78-79	35.27586604186847	37.0	37.0	37.0	37.0	37.0
80-81	35.277122425130585	37.0	37.0	37.0	37.0	37.0
82-83	35.2252051249383	37.0	37.0	37.0	37.0	37.0
84-85	35.14246853809455	37.0	37.0	37.0	31.0	37.0
86-87	35.12378860005417	37.0	37.0	37.0	25.0	37.0
88-89	35.0851323103858	37.0	37.0	37.0	25.0	37.0
90-91	35.015560011045935	37.0	37.0	37.0	25.0	37.0
92-93	34.885950757822826	37.0	37.0	37.0	25.0	37.0
94-95	34.86495149929825	37.0	37.0	37.0	25.0	37.0
96-97	34.856721508212615	37.0	37.0	37.0	25.0	37.0
98-99	34.855860551414686	37.0	37.0	37.0	25.0	37.0
100-101	34.69014089658582	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.02260291000286685
1101	2	-0.0533125739846696
1101	3	0.11042824154281305
1101	4	0.0365745555230248
1101	5	-1.3172878360207108
1101	6	-0.2999900959087398
1101	7	-0.4645598975614291
1101	8	-0.48284781911309693
1101	9	-0.15859631573304256
1101	10-11	-0.22464768518079836
1101	12-13	-0.7113133749820193
1101	14-15	0.02735240180243892
1101	16-17	-0.3081882010339214
1101	18-19	0.027352258366740045
1101	20-21	-0.4197122756523797
1101	22-23	-0.2702977232868733
1101	24-25	-0.09855505297705491
1101	26-27	-0.6903021259141369
1101	28-29	-0.37380188744810994
1101	30-31	-0.37931551873005986
1101	32-33	-0.036436225215467744
1101	34-35	-0.06713170590450801
1101	36-37	0.006666872028105786
1101	38-39	-0.16318803791092762
1101	40-41	-0.0981228587467271
1101	42-43	-0.2858549389092815
1101	44-45	-0.15586954703884714
1101	46-47	-0.31528522760801536
1101	48-49	0.020582596886136173
1101	50-51	-0.43932692217845215
1101	52-53	-0.09005491430323076
1101	54-55	-0.14860310473695648
1101	56-57	-0.20125945409476032
1101	58-59	-0.41915639797939264
1101	60-61	-0.20210196701806638
1101	62-63	0.07523230612369503
1101	64-65	-0.06137346098042684
1101	66-67	0.024151301437072448
1101	68-69	-0.18566002076678956
1101	70-71	-0.0478658314432181
1101	72-73	0.027068177944592264
1101	74-75	0.13421788669047174
1101	76-77	-0.09086609801227752
1101	78-79	0.15886185788968277
1101	80-81	0.1848930077820583
1101	82-83	0.03161589959468358
1101	84-85	-0.06509837191571677
1101	86-87	-0.0836530949114973
1101	88-89	-0.3668626464146456
1101	90-91	0.010997551915998827
1101	92-93	-0.2811770021134379
1101	94-95	-0.10376356751505256
1101	96-97	-0.20624411522749853
1101	98-99	-0.38038872912783006
1101	100-101	-0.25446413915069854
1102	1	0.00416741947131527
1102	2	0.06259896300186796
1102	3	-0.05033865233727397
1102	4	0.002388273510938177
1102	5	-0.8000011777545168
1102	6	-0.14710527490778702
1102	7	-0.3619020837939573
1102	8	-1.6159709049269537
1102	9	-1.0282346063482493
1102	10-11	-0.431822492237913
1102	12-13	-0.6691566560450752
1102	14-15	-0.019908224415878806
1102	16-17	-0.4268505107640479
1102	18-19	-0.24714269692989177
1102	20-21	-0.14081104721541493
1102	22-23	-0.2347683077796887
1102	24-25	-0.19649997036550815
1102	26-27	-0.0672640286394639
1102	28-29	0.061055696219384004
1102	30-31	0.02928866513078532
1102	32-33	-0.20555528869796547
1102	34-35	0.11721690085958159
1102	36-37	-0.30155310496189713
1102	38-39	0.1526648253492482
1102	40-41	-0.09111868266193568
1102	42-43	-0.03311432803095471
1102	44-45	-0.45921580508660753
1102	46-47	-0.3316016486520823
1102	48-49	-0.12448023878678072
1102	50-51	0.0718409677411529
1102	52-53	0.18166629359792807
1102	54-55	0.025892910928220658
1102	56-57	0.18253254754527148
1102	58-59	1.8887746017526297E-4
1102	60-61	-0.13416238681796955
1102	62-63	-0.10023350494337535
1102	64-65	0.2983636383107182
1102	66-67	0.26179756602377324
1102	68-69	-0.2667274054207809
1102	70-71	-0.3539394457624283
1102	72-73	-0.41965316250263385
1102	74-75	0.19208484931778713
1102	76-77	-0.2977174926620165
1102	78-79	0.11321387550593442
1102	80-81	0.07135537088406352
1102	82-83	0.2590698133266329
1102	84-85	-0.10126224127124317
1102	86-87	0.16921917839496814
1102	88-89	-0.2595051908750108
1102	90-91	-0.5052062049697597
1102	92-93	-0.7375472545341637
1102	94-95	-0.2223733006379618
1102	96-97	-0.38350327460265277
1102	98-99	-0.6197660453703762
1102	100-101	-0.050716089787009366
1103	1	-0.21691150952776184
1103	2	-0.09667788720125259
1103	3	-0.08730808641851695
1103	4	0.10569018007629438
1103	5	0.0450076889317117
1103	6	-0.18304132541418028
1103	7	-0.9500905277588672
1103	8	-0.220672526810624
1103	9	-0.35522487213012965
1103	10-11	-0.128463357728549
