##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	2A_S215_concat.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	6851099
Sequences flagged as poor quality	0
Sequence length	101
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.058679344729946	37.0	37.0	37.0	37.0	37.0
2	36.273345779998216	37.0	37.0	37.0	37.0	37.0
3	36.401711316680725	37.0	37.0	37.0	37.0	37.0
4	36.34928761064466	37.0	37.0	37.0	37.0	37.0
5	36.5301136357831	37.0	37.0	37.0	37.0	37.0
6	36.57439018177959	37.0	37.0	37.0	37.0	37.0
7	36.603812760551264	37.0	37.0	37.0	37.0	37.0
8	36.597596239668995	37.0	37.0	37.0	37.0	37.0
9	36.570030443290925	37.0	37.0	37.0	37.0	37.0
10-11	36.51936397357562	37.0	37.0	37.0	37.0	37.0
12-13	36.50611850741027	37.0	37.0	37.0	37.0	37.0
14-15	36.47367714289342	37.0	37.0	37.0	37.0	37.0
16-17	36.434052843200774	37.0	37.0	37.0	37.0	37.0
18-19	36.44448620578976	37.0	37.0	37.0	37.0	37.0
20-21	36.455510714412384	37.0	37.0	37.0	37.0	37.0
22-23	36.447338156987655	37.0	37.0	37.0	37.0	37.0
24-25	36.423329746074316	37.0	37.0	37.0	37.0	37.0
26-27	36.40663198707244	37.0	37.0	37.0	37.0	37.0
28-29	36.395035745359976	37.0	37.0	37.0	37.0	37.0
30-31	36.37620037310802	37.0	37.0	37.0	37.0	37.0
32-33	36.36868814769718	37.0	37.0	37.0	37.0	37.0
34-35	36.351373407390554	37.0	37.0	37.0	37.0	37.0
36-37	36.34558207376656	37.0	37.0	37.0	37.0	37.0
38-39	36.32779324893714	37.0	37.0	37.0	37.0	37.0
40-41	36.329549171600064	37.0	37.0	37.0	37.0	37.0
42-43	36.318297984016866	37.0	37.0	37.0	37.0	37.0
44-45	36.313191212096044	37.0	37.0	37.0	37.0	37.0
46-47	36.27599440615294	37.0	37.0	37.0	37.0	37.0
48-49	36.25248591503349	37.0	37.0	37.0	37.0	37.0
50-51	36.24433028919886	37.0	37.0	37.0	37.0	37.0
52-53	36.21463337487898	37.0	37.0	37.0	37.0	37.0
54-55	36.205192042911655	37.0	37.0	37.0	37.0	37.0
56-57	36.1971676369003	37.0	37.0	37.0	37.0	37.0
58-59	36.17757209463767	37.0	37.0	37.0	37.0	37.0
60-61	36.12869059402003	37.0	37.0	37.0	37.0	37.0
62-63	36.130152403285955	37.0	37.0	37.0	37.0	37.0
64-65	36.1175332599923	37.0	37.0	37.0	37.0	37.0
66-67	36.085368347472425	37.0	37.0	37.0	37.0	37.0
68-69	36.05063756924254	37.0	37.0	37.0	37.0	37.0
70-71	36.04506357301216	37.0	37.0	37.0	37.0	37.0
72-73	36.042929316887694	37.0	37.0	37.0	37.0	37.0
74-75	36.015439566703094	37.0	37.0	37.0	37.0	37.0
76-77	35.998576140849806	37.0	37.0	37.0	37.0	37.0
78-79	35.98454481536466	37.0	37.0	37.0	37.0	37.0
80-81	35.98163944208075	37.0	37.0	37.0	37.0	37.0
82-83	35.96055756893894	37.0	37.0	37.0	37.0	37.0
84-85	35.932333046128804	37.0	37.0	37.0	37.0	37.0
86-87	35.90321421424504	37.0	37.0	37.0	37.0	37.0
88-89	35.830094412589865	37.0	37.0	37.0	37.0	37.0
90-91	35.77261954614873	37.0	37.0	37.0	37.0	37.0
92-93	35.73501944724489	37.0	37.0	37.0	37.0	37.0
94-95	35.71422322170501	37.0	37.0	37.0	37.0	37.0
96-97	35.69653496468231	37.0	37.0	37.0	37.0	37.0
98-99	35.66940632444518	37.0	37.0	37.0	37.0	37.0
100-101	35.5045011756508	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.26156781764883164
1101	2	0.0490866629229032
1101	3	0.0019482471142566737
1101	4	0.014195415649567167
1101	5	-1.1090774826651142
1101	6	0.10018534449193339
1101	7	-0.23081631675893988
1101	8	-0.3872194858290072
1101	9	-0.03506476866957797
1101	10-11	-0.15032959300908288
1101	12-13	-0.637725923255644
1101	14-15	0.10163302322278867
1101	16-17	-0.3878181174142199
1101	18-19	-0.033476809684763964
1101	20-21	-0.364124611460646
1101	22-23	-0.3364179518521979
1101	24-25	-0.2679354048582496
1101	26-27	-0.8213626743615521
1101	28-29	-0.558079267316927
1101	30-31	-0.3556521255361176
1101	32-33	-0.16128336478897864
1101	34-35	-0.12907743651120995
1101	36-37	-0.10556428733796963
1101	38-39	-0.16727150278191516
1101	40-41	-0.19224329954929686
1101	42-43	-0.21727742725682475
1101	44-45	-0.26035071545094723
1101	46-47	-0.4077030173062468
1101	48-49	-0.1849876720850716
1101	50-51	-0.5434366507657344
1101	52-53	-0.37245446944370997
1101	54-55	-0.3065842871891391
1101	56-57	0.008169960980538349
1101	58-59	-0.4347001481492896
1101	60-61	-0.29189873346104633
1101	62-63	-0.062037153741506756
1101	64-65	-0.17872770928538273
1101	66-67	9.260748373804972E-4
1101	68-69	-0.161356078745456
1101	70-71	-0.1373267780146321
1101	72-73	-0.24616930910680423
1101	74-75	-0.037002386572524415
1101	76-77	-0.176850803547552
1101	78-79	-0.15716834971629368
1101	80-81	-0.006217158946924428
1101	82-83	-0.09069001637076468
1101	84-85	-0.2507367463295509
1101	86-87	-0.2276855287539732
1101	88-89	-0.17300602638940887
1101	90-91	-0.20662967602234517
1101	92-93	-0.23070525565762523
1101	94-95	-0.13666292622406928
1101	96-97	-0.07553332057428008
1101	98-99	-0.31302825875290097
1101	100-101	-0.29703467568263164
1102	1	0.01668749825110183
1102	2	0.1827409156347528
1102	3	0.03483842982502239
1102	4	-0.04560933864692629
1102	5	-0.5903480390293083
1102	6	0.006446452879863784
1102	7	-0.4269273052230531
1102	8	-1.3070950344664425
1102	9	-0.6508071550974179
1102	10-11	-0.3041351630120346
1102	12-13	-0.8599909679885371
1102	14-15	-0.18135163925060027
1102	16-17	-0.5134415903032021
1102	18-19	-0.25081768144298167
1102	20-21	-0.1609379306750256
1102	22-23	-0.4009176955407625
1102	24-25	-0.3812821212655564
1102	26-27	-0.31290346155571314
1102	28-29	-0.11573437315296786
1102	30-31	-0.0111573958230764
1102	32-33	-0.0708063635953522
1102	34-35	0.03904696246652861
1102	36-37	-0.24867961251673876
1102	38-39	0.07480342247616534
1102	40-41	-0.024103933480446926
1102	42-43	-0.058319436139797176
1102	44-45	-0.5986125871605239
1102	46-47	-0.3226487803098479
1102	48-49	-0.3751408228448412
1102	50-51	-0.006499740796527931
1102	52-53	-0.004338863631993206
1102	54-55	-0.20374446873995566
1102	56-57	-0.033936208080234564
1102	58-59	-0.18146632102667581
1102	60-61	-0.1842479306636946
1102	62-63	-0.14749363131144833
1102	64-65	0.10456003678295644
1102	66-67	0.04324365406006336
1102	68-69	-0.4677988502017172
1102	70-71	-0.5176508529548585
1102	72-73	-0.4896202713036715
1102	74-75	0.07077095928327282
1102	76-77	-0.45551091213379635
1102	78-79	-0.029492514459064978
1102	80-81	0.02510054375426307
1102	82-83	-0.07755358759354891
1102	84-85	-0.18818459537146737
1102	86-87	0.041032689563500924
1102	88-89	-0.14979955162579017
1102	90-91	-0.3860420680254322
1102	92-93	-0.7628601800176895
1102	94-95	-0.21053019806011974
1102	96-97	-0.3858273116613802
1102	98-99	-0.6558700603416554
1102	100-101	-0.0549616213109303
1103	1	0.04414541354284296
1103	2	0.032979445018582965
1103	3	-0.1838247900066321
1103	4	0.10408959617573288
1103	5	-0.060231647222344975
1103	6	-0.04281106387549727
1103	7	-0.8362179612470371
1103	8	-0.10887255562281695
1103	9	-0.3518230561159541
1103	10-11	-0.0013443739231675522
1103	12-13	-0.05456685776003667
1103	14-15	-0.03949130753818508
1103	16-17	-0.2549444805853298
1103	18-19	-0.08896587904857256
1103	20-21	-0.09454819256364289
1103	22-23	0.014462912344761492
1103	24-25	-0.0595368742209601
1103	26-27	-0.0018128091051963224
1103	28-29	-0.3998852640294217
1103	30-31	-0.218091863013413
1103	32-33	-0.2116068781755942
1103	34-35	-0.38643458665321617
1103	36-37	-0.39790976398501243
1103	38-39	-0.16977618182742304
1103	40-41	-0.4466738066503311
1103	42-43	-0.26959590923389243
1103	44-45	-0.738681244879082
1103	46-47	-0.2819986337503977
1103	48-49	-0.24228588049531652
1103	50-51	-0.182227201344908
1103	52-53	-0.10274528234345581
1103	54-55	-0.41715562230434955
1103	56-57	-0.5337441338573043
1103	58-59	-0.696516288536273
1103	60-61	-0.34034879102456017
1103	62-63	-0.09290576099845538
1103	64-65	-0.19683357102452703
1103	66-67	-0.42433553365169985
1103	68-69	-0.19318231686638399
1103	70-71	-0.5251231749888063
1103	72-73	-0.1410290663752818
1103	74-75	-0.05486062872151365
1103	76-77	-0.6208520237286876
1103	78-79	-0.18256015373756185
1103	80-81	-0.07648438596584839
1103	82-83	-0.1374988476154968
1103	84-85	0.0306326129742871
1103	86-87	-0.11985615564960028
1103	88-89	-0.5438836655594272
1103	90-91	-0.42371189032033385
1103	92-93	-0.14682101850512908
1103	94-95	-0.16817653886985084
1103	96-97	-0.21930084115334836
1103	98-99	-0.5067097326729098
1103	100-101	-0.10998747727548164
1104	1	0.02603581260797938
1104	2	-0.0580766286930654
1104	3	-0.034989003016107745
1104	4	-0.07642940328548065
1104	5	-0.10171538173226935
1104	6	-0.1552592786032605
1104	7	-0.09377187617721461
1104	8	-0.15145843362436295
1104	9	-0.004095419344587015
1104	10-11	-0.377290888565021
1104	12-13	-0.7832614047435698
1104	14-15	0.006703385062991174
1104	16-17	-0.13352235143705116
1104	18-19	-0.0013893842835273063
1104	20-21	-0.07804379855144106
1104	22-23	-0.03866750281111564
1104	24-25	-0.3257240948171187
1104	26-27	-0.2213568802831034
1104	28-29	-0.13891752561693949
1104	30-31	-0.5599504264226098
1104	32-33	-0.16561081713268067
1104	34-35	-0.45788233540454826
1104	36-37	-0.27733517499079596
1104	38-39	-0.03576131244643932
1104	40-41	-0.38058706222384586
1104	42-43	-0.13964763989950768
1104	44-45	-0.35461222393927727
1104	46-47	-0.14891412455465058
1104	48-49	-0.08763266889832977
1104	50-51	-0.10449627907559744
1104	52-53	-0.1238015926837619
1104	54-55	0.09492995900124868
1104	56-57	-0.11500218833286624
1104	58-59	0.03460028930363279
1104	60-61	-0.11608557076331749
1104	62-63	0.0305830009603838
1104	64-65	0.037765316092688295
1104	66-67	-0.18319977978919155
1104	68-69	-0.11863018211182208
1104	70-71	-0.29034476862822345
1104	72-73	-0.13395068404162203
1104	74-75	0.031793241795284644
1104	76-77	-0.016540422007480515
1104	78-79	-0.27111433441992716
1104	80-81	-0.07799221109362975
1104	82-83	0.03836402789598736
1104	84-85	0.012194007190352352
1104	86-87	-6.21931500369044E-4
1104	88-89	-0.09398022825509855
1104	90-91	-0.5103072862546867
1104	92-93	-0.0034868478703842243
1104	94-95	-0.2454096308419551
1104	96-97	-0.1557414728426636
1104	98-99	-0.41207169261348753
1104	100-101	-0.09963042282904411
1105	1	0.03533269463297728
1105	2	-0.014142292752055141
1105	3	-0.03265108376424308
1105	4	0.10910078734485751
1105	5	-0.061807774502703694
1105	6	0.03551999034737463
1105	7	0.016200248631704994
1105	8	-0.37423516233580756
1105	9	-0.08596755314550819
1105	10-11	-0.5787678240924023
1105	12-13	-1.1076575359368022
1105	14-15	-0.14355991185276196
1105	16-17	-0.11964517087774595
1105	18-19	-0.18589533024162108
1105	20-21	-0.36299175736809985
1105	22-23	-0.31785777347023014
1105	24-25	-0.3417860496772889
1105	26-27	-0.18819889089365915
1105	28-29	-0.33179024389767164
1105	30-31	-0.009127377685985039
1105	32-33	-0.011190126547298007
1105	34-35	-0.032872781407604634
1105	36-37	0.05107784991703568
1105	38-39	-0.17252537368194254
1105	40-41	-0.22353059248191443
1105	42-43	0.08942910679593297
1105	44-45	-0.11308015622953604
1105	46-47	-0.15496686261776915
1105	48-49	-0.10395314367577413
1105	50-51	-0.2413334002877221
1105	52-53	-0.0752448082219388
1105	54-55	-0.008855952787257593
1105	56-57	0.023742922268709776
1105	58-59	-0.0445264753758039
1105	60-61	-0.05629581489604618
1105	62-63	6.986605233763044E-4
1105	64-65	0.03278740268562075
1105	66-67	0.01752267097963056
1105	68-69	0.0800732843030687
1105	70-71	0.03409210755197023
1105	72-73	0.023850435462023256
1105	74-75	0.016886196565536693
1105	76-77	0.1196307294177501
1105	78-79	-0.03437472017660781
1105	80-81	-0.03264585060446734
1105	82-83	0.08786216205658803
1105	84-85	-0.07224225079004043
1105	86-87	0.018627967339668317
1105	88-89	0.030179582013765582
1105	90-91	-0.3041643472204285
1105	92-93	-0.01834050311721569
1105	94-95	0.06850801370440962
1105	96-97	-0.04170608933398512
1105	98-99	0.007015788278515345
1105	100-101	0.08540239796045057
1106	1	-0.20459705168286035
1106	2	-0.005861344171115945
1106	3	0.14248006762527865
1106	4	-0.041340503371337434
