##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	2D_S217_concat.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	7372772
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.06015688536144	37.0	37.0	37.0	37.0	37.0
2	36.2632022257029	37.0	37.0	37.0	37.0	37.0
3	36.38120723114725	37.0	37.0	37.0	37.0	37.0
4	36.326990716653114	37.0	37.0	37.0	37.0	37.0
5	36.52950070882431	37.0	37.0	37.0	37.0	37.0
6	36.577923608650856	37.0	37.0	37.0	37.0	37.0
7	36.59773922209991	37.0	37.0	37.0	37.0	37.0
8	36.58967210704468	37.0	37.0	37.0	37.0	37.0
9	36.579404598433264	37.0	37.0	37.0	37.0	37.0
10-11	36.51923835431233	37.0	37.0	37.0	37.0	37.0
12-13	36.50227756941351	37.0	37.0	37.0	37.0	37.0
14-15	36.465858702805406	37.0	37.0	37.0	37.0	37.0
16-17	36.413100662817186	37.0	37.0	37.0	37.0	37.0
18-19	36.427635494492435	37.0	37.0	37.0	37.0	37.0
20-21	36.44770766002258	37.0	37.0	37.0	37.0	37.0
22-23	36.43798994462327	37.0	37.0	37.0	37.0	37.0
24-25	36.41070495601926	37.0	37.0	37.0	37.0	37.0
26-27	36.38636241565588	37.0	37.0	37.0	37.0	37.0
28-29	36.381132903608034	37.0	37.0	37.0	37.0	37.0
30-31	36.37133618128975	37.0	37.0	37.0	37.0	37.0
32-33	36.3556796548164	37.0	37.0	37.0	37.0	37.0
34-35	36.33696525540191	37.0	37.0	37.0	37.0	37.0
36-37	36.33391619868348	37.0	37.0	37.0	37.0	37.0
38-39	36.29149511201486	37.0	37.0	37.0	37.0	37.0
40-41	36.32617121484294	37.0	37.0	37.0	37.0	37.0
42-43	36.32369602640635	37.0	37.0	37.0	37.0	37.0
44-45	36.32287638896199	37.0	37.0	37.0	37.0	37.0
46-47	36.28451713955077	37.0	37.0	37.0	37.0	37.0
48-49	36.2687827590491	37.0	37.0	37.0	37.0	37.0
50-51	36.261833947937085	37.0	37.0	37.0	37.0	37.0
52-53	36.228982125040616	37.0	37.0	37.0	37.0	37.0
54-55	36.21889392483587	37.0	37.0	37.0	37.0	37.0
56-57	36.22366499330238	37.0	37.0	37.0	37.0	37.0
58-59	36.21275688438487	37.0	37.0	37.0	37.0	37.0
60-61	36.162305032625454	37.0	37.0	37.0	37.0	37.0
62-63	36.15880539910904	37.0	37.0	37.0	37.0	37.0
64-65	36.15114586481177	37.0	37.0	37.0	37.0	37.0
66-67	36.11986360082748	37.0	37.0	37.0	37.0	37.0
68-69	36.08294926250262	37.0	37.0	37.0	37.0	37.0
70-71	36.09416661738624	37.0	37.0	37.0	37.0	37.0
72-73	36.092929362253436	37.0	37.0	37.0	37.0	37.0
74-75	36.07180908347634	37.0	37.0	37.0	37.0	37.0
76-77	36.05793885935982	37.0	37.0	37.0	37.0	37.0
78-79	36.04525055162428	37.0	37.0	37.0	37.0	37.0
80-81	36.04546675253215	37.0	37.0	37.0	37.0	37.0
82-83	36.03677951793436	37.0	37.0	37.0	37.0	37.0
84-85	36.00957034884573	37.0	37.0	37.0	37.0	37.0
86-87	35.98367900160211	37.0	37.0	37.0	37.0	37.0
88-89	35.92208154544858	37.0	37.0	37.0	37.0	37.0
90-91	35.8618072008737	37.0	37.0	37.0	37.0	37.0
92-93	35.84098084139859	37.0	37.0	37.0	37.0	37.0
94-95	35.81558591531109	37.0	37.0	37.0	37.0	37.0
96-97	35.804911775381086	37.0	37.0	37.0	37.0	37.0
98-99	35.7849597139312	37.0	37.0	37.0	37.0	37.0
100-101	35.623021164902426	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.03728047159325598
1101	2	0.038816257946344024
1101	3	-0.11013937338093172
1101	4	0.04550494418579376
1101	5	-1.0283022242709592
1101	6	-0.05484722970577849
1101	7	-0.20397823886757038
1101	8	-0.3603815005429283
1101	9	-0.14708764418426767
1101	10-11	-0.29523218979504406
1101	12-13	-0.7876270085329651
1101	14-15	0.02796248743482721
1101	16-17	-0.3401355027478843
1101	18-19	-0.07896510058250072
1101	20-21	-0.39756063022635857
1101	22-23	-0.3324198405557084
1101	24-25	-0.15540302142682094
1101	26-27	-0.8799149227921674
1101	28-29	-0.5863674558368572
1101	30-31	-0.4816666329329351
1101	32-33	-0.15304619191038427
1101	34-35	-0.20977252974648763
1101	36-37	0.01265682765660614
1101	38-39	-0.13162611904247967
1101	40-41	-0.13651167289705057
1101	42-43	-0.10846124920699651
1101	44-45	-0.11414851508270374
1101	46-47	-0.31184736362784804
1101	48-49	-0.11149536817602268
1101	50-51	-0.38041881629573027
1101	52-53	-0.2372441275161421
1101	54-55	-0.2554466628871026
1101	56-57	-0.12065084091528888
1101	58-59	-0.2701121120371326
1101	60-61	-0.25610999460528916
1101	62-63	0.06954013051834096
1101	64-65	-0.1661481406785228
1101	66-67	0.10408137593059053
1101	68-69	-0.2023068549998186
1101	70-71	-0.08967361028536658
1101	72-73	-0.008022111637977503
1101	74-75	0.09162573967972776
1101	76-77	-0.02903302612710945
1101	78-79	0.001421952121958725
1101	80-81	0.06364200968383216
1101	82-83	0.029603216344852967
1101	84-85	-0.12089227990546192
1101	86-87	-0.09398252929040041
1101	88-89	-0.2918226833022928
1101	90-91	-0.08940100514765703
1101	92-93	-0.22670634727731453
1101	94-95	-0.03906895287048684
1101	96-97	-0.09164095322015697
1101	98-99	-0.30596680251471753
1101	100-101	-0.08883995158510771
1102	1	-0.06402500077651041
1102	2	0.020121382707515068
1102	3	-0.007359595955520604
1102	4	-5.612784850015373E-4
1102	5	-0.8200515321862909
1102	6	-0.07865680163387623
1102	7	-0.46868844849576163
1102	8	-1.591425211515272
1102	9	-0.5656908477612461
1102	10-11	-0.29037153031686813
1102	12-13	-0.788968130993446
1102	14-15	-0.1540930676940846
1102	16-17	-0.6362327474647458
1102	18-19	-0.19525492854454285
1102	20-21	-0.1565385316162704
1102	22-23	-0.30262271059010715
1102	24-25	-0.3035786623907981
1102	26-27	-0.17820594151574198
1102	28-29	-0.030505340040356543
1102	30-31	-0.0824240154725544
1102	32-33	-0.3447119120846551
1102	34-35	-0.07314234446705825
1102	36-37	-0.6343377524786931
1102	38-39	-0.03170481601145525
1102	40-41	-0.10991577556769272
1102	42-43	-0.1199547657004203
1102	44-45	-0.7026128813619223
1102	46-47	-0.6195822207263575
1102	48-49	-0.5073261668633648
1102	50-51	-0.14581555289774428
1102	52-53	-0.16765005755707563
1102	54-55	-0.3090681179362633
1102	56-57	-0.15299966048096536
1102	58-59	-0.24430560957376457
1102	60-61	-0.2889303088515476
1102	62-63	-0.26220579023417656
1102	64-65	-0.09394862304608154
1102	66-67	-0.14294828842097473
1102	68-69	-0.42813482027290917
1102	70-71	-0.5137221429122718
1102	72-73	-0.6134901969249569
1102	74-75	-0.07528863179340561
1102	76-77	-0.6122557781605167
1102	78-79	-0.09441717300379082
1102	80-81	-0.09461306792787383
1102	82-83	-0.18966444510216007
1102	84-85	-0.4444774826118021
1102	86-87	-0.12526629229086694
1102	88-89	-0.2963484663613869
1102	90-91	-0.5983111026518699
1102	92-93	-0.9162750983964258
1102	94-95	-0.2963932882610507
1102	96-97	-0.40358450158443304
1102	98-99	-0.8223064274288703
1102	100-101	-0.22865823312947242
1103	1	0.08793392333057426
1103	2	0.06375934887342538
1103	3	-0.02737764152109179
1103	4	0.03748413405139672
1103	5	-0.0033550618666566834
1103	6	-0.1589606024320105
1103	7	-0.7630443804222509
1103	8	-0.09074059261978817
1103	9	-0.3109100447191011
1103	10-11	-0.15910255233159631
1103	12-13	-0.14523218191478549
1103	14-15	-0.03499150772255888
1103	16-17	-0.22527363371998632
1103	18-19	-0.05112698577417518
1103	20-21	0.012216045176337786
1103	22-23	0.04981756646701996
1103	24-25	-0.058150698547279944
1103	26-27	-0.10869163524530734
1103	28-29	-0.39399382125764504
1103	30-31	-0.2898096688136462
1103	32-33	-0.1821694685049664
1103	34-35	-0.38703426588136836
1103	36-37	-0.36406311700387306
1103	38-39	-0.1261251461630053
1103	40-41	-0.42233609207028877
1103	42-43	-0.39777044573761344
1103	44-45	-0.6008771279181957
1103	46-47	-0.33088253752674746
1103	48-49	-0.18823172088973195
1103	50-51	-0.28601652747410355
1103	52-53	-0.32468887248084144
1103	54-55	-0.7182290859942029
1103	56-57	-0.5810549106010612
1103	58-59	-0.6612485468318212
1103	60-61	-0.5112466720600111
1103	62-63	-0.29448576244822533
1103	64-65	-0.3304363182079584
1103	66-67	-0.48862799266064627
1103	68-69	-0.3033633626250847
1103	70-71	-0.4588283431129909
1103	72-73	-0.3060682911469641
1103	74-75	-0.21682286056675792
1103	76-77	-0.7505274944145768
1103	78-79	-0.31342924963561813
1103	80-81	-0.1830779064763135
1103	82-83	-0.13469371486061732
1103	84-85	-0.24186482552738653
1103	86-87	-0.2454620430420178
1103	88-89	-0.555138958503214
1103	90-91	-0.617423354300449
1103	92-93	-0.3117006736737977
1103	94-95	-0.2602159205767478
1103	96-97	-0.3852241829683223
1103	98-99	-0.7103697387012318
1103	100-101	-0.23313839738010955
1104	1	0.1374116455021408
1104	2	0.05536095760298565
1104	3	0.018051890670975013
1104	4	0.012516267695396266
1104	5	-0.06446601207373703
1104	6	-0.12910103169954112
1104	7	-0.06696962862780964
1104	8	-0.12359151348464081
1104	9	-0.03575456981530323
1104	10-11	-0.2670018858893073
1104	12-13	-0.7511997017168
1104	14-15	0.07297973329026064
1104	16-17	-0.1817494493452756
1104	18-19	-0.02696108728552815
1104	20-21	-0.12420318327664148
1104	22-23	-0.008403303273624374
1104	24-25	-0.316903283969836
1104	26-27	-0.13580593913620476
1104	28-29	-0.04769750461715461
1104	30-31	-0.4677688353662859
1104	32-33	-0.03951985855297124
1104	34-35	-0.3146220603898442
1104	36-37	-0.25773476159728403
1104	38-39	-0.0903961294075657
1104	40-41	-0.40444511775423564
1104	42-43	-0.15195301277383777
1104	44-45	-0.28960513497311524
1104	46-47	-0.09108655495631979
1104	48-49	-0.02337109651330138
1104	50-51	-0.11599973908076322
1104	52-53	-0.21208059932838808
1104	54-55	-0.09411212452361895
1104	56-57	-0.08670354081397846
1104	58-59	-0.05763399875519326
1104	60-61	0.00481755328196698
1104	62-63	-0.07165374725177998
1104	64-65	6.872180554040597E-5
1104	66-67	-0.14694254183586253
1104	68-69	-0.2257604375896065
1104	70-71	-0.361513187717982
1104	72-73	-0.20292643471618987
1104	74-75	0.025584361338651718
1104	76-77	-0.13363543449568738
1104	78-79	-0.17486777824928623
1104	80-81	-0.1970073792448659
1104	82-83	-0.06472975847248819
1104	84-85	-0.17774055346552586
1104	86-87	-0.17364666942786045
1104	88-89	-0.3246641795437313
1104	90-91	-0.6841358952602334
1104	92-93	-0.29933199216689843
1104	94-95	-0.42037140047412436
1104	96-97	-0.19411354236277845
1104	98-99	-0.656161904184259
1104	100-101	-0.4033395484986144
1105	1	-0.03846232791163118
1105	2	0.10032033419062003
1105	3	0.08692367590094108
1105	4	0.12528974066712806
1105	5	-0.06890158466183749
1105	6	0.05688459109277488
1105	7	0.051171495226597585
1105	8	-0.4195787764147241
1105	9	-0.04683030017665146
1105	10-11	-0.4803682086604155
1105	12-13	-1.0249975007319208
1105	14-15	-0.17151540430130296
1105	16-17	-0.11761366193913148
1105	18-19	-0.17948989970577856
1105	20-21	-0.3184991041339984
1105	22-23	-0.36038847002762964
1105	24-25	-0.19660537894581864
1105	26-27	-0.2902143094393068
1105	28-29	-0.2843233811907879
1105	30-31	0.011032983986538625
1105	32-33	0.011848856419085507
1105	34-35	-0.00775748376540264
1105	36-37	0.012493337563043383
1105	38-39	-0.12910038056466533
1105	40-41	-0.2574747722452102
1105	42-43	-0.06971450473916008
1105	44-45	-0.09623269168788084
1105	46-47	-0.12848649655141742
1105	48-49	0.04770647400262362
1105	50-51	-0.2878809771047557
1105	52-53	-0.19456872833122674
1105	54-55	-0.02101858466627249
1105	56-57	0.08481706691707558
1105	58-59	-0.09285215708049321
1105	60-61	-0.05057930005371247
1105	62-63	-0.13151517561176007
1105	64-65	0.0715065225808118
1105	66-67	-0.0718588348044662
1105	68-69	-0.10669083574304494
1105	70-71	0.015533284185657692
1105	72-73	-0.06231142305521331
1105	74-75	-0.10505121204951706
1105	76-77	0.035078737494757206
1105	78-79	-0.1616090645173358
1105	80-81	-0.06169781324130952
1105	82-83	-0.06719596563389274
1105	84-85	-0.158555341907757
1105	86-87	-0.024164512926709847
1105	88-89	-0.09485707574700797
1105	90-91	-0.4127999030368841
1105	92-93	-0.13640110597245325
1105	94-95	0.02070645006532601
1105	96-97	-0.10175858454632447
1105	98-99	-0.09145026840684523
1105	100-101	0.013729085266618313
1106	1	0.03502297266017962
1106	2	0.010876579118992424
1106	3	-0.03362552795239537
1106	4	0.12487138082714466
1106	5	-0.16873013606326026
1106	6	-0.03455939762887539
1106	7	-0.2394465090864557
1106	8	-0.8669001683373807
1106	9	0.053250845845141725
1106	10-11	-0.6010776522260457
1106	12-13	-0.5807798652070133
1106	14-15	-0.2092451470021075
1106	16-17	-0.24484794029208956
1106	18-19	-0.377370946584179
1106	20-21	-0.1497595828639433
1106	22-23	-0.20243473904721299
1106	24-25	-0.2797461088811275
1106	26-27	-0.08387134277863595
1106	28-29	-0.09834980258808201
1106	30-31	-0.07053297636242206
1106	32-33	0.00809940502302453
1106	34-35	-0.014006043186711281
1106	36-37	0.02969187377721738
1106	38-39	-2.2897332846127938E-4
1106	40-41	-0.041589254442023105
1106	42-43	-0.05368579736055068
1106	44-45	-0.3565267118259925
1106	46-47	-0.45197021840684926
1106	48-49	-0.2636629677316904
1106	50-51	-0.1356240441717773
1106	52-53	-0.37936063772553297
