##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	3B_S219_concat.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2867781
Sequences flagged as poor quality	0
Sequence length	101
%GC	32
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.0079015796534	37.0	37.0	37.0	37.0	37.0
2	36.19019827525184	37.0	37.0	37.0	37.0	37.0
3	36.326117998550096	37.0	37.0	37.0	37.0	37.0
4	36.27675404781606	37.0	37.0	37.0	37.0	37.0
5	36.44226354801849	37.0	37.0	37.0	37.0	37.0
6	36.4899875548377	37.0	37.0	37.0	37.0	37.0
7	36.53770598243032	37.0	37.0	37.0	37.0	37.0
8	36.512132202563585	37.0	37.0	37.0	37.0	37.0
9	36.445020732057294	37.0	37.0	37.0	37.0	37.0
10-11	36.44356106690155	37.0	37.0	37.0	37.0	37.0
12-13	36.42678224034541	37.0	37.0	37.0	37.0	37.0
14-15	36.40663774535085	37.0	37.0	37.0	37.0	37.0
16-17	36.41019554840484	37.0	37.0	37.0	37.0	37.0
18-19	36.449904298828955	37.0	37.0	37.0	37.0	37.0
20-21	36.45611572152825	37.0	37.0	37.0	37.0	37.0
22-23	36.45329228417372	37.0	37.0	37.0	37.0	37.0
24-25	36.41844164529998	37.0	37.0	37.0	37.0	37.0
26-27	36.39162160569444	37.0	37.0	37.0	37.0	37.0
28-29	36.37560887668898	37.0	37.0	37.0	37.0	37.0
30-31	36.3352421262293	37.0	37.0	37.0	37.0	37.0
32-33	36.28888781953712	37.0	37.0	37.0	37.0	37.0
34-35	36.27937942262676	37.0	37.0	37.0	37.0	37.0
36-37	36.26072283762254	37.0	37.0	37.0	37.0	37.0
38-39	36.22146182013201	37.0	37.0	37.0	37.0	37.0
40-41	36.17365447361566	37.0	37.0	37.0	37.0	37.0
42-43	36.11925945530708	37.0	37.0	37.0	37.0	37.0
44-45	36.062980750622174	37.0	37.0	37.0	37.0	37.0
46-47	35.99494801032576	37.0	37.0	37.0	37.0	37.0
48-49	35.95621562455432	37.0	37.0	37.0	37.0	37.0
50-51	35.92702336754445	37.0	37.0	37.0	37.0	37.0
52-53	35.87293695020645	37.0	37.0	37.0	37.0	37.0
54-55	35.84593802664848	37.0	37.0	37.0	37.0	37.0
56-57	35.824783342940066	37.0	37.0	37.0	37.0	37.0
58-59	35.78122980799441	37.0	37.0	37.0	37.0	37.0
60-61	35.680783853439294	37.0	37.0	37.0	37.0	37.0
62-63	35.64127456036566	37.0	37.0	37.0	37.0	37.0
64-65	35.632658491007504	37.0	37.0	37.0	37.0	37.0
66-67	35.582597834353464	37.0	37.0	37.0	37.0	37.0
68-69	35.551262456930985	37.0	37.0	37.0	37.0	37.0
70-71	35.524319325638885	37.0	37.0	37.0	37.0	37.0
72-73	35.481822356728074	37.0	37.0	37.0	37.0	37.0
74-75	35.4293431053487	37.0	37.0	37.0	37.0	37.0
76-77	35.35799107393487	37.0	37.0	37.0	37.0	37.0
78-79	35.2893637973053	37.0	37.0	37.0	37.0	37.0
80-81	35.28593117814785	37.0	37.0	37.0	37.0	37.0
82-83	35.21929429060309	37.0	37.0	37.0	37.0	37.0
84-85	35.153177665937534	37.0	37.0	37.0	37.0	37.0
86-87	35.11737751243906	37.0	37.0	37.0	31.0	37.0
88-89	35.031667341404386	37.0	37.0	37.0	25.0	37.0
90-91	34.9494549967379	37.0	37.0	37.0	25.0	37.0
92-93	34.84506139067105	37.0	37.0	37.0	25.0	37.0
94-95	34.80155388434473	37.0	37.0	37.0	25.0	37.0
96-97	34.78216432844768	37.0	37.0	37.0	25.0	37.0
98-99	34.75495025596445	37.0	37.0	37.0	25.0	37.0
100-101	34.59150995142237	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.1697485540172181
1101	2	-0.3199921007315183
1101	3	0.08405113530353248
1101	4	0.18652413039668403
1101	5	-1.2372438460640751
1101	6	-0.0768886164460767
1101	7	-0.18303335890777106
1101	8	-0.30479910275477096
1101	9	-0.2137916543117484
1101	10-11	-0.2275245581935863
1101	12-13	-0.8663191848929372
1101	14-15	-0.024768003254976634
1101	16-17	-0.4941505026063595
1101	18-19	-0.1126492730050046
1101	20-21	-0.33153151345409526
1101	22-23	-0.33066952982394326
1101	24-25	-0.25405817704165656
1101	26-27	-0.9609561233713251
1101	28-29	-0.6707089222270568
1101	30-31	-0.6005398593089026
1101	32-33	-0.06428745100252087
1101	34-35	-0.09449667221799984
1101	36-37	-0.1160634050068694
1101	38-39	-0.2657282989309522
1101	40-41	-0.37315695762364953
1101	42-43	-0.07991636906138666
1101	44-45	-0.2383614157062226
1101	46-47	-0.28144108024025627
1101	48-49	-0.3668883116715662
1101	50-51	-0.5683863824026147
1101	52-53	-0.19996264723398838
1101	54-55	-0.4588128960390918
1101	56-57	-0.2725875067082555
1101	58-59	-0.5579540356208241
1101	60-61	-0.2665036219348167
1101	62-63	0.004026675102061006
1101	64-65	-0.35553921541220035
1101	66-67	-0.03733348518642998
1101	68-69	-0.2860637653950704
1101	70-71	-0.08712830594335941
1101	72-73	-0.15153390708107395
1101	74-75	-0.0836029131627356
1101	76-77	-0.14018061972994644
1101	78-79	-0.12092016418946372
1101	80-81	-0.12669406329832356
1101	82-83	-0.011643662908234376
1101	84-85	-0.30528663674296297
1101	86-87	-0.39426433085314017
1101	88-89	-0.4830843150103519
1101	90-91	-0.19994273961258813
1101	92-93	-0.3941999998082437
1101	94-95	-0.29217003974999045
1101	96-97	-0.5040617626510837
1101	98-99	-0.5490883454835824
1101	100-101	-0.3783514799782992
1102	1	0.17261004096541654
1102	2	0.04486029779246792
1102	3	-0.018962394831767426
1102	4	-0.009671373225017987
1102	5	-0.7692156241151906
1102	6	-0.24415320575863575
1102	7	-0.3934337962454819
1102	8	-1.584763569066098
1102	9	-0.8922032300941751
1102	10-11	-0.28709900810475375
1102	12-13	-0.8968046980814037
1102	14-15	-0.20665607213566517
1102	16-17	-0.5576968672366647
1102	18-19	-0.3428067829134349
1102	20-21	-0.1860740172124693
1102	22-23	-0.2221124025860135
1102	24-25	-0.31545202014675056
1102	26-27	-0.16041457628918465
1102	28-29	-0.2942440117446168
1102	30-31	0.0718583230062606
1102	32-33	-0.2712412913742597
1102	34-35	-0.14061786259657083
1102	36-37	-0.3464771674778291
1102	38-39	-0.050847712625092356
1102	40-41	-0.14405435409761225
1102	42-43	-0.27518936345799716
1102	44-45	-0.7353974277330124
1102	46-47	-0.691966227158396
1102	48-49	-0.3742128640837521
1102	50-51	-0.2288261117999113
1102	52-53	0.023177813337284192
1102	54-55	-0.252448436561167
1102	56-57	-0.12689084140826168
1102	58-59	-0.2848443253570494
1102	60-61	-0.12988256822427502
1102	62-63	-0.11304657896381087
1102	64-65	-0.028368756207605372
1102	66-67	0.0022917027321156525
1102	68-69	-0.31646813193874124
1102	70-71	-0.31248535118047727
1102	72-73	-0.3704760965029763
1102	74-75	-0.08924474041433683
1102	76-77	-0.29120733833046586
1102	78-79	0.10087924130458958
1102	80-81	0.16109037704607942
1102	82-83	-9.622019269528437E-4
1102	84-85	-0.12827163742630887
1102	86-87	0.13906558577935613
1102	88-89	-0.08871162128341581
1102	90-91	-0.2500657408426008
1102	92-93	-0.7301129422709991
1102	94-95	-0.22223871543674534
1102	96-97	-0.4551645028451503
1102	98-99	-0.38422398850668316
1102	100-101	-0.12977368170031411
1103	1	-0.1793718163531537
1103	2	0.10000789926848341
1103	3	0.1248844686368713
1103	4	0.10087598224853878
1103	5	0.12673763541740612
1103	6	-0.13642565348311564
1103	7	-0.7823852107596281
1103	8	-0.1460028064584762
1103	9	-0.02082869134878962
1103	10-11	-0.1022004841195141
1103	12-13	-0.03330992563367374
1103	14-15	-0.19351800325497948
1103	16-17	-0.06146531742116679
1103	18-19	0.017582208476483174
1103	20-21	0.00453330136071628
1103	22-23	-0.07210471500913229
1103	24-25	-0.033872991856469525
1103	26-27	8.031358879350137E-4
1103	28-29	-0.29288484815297977
1103	30-31	-0.13521578523482702
1103	32-33	0.017888474923402953
1103	34-35	-0.2583392648105942
1103	36-37	-0.26902636796982904
1103	38-39	0.030660589957932416
1103	40-41	-0.2621847354014264
1103	42-43	-0.16514785054286563
1103	44-45	-0.5126206749654827
1103	46-47	-0.23708922838840607
1103	48-49	-0.10225868204192778
1103	50-51	-0.3275530490692873
1103	52-53	-0.07598116575250913
1103	54-55	-0.4115443775205705
1103	56-57	-0.44920787707862786
1103	58-59	-0.7443892208060063
1103	60-61	-0.5871980663792584
1103	62-63	-0.2944918434164592
1103	64-65	-0.18734477096776203
1103	66-67	-0.29182422592717217
1103	68-69	-0.2789804320617435
1103	70-71	-0.3788875652026178
1103	72-73	-0.14361724041440738
1103	74-75	-0.1662880983479198
1103	76-77	-0.7238380271373472
1103	78-79	-0.32411460863390573
1103	80-81	-0.03544406329832128
1103	82-83	-0.36363440364897315
1103	84-85	-0.36172182192815683
1103	86-87	-0.3206069234457374
1103	88-89	-0.8185009816770261
1103	90-91	-0.6324427396125927
1103	92-93	-0.49077407388232075
1103	94-95	-0.6466144841944299
1103	96-97	-0.8462376885770126
1103	98-99	-1.139597604742839
