##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	4-6_S251_concat.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5403390
Sequences flagged as poor quality	0
Sequence length	101
%GC	25
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.736645513279626	37.0	37.0	37.0	37.0	37.0
2	35.9949722303961	37.0	37.0	37.0	37.0	37.0
3	36.167126933277075	37.0	37.0	37.0	37.0	37.0
4	36.08260999113519	37.0	37.0	37.0	37.0	37.0
5	36.27980286449803	37.0	37.0	37.0	37.0	37.0
6	36.38690932914337	37.0	37.0	37.0	37.0	37.0
7	36.384759937742785	37.0	37.0	37.0	37.0	37.0
8	36.33599314504413	37.0	37.0	37.0	37.0	37.0
9	36.27907979990339	37.0	37.0	37.0	37.0	37.0
10-11	36.29100990304235	37.0	37.0	37.0	37.0	37.0
12-13	36.297753077234844	37.0	37.0	37.0	37.0	37.0
14-15	36.29407816204272	37.0	37.0	37.0	37.0	37.0
16-17	36.305246521165415	37.0	37.0	37.0	37.0	37.0
18-19	36.3739711551452	37.0	37.0	37.0	37.0	37.0
20-21	36.406814055620636	37.0	37.0	37.0	37.0	37.0
22-23	36.403937620641855	37.0	37.0	37.0	37.0	37.0
24-25	36.375474655725384	37.0	37.0	37.0	37.0	37.0
26-27	36.34288863102608	37.0	37.0	37.0	37.0	37.0
28-29	36.32097738641853	37.0	37.0	37.0	37.0	37.0
30-31	36.279010584096284	37.0	37.0	37.0	37.0	37.0
32-33	36.239691563999635	37.0	37.0	37.0	37.0	37.0
34-35	36.2451338881702	37.0	37.0	37.0	37.0	37.0
36-37	36.22899531590353	37.0	37.0	37.0	37.0	37.0
38-39	36.174499712217695	37.0	37.0	37.0	37.0	37.0
40-41	36.136881476258424	37.0	37.0	37.0	37.0	37.0
42-43	36.07955635258606	37.0	37.0	37.0	37.0	37.0
44-45	36.01042382652372	37.0	37.0	37.0	37.0	37.0
46-47	35.9312185498363	37.0	37.0	37.0	37.0	37.0
48-49	35.89264924427073	37.0	37.0	37.0	37.0	37.0
50-51	35.85473119652663	37.0	37.0	37.0	37.0	37.0
52-53	35.807665743172336	37.0	37.0	37.0	37.0	37.0
54-55	35.78325588195558	37.0	37.0	37.0	37.0	37.0
56-57	35.75779890031998	37.0	37.0	37.0	37.0	37.0
58-59	35.69487969589461	37.0	37.0	37.0	37.0	37.0
60-61	35.56920377762849	37.0	37.0	37.0	37.0	37.0
62-63	35.55345125930204	37.0	37.0	37.0	37.0	37.0
64-65	35.52169786004712	37.0	37.0	37.0	37.0	37.0
66-67	35.47903982499875	37.0	37.0	37.0	37.0	37.0
68-69	35.44909454990293	37.0	37.0	37.0	37.0	37.0
70-71	35.413604792546906	37.0	37.0	37.0	37.0	37.0
72-73	35.378397450489416	37.0	37.0	37.0	37.0	37.0
74-75	35.32461103122299	37.0	37.0	37.0	37.0	37.0
76-77	35.23000320169375	37.0	37.0	37.0	37.0	37.0
78-79	35.14511205002785	37.0	37.0	37.0	31.0	37.0
80-81	35.14764934605868	37.0	37.0	37.0	31.0	37.0
82-83	35.06955059694007	37.0	37.0	37.0	25.0	37.0
84-85	34.97325419782766	37.0	37.0	37.0	25.0	37.0
86-87	34.938002809347466	37.0	37.0	37.0	25.0	37.0
88-89	34.86797232848268	37.0	37.0	37.0	25.0	37.0
90-91	34.78640242514422	37.0	37.0	37.0	25.0	37.0
92-93	34.658335045221605	37.0	37.0	37.0	25.0	37.0
94-95	34.61946352197417	37.0	37.0	37.0	25.0	37.0
96-97	34.61255137978195	37.0	37.0	37.0	25.0	37.0
98-99	34.60590777271305	37.0	37.0	37.0	25.0	37.0
100-101	34.42910811546085	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.053699756686818034
1101	2	-0.037146442427385296
1101	3	0.043998174236307364
1101	4	0.035172267195086704
1101	5	-1.1498700683577852
1101	6	-0.14863862398274108
1101	7	-0.25693801251951953
1101	8	-0.5506317943975532
1101	9	-0.004093322086227147
1101	10-11	-0.2289663921246543
1101	12-13	-0.7732565985236732
1101	14-15	-0.023352249809725834
1101	16-17	-0.32692194487902526
1101	18-19	-0.06120695515382124
1101	20-21	-0.48475122085459077
1101	22-23	-0.37510549739331367
1101	24-25	-0.19181805376101124
1101	26-27	-0.9145949965656044
1101	28-29	-0.49845903875323927
1101	30-31	-0.59513088809247
1101	32-33	-0.10911352875884717
1101	34-35	-0.18638139900458128
1101	36-37	-0.080365636285336
1101	38-39	-0.13587931577797718
1101	40-41	-0.25629050257397523
1101	42-43	-0.10626600422057919
1101	44-45	-0.4506481597080523
1101	46-47	-0.5028399627370419
1101	48-49	-0.057657385495218705
1101	50-51	-0.5252202794003935
1101	52-53	-0.4327048233872475
1101	54-55	-0.13106672276266806
1101	56-57	-0.23052275953713774
1101	58-59	-0.4008277147768382
1101	60-61	-0.11422956234906678
1101	62-63	-0.1286621778397432
1101	64-65	-0.26672967354182475
1101	66-67	0.029112443286294365
1101	68-69	-0.4674732400433754
1101	70-71	-0.25960947553807756
1101	72-73	-0.14043375754815202
1101	74-75	-0.0214464929318936
1101	76-77	-0.13505447569541928
1101	78-79	-0.09561828018203755
1101	80-81	0.09198977215714166
1101	82-83	0.05015646215429115
1101	84-85	-0.15411855805858465
1101	86-87	-0.25263912098055386
1101	88-89	-0.3704524380951142
1101	90-91	-0.3128783811764464
1101	92-93	-0.2056655540155603
1101	94-95	-0.16089303926444387
1101	96-97	-0.16859632623781096
1101	98-99	-0.4286408991193582
1101	100-101	-0.36112585194733526
1102	1	0.024935867116361976
1102	2	0.0725235770478605
1102	3	-0.12071962514156809
1102	4	0.014153797572880933
1102	5	-0.6805942999132526
1102	6	0.09119766384072392
1102	7	-0.5445813027885649
1102	8	-1.4942568560130098
1102	9	-0.49200643861615845
1102	10-11	-0.33713383675131325
1102	12-13	-0.8457068538844936
1102	14-15	-0.004026419951152604
1102	16-17	-0.4886181149428168
1102	18-19	-0.17593475216595778
1102	20-21	-0.14170455717135155
1102	22-23	-0.36439850717927413
1102	24-25	-0.324673429375423
1102	26-27	-0.21970851182901896
1102	28-29	-0.23519020053693396
1102	30-31	-0.21249102924588215
1102	32-33	-0.3065382407134507
1102	34-35	-0.11128964415976128
1102	36-37	-0.48286636321955
1102	38-39	0.032677501912779405
1102	40-41	-0.03619386610040465
1102	42-43	-0.25766277992859443
1102	44-45	-0.5987482796064185
1102	46-47	-0.49251529963534324
1102	48-49	-0.26807792334597025
1102	50-51	-0.0849676798323813
1102	52-53	0.06282810178868914
1102	54-55	-0.1921808327571526
1102	56-57	-0.04537572839505799
1102	58-59	-0.22949609581195318
1102	60-61	-0.18278440248579386
1102	62-63	-0.28341090762749843
1102	64-65	-0.1873883748161731
1102	66-67	-0.026477699119567433
1102	68-69	-0.5407163480844801
1102	70-71	-0.5042373035318874
1102	72-73	-0.6026437986885966
1102	74-75	-0.10583128685978949
1102	76-77	-0.4779473296208252
1102	78-79	-0.03540432348460598
1102	80-81	-0.10596997802651487
1102	82-83	-0.1408613409589634
1102	84-85	-0.32331075653469554
1102	86-87	-0.0679209260918654
1102	88-89	-0.4128211669600006
1102	90-91	-0.5657335663597323
1102	92-93	-0.9069468625410906
1102	94-95	-0.8158508770801163
1102	96-97	-0.7274454044412764
1102	98-99	-0.9075081708199022
1102	100-101	-0.38954330334894394
1103	1	0.1580913346201882
1103	2	0.10625872954062743
1103	3	-0.13256471128629244
1103	4	-0.0206347835007179
1103	5	-0.025637050558920293
1103	6	-0.24629302139661036
1103	7	-1.0551672125827594
1103	8	-0.1331792464579351
1103	9	-0.37341492051185554
