##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	4C_S222_concat.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5406824
Sequences flagged as poor quality	0
Sequence length	101
%GC	37
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.84341010545192	37.0	37.0	37.0	37.0	37.0
2	36.130194361791695	37.0	37.0	37.0	37.0	37.0
3	36.29670024398797	37.0	37.0	37.0	37.0	37.0
4	36.239330335146846	37.0	37.0	37.0	37.0	37.0
5	36.42243838527017	37.0	37.0	37.0	37.0	37.0
6	36.49440891732374	37.0	37.0	37.0	37.0	37.0
7	36.51716035143737	37.0	37.0	37.0	37.0	37.0
8	36.48355522576655	37.0	37.0	37.0	37.0	37.0
9	36.4442339902316	37.0	37.0	37.0	37.0	37.0
10-11	36.43047434131387	37.0	37.0	37.0	37.0	37.0
12-13	36.404736865856925	37.0	37.0	37.0	37.0	37.0
14-15	36.38101240210519	37.0	37.0	37.0	37.0	37.0
16-17	36.352703546481266	37.0	37.0	37.0	37.0	37.0
18-19	36.38591250612189	37.0	37.0	37.0	37.0	37.0
20-21	36.401364645862344	37.0	37.0	37.0	37.0	37.0
22-23	36.39465386703914	37.0	37.0	37.0	37.0	37.0
24-25	36.37125639747104	37.0	37.0	37.0	37.0	37.0
26-27	36.34364388409906	37.0	37.0	37.0	37.0	37.0
28-29	36.32591388216076	37.0	37.0	37.0	37.0	37.0
30-31	36.28595289952105	37.0	37.0	37.0	37.0	37.0
32-33	36.23135023444447	37.0	37.0	37.0	37.0	37.0
34-35	36.21745612581434	37.0	37.0	37.0	37.0	37.0
36-37	36.19911504424779	37.0	37.0	37.0	37.0	37.0
38-39	36.163563674349305	37.0	37.0	37.0	37.0	37.0
40-41	36.165997265677596	37.0	37.0	37.0	37.0	37.0
42-43	36.131275588034676	37.0	37.0	37.0	37.0	37.0
44-45	36.0960317924164	37.0	37.0	37.0	37.0	37.0
46-47	36.04296570408062	37.0	37.0	37.0	37.0	37.0
48-49	36.015597881491985	37.0	37.0	37.0	37.0	37.0
50-51	35.99052882061632	37.0	37.0	37.0	37.0	37.0
52-53	35.94393381400985	37.0	37.0	37.0	37.0	37.0
54-55	35.93239302777379	37.0	37.0	37.0	37.0	37.0
56-57	35.93765563665472	37.0	37.0	37.0	37.0	37.0
58-59	35.90405531972189	37.0	37.0	37.0	37.0	37.0
60-61	35.82641325110637	37.0	37.0	37.0	37.0	37.0
62-63	35.80302003542191	37.0	37.0	37.0	37.0	37.0
64-65	35.79239827299723	37.0	37.0	37.0	37.0	37.0
66-67	35.7487595305488	37.0	37.0	37.0	37.0	37.0
68-69	35.71807589816129	37.0	37.0	37.0	37.0	37.0
70-71	35.70758878040047	37.0	37.0	37.0	37.0	37.0
72-73	35.67473733193461	37.0	37.0	37.0	37.0	37.0
74-75	35.65094739536556	37.0	37.0	37.0	37.0	37.0
76-77	35.61421880941566	37.0	37.0	37.0	37.0	37.0
78-79	35.57083104610026	37.0	37.0	37.0	37.0	37.0
80-81	35.58017275946101	37.0	37.0	37.0	37.0	37.0
82-83	35.562236166740405	37.0	37.0	37.0	37.0	37.0
84-85	35.51535614993202	37.0	37.0	37.0	37.0	37.0
86-87	35.494087286732466	37.0	37.0	37.0	37.0	37.0
88-89	35.426619213053726	37.0	37.0	37.0	37.0	37.0
90-91	35.35196411053883	37.0	37.0	37.0	37.0	37.0
92-93	35.28428093831055	37.0	37.0	37.0	37.0	37.0
94-95	35.267756449997265	37.0	37.0	37.0	37.0	37.0
96-97	35.26279327753224	37.0	37.0	37.0	37.0	37.0
98-99	35.24918658347303	37.0	37.0	37.0	37.0	37.0
100-101	35.08255456438012	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.03918550417765232
1101	2	-0.09761739730983976
1101	3	-0.02907598871468764
1101	4	0.07321485735788258
1101	5	-1.1278640066299346
1101	6	-0.04766542448084721
1101	7	-0.20211442822498782
1101	8	-0.24069579510678807
1101	9	-0.17151117333331456
1101	10-11	-0.10489440170771758
1101	12-13	-0.8252495406935836
1101	14-15	-0.02555556898217759
1101	16-17	-0.23807981057267114
1101	18-19	-0.07869282273176736
1101	20-21	-0.49557261652476114
1101	22-23	-0.25239574252323393
1101	24-25	-0.13092857335232821
1101	26-27	-0.7978291236200334
1101	28-29	-0.7461077292886316
1101	30-31	-0.5452402970135211
1101	32-33	-0.19174118804799178
1101	34-35	-0.223310711605329
1101	36-37	-0.21444213158561354
1101	38-39	-0.34091035309503326
1101	40-41	-0.16834920566065392
1101	42-43	-0.1534661389431875
1101	44-45	-0.24114019695394262
1101	46-47	-0.3720308034807118
1101	48-49	-0.18612586598755598
1101	50-51	-0.3845576153687915
1101	52-53	-0.3848928558531881
1101	54-55	-0.12444935778651
1101	56-57	-0.07052579617573684
1101	58-59	-0.42069822024866
1101	60-61	-0.3035460031311672
1101	62-63	-0.04229389153759655
1101	64-65	-0.11811050070602391
1101	66-67	0.0844100828918144
1101	68-69	-0.2323515928069071
1101	70-71	-0.08115718071560707
1101	72-73	-0.17632132350651375
1101	74-75	0.0859069215480801
1101	76-77	-0.13244148502675301
1101	78-79	-0.21028627119152077
1101	80-81	0.08936807737453023
1101	82-83	-0.09471342749063894
1101	84-85	-0.27838327312974087
1101	86-87	-0.26975435770045664
1101	88-89	-0.32862002813725155
1101	90-91	-0.05751452588815198
1101	92-93	-0.3279934750001061
1101	94-95	-0.29185061615878993
1101	96-97	-0.36128701503703553
1101	98-99	-0.4351217723048322
1101	100-101	-0.16994993789687385
1102	1	-0.14735301490172503
1102	2	0.017122283909046132
1102	3	-0.1446398812300771
1102	4	-0.023255882782422077
1102	5	-0.8287312576808219
1102	6	0.04452142543952675
1102	7	-0.6843271737309138
1102	8	-1.8354248598529281
1102	9	-0.5937247079014085
1102	10-11	-0.4269164093688005
1102	12-13	-0.6674751263929011
1102	14-15	-0.08717773732500689
1102	16-17	-0.44322844119115246
1102	18-19	-0.2503192233171063
1102	20-21	-0.14932173779644842
1102	22-23	-0.40568003444754197
1102	24-25	-0.2785448882885575
1102	26-27	-0.16209249822370708
1102	28-29	-0.1634778568297719
1102	30-31	-0.12594700978054618
1102	32-33	-0.28501766108358595
1102	34-35	-0.12920859261475925
1102	36-37	-0.4029749063585797
1102	38-39	0.05577092317715682
1102	40-41	-0.04757822019374203
1102	42-43	-0.3030497293194969
1102	44-45	-0.7429227601147872
1102	46-47	-0.5193878038967625
1102	48-49	-0.37187217532861894
1102	50-51	-0.11077420575944785
1102	52-53	-0.0293988312057607
1102	54-55	-0.35167917572834995
1102	56-57	-0.0833304817703251
1102	58-59	-0.400600089608659
1102	60-61	-0.2695962448711171
1102	62-63	-0.19177633849109554
1102	64-65	0.09080518441513163
1102	66-67	0.03912688130795772
1102	68-69	-0.4587661660677327
1102	70-71	-0.5584332663934077
1102	72-73	-0.5728946417281122
1102	74-75	-0.05701160419687312
1102	76-77	-0.6209201014421168
1102	78-79	-0.12139734245100442
1102	80-81	-0.19511896048609856
1102	82-83	-0.05030321559158324
1102	84-85	-0.43430339134559404
1102	86-87	-0.0896265296299319
1102	88-89	-0.2769906147691046
1102	90-91	-0.4648068949396986
1102	92-93	-0.7502217148176129
1102	94-95	-0.34465142817548866
1102	96-97	-0.5080482735194636
1102	98-99	-0.6652230591934867
1102	100-101	-0.10636049411397153
1103	1	0.03910858161566466
1103	2	0.07290523649523806
1103	3	-0.02846642002295141
1103	4	0.19248396034792137
1103	5	0.025209448958634084
1103	6	-0.23407343302798012
1103	7	-0.9855393554133585
1103	8	-0.16600497010350068
1103	9	-0.18272123670504214
1103	10-11	-0.06691673548500177
1103	12-13	-0.04608244715808496
1103	14-15	-0.08694052661240192
1103	16-17	-0.0416314812153189
1103	18-19	-0.10402504864538287
1103	20-21	-0.03797130225661505
1103	22-23	0.02444394017906859
1103	24-25	-0.11495684914373783
