Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1-1_S223_concat	19.523680129916244	41.0	101.0	25.0	3858913.0
1-2_S224_concat	21.462719488990004	42.0	101.0	25.0	4082283.0
1-3_S225_concat	20.164549021502737	40.0	101.0	25.0	5353917.0
1-4_S226_concat	23.330397105850736	38.0	101.0	33.33333333333333	4683207.0
1-7_S239_concat	56.69583162071646	20.0	101.0	41.66666666666667	4062550.0
1-8_S240_concat	50.66527616961797	21.0	101.0	41.66666666666667	3349178.0
1-9_S241_concat	43.02865403944921	27.0	101.0	33.33333333333333	4451307.0
1-ten_S242_concat	46.37514773302367	25.0	101.0	33.33333333333333	5657928.0
1A_S211_concat	28.247944772156828	46.0	101.0	25.0	5320103.0
1B_S212_concat	36.16218080978055	47.0	101.0	25.0	3756680.0
1C_S213_concat	35.716860594623796	47.0	101.0	25.0	5751012.0
1D_S214_concat	31.565916193690242	47.0	101.0	25.0	6265439.0
2-1_S227_concat	64.27419456780918	15.0	101.0	41.66666666666667	3610388.0
2-2_S228_concat	51.61540028495691	21.0	101.0	41.66666666666667	3975399.0
2-3_S229_concat	67.10764739343435	13.0	101.0	41.66666666666667	5258317.0
2-4_S230_concat	51.50951312621335	25.0	101.0	33.33333333333333	7295664.0
2-6_S243_concat	64.73595959667148	16.0	101.0	41.66666666666667	5410239.0
2-7_S244_concat	53.5970078232376	22.0	101.0	41.66666666666667	4488280.0
2-8_S245_concat	51.85007327015387	21.0	101.0	41.66666666666667	4037536.0
2-9_S246_concat	29.273577641581042	35.0	101.0	33.33333333333333	6128176.0
2-ten_S247_concat	53.79502632722159	20.0	101.0	41.66666666666667	4921269.0
2A_S215_concat	36.03929161229329	46.0	101.0	25.0	6851099.0
2B_S216_concat	39.74403041191703	47.0	101.0	25.0	6760854.0
2D_S217_concat	38.06666293581474	48.0	101.0	33.33333333333333	7372772.0
3-1_S231_concat	63.341964624771535	14.0	101.0	41.66666666666667	5135434.0
3-2_S232_concat	60.205276723123646	14.0	101.0	33.33333333333333	4127753.0
3-3_S233_concat	56.54471242291707	18.0	101.0	33.33333333333333	4827307.0
3-4_S234_concat	56.9688379014418	18.0	101.0	41.66666666666667	7763867.0
3-6_S248_concat	57.97777221988245	19.0	101.0	41.66666666666667	4189801.0
3-7_S249_concat	34.434936128349065	36.0	101.0	25.0	4467762.0
3-8_S250_concat	42.75001537900561	29.0	101.0	33.33333333333333	6834293.0
3A_S218_concat	59.35322100948832	20.0	101.0	41.66666666666667	5276220.0
3B_S219_concat	37.80027137249695	32.0	101.0	33.33333333333333	2867781.0
3C_S220_concat	37.36151565580127	38.0	101.0	33.33333333333333	6009807.0
4-1_S235_concat	68.39217062104687	14.0	101.0	41.66666666666667	5351827.0
4-2_S236_concat	68.73227224387425	11.0	101.0	41.66666666666667	4491897.0
4-3_S237_concat	58.18912668225998	16.0	101.0	41.66666666666667	4184092.0
4-4_S238_concat	60.116951051552206	18.0	101.0	41.66666666666667	5236485.0
4-6_S251_concat	48.10461831572766	25.0	101.0	33.33333333333333	5403390.0
4-7_S252_concat	41.119658535828364	26.0	101.0	33.33333333333333	4719129.0
4-8_S253_concat	42.10818767949923	27.0	101.0	33.33333333333333	5407782.0
4-9_S254_concat	37.71170641081988	32.0	101.0	33.33333333333333	6124595.0
4A_S221_concat	58.18257467598646	26.0	101.0	41.66666666666667	3530185.0
4C_S222_concat	36.06745817909619	37.0	101.0	33.33333333333333	5406824.0
