##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s1-9_S28_concat.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	6399666
Sequences flagged as poor quality	0
Sequence length	101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.32451459185526	37.0	37.0	37.0	37.0	37.0
2	36.45832438755397	37.0	37.0	37.0	37.0	37.0
3	36.504168655051686	37.0	37.0	37.0	37.0	37.0
4	36.54816985761445	37.0	37.0	37.0	37.0	37.0
5	36.61318543811505	37.0	37.0	37.0	37.0	37.0
6	36.644058768066955	37.0	37.0	37.0	37.0	37.0
7	36.64424549656185	37.0	37.0	37.0	37.0	37.0
8	36.68328347135616	37.0	37.0	37.0	37.0	37.0
9	36.69517471693054	37.0	37.0	37.0	37.0	37.0
10-11	36.61899831959981	37.0	37.0	37.0	37.0	37.0
12-13	36.59663598069024	37.0	37.0	37.0	37.0	37.0
14-15	36.52518381428031	37.0	37.0	37.0	37.0	37.0
16-17	36.45621630878861	37.0	37.0	37.0	37.0	37.0
18-19	36.45520047452476	37.0	37.0	37.0	37.0	37.0
20-21	36.480547109802295	37.0	37.0	37.0	37.0	37.0
22-23	36.44584068918597	37.0	37.0	37.0	37.0	37.0
24-25	36.431714717611825	37.0	37.0	37.0	37.0	37.0
26-27	36.400188697347645	37.0	37.0	37.0	37.0	37.0
28-29	36.384798597301796	37.0	37.0	37.0	37.0	37.0
30-31	36.361189552704786	37.0	37.0	37.0	37.0	37.0
32-33	36.357593583790155	37.0	37.0	37.0	37.0	37.0
34-35	36.336321848671474	37.0	37.0	37.0	37.0	37.0
36-37	36.33151776983361	37.0	37.0	37.0	37.0	37.0
38-39	36.313520658734376	37.0	37.0	37.0	37.0	37.0
40-41	36.311545477529606	37.0	37.0	37.0	37.0	37.0
42-43	36.294801947476635	37.0	37.0	37.0	37.0	37.0
44-45	36.288380518608314	37.0	37.0	37.0	37.0	37.0
46-47	36.29216227846891	37.0	37.0	37.0	37.0	37.0
48-49	36.26084455032497	37.0	37.0	37.0	37.0	37.0
50-51	36.25139421338551	37.0	37.0	37.0	37.0	37.0
52-53	36.25057878020509	37.0	37.0	37.0	37.0	37.0
54-55	36.25263068416383	37.0	37.0	37.0	37.0	37.0
56-57	36.24470136410244	37.0	37.0	37.0	37.0	37.0
58-59	36.2226591981519	37.0	37.0	37.0	37.0	37.0
60-61	36.20906606688536	37.0	37.0	37.0	37.0	37.0
62-63	36.18910947852591	37.0	37.0	37.0	37.0	37.0
64-65	36.18903478712795	37.0	37.0	37.0	37.0	37.0
66-67	36.18218575781924	37.0	37.0	37.0	37.0	37.0
68-69	36.180471371474695	37.0	37.0	37.0	37.0	37.0
70-71	36.15320869870396	37.0	37.0	37.0	37.0	37.0
72-73	36.14307707620992	37.0	37.0	37.0	37.0	37.0
74-75	36.12186714119143	37.0	37.0	37.0	37.0	37.0
76-77	36.11377687523068	37.0	37.0	37.0	37.0	37.0
78-79	36.0926307716684	37.0	37.0	37.0	37.0	37.0
80-81	36.09377520639359	37.0	37.0	37.0	37.0	37.0
82-83	36.10191594373832	37.0	37.0	37.0	37.0	37.0
84-85	36.07728036119385	37.0	37.0	37.0	37.0	37.0
86-87	36.06668738649798	37.0	37.0	37.0	37.0	37.0
88-89	36.032927343395734	37.0	37.0	37.0	37.0	37.0
90-91	36.01010857441622	37.0	37.0	37.0	37.0	37.0
92-93	35.99222060963807	37.0	37.0	37.0	37.0	37.0
94-95	36.005479660969804	37.0	37.0	37.0	37.0	37.0
96-97	35.972753265561046	37.0	37.0	37.0	37.0	37.0
98-99	35.95758091125381	37.0	37.0	37.0	37.0	37.0
100-101	35.90962372098794	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.23611117833993944
1101	2	0.12086458191609495
1101	3	-0.31477336859479266
1101	4	-0.16817353431729032
1101	5	-0.09482561732901473
1101	6	-0.569373907841559
1101	7	-0.12963637175852227
1101	8	0.05319827782559372
1101	9	-0.06901116221033021
1101	10-11	-0.05095706011084644
1101	12-13	-0.41069147336157386
1101	14-15	-0.6657060174918712
1101	16-17	-0.2839600648912324
1101	18-19	-0.16021977724872727
1101	20-21	-0.5888246915460229
1101	22-23	-0.1315544633067134
1101	24-25	-0.4214508818322713
1101	26-27	-0.30409198323247466
1101	28-29	-0.5072723094735991
1101	30-31	-0.29034689476547015
1101	32-33	-0.2752794544848314
1101	34-35	-0.5551106227590452
1101	36-37	-0.17209250810923038
1101	38-39	-0.4229980876338999
1101	40-41	-0.3936388655919387
1101	42-43	-0.02336828143376124
1101	44-45	-0.5741301129047471
1101	46-47	-0.42220448176543357
1101	48-49	-0.3576172601595502
1101	50-51	-0.028456073399766524
1101	52-53	-0.5626021183200933
1101	54-55	-0.43858581275694064
1101	56-57	-0.36342038173618363
1101	58-59	-0.7313975463430396
1101	60-61	-0.787738212616496
1101	62-63	-0.24121159640252898
1101	64-65	-0.697965202404788
1101	66-67	-1.0052554373873406
1101	68-69	-0.3921820259091575
1101	70-71	-0.3406180059470003
1101	72-73	-0.25335379594483953
1101	74-75	-0.2823223466499769
1101	76-77	-0.08748540241457903
1101	78-79	-0.16058701809278375
1101	80-81	-0.23955359300061474
1101	82-83	-0.2234561183993975
1101	84-85	-0.4375138537613026
1101	86-87	-0.5638770500820556
1101	88-89	-0.2638065728847465
1101	90-91	-0.3188514324353733
1101	92-93	-0.04999041669098858
1101	94-95	-0.3921948657343961
1101	96-97	-0.28311750442994565
1101	98-99	-0.8048350001465323
1101	100-101	-0.2878764726992884
1102	1	-0.06297033651632233
1102	2	0.07647636964590987
1102	3	-0.3639625353651468
1102	4	-0.3070375865254391
1102	5	-0.2999307849983097
1102	6	-0.19766573257079045
1102	7	-0.04523795474727166
1102	8	-0.14748837200035325
1102	9	-0.0847875182689819
1102	10-11	-0.08535947992695014
1102	12-13	-0.11583353435274546
1102	14-15	-0.41840405264517244
1102	16-17	-0.3922670424070489
1102	18-19	-0.4769783637474134
1102	20-21	-0.1422483918159969
1102	22-23	-0.07781415564052452
1102	24-25	-0.32991517440162
1102	26-27	-0.5355541740881407
1102	28-29	-0.05074011775949572
1102	30-31	-0.211981138712801
1102	32-33	-0.3003770409381801
1102	34-35	-0.4353274108119791
1102	36-37	-0.3007028692972611
1102	38-39	-0.7862960323141692
1102	40-41	-0.41726674749087067
1102	42-43	-0.2765124123090814
1102	44-45	-0.2793462016724888
1102	46-47	-0.2710932934918162
1102	48-49	-0.48333764446740446
1102	50-51	-0.26520582479182764
1102	52-53	-0.3536643855666384
1102	54-55	-0.09265787096062184
1102	56-57	-0.25727057845234214
1102	58-59	-0.2836396957817229
1102	60-61	-0.4051358975484902
1102	62-63	-0.4762194042833272
1102	64-65	-0.3992853081559957
1102	66-67	-0.06734834489940766
1102	68-69	-0.3762373591402479
1102	70-71	-0.08049742024501683
1102	72-73	-0.14398703967321325
1102	74-75	-0.14921389378709904
1102	76-77	-0.25008753422164176
1102	78-79	-0.24238650554085694
1102	80-81	-0.37135655276133406
1102	82-83	-0.24777605149949977
1102	84-85	-0.2623168723584399
1102	86-87	-0.3853493009990814
1102	88-89	-0.36217501997972334
1102	90-91	-0.21813820977235565
1102	92-93	-0.2883198292046174
1102	94-95	-0.2790994726252052
1102	96-97	-0.17559661991617048
1102	98-99	-0.5414605681349016
1102	100-101	-0.22849196905191604
1103	1	-0.1987528285676703
1103	2	-0.5031763251593162
1103	3	-0.2901921766467481
1103	4	-0.255243134965653
1103	5	-0.46731089622689836
1103	6	-0.208499202002983
1103	7	-0.588334495161952
1103	8	-0.13725517018149702
1103	9	-0.18978468645757118
