##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s2B_S5_concat.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	6617481
Sequences flagged as poor quality	0
Sequence length	101
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.38950319615576	37.0	37.0	37.0	37.0	37.0
2	36.4845179003914	37.0	37.0	37.0	37.0	37.0
3	36.52702606928528	37.0	37.0	37.0	37.0	37.0
4	36.56627332968542	37.0	37.0	37.0	37.0	37.0
5	36.61922142277401	37.0	37.0	37.0	37.0	37.0
6	36.64944032328918	37.0	37.0	37.0	37.0	37.0
7	36.65475231436252	37.0	37.0	37.0	37.0	37.0
8	36.69558597901528	37.0	37.0	37.0	37.0	37.0
9	36.6982737086816	37.0	37.0	37.0	37.0	37.0
10-11	36.6317642619601	37.0	37.0	37.0	37.0	37.0
12-13	36.59509260396818	37.0	37.0	37.0	37.0	37.0
14-15	36.53142517522906	37.0	37.0	37.0	37.0	37.0
16-17	36.46827743064166	37.0	37.0	37.0	37.0	37.0
18-19	36.46678033529677	37.0	37.0	37.0	37.0	37.0
20-21	36.49874385736808	37.0	37.0	37.0	37.0	37.0
22-23	36.465560611356494	37.0	37.0	37.0	37.0	37.0
24-25	36.449984820507986	37.0	37.0	37.0	37.0	37.0
26-27	36.41354504833486	37.0	37.0	37.0	37.0	37.0
28-29	36.38726473109632	37.0	37.0	37.0	37.0	37.0
30-31	36.324539579335394	37.0	37.0	37.0	37.0	37.0
32-33	36.28415623709384	37.0	37.0	37.0	37.0	37.0
34-35	36.23795111765338	37.0	37.0	37.0	37.0	37.0
36-37	36.218703763562	37.0	37.0	37.0	37.0	37.0
38-39	36.22387400885624	37.0	37.0	37.0	37.0	37.0
40-41	36.230765075109396	37.0	37.0	37.0	37.0	37.0
42-43	36.16748918508417	37.0	37.0	37.0	37.0	37.0
44-45	36.13976685388292	37.0	37.0	37.0	37.0	37.0
46-47	36.13276978052525	37.0	37.0	37.0	37.0	37.0
48-49	36.08745895908126	37.0	37.0	37.0	37.0	37.0
50-51	36.03068433441668	37.0	37.0	37.0	37.0	37.0
52-53	36.02249594672051	37.0	37.0	37.0	37.0	37.0
54-55	36.05475875185739	37.0	37.0	37.0	37.0	37.0
56-57	36.035026470042	37.0	37.0	37.0	37.0	37.0
58-59	35.99181614575093	37.0	37.0	37.0	37.0	37.0
60-61	35.97142054506843	37.0	37.0	37.0	37.0	37.0
62-63	35.91686821616866	37.0	37.0	37.0	37.0	37.0
64-65	35.92638006818606	37.0	37.0	37.0	37.0	37.0
66-67	35.934214242549395	37.0	37.0	37.0	37.0	37.0
68-69	35.91280534088424	37.0	37.0	37.0	37.0	37.0
70-71	35.89797061752047	37.0	37.0	37.0	37.0	37.0
72-73	35.88727478023738	37.0	37.0	37.0	37.0	37.0
74-75	35.8354459196785	37.0	37.0	37.0	37.0	37.0
76-77	35.78394497845933	37.0	37.0	37.0	37.0	37.0
78-79	35.75500813678195	37.0	37.0	37.0	37.0	37.0
80-81	35.767922189727486	37.0	37.0	37.0	37.0	37.0
82-83	35.77659104725801	37.0	37.0	37.0	37.0	37.0
84-85	35.73663543574965	37.0	37.0	37.0	37.0	37.0
86-87	35.712176430880575	37.0	37.0	37.0	37.0	37.0
88-89	35.641479287964714	37.0	37.0	37.0	37.0	37.0
90-91	35.607448589576606	37.0	37.0	37.0	37.0	37.0
92-93	35.57929663870588	37.0	37.0	37.0	37.0	37.0
94-95	35.59151767870584	37.0	37.0	37.0	37.0	37.0
96-97	35.550765464985844	37.0	37.0	37.0	37.0	37.0
98-99	35.53553565170795	37.0	37.0	37.0	37.0	37.0
100-101	35.50016826644459	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.2751557367870632
1101	2	-0.008754732102495666
1101	3	-0.28541786500525035
1101	4	-0.16586177725525886
1101	5	-0.18577813624347073
1101	6	-0.47369512473402153
1101	7	-0.21573355112407455
1101	8	0.08101867213473923
1101	9	0.03589703829211999
1101	10-11	0.014661750554687103
1101	12-13	-0.28204154223890043
1101	14-15	-0.5487652320528369
1101	16-17	-0.19185233952300962
1101	18-19	-0.09922166075153882
1101	20-21	-0.5209881177189857
1101	22-23	0.029210432590986102
1101	24-25	-0.3057570126012621
1101	26-27	-0.24475015168492575
1101	28-29	-0.30044991800243537
1101	30-31	-0.26743534893998344
1101	32-33	-0.13384112748823895
1101	34-35	-0.46757541196028996
1101	36-37	-0.13497602705616174
1101	38-39	-0.5154162059075418
1101	40-41	-0.3781433937799932
1101	42-43	0.01521604652117503
1101	44-45	-0.5980334936879643
1101	46-47	-0.4608839909992497
1101	48-49	-0.41653847385211407
1101	50-51	0.05746002910068171
1101	52-53	-0.5578255401991186
1101	54-55	-0.3468908975336191
1101	56-57	-0.2532841489774924
1101	58-59	-0.511071296864607
1101	60-61	-0.6304673602722204
1101	62-63	-0.13008592807938157
1101	64-65	-0.6291457577726547
1101	66-67	-0.9888956098195507
1101	68-69	-0.2818662836965302
1101	70-71	-0.1690101817573577
1101	72-73	-0.15529294027779628
1101	74-75	-0.058680835941792964
1101	76-77	-0.06858726224583478
1101	78-79	0.06462251412118292
1101	80-81	-0.24425875657681928
1101	82-83	-0.16000123602220384
1101	84-85	-0.4732953986481476
1101	86-87	-0.5013227044226483
1101	88-89	-0.27608842963373803
1101	90-91	-0.2406495916445337
1101	92-93	0.010381480765893514
1101	94-95	-0.37075408318775516
1101	96-97	0.018808635572334254
1101	98-99	-0.5069578467912663
1101	100-101	-0.10572367163933194
1102	1	-0.016758347799168405
1102	2	-0.05032595621930369
1102	3	-0.452580650573978
1102	4	-0.38739704911018435
1102	5	-0.10171188779699492
1102	6	-0.1444832790665842
1102	7	-0.05345708084755074
1102	8	-0.07927117715453136
1102	9	-0.031712436645669584
1102	10-11	-0.05979513065202724
1102	12-13	-0.13439248076713994
1102	14-15	-0.4283899451888402
1102	16-17	-0.6215419396479618
1102	18-19	-0.5522804456388855
1102	20-21	-0.21075708399598625
1102	22-23	-0.1788855413692616
1102	24-25	-0.330434020423958
1102	26-27	-0.47625564353345595
1102	28-29	-0.05532212742748044
1102	30-31	-0.17336712889017747
1102	32-33	-0.23064899656691296
1102	34-35	-0.4375570539518847
1102	36-37	-0.32306441066537417
1102	38-39	-0.559973583104437
1102	40-41	-0.289660024436472
1102	42-43	-0.22359746447529005
1102	44-45	-0.284390449146251
1102	46-47	-0.33366730492762997
1102	48-49	-0.36789007337164037
1102	50-51	-0.1557091226657974
1102	52-53	-0.6217756421153524
1102	54-55	-0.09225650337472047
1102	56-57	-0.26644304583216893
1102	58-59	-0.26645432103810407
1102	60-61	-0.3643491812098745
1102	62-63	-0.365135586095235
1102	64-65	-0.4351136015444368
1102	66-67	-0.2709239198122333
1102	68-69	-0.3737206871191816
1102	70-71	-0.2706275615587401
1102	72-73	-0.10796094437375103
1102	74-75	-0.28875342913223534
1102	76-77	-0.19317757530168933
1102	78-79	-0.16222471622665324
1102	80-81	-0.32223942285001783
1102	82-83	-0.2789436242281127
1102	84-85	-0.1846271405393054
1102	86-87	-0.363501838852315
1102	88-89	-0.4508653799388114
1102	90-91	-0.15296172884752224
1102	92-93	-0.2851966141418103
1102	94-95	-0.15415897563882908
1102	96-97	-0.19646856563483084
1102	98-99	-0.5415746102252541
1102	100-101	0.013291659453798843
1103	1	-0.3050720171084862
1103	2	-0.3770006158684751
1103	3	-0.36593201582731183
1103	4	-0.10743806584773807
1103	5	-0.45417578789758295
1103	6	-0.15680694026975317
1103	7	-0.3438042785216453
1103	8	0.037114814222725556
1103	9	-0.14963178474494043
