##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s2D_S7_concat.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5610361
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.367094381270654	37.0	37.0	37.0	37.0	37.0
2	36.48001830898226	37.0	37.0	37.0	37.0	37.0
3	36.52505854792588	37.0	37.0	37.0	37.0	37.0
4	36.56534419086401	37.0	37.0	37.0	37.0	37.0
5	36.63061735243062	37.0	37.0	37.0	37.0	37.0
6	36.657185161525256	37.0	37.0	37.0	37.0	37.0
7	36.65842198033246	37.0	37.0	37.0	37.0	37.0
8	36.69458863698789	37.0	37.0	37.0	37.0	37.0
9	36.70508421828827	37.0	37.0	37.0	37.0	37.0
10-11	36.63129101674562	37.0	37.0	37.0	37.0	37.0
12-13	36.60845549867469	37.0	37.0	37.0	37.0	37.0
14-15	36.54163430838051	37.0	37.0	37.0	37.0	37.0
16-17	36.47347737516356	37.0	37.0	37.0	37.0	37.0
18-19	36.47318969314095	37.0	37.0	37.0	37.0	37.0
20-21	36.50117345390074	37.0	37.0	37.0	37.0	37.0
22-23	36.4636339800594	37.0	37.0	37.0	37.0	37.0
24-25	36.450292770821704	37.0	37.0	37.0	37.0	37.0
26-27	36.42274258287479	37.0	37.0	37.0	37.0	37.0
28-29	36.40557238651844	37.0	37.0	37.0	37.0	37.0
30-31	36.38071569726084	37.0	37.0	37.0	37.0	37.0
32-33	36.371484918706656	37.0	37.0	37.0	37.0	37.0
34-35	36.34944489311829	37.0	37.0	37.0	37.0	37.0
36-37	36.33927362249952	37.0	37.0	37.0	37.0	37.0
38-39	36.3290229452258	37.0	37.0	37.0	37.0	37.0
40-41	36.32874631418549	37.0	37.0	37.0	37.0	37.0
42-43	36.31121705002583	37.0	37.0	37.0	37.0	37.0
44-45	36.30546287484887	37.0	37.0	37.0	37.0	37.0
46-47	36.31033716012214	37.0	37.0	37.0	37.0	37.0
48-49	36.27611877381865	37.0	37.0	37.0	37.0	37.0
50-51	36.26585294600473	37.0	37.0	37.0	37.0	37.0
52-53	36.26694824094207	37.0	37.0	37.0	37.0	37.0
54-55	36.2716559593937	37.0	37.0	37.0	37.0	37.0
56-57	36.262501735628064	37.0	37.0	37.0	37.0	37.0
58-59	36.241825526022296	37.0	37.0	37.0	37.0	37.0
60-61	36.22473651873739	37.0	37.0	37.0	37.0	37.0
62-63	36.20565173970088	37.0	37.0	37.0	37.0	37.0
64-65	36.20432544358553	37.0	37.0	37.0	37.0	37.0
66-67	36.198057308611695	37.0	37.0	37.0	37.0	37.0
68-69	36.19968518959831	37.0	37.0	37.0	37.0	37.0
70-71	36.18659797471143	37.0	37.0	37.0	37.0	37.0
72-73	36.16968818940528	37.0	37.0	37.0	37.0	37.0
74-75	36.150262879697046	37.0	37.0	37.0	37.0	37.0
76-77	36.136905361348404	37.0	37.0	37.0	37.0	37.0
78-79	36.11919268653122	37.0	37.0	37.0	37.0	37.0
80-81	36.12050374298552	37.0	37.0	37.0	37.0	37.0
82-83	36.13236545740996	37.0	37.0	37.0	37.0	37.0
84-85	36.10911062585812	37.0	37.0	37.0	37.0	37.0
86-87	36.101433223281	37.0	37.0	37.0	37.0	37.0
88-89	36.06335207306624	37.0	37.0	37.0	37.0	37.0
90-91	36.042905260463634	37.0	37.0	37.0	37.0	37.0
92-93	36.02558498463824	37.0	37.0	37.0	37.0	37.0
94-95	36.04373657951779	37.0	37.0	37.0	37.0	37.0
96-97	36.00986059542336	37.0	37.0	37.0	37.0	37.0
98-99	35.993835334303796	37.0	37.0	37.0	37.0	37.0
100-101	35.94750132834589	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.16329526583578513
1101	2	0.01798904881580654
1101	3	-0.12360086010841798
1101	4	-0.1260501506935512
1101	5	-0.029735391338739703
1101	6	-0.47981934453992636
1101	7	-0.1858662711548149
1101	8	0.04720970809656677
1101	9	-0.03477576372070246
1101	10-11	-0.043400486477111144
1101	12-13	-0.3589664719922041
1101	14-15	-0.5588807700784386
1101	16-17	-0.1853791313855524
1101	18-19	-0.024634370179072107
1101	20-21	-0.6073473818879691
1101	22-23	-0.05007495695777919
1101	24-25	-0.18924727205191516
1101	26-27	-0.4332481195655902
1101	28-29	-0.30614404106310644
1101	30-31	-0.24837305995962566
1101	32-33	-0.09923372458506918
1101	34-35	-0.4031002569200055
1101	36-37	-0.22920881442768604
1101	38-39	-0.5292827354258236
1101	40-41	-0.4413728451924186
1101	42-43	-0.16962658574710332
1101	44-45	-0.6668519344309516
1101	46-47	-0.4987560281370307
1101	48-49	-0.42335716278314806
1101	50-51	-0.03156764278934787
1101	52-53	-0.6082365336622004
1101	54-55	-0.49039193261834413
1101	56-57	-0.5017818790858897
1101	58-59	-0.6445550964304019
1101	60-61	-0.7579115751016587
1101	62-63	-0.37375398663238
1101	64-65	-0.5658173002410578
1101	66-67	-1.2363242331823088
1101	68-69	-0.4059846395463893
1101	70-71	-0.33373020713566603
1101	72-73	-0.3211545902536912
1101	74-75	-0.20996760921805446
1101	76-77	-0.14969021609655186
1101	78-79	-0.16477114812870042
1101	80-81	-0.2616730810204473
1101	82-83	-0.1911645929026875
1101	84-85	-0.5276394909778261
1101	86-87	-0.5971319751083328
1101	88-89	-0.4383720390459658
1101	90-91	-0.39557105611929444
1101	92-93	-0.1221835279133785
1101	94-95	-0.43955138309588193
1101	96-97	-0.1797460187569584
1101	98-99	-0.6595747009678448
1101	100-101	-0.2543343890733709
1102	1	-0.10533895803743576
1102	2	-0.03170834461103311
1102	3	-0.5334961166677701
1102	4	-0.28835523518807804
1102	5	-0.31445979670246516
1102	6	-0.1908320744594647
1102	7	0.030453422699608268
1102	8	-0.06340798730069253
1102	9	0.042400492950442015
1102	10-11	-0.12822204464002596
1102	12-13	-0.07509408370711412
1102	14-15	-0.3772853271808785
1102	16-17	-0.5084622164841193
1102	18-19	-0.6428130609200338
1102	20-21	-0.062469335517732816
1102	22-23	-0.0763046686678095
1102	24-25	-0.3579114488564201
1102	26-27	-0.532616039624827
1102	28-29	-0.03146071410162676
1102	30-31	-0.24304015567150117
1102	32-33	-0.31400934979389916
1102	34-35	-0.3519285867503683
1102	36-37	-0.2732604752588017
1102	38-39	-0.7665903367522446
1102	40-41	-0.21519736117321742
1102	42-43	-0.24037642871531517
1102	44-45	-0.3186706311258405
1102	46-47	-0.22969589036905091
1102	48-49	-0.30595081517870426
1102	50-51	-0.1713163548816894
1102	52-53	-0.639865544612114
1102	54-55	-0.18797064769382388
1102	56-57	-0.30704239743590733
1102	58-59	-0.2962968985067391
1102	60-61	-0.5315872428650223
1102	62-63	-0.2985065805132905
1102	64-65	-0.3819863547584177
1102	66-67	-0.20960381645670623
1102	68-69	-0.4805965070109579
1102	70-71	-0.08029202948253555
1102	72-73	-0.1793118122642099
1102	74-75	-0.2703783685354182
1102	76-77	-0.13023155421115007
1102	78-79	-0.09584176209362738
1102	80-81	-0.22978590179298664
1102	82-83	-0.09112191484531706
1102	84-85	-0.1432624392966133
1102	86-87	-0.3891956475582532
1102	88-89	-0.3050398586172207
1102	90-91	-0.14511601908944272
1102	92-93	-0.18142913303078956
1102	94-95	-0.12406758624343439
1102	96-97	-0.240536927774869
1102	98-99	-0.5529725104902994
1102	100-101	-0.11945968406769225
1103	1	-0.3068510103850315
1103	2	-0.5587915793859324
1103	3	-0.1775808677900912
1103	4	-0.1786733942576504
1103	5	-0.3210206759349816
1103	6	-0.1107096711110529
1103	7	-0.39742919358482
1103	8	-0.04787351840822396
1103	9	-0.21002279954027614
1103	10-11	-0.06120863903326779
1103	12-13	-0.3732711054414253
1103	14-15	-0.7871594504258113
1103	16-17	-0.5244641635837652
1103	18-19	-0.1623852094274696
1103	20-21	-0.08073210931306107
1103	22-23	-0.12362578822520476
1103	24-25	-0.264602549714688
1103	26-27	-0.30274312398006487
1103	28-29	-0.35918316774596803
1103	30-31	-0.4984597282557388
1103	32-33	-0.49341298205599315
1103	34-35	-0.2858062531190768
1103	36-37	-0.3847173016855763
1103	38-39	-0.4260551831380326
1103	40-41	-0.4260119808538647
1103	42-43	-0.44879576724921577
1103	44-45	-0.572689636511484
1103	46-47	-0.35284465176967217
1103	48-49	-0.5439258564487517
1103	50-51	-0.25846898309272603
1103	52-53	-0.42260613715786377
1103	54-55	-0.15075259743276348
1103	56-57	-0.1157880992507927
1103	58-59	-0.5109568532404083
1103	60-61	-0.8860023286544276
1103	62-63	-0.27085564916723115
1103	64-65	-0.5708833427297222
1103	66-67	-0.09707322184435441
1103	68-69	-0.6178187900973313
1103	70-71	-0.008093101632290711
1103	72-73	-0.08244453872658397
1103	74-75	-0.11351826590185965
1103	76-77	-0.022005369455790458
1103	78-79	-0.2200748737431084
1103	80-81	-0.4920548704526482
1103	82-83	-0.1703267910600772
1103	84-85	-0.20639191644308852
1103	86-87	-0.1374732611411389
1103	88-89	-0.40097248697765053
1103	90-91	-0.20554364649125034
1103	92-93	-0.16164191964908525
1103	94-95	-0.14893263381292599
1103	96-97	-0.08692427361911115
1103	98-99	-0.0627637201570721
1103	100-101	-0.04539022091442746
1104	1	-0.16920334968512662
1104	2	-0.08225168483235734
1104	3	-0.29074184719578255
1104	4	-0.028880741031585444
1104	5	-0.0015712037827384506
1104	6	-0.16411008432707064
1104	7	-0.321943393883771
1104	8	0.008747911200998715
1104	9	-0.19313708898356907
1104	10-11	-0.09201176302516245
1104	12-13	-0.09576933856126146
1104	14-15	-0.01939183887841267
1104	16-17	-0.321397918505788
1104	18-19	-0.02203797745764291
1104	20-21	0.08704824593451121
1104	22-23	-0.15963258979039807
1104	24-25	-0.48735750375117703
1104	26-27	-0.45340505762416683
1104	28-29	6.85073475658271E-4
1104	30-31	-0.15119112799421686
1104	32-33	-0.10429517855277481
1104	34-35	-0.2980876093935265
1104	36-37	-5.344499040447204E-4
1104	38-39	-0.1906396400101471
1104	40-41	-0.10605029814367839
1104	42-43	0.10811993717573642
1104	44-45	-0.2164191819492416
1104	46-47	-0.053162382381387374
1104	48-49	0.06837323019117036
1104	50-51	-0.09102415038611156
1104	52-53	-0.2502223510845667
1104	54-55	-0.08947725470725487
1104	56-57	-0.14727088725226167
1104	58-59	-0.2330780082752213
1104	60-61	-0.15969945461144164
1104	62-63	-0.2199972039725253
1104	64-65	-0.11975666419355946
1104	66-67	-0.12322889691570538
1104	68-69	-0.23147381874910877
1104	70-71	0.06955912709927503
1104	72-73	-0.018289242888052115
1104	74-75	-0.17727401287969258
1104	76-77	-0.012762492999506492
1104	78-79	0.04175675919892541
1104	80-81	-0.2159358258238413
1104	82-83	-0.12836615739651336
1104	84-85	0.04934213300000323
1104	86-87	-0.19326111731832185
1104	88-89	-0.23756315932788397
1104	90-91	0.019145948985531902
1104	92-93	-0.06326547936471627
1104	94-95	0.1255749791627565
1104	96-97	-0.050722007087387055
1104	98-99	0.04512647716711626
1104	100-101	-0.20437742303813877
1105	1	0.07877669492651052
1105	2	-0.050997604227326576
1105	3	-0.27881977266537916
1105	4	-0.10174760195741328
1105	5	-0.29804895967803446
1105	6	0.03167309669348839
1105	7	0.02550503174055052
1105	8	-0.006317011784013005
1105	9	-7.990565819966378E-4
1105	10-11	0.05439184883573489
1105	12-13	-0.027228589751224774
1105	14-15	-0.14857507391948133
1105	16-17	-0.4686574512463224
1105	18-19	-0.242142906023588
1105	20-21	-0.05589680161963173
1105	22-23	-0.1272641127213916
1105	24-25	-0.09598343323474268
1105	26-27	-0.1576982565859737
1105	28-29	-0.0202219343430059
1105	30-31	0.018836615648091026
1105	32-33	-0.10677618641079079
1105	34-35	0.0661447360085532
1105	36-37	-0.05056781024762813
1105	38-39	-0.035834230089335506
1105	40-41	0.08360906860008299
1105	42-43	-0.16157384527904384
1105	44-45	-0.05677607501905868
1105	46-47	-0.11522335399916273
1105	48-49	-0.19937080564123733
1105	50-51	-0.26179691188916365
1105	52-53	-0.6569895817467497
1105	54-55	-0.32823624992590794
1105	56-57	-0.36516669923229017
1105	58-59	-0.729902067790789
1105	60-61	-0.23151899751212568
1105	62-63	-0.8473505392019476
1105	64-65	-0.051792789957580965
1105	66-67	-0.21959735967465122
1105	68-69	-0.7082906159056961
1105	70-71	-0.10762543877800823
1105	72-73	-0.19915149597231618
1105	74-75	-0.11119638434398382
1105	76-77	-0.3502001324108548
1105	78-79	-0.24616089352079484
1105	80-81	-0.410810317592869
1105	82-83	-0.2809615563522385
1105	84-85	-0.7901123314725709
1105	86-87	-0.20250542057011245
1105	88-89	-0.24532547627082124
1105	90-91	-0.10855351098831534
1105	92-93	-0.20992488367240014
1105	94-95	-0.09134327636854067
1105	96-97	0.015998680082020655
1105	98-99	-0.14046793618274478
1105	100-101	-0.13363024077975183
1106	1	-0.02825987464004953
1106	2	0.08931723515286194
1106	3	0.03459296178662896
1106	4	0.0065010801532565665
1106	5	-0.32408733013156876
1106	6	0.060097553000822757
1106	7	-0.19424489406672052
1106	8	-0.13488675473749367
1106	9	-0.09956417968233922
1106	10-11	-0.309102467822413
1106	12-13	-0.11141797011976706
1106	14-15	-0.008701219437348584
1106	16-17	-0.1024927922527965
1106	18-19	0.0057066966728598345
1106	20-21	-0.04280133792401131
1106	22-23	0.062483941879690974
1106	24-25	-0.02081338588250503
1106	26-27	-0.04723988258072609
1106	28-29	-0.12193033367509543
1106	30-31	-0.362074220781075
1106	32-33	-0.54571408024308
1106	34-35	-0.14718290027663272
1106	36-37	-0.06713215649943294
1106	38-39	-0.23791496369751286
1106	40-41	-0.25765364994070694
1106	42-43	-0.02932128250127164
1106	44-45	-0.4458880387009714
1106	46-47	-0.16471735362492268
1106	48-49	-0.2095313360626463
1106	50-51	-0.1652116844065148
1106	52-53	-0.03617878929689056
1106	54-55	-0.011091233829965574
1106	56-57	-0.025488546696806225
1106	58-59	-0.010798721192145422
1106	60-61	-0.2069340894455607
1106	62-63	-0.14095232507160205
1106	64-65	-0.03034185429489611
1106	66-67	0.008455000726812045
1106	68-69	0.04900559841772889
1106	70-71	-0.007419963652537831
1106	72-73	0.0035823720254128943
1106	74-75	0.06478638625686273
1106	76-77	-0.20767023780624783
1106	78-79	0.03672972673042807
1106	80-81	-0.013357780082337456
1106	82-83	0.06811910932042764
1106	84-85	-0.2981638814152987
1106	86-87	0.04114827041389191
1106	88-89	0.0073195392292007
1106	90-91	0.030090949109109033
1106	92-93	-0.018786534791374265
1106	94-95	0.14633804887451163
1106	96-97	0.08980644165460205
1106	98-99	0.0934024452453528
1106	100-101	0.05975713108135494
1107	1	-4.715761995228718E-4
1107	2	-0.025094721351202054
1107	3	0.08090930142292763
1107	4	0.09340744130389567
1107	5	0.0021321618699516875
1107	6	0.053669745855515316
1107	7	-0.04255045184683581
1107	8	0.05515234198550445
1107	9	-0.08947297406656674
1107	10-11	0.02204280182334628
1107	12-13	-0.05573840789708839
1107	14-15	-0.032032202431203416
1107	16-17	-0.04784318451461189
1107	18-19	-0.2627940978462533
1107	20-21	-0.04360007199223048
1107	22-23	-0.021183527033507232
1107	24-25	-0.06054084685954564
