##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s3A_S8_concat.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4672657
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.32457700190705	37.0	37.0	37.0	37.0	37.0
2	36.45006363617102	37.0	37.0	37.0	37.0	37.0
3	36.501217401576874	37.0	37.0	37.0	37.0	37.0
4	36.541290533415996	37.0	37.0	37.0	37.0	37.0
5	36.60429408792471	37.0	37.0	37.0	37.0	37.0
6	36.635415353620004	37.0	37.0	37.0	37.0	37.0
7	36.63982269616623	37.0	37.0	37.0	37.0	37.0
8	36.68285795426456	37.0	37.0	37.0	37.0	37.0
9	36.6853225049474	37.0	37.0	37.0	37.0	37.0
10-11	36.61469448752605	37.0	37.0	37.0	37.0	37.0
12-13	36.585386430033275	37.0	37.0	37.0	37.0	37.0
14-15	36.512840767041105	37.0	37.0	37.0	37.0	37.0
16-17	36.44438121608327	37.0	37.0	37.0	37.0	37.0
18-19	36.44556683702656	37.0	37.0	37.0	37.0	37.0
20-21	36.469316279795414	37.0	37.0	37.0	37.0	37.0
22-23	36.43186210757605	37.0	37.0	37.0	37.0	37.0
24-25	36.41444043506724	37.0	37.0	37.0	37.0	37.0
26-27	36.381716119972	37.0	37.0	37.0	37.0	37.0
28-29	36.36708900310894	37.0	37.0	37.0	37.0	37.0
30-31	36.343250638769334	37.0	37.0	37.0	37.0	37.0
32-33	36.33460427332886	37.0	37.0	37.0	37.0	37.0
34-35	36.315215090686095	37.0	37.0	37.0	37.0	37.0
36-37	36.30556062642732	37.0	37.0	37.0	37.0	37.0
38-39	36.297693047018	37.0	37.0	37.0	37.0	37.0
40-41	36.29285265321208	37.0	37.0	37.0	37.0	37.0
42-43	36.27518283494808	37.0	37.0	37.0	37.0	37.0
44-45	36.27014469497761	37.0	37.0	37.0	37.0	37.0
46-47	36.27573904953862	37.0	37.0	37.0	37.0	37.0
48-49	36.240525679500976	37.0	37.0	37.0	37.0	37.0
50-51	36.23049551893067	37.0	37.0	37.0	37.0	37.0
52-53	36.229550339346545	37.0	37.0	37.0	37.0	37.0
54-55	36.23321987896822	37.0	37.0	37.0	37.0	37.0
56-57	36.219082419274514	37.0	37.0	37.0	37.0	37.0
58-59	36.199609237314014	37.0	37.0	37.0	37.0	37.0
60-61	36.18443232619043	37.0	37.0	37.0	37.0	37.0
62-63	36.159417757391566	37.0	37.0	37.0	37.0	37.0
64-65	36.15985958310229	37.0	37.0	37.0	37.0	37.0
66-67	36.15202036015056	37.0	37.0	37.0	37.0	37.0
68-69	36.16241647953188	37.0	37.0	37.0	37.0	37.0
70-71	36.13933721221139	37.0	37.0	37.0	37.0	37.0
72-73	36.12493074068993	37.0	37.0	37.0	37.0	37.0
74-75	36.09929190180234	37.0	37.0	37.0	37.0	37.0
76-77	36.079605457879744	37.0	37.0	37.0	37.0	37.0
78-79	36.06406611912666	37.0	37.0	37.0	37.0	37.0
80-81	36.06283555587324	37.0	37.0	37.0	37.0	37.0
82-83	36.07150257337528	37.0	37.0	37.0	37.0	37.0
84-85	36.04567957802167	37.0	37.0	37.0	37.0	37.0
86-87	36.0307595871043	37.0	37.0	37.0	37.0	37.0
88-89	35.99912105682056	37.0	37.0	37.0	37.0	37.0
90-91	35.98238721566766	37.0	37.0	37.0	37.0	37.0
92-93	35.96074760034816	37.0	37.0	37.0	37.0	37.0
94-95	35.97316280651458	37.0	37.0	37.0	37.0	37.0
96-97	35.93995386350849	37.0	37.0	37.0	37.0	37.0
98-99	35.92217971488171	37.0	37.0	37.0	37.0	37.0
100-101	35.87778238377009	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.14308883739762024
1101	2	0.00627443634079583
1101	3	-0.22176382601863054
1101	4	-0.30904845463062003
1101	5	-0.08079594744064167
1101	6	-0.5518656211468311
1101	7	-0.3240746776620753
1101	8	0.04112621068055233
1101	9	0.0576842396522963
1101	10-11	-0.06446820335768422
1101	12-13	-0.4254061961475273
1101	14-15	-0.680312348858088
1101	16-17	-0.13073968815200487
1101	18-19	-0.02704245723229093
1101	20-21	-0.5528748481402914
1101	22-23	-0.034545757436809765
1101	24-25	-0.39046462708977714
1101	26-27	-0.24586623123526152
1101	28-29	-0.35185091142994906
1101	30-31	-0.36072228187777
1101	32-33	-0.15060443790357425
1101	34-35	-0.578668541383891
1101	36-37	-0.07492221968817603
1101	38-39	-0.6492050731556915
1101	40-41	-0.25735255633819065
1101	42-43	-0.05268611376483534
1101	44-45	-0.5602663581823819
1101	46-47	-0.35048138003060103
1101	48-49	-0.518664071409269
1101	50-51	-0.10623377282999513
1101	52-53	-0.7510970169501476
1101	54-55	-0.5196097752155495
1101	56-57	-0.35259435651833826
1101	58-59	-0.5137422638272398
1101	60-61	-0.7472487348485402
1101	62-63	-0.13681709399040898
1101	64-65	-0.6324798819075355
1101	66-67	-1.0584280654218148
1101	68-69	-0.31916675247531856
1101	70-71	-0.27571905462633595
1101	72-73	-0.24484384670118686
1101	74-75	-0.078139098074125
1101	76-77	-0.04765066898269765
1101	78-79	0.082224040066464
1101	80-81	-0.31206437221138117
1101	82-83	-0.26175092271279965
1101	84-85	-0.43395306773208375
1101	86-87	-0.600035773768667
1101	88-89	-0.42180775034037765
1101	90-91	-0.4483668012391959
1101	92-93	-0.10729890627442984
1101	94-95	-0.5130476217238922
1101	96-97	-0.22609823947957608
1101	98-99	-0.7517837355137118
1101	100-101	-0.14213506002131737
1102	1	-0.005079936388469264
1102	2	0.18534625004253513
1102	3	-0.41573107362726347
1102	4	-0.36026732532373273
1102	5	-0.1851405535398456
1102	6	-0.002562267002950591
1102	7	0.11353087474036982
1102	8	0.037927626813107906
1102	9	0.05021078348595864
1102	10-11	-0.05809958668248072
1102	12-13	-0.0559567817038058
1102	14-15	-0.2537988831401137
1102	16-17	-0.47643548612816744
1102	18-19	-0.4413425582857329
1102	20-21	-0.13661813431534142
1102	22-23	0.015473103566250757
1102	24-25	-0.12810028788242533
1102	26-27	-0.3131325278340569
1102	28-29	0.02331304086728636
1102	30-31	0.03847776934109959
1102	32-33	-0.10444689142591557
1102	34-35	-0.2529398837335961
1102	36-37	-0.1611459873206158
1102	38-39	-0.5291106643183596
1102	40-41	-0.13910315158452136
1102	42-43	-0.020426011880815054
1102	44-45	-0.09527082252989771
1102	46-47	-0.026161673916178074
1102	48-49	-0.20153014790533774
1102	50-51	0.09994510907589671
1102	52-53	-0.2980924937701488
1102	54-55	0.13512355788706287
1102	56-57	0.023801184671327746
1102	58-59	-0.20761996493051527
1102	60-61	0.01639218279982657
1102	62-63	-0.09495518421868354
1102	64-65	-0.12712396266724113
1102	66-67	0.1184505077865623
1102	68-69	-0.17585773656978176
1102	70-71	0.1047229503848115
1102	72-73	0.06552520602656386
1102	74-75	-0.02576737019860076
1102	76-77	0.1345448902027897
1102	78-79	0.15331098756019657
1102	80-81	0.06350491861490326
1102	82-83	0.09102034696147143
1102	84-85	0.005221495177138991
1102	86-87	-0.13047423152693227
1102	88-89	-0.18877313607384139
1102	90-91	0.002251545498715757
1102	92-93	-0.047654444833938214
1102	94-95	0.034767616582279004
1102	96-97	0.08266330207000294
1102	98-99	-0.43268887332015993
1102	100-101	0.23189636690872817
1103	1	-0.12807579644619693
1103	2	-0.40988650955343076
1103	3	-0.29915903772147345
1103	4	-0.2386273169493549
1103	5	-0.5107894269649336
1103	6	-0.0820139619692597
1103	7	-0.3267758910375562
1103	8	-0.10066312834166524
1103	9	-0.1267087891086689
1103	10-11	0.06521573075715992
1103	12-13	-0.4943810462474616
1103	14-15	-0.5940396335051972
1103	16-17	-0.4932050481247856
1103	18-19	-0.30069158476428726
1103	20-21	-0.1040096412569298
1103	22-23	0.029540064781002684
1103	24-25	-0.19788113665077844
1103	26-27	-0.26691957156157287
1103	28-29	-0.2858722907940603
1103	30-31	-0.38673951152608765
1103	32-33	-0.665227667807045
1103	34-35	-0.352010249748524
1103	36-37	-0.2956522826249426
1103	38-39	-0.349440377279187
1103	40-41	-0.5051115857795523
1103	42-43	-0.35070463333335056
1103	44-45	-0.5601875100385953
1103	46-47	-0.40925912748974724
1103	48-49	-0.5398883970361581
1103	50-51	-0.25388666735421594
1103	52-53	-0.3064399975162928
1103	54-55	0.003476341132419236
1103	56-57	0.04886406836153867
1103	58-59	-0.44908900075439107
1103	60-61	-0.8663036734001395
1103	62-63	-0.12478522162162875
1103	64-65	-0.6121135835532527
1103	66-67	-0.07289492793899655
1103	68-69	-0.5599920179012088
1103	70-71	-0.06348111396266631
1103	72-73	-0.29505505341444405
1103	74-75	-0.14739567524961927
1103	76-77	-0.07757221064994724
1103	78-79	-0.12135300785903524
1103	80-81	-0.4251556446963889
1103	82-83	-0.10356604242022627
1103	84-85	-0.1382720855499997
1103	86-87	-0.28737852044817913
1103	88-89	-0.46597068427094257
1103	90-91	-0.33472137691214954
1103	92-93	-0.32410428070566155
1103	94-95	-0.22899408294832568
1103	96-97	-0.18870295690199868
1103	98-99	-0.0945521204202322
1103	100-101	-0.14134082001111636
1104	1	-0.08449102910045525
1104	2	-0.06193475386770331
1104	3	-0.20337629310751026
1104	4	-0.03071642588230361
1104	5	-0.14250874897768284
1104	6	-0.17210507179793666
1104	7	-0.13956870029069535
1104	8	-0.035447296755585
1104	9	-0.2502233245688643
1104	10-11	-0.15412254762581057
1104	12-13	-0.02914783494351525
1104	14-15	-0.102060818935648
1104	16-17	-0.27132933093290745
1104	18-19	-0.11817424403937338
1104	20-21	0.02052985192375445
1104	22-23	-0.19670063539880545
1104	24-25	-0.6873185017072956
1104	26-27	-0.5835272288870073
1104	28-29	-0.05546179522700356
1104	30-31	-0.20764909465795967
1104	32-33	-0.2598675845626488
1104	34-35	-0.46118206162868347
1104	36-37	-0.0762248774836678
1104	38-39	-0.3048302065791617
1104	40-41	-0.21163945237461945
1104	42-43	-0.15300544059896737
1104	44-45	-0.40551381424158706
1104	46-47	-0.19173636117341886
1104	48-49	-0.040117675621893056
1104	50-51	-0.11351202302568453
1104	52-53	-0.28468192764538003
1104	54-55	-0.13268216189455728
1104	56-57	-0.06646239181328895
1104	58-59	-0.27686357244461135
1104	60-61	-0.26771989758958625
1104	62-63	-0.28385420350439006
1104	64-65	-0.073476911011646
1104	66-67	-0.09263828743846858
1104	68-69	-0.18099696666446619
1104	70-71	0.04114211380745303
1104	72-73	0.05274741495112778
1104	74-75	-0.07604034691778594
1104	76-77	-0.14981568712828164
1104	78-79	-0.04333278054123468
1104	80-81	-0.15236537555585983
1104	82-83	-0.23679673143691815
1104	84-85	0.051298746827079356
1104	86-87	-0.18873436125888077
1104	88-89	-0.20566440016602883
1104	90-91	0.02571035310506886
1104	92-93	-0.14427188357465326
1104	94-95	0.08433905727702751
1104	96-97	-0.03118790005027705
1104	98-99	0.01845971784143785
1104	100-101	-0.16716752639860744
1105	1	-0.09979491561873743
1105	2	-0.07913000239728518
1105	3	-0.36838609589842264
1105	4	-0.06431116697329742
1105	5	-0.31296198389868124
1105	6	0.0022923448783416234
1105	7	0.06368351975313402
1105	8	0.027267499692342767
1105	9	-0.09415136055087459
1105	10-11	-0.025481099119296857
1105	12-13	-0.021974498534795828
1105	14-15	-0.2329165449188082
1105	16-17	-0.5679098868088133
1105	18-19	-0.2516248264404837
1105	20-21	-0.16869861076797577
1105	22-23	-0.15363755155611614
1105	24-25	-0.13787207107645827
1105	26-27	-0.2210200209525155
1105	28-29	0.02146128169607664
1105	30-31	-0.04171090990418236
1105	32-33	-0.11793470484866475
1105	34-35	0.03608468961108002
1105	36-37	-0.010540412024084844
1105	38-39	-0.14363195954882713
1105	40-41	0.03830288414943084
1105	42-43	-0.24161113775038956
1105	44-45	-0.2537839099629551
1105	46-47	-0.16062691589606004
1105	48-49	-0.15915238903441065
1105	50-51	-0.3293752452607208
1105	52-53	-0.7928124777549357
1105	54-55	-0.4300008102626762
1105	56-57	-0.5644326374596886
1105	58-59	-0.790085807480942
1105	60-61	-0.27691145565670894
1105	62-63	-0.9750662897689537
1105	64-65	-0.1278996996173447
1105	66-67	-0.5202187279874195
1105	68-69	-0.5627753082628928
1105	70-71	-0.20106755059111947
1105	72-73	-0.3870922805857191
1105	74-75	-0.15908151863961706
1105	76-77	-0.3786301260626601
1105	78-79	-0.30476168147538374
1105	80-81	-0.35516782048724593
1105	82-83	-0.28910327047508844
1105	84-85	-0.7127480759153926
1105	86-87	-0.192695842056942
1105	88-89	-0.2867161819674351
