##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s3C_S10_concat.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5446730
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.34470590611247	37.0	37.0	37.0	37.0	37.0
2	36.4719960416617	37.0	37.0	37.0	37.0	37.0
3	36.51048243625074	37.0	37.0	37.0	37.0	37.0
4	36.555672853253235	37.0	37.0	37.0	37.0	37.0
5	36.62206883763285	37.0	37.0	37.0	37.0	37.0
6	36.64590479058077	37.0	37.0	37.0	37.0	37.0
7	36.64542431881147	37.0	37.0	37.0	37.0	37.0
8	36.689039478733115	37.0	37.0	37.0	37.0	37.0
9	36.69233172931282	37.0	37.0	37.0	37.0	37.0
10-11	36.61995114499892	37.0	37.0	37.0	37.0	37.0
12-13	36.59805571416244	37.0	37.0	37.0	37.0	37.0
14-15	36.52514793279637	37.0	37.0	37.0	37.0	37.0
16-17	36.45725178226202	37.0	37.0	37.0	37.0	37.0
18-19	36.454037192957976	37.0	37.0	37.0	37.0	37.0
20-21	36.48263637081331	37.0	37.0	37.0	37.0	37.0
22-23	36.44694165122927	37.0	37.0	37.0	37.0	37.0
24-25	36.43422714178966	37.0	37.0	37.0	37.0	37.0
26-27	36.4052249698443	37.0	37.0	37.0	37.0	37.0
28-29	36.389326623497034	37.0	37.0	37.0	37.0	37.0
30-31	36.36576129163737	37.0	37.0	37.0	37.0	37.0
32-33	36.36282723762698	37.0	37.0	37.0	37.0	37.0
34-35	36.34445015633233	37.0	37.0	37.0	37.0	37.0
36-37	36.335323028679596	37.0	37.0	37.0	37.0	37.0
38-39	36.32470968819824	37.0	37.0	37.0	37.0	37.0
40-41	36.319373642534146	37.0	37.0	37.0	37.0	37.0
42-43	36.30568726557035	37.0	37.0	37.0	37.0	37.0
44-45	36.29902822427401	37.0	37.0	37.0	37.0	37.0
46-47	36.30041823259093	37.0	37.0	37.0	37.0	37.0
48-49	36.26514046042304	37.0	37.0	37.0	37.0	37.0
50-51	36.2602520227733	37.0	37.0	37.0	37.0	37.0
52-53	36.2630032147729	37.0	37.0	37.0	37.0	37.0
54-55	36.26294170998012	37.0	37.0	37.0	37.0	37.0
56-57	36.252150923581674	37.0	37.0	37.0	37.0	37.0
58-59	36.22971461776148	37.0	37.0	37.0	37.0	37.0
60-61	36.21681963306424	37.0	37.0	37.0	37.0	37.0
62-63	36.201025936662916	37.0	37.0	37.0	37.0	37.0
64-65	36.19412188597562	37.0	37.0	37.0	37.0	37.0
66-67	36.18792064229363	37.0	37.0	37.0	37.0	37.0
68-69	36.18319780859341	37.0	37.0	37.0	37.0	37.0
70-71	36.163181854066565	37.0	37.0	37.0	37.0	37.0
72-73	36.14766465383818	37.0	37.0	37.0	37.0	37.0
74-75	36.13464794473014	37.0	37.0	37.0	37.0	37.0
76-77	36.12349896176238	37.0	37.0	37.0	37.0	37.0
78-79	36.10210328031681	37.0	37.0	37.0	37.0	37.0
80-81	36.097347582861644	37.0	37.0	37.0	37.0	37.0
82-83	36.10585332851087	37.0	37.0	37.0	37.0	37.0
84-85	36.08473983472652	37.0	37.0	37.0	37.0	37.0
86-87	36.07170072685813	37.0	37.0	37.0	37.0	37.0
88-89	36.040737194610344	37.0	37.0	37.0	37.0	37.0
90-91	36.016069549986874	37.0	37.0	37.0	37.0	37.0
92-93	35.99880487925783	37.0	37.0	37.0	37.0	37.0
94-95	36.01414793830427	37.0	37.0	37.0	37.0	37.0
96-97	35.984157466957235	37.0	37.0	37.0	37.0	37.0
98-99	35.963233077461155	37.0	37.0	37.0	37.0	37.0
100-101	35.91637909351115	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.3305212909819488
1101	2	0.04925835624164421
1101	3	-0.28920133284168514
1101	4	-0.15002142651505324
1101	5	-0.2344436015760678
1101	6	-0.6484878649824566
1101	7	-0.18915769805204974
1101	8	-0.08693425094575247
1101	9	-0.01608915549396528
1101	10-11	-0.08746915288077872
1101	12-13	-0.4725475934160315
1101	14-15	-0.593983851122907
1101	16-17	-0.2590310347435718
1101	18-19	-0.10950062450811515
1101	20-21	-0.7037952445460363
1101	22-23	-0.15774202744044885
1101	24-25	-0.3629252818141282
1101	26-27	-0.31307758557329635
1101	28-29	-0.505624834191849
1101	30-31	-0.27498513889684517
1101	32-33	-0.3347146533047294
1101	34-35	-0.7159741964171573
1101	36-37	-0.2162754075813993
1101	38-39	-0.6101696029543007
1101	40-41	-0.46254364395900893
1101	42-43	-0.030944304316342652
1101	44-45	-0.8079245792247391
1101	46-47	-0.6531187767596123
1101	48-49	-0.4312158216564157
1101	50-51	-0.12542424574132127
1101	52-53	-0.6903809945823411
1101	54-55	-0.5384665859743336
1101	56-57	-0.2707630044058007
1101	58-59	-0.666687661018301
1101	60-61	-0.83384552829542
1101	62-63	-0.2014389244398629
1101	64-65	-0.7589129933782885
1101	66-67	-1.1928421671698644
1101	68-69	-0.5026794117598996
1101	70-71	-0.43773999982631295
1101	72-73	-0.3495975059354208
1101	74-75	-0.18736301867977545
1101	76-77	-0.16912263424908502
1101	78-79	-0.11389606188771495
1101	80-81	-0.2437847094287946
1101	82-83	-0.24178061531287653
1101	84-85	-0.5313118390732399
1101	86-87	-0.6499711992837334
1101	88-89	-0.3836065621843332
1101	90-91	-0.5507868671507836
1101	92-93	-0.19643781865232768
1101	94-95	-0.4890143108192788
1101	96-97	-0.24649710045570572
1101	98-99	-0.8025908176986079
1101	100-101	-0.28390825492562044
1102	1	-0.04303660260143971
1102	2	0.0866587414283373
1102	3	-0.28428433867995295
1102	4	-0.2819530178370897
1102	5	-0.2850022618147605
1102	6	-0.08883957624593108
1102	7	-0.05589120926097024
1102	8	-0.06028746488250647
1102	9	0.09369868617483945
1102	10-11	-0.08918013395732771
1102	12-13	-0.020775166523925748
1102	14-15	-0.3117364259833124
1102	16-17	-0.5277328054262611
1102	18-19	-0.585811510101955
1102	20-21	-0.1904171997887687
1102	22-23	-0.1961072066167162
1102	24-25	-0.2232025803510922
1102	26-27	-0.44039982709804804
1102	28-29	-0.05633615381009349
1102	30-31	-0.11509611678398812
1102	32-33	-0.15069515011383317
1102	34-35	-0.43741053014684184
1102	36-37	-0.16415759507237482
1102	38-39	-0.6517799982773056
1102	40-41	-0.18352548795806456
1102	42-43	-0.11256441402511541
1102	44-45	-0.07960445366862956
1102	46-47	-0.1817564471143669
1102	48-49	-0.09754959452915557
1102	50-51	-0.055931835686600095
1102	52-53	-0.4073169497366962
1102	54-55	-0.06975611088306266
1102	56-57	-0.05462057901869599
1102	58-59	-0.15440962759004861
1102	60-61	-0.17616300731264545
1102	62-63	-0.14725863221757862
1102	64-65	-0.20317670506435093
1102	66-67	-0.060325187759112
1102	68-69	-0.2742724082326191
1102	70-71	0.022985675421502094
1102	72-73	-0.02834369900251943
1102	74-75	-0.10018039321087002
1102	76-77	0.00403064407371545
1102	78-79	0.0536069921304545
1102	80-81	-0.1833817617572393
1102	82-83	0.054782239653405895
1102	84-85	0.07013256118469968
1102	86-87	-0.2563003674578894
1102	88-89	-0.26022622172235543
1102	90-91	-0.09965032720634781
1102	92-93	-0.223673315097642
1102	94-95	0.10798120641030096
1102	96-97	-0.015662829405066248
1102	98-99	-0.4577131794239335
1102	100-101	0.17006884583521753
1103	1	-0.2945143583503125
1103	2	-0.6432775571921141
1103	3	-0.37351356085448373
1103	4	-0.21220235535522392
1103	5	-0.28724988898188997
1103	6	-0.16202144980934463
1103	7	-0.5417491220481736
1103	8	-0.03868147550126366
1103	9	-0.24127657974566574
