##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	1-ten_S242_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1623448
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.57039584883532	37.0	37.0	37.0	37.0	37.0
2	36.37532708161888	37.0	37.0	37.0	37.0	37.0
3	36.577432723438015	37.0	37.0	37.0	37.0	37.0
4	36.59135863914335	37.0	37.0	37.0	37.0	37.0
5	36.52601376822664	37.0	37.0	37.0	37.0	37.0
6	36.51469218601397	37.0	37.0	37.0	37.0	37.0
7	36.50047799498352	37.0	37.0	37.0	37.0	37.0
8	36.50859405413663	37.0	37.0	37.0	37.0	37.0
9	36.49987803736245	37.0	37.0	37.0	37.0	37.0
10-11	36.49208967580113	37.0	37.0	37.0	37.0	37.0
12-13	36.486265035898896	37.0	37.0	37.0	37.0	37.0
14-15	36.484032750048044	37.0	37.0	37.0	37.0	37.0
16-17	36.4733061976731	37.0	37.0	37.0	37.0	37.0
18-19	36.46226611508345	37.0	37.0	37.0	37.0	37.0
20-21	36.47663735997797	37.0	37.0	37.0	37.0	37.0
22-23	36.465038575674505	37.0	37.0	37.0	37.0	37.0
24-25	36.47571734265891	37.0	37.0	37.0	37.0	37.0
26-27	36.47660461593557	37.0	37.0	37.0	37.0	37.0
28-29	36.466708635652424	37.0	37.0	37.0	37.0	37.0
30-31	36.47149008102119	37.0	37.0	37.0	37.0	37.0
32-33	36.46060138297436	37.0	37.0	37.0	37.0	37.0
34-35	36.459811375453555	37.0	37.0	37.0	37.0	37.0
36-37	36.44991060379935	37.0	37.0	37.0	37.0	37.0
38-39	36.440710918545655	37.0	37.0	37.0	37.0	37.0
40-41	36.41920715276418	37.0	37.0	37.0	37.0	37.0
42-43	36.41137337135885	37.0	37.0	37.0	37.0	37.0
44-45	36.40186062277303	37.0	37.0	37.0	37.0	37.0
46-47	36.39015926306548	37.0	37.0	37.0	37.0	37.0
48-49	36.366878170464524	37.0	37.0	37.0	37.0	37.0
50-51	36.361237102618546	37.0	37.0	37.0	37.0	37.0
52-53	36.34930524112502	37.0	37.0	37.0	37.0	37.0
54-55	36.34018514876292	37.0	37.0	37.0	37.0	37.0
56-57	36.3318138666697	37.0	37.0	37.0	37.0	37.0
58-59	36.3190728991888	37.0	37.0	37.0	37.0	37.0
60-61	36.30158728795602	37.0	37.0	37.0	37.0	37.0
62-63	36.296348435333094	37.0	37.0	37.0	37.0	37.0
64-65	36.29623630375802	37.0	37.0	37.0	37.0	37.0
66-67	36.29168768820385	37.0	37.0	37.0	37.0	37.0
68-69	36.291676560236226	37.0	37.0	37.0	37.0	37.0
70-71	36.2915353246198	37.0	37.0	37.0	37.0	37.0
72-73	36.292175052142184	37.0	37.0	37.0	37.0	37.0
74-75	36.27817390899664	37.0	37.0	37.0	37.0	37.0
76-77	36.24941518765745	37.0	37.0	37.0	37.0	37.0
78-79	36.21851521710876	37.0	37.0	37.0	37.0	37.0
80-81	36.18198887146066	37.0	37.0	37.0	37.0	37.0
82-83	36.149388303480634	37.0	37.0	37.0	37.0	37.0
84-85	36.13603566514257	37.0	37.0	37.0	37.0	37.0
86-87	36.10880100656406	37.0	37.0	37.0	37.0	37.0
88-89	36.08761059075904	37.0	37.0	37.0	37.0	37.0
90-91	36.05463757563487	37.0	37.0	37.0	37.0	37.0
92-93	36.0348936286688	37.0	37.0	37.0	37.0	37.0
94-95	35.841311012826694	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.25336299675637974
1101	2	-0.32882455553922796
1101	3	-0.05950494748040569
1101	4	-0.2550500942931748
1101	5	-0.4237047532399103
1101	6	-0.06717883679691994
1101	7	0.0617098084984633
1101	8	-0.20530074780005947
1101	9	-0.10151584782029488
1101	10-11	-0.49562562774346475
1101	12-13	-0.48290086493283013
1101	14-15	-0.5117910669806491
1101	16-17	-0.32742090553035297
1101	18-19	-0.1510897643474891
1101	20-21	-0.41850124890429186
1101	22-23	-0.19717923293784168
1101	24-25	-0.37891114751626276
1101	26-27	-0.29160655861284823
1101	28-29	-0.2529131647030951
1101	30-31	-0.2235557888074382
1101	32-33	-0.19525885239173846
1101	34-35	-0.4699177048718255
1101	36-37	-0.5722874496335706
1101	38-39	-0.2725978263033184
1101	40-41	-0.541811341318919
1101	42-43	-0.6746231985000435
1101	44-45	-0.2080085630409485
1101	46-47	-0.1488542424535808
1101	48-49	-0.3949403561222553
1101	50-51	-0.23407048366338046
1101	52-53	-0.15416823176506256
1101	54-55	0.10415019984186102
1101	56-57	-0.04437150865666695
1101	58-59	-0.16333021029716832
1101	60-61	-0.18127810624014984
1101	62-63	-0.2049279049529673
1101	64-65	0.11073656885977101
1101	66-67	-0.31477607418798215
1101	68-69	0.13765257620734417
1101	70-71	-0.031330801235164074
1101	72-73	-0.07264866268172909
1101	74-75	-0.16935668465117004
1101	76-77	-0.23837088854405408
1101	78-79	0.008590922083520525
1101	80-81	-0.22388977262647103
1101	82-83	0.02042723000661084
1101	84-85	-0.01672283529735097
1101	86-87	-0.17193172605986717
1101	88-89	-0.5741185024279787
1101	90-91	0.0953018650964097
1101	92-93	-0.4285216182450853
1101	94-95	-0.3736740041652311
1102	1	-0.3294646781652588
1102	2	-0.23300018706365222
1102	3	-0.5474721161791081
1102	4	-0.569656835866212
1102	5	-0.4407977486977117
1102	6	-0.638180510237035
1102	7	-0.06017241319250388
1102	8	-0.22601953017316134
1102	9	-0.2441965395088772
1102	10-11	-0.2860870190893863
1102	12-13	-0.2488184679290839
1102	14-15	-0.377178747273895
1102	16-17	-0.15673001382583607
1102	18-19	-0.2052175832972125
1102	20-21	-0.07143760960556733
1102	22-23	-0.22219606018606441
1102	24-25	-0.15427218149319089
1102	26-27	-0.22037109238798536
1102	28-29	-0.13901904075341776
1102	30-31	-0.052118348294285965
1102	32-33	-0.3666758491088089
1102	34-35	-0.35083405539585755
1102	36-37	-0.44711186050646035
1102	38-39	-0.3383357426369642
1102	40-41	-0.026314390032425194
1102	42-43	-0.020984164521145487
1102	44-45	-0.18085080556352295
1102	46-47	-0.1317760344678618
1102	48-49	-0.20492409833160252
1102	50-51	-0.03555505928125058
1102	52-53	-0.26572532488255973
1102	54-55	-0.15224468404742453
1102	56-57	-0.17159769420675275
1102	58-59	-0.24245749941555772
1102	60-61	-0.2651150136010543
1102	62-63	-0.493506626921949
1102	64-65	-0.3738006614931635
1102	66-67	-0.27413986942304547
1102	68-69	-0.5544436142646134
1102	70-71	-0.01775688784231022
1102	72-73	-0.6312057402543871
1102	74-75	-0.3418604154969671
1102	76-77	-0.27625990773218234
1102	78-79	-0.49531357832541545
1102	80-81	-0.4649164397316312
1102	82-83	-0.2928409804314569
1102	84-85	-0.9339058570886678
1102	86-87	-0.09073800623802697
1102	88-89	-0.2977180486512978
1102	90-91	-0.5825993350400509
1102	92-93	-0.15872258827616292
1102	94-95	0.3952088542698675
1103	1	-0.1739540571650693
1103	2	0.09042438194678937
1103	3	-0.09688043926319523
1103	4	-0.04478416974153987
1103	5	-0.07603570496295475
1103	6	-0.3901765078189072
1103	7	-0.1366283275296425
1103	8	-0.05233820881928608
1103	9	-0.0739825908037588
1103	10-11	-0.09690327613357397
