##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	1B_S212_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1646600
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.60831045791328	37.0	37.0	37.0	37.0	37.0
2	36.376815255678366	37.0	37.0	37.0	37.0	37.0
3	36.59301834082351	37.0	37.0	37.0	37.0	37.0
4	36.597167496659786	37.0	37.0	37.0	37.0	37.0
5	36.54235394145512	37.0	37.0	37.0	37.0	37.0
6	36.53932223976679	37.0	37.0	37.0	37.0	37.0
7	36.52808696708369	37.0	37.0	37.0	37.0	37.0
8	36.54176727802745	37.0	37.0	37.0	37.0	37.0
9	36.54100085023685	37.0	37.0	37.0	37.0	37.0
10-11	36.53006194582777	37.0	37.0	37.0	37.0	37.0
12-13	36.52702720757925	37.0	37.0	37.0	37.0	37.0
14-15	36.524965383213896	37.0	37.0	37.0	37.0	37.0
16-17	36.525908538807236	37.0	37.0	37.0	37.0	37.0
18-19	36.520203449532374	37.0	37.0	37.0	37.0	37.0
20-21	36.530942964562996	37.0	37.0	37.0	37.0	37.0
22-23	36.52775058831179	37.0	37.0	37.0	37.0	37.0
24-25	36.53276948080888	37.0	37.0	37.0	37.0	37.0
26-27	36.531571993592856	37.0	37.0	37.0	37.0	37.0
28-29	36.52409474797743	37.0	37.0	37.0	37.0	37.0
30-31	36.52501081321518	37.0	37.0	37.0	37.0	37.0
32-33	36.51759387292702	37.0	37.0	37.0	37.0	37.0
34-35	36.512859557942846	37.0	37.0	37.0	37.0	37.0
36-37	36.50327885992295	37.0	37.0	37.0	37.0	37.0
38-39	36.493454451819616	37.0	37.0	37.0	37.0	37.0
40-41	36.47555120346672	37.0	37.0	37.0	37.0	37.0
42-43	36.46438504096518	37.0	37.0	37.0	37.0	37.0
44-45	36.45561794021749	37.0	37.0	37.0	37.0	37.0
46-47	36.44838697652691	37.0	37.0	37.0	37.0	37.0
48-49	36.42376309622968	37.0	37.0	37.0	37.0	37.0
50-51	36.42591543585755	37.0	37.0	37.0	37.0	37.0
52-53	36.410876187698676	37.0	37.0	37.0	37.0	37.0
54-55	36.40131016554599	37.0	37.0	37.0	37.0	37.0
56-57	36.39254537306033	37.0	37.0	37.0	37.0	37.0
58-59	36.38306171128504	37.0	37.0	37.0	37.0	37.0
60-61	36.360514541760566	37.0	37.0	37.0	37.0	37.0
62-63	36.366979943672156	37.0	37.0	37.0	37.0	37.0
64-65	36.366735540901104	37.0	37.0	37.0	37.0	37.0
66-67	36.35861117630044	37.0	37.0	37.0	37.0	37.0
68-69	36.358052095526034	37.0	37.0	37.0	37.0	37.0
70-71	36.35645632132909	37.0	37.0	37.0	37.0	37.0
72-73	36.36052135637182	37.0	37.0	37.0	37.0	37.0
74-75	36.32612123809278	37.0	37.0	37.0	37.0	37.0
76-77	36.30315759535818	37.0	37.0	37.0	37.0	37.0
78-79	36.26658340431652	37.0	37.0	37.0	37.0	37.0
80-81	36.23805674004733	37.0	37.0	37.0	37.0	37.0
82-83	36.21252043523942	37.0	37.0	37.0	37.0	37.0
84-85	36.19676707045659	37.0	37.0	37.0	37.0	37.0
86-87	36.16038869161582	37.0	37.0	37.0	37.0	37.0
88-89	36.145190705213594	37.0	37.0	37.0	37.0	37.0
90-91	36.10987022159186	37.0	37.0	37.0	37.0	37.0
92-93	36.06206478616641	37.0	37.0	37.0	37.0	37.0
94-95	35.647526866797214	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.05224185503563916
1101	2	-0.4000644045049597
1101	3	-0.2751680187571779
1101	4	-0.32229697647864697
1101	5	-0.18776299842188848
1101	6	-0.5059996527928448
1101	7	-0.07428408792365815
1101	8	-0.32591586738827516
1101	9	-0.06633007842701488
1101	10-11	-0.5279481825299399
1101	12-13	-0.25251890806407573
1101	14-15	-0.41855438558669533
1101	16-17	-0.39030244629155675
1101	18-19	-0.45520704948842905
1101	20-21	-0.13636782841633277
1101	22-23	-0.18391436873201172
1101	24-25	-0.1943523476493354
1101	26-27	-0.12483688260840609
1101	28-29	-0.04377949899601674
1101	30-31	-0.037040856074860073
1101	32-33	-0.16173878514816664
1101	34-35	-0.2539575595604404
1101	36-37	-0.1376011583658041
1101	38-39	-0.029052931014589944
1101	40-41	-0.329198265540974
1101	42-43	-0.40067542539799916
1101	44-45	-0.19156355656443935
1101	46-47	-0.07356117446917665
1101	48-49	-0.20457666505507177
1101	50-51	-0.15617585021357883
1101	52-53	0.07410722581576579
1101	54-55	0.006763769828161514
1101	56-57	-0.14136567378179166
1101	58-59	-0.2608112704143579
1101	60-61	-0.08198273388516242
1101	62-63	-0.015265694293823628
1101	64-65	-0.04221091895904294
1101	66-67	0.16633193875715335
1101	68-69	-0.003568966591551259
1101	70-71	-0.004992656748527224
1101	72-73	0.1291303797103467
1101	74-75	-0.18776728111441798
1101	76-77	-0.17004781282263792
1101	78-79	0.005590739873532868
1101	80-81	-0.20401115968980577
1101	82-83	-0.048247757959792636
1101	84-85	-0.15924731536519943
1101	86-87	0.06284171363224544
1101	88-89	-0.5329921434556297
1101	90-91	-0.16932335930600573
1101	92-93	0.07907941865534696
1101	94-95	-0.500058146826106
1102	1	-0.3193184417678907
1102	2	-0.43069909740651724
1102	3	-0.3217622662122537
1102	4	-0.3465642443614101
1102	5	-0.3843060058687655
1102	6	-0.3068604849305743
1102	7	-0.17332077576952543
1102	8	-0.21780628209074138
1102	9	-0.3500220918177348
1102	10-11	-0.41220042001029356
1102	12-13	-0.09717286720870533
1102	14-15	-0.3176320654391205
1102	16-17	0.014179346425521544
1102	18-19	0.04456749447550834
1102	20-21	-0.13919749420428218
1102	22-23	-0.05795122855859347
1102	24-25	-0.3135402657379771
1102	26-27	-0.28889414699982296
1102	28-29	-0.08321265237509579
1102	30-31	-0.34422639700689217
1102	32-33	0.03950592786620177
1102	34-35	-0.34818473057094934
1102	36-37	-0.6040621878325183
1102	38-39	-0.1814404732056758
1102	40-41	-0.2563643123493762
1102	42-43	-0.06965051361157037
1102	44-45	-0.06342748274190768
1102	46-47	-0.2120101028551744
1102	48-49	-0.2277596517588094
1102	50-51	-0.012438814961875266
1102	52-53	-0.07563689820412378
1102	54-55	-0.26979870925864446
1102	56-57	-0.18517492109856448
1102	58-59	-0.3478075993100873
1102	60-61	-0.3001169398721686
1102	62-63	-0.4043531472124613
1102	64-65	-0.3362447489641909
1102	66-67	-0.21827941078736046
1102	68-69	-0.3433069355850833
1102	70-71	-0.3882180364166672
1102	72-73	0.06700003253228459
1102	74-75	-0.14170456868823322
1102	76-77	-0.1262045402310079
1102	78-79	-0.37228826112909275
1102	80-81	-0.38931745969855314
1102	82-83	-0.8512363663491556
1102	84-85	-0.4045358484953212
1102	86-87	-0.5676026665032268
1102	88-89	-0.13895820527792324
1102	90-91	-0.5335112607867813
1102	92-93	0.0070690355547426975
1102	94-95	-0.33612372059659634
1103	1	-0.15983312993658672
1103	2	-0.123926810076739
1103	3	-0.10500939305624968
1103	4	-0.3558263640490864
1103	5	-0.08361021321780981
1103	6	-0.07676426431753924
1103	7	-0.18224279314308944
1103	8	-8.606842900746869E-4
1103	9	-0.029022191014249188
