##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	1D_S214_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3026057
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.610404562769304	37.0	37.0	37.0	37.0	37.0
2	36.36493859831457	37.0	37.0	37.0	37.0	37.0
3	36.5914082252912	37.0	37.0	37.0	37.0	37.0
4	36.59728584094748	37.0	37.0	37.0	37.0	37.0
5	36.54322340920875	37.0	37.0	37.0	37.0	37.0
6	36.54327826607364	37.0	37.0	37.0	37.0	37.0
7	36.532900404718085	37.0	37.0	37.0	37.0	37.0
8	36.5424428555047	37.0	37.0	37.0	37.0	37.0
9	36.537019296067456	37.0	37.0	37.0	37.0	37.0
10-11	36.537692449283014	37.0	37.0	37.0	37.0	37.0
12-13	36.53519613146745	37.0	37.0	37.0	37.0	37.0
14-15	36.527103422043936	37.0	37.0	37.0	37.0	37.0
16-17	36.52738728979659	37.0	37.0	37.0	37.0	37.0
18-19	36.5249663175545	37.0	37.0	37.0	37.0	37.0
20-21	36.540045789756675	37.0	37.0	37.0	37.0	37.0
22-23	36.53462313690946	37.0	37.0	37.0	37.0	37.0
24-25	36.53825147459325	37.0	37.0	37.0	37.0	37.0
26-27	36.53668654562199	37.0	37.0	37.0	37.0	37.0
28-29	36.52998062634449	37.0	37.0	37.0	37.0	37.0
30-31	36.53317876360816	37.0	37.0	37.0	37.0	37.0
32-33	36.52049216183953	37.0	37.0	37.0	37.0	37.0
34-35	36.521297919755185	37.0	37.0	37.0	37.0	37.0
36-37	36.508665776248485	37.0	37.0	37.0	37.0	37.0
38-39	36.49842070395581	37.0	37.0	37.0	37.0	37.0
40-41	36.48961863294805	37.0	37.0	37.0	37.0	37.0
42-43	36.479041595650074	37.0	37.0	37.0	37.0	37.0
44-45	36.46976857091439	37.0	37.0	37.0	37.0	37.0
46-47	36.45923239395303	37.0	37.0	37.0	37.0	37.0
48-49	36.44524287885639	37.0	37.0	37.0	37.0	37.0
50-51	36.437691234359626	37.0	37.0	37.0	37.0	37.0
52-53	36.421081706886866	37.0	37.0	37.0	37.0	37.0
54-55	36.4152352664823	37.0	37.0	37.0	37.0	37.0
56-57	36.39860170867841	37.0	37.0	37.0	37.0	37.0
58-59	36.3916584918021	37.0	37.0	37.0	37.0	37.0
60-61	36.372974527333426	37.0	37.0	37.0	37.0	37.0
62-63	36.372312494682255	37.0	37.0	37.0	37.0	37.0
64-65	36.37430178369732	37.0	37.0	37.0	37.0	37.0
66-67	36.37016350807852	37.0	37.0	37.0	37.0	37.0
68-69	36.37117493838285	37.0	37.0	37.0	37.0	37.0
70-71	36.36761772227408	37.0	37.0	37.0	37.0	37.0
72-73	36.37121914625084	37.0	37.0	37.0	37.0	37.0
74-75	36.34152588699236	37.0	37.0	37.0	37.0	37.0
76-77	36.31640799193761	37.0	37.0	37.0	37.0	37.0
78-79	36.27998950970921	37.0	37.0	37.0	37.0	37.0
80-81	36.24956908745547	37.0	37.0	37.0	37.0	37.0
82-83	36.22698620375258	37.0	37.0	37.0	37.0	37.0
84-85	36.21583843436943	37.0	37.0	37.0	37.0	37.0
86-87	36.18029821134138	37.0	37.0	37.0	37.0	37.0
88-89	36.15893036975654	37.0	37.0	37.0	37.0	37.0
90-91	36.12795010087389	37.0	37.0	37.0	37.0	37.0
92-93	36.07077678266437	37.0	37.0	37.0	37.0	37.0
94-95	36.00982489767081	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.2889996892250508
1101	2	-0.47332879271298367
1101	3	-0.3507339649198258
1101	4	-0.3552446693264386
1101	5	-0.34803450710656847
1101	6	-0.33856593759575304
1101	7	-0.2269449510252528
1101	8	-0.2801783276649985
1101	9	-0.5654749106772243
1101	10-11	-0.31178155677303465
1101	12-13	-0.4371253489607838
1101	14-15	-0.5563678490784625
1101	16-17	-0.48369535757517923
1101	18-19	-0.42935456036850894
1101	20-21	-0.5177688073491211
1101	22-23	-0.2534899114213829
1101	24-25	-0.1635561909001595
1101	26-27	-0.1713331861352998
1101	28-29	-0.141593378123396
1101	30-31	-0.07159393460860031
1101	32-33	-0.2621646261834272
1101	34-35	-0.04819846384808102
1101	36-37	-0.2515101374440647
1101	38-39	-0.32873150355487724
1101	40-41	-0.324853021950517
1101	42-43	-0.32635283298736795
1101	44-45	-0.25171183427358557
1101	46-47	-0.08802274853132985
1101	48-49	-0.16442887075472612
1101	50-51	-0.21549675140888525
1101	52-53	-0.1684941377591116
1101	54-55	-0.13481103841746744
1101	56-57	-0.13435071975303003
1101	58-59	-0.2682464731887464
1101	60-61	-0.38764882337559214
1101	62-63	-0.1543513278663795
1101	64-65	-0.12575952977799432
1101	66-67	0.03646696212166489
1101	68-69	-0.09412227097133297
1101	70-71	-0.10781670720222536
1101	72-73	-0.03911786813741003
1101	74-75	-0.35081612820616215
1101	76-77	-0.349197742372084
1101	78-79	-0.07780204251233869
1101	80-81	-0.20238122425107719
1101	82-83	-0.22391334768738602
1101	84-85	-0.2646456519403415
1101	86-87	-0.19721495946396317
1101	88-89	-0.3098254952203163
1101	90-91	-0.10101665946896787
1101	92-93	-0.18779086035753778
1101	94-95	-0.6602015553980252
1102	1	-0.3677359294535023
1102	2	-0.4778095282036574
1102	3	-0.40319936442167403
1102	4	-0.30739598618508523
1102	5	-0.388379367858839
1102	6	-0.6248653674710809
1102	7	-0.3870989079027325
1102	8	-0.36382314563304874
1102	9	-0.23216755742877382
1102	10-11	-0.48468040358893205
1102	12-13	-0.2975923934994995
1102	14-15	-0.319391333969655
1102	16-17	-0.2301615132633259
1102	18-19	-0.1668020336117806
1102	20-21	-0.12058981304525673
1102	22-23	-0.17401617699258054
1102	24-25	-0.23926432071392156
1102	26-27	-0.11940931246196129
1102	28-29	-0.20399482246994438
1102	30-31	-0.0305738996063738
1102	32-33	-0.33775505929243366
1102	34-35	-0.22136819611603897
1102	36-37	-0.322472083335235
1102	38-39	-0.19361999289921528
1102	40-41	-0.14899463520954725
1102	42-43	-0.12605351642792328
1102	44-45	-0.28545945931895034
1102	46-47	-0.20982340440407654
1102	48-49	-0.15454643494738463
1102	50-51	-0.25991019061633125
1102	52-53	-0.21561355137913552
1102	54-55	-0.22716017692019363
1102	56-57	-0.2635472961962506
1102	58-59	-0.44007047984570846
1102	60-61	-0.2828608998836799
1102	62-63	-0.4602742376297755
1102	64-65	-0.43943262253705484
1102	66-67	-0.21436325767632525
1102	68-69	-0.13595230129928382
1102	70-71	-0.06873366417525517
1102	72-73	-0.1688887036574016
1102	74-75	-0.1471990827482017
1102	76-77	-0.29874332234557954
1102	78-79	-0.2268335660527967
1102	80-81	-0.2768981362355376
1102	82-83	-0.36342737484645227
1102	84-85	-0.5524533633469417
1102	86-87	-0.30962576148746734
1102	88-89	-0.1778815388424917
1102	90-91	-0.2394468247549213
1102	92-93	-0.3564010508081168
1102	94-95	0.7935395972814518
1103	1	-0.03131624414370293
1103	2	0.020380559573354162
1103	3	-0.13141827200942657
1103	4	-0.12315649628079939
1103	5	-0.18121578710496067
1103	6	-0.03026550256669225
1103	7	-0.04813190619076124
1103	8	-0.02441343789807604
1103	9	-0.16083918462813784
