##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	2-1_S227_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	501397
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.628254656489766	37.0	37.0	37.0	37.0	37.0
2	36.39868806554487	37.0	37.0	37.0	37.0	37.0
3	36.60410213862468	37.0	37.0	37.0	37.0	37.0
4	36.60895258647339	37.0	37.0	37.0	37.0	37.0
5	36.56353947071881	37.0	37.0	37.0	37.0	37.0
6	36.549375046121135	37.0	37.0	37.0	37.0	37.0
7	36.52720498926001	37.0	37.0	37.0	37.0	37.0
8	36.53740848070491	37.0	37.0	37.0	37.0	37.0
9	36.53750421322824	37.0	37.0	37.0	37.0	37.0
10-11	36.52821018075497	37.0	37.0	37.0	37.0	37.0
12-13	36.51914949630732	37.0	37.0	37.0	37.0	37.0
14-15	36.51513072475503	37.0	37.0	37.0	37.0	37.0
16-17	36.505944391370505	37.0	37.0	37.0	37.0	37.0
18-19	36.4833235938787	37.0	37.0	37.0	37.0	37.0
20-21	36.501501540001804	37.0	37.0	37.0	37.0	37.0
22-23	36.49079839051383	37.0	37.0	37.0	37.0	37.0
24-25	36.505411959926306	37.0	37.0	37.0	37.0	37.0
26-27	36.50468417056507	37.0	37.0	37.0	37.0	37.0
28-29	36.499233948758004	37.0	37.0	37.0	37.0	37.0
30-31	36.50587914470586	37.0	37.0	37.0	37.0	37.0
32-33	36.4993216159251	37.0	37.0	37.0	37.0	37.0
34-35	36.49534771123354	37.0	37.0	37.0	37.0	37.0
36-37	36.486478738499315	37.0	37.0	37.0	37.0	37.0
38-39	36.48583077829319	37.0	37.0	37.0	37.0	37.0
40-41	36.45854406308986	37.0	37.0	37.0	37.0	37.0
42-43	36.44402686192513	37.0	37.0	37.0	37.0	37.0
44-45	36.43827963612283	37.0	37.0	37.0	37.0	37.0
46-47	36.42772547588662	37.0	37.0	37.0	37.0	37.0
48-49	36.39597995217726	37.0	37.0	37.0	37.0	37.0
50-51	36.399762214837224	37.0	37.0	37.0	37.0	37.0
52-53	36.38562737687568	37.0	37.0	37.0	37.0	37.0
54-55	36.37099029656921	37.0	37.0	37.0	37.0	37.0
56-57	36.381682046392925	37.0	37.0	37.0	37.0	37.0
58-59	36.367448772887116	37.0	37.0	37.0	37.0	37.0
60-61	36.35264445337809	37.0	37.0	37.0	37.0	37.0
62-63	36.34676644853406	37.0	37.0	37.0	37.0	37.0
64-65	36.34735124805171	37.0	37.0	37.0	37.0	37.0
66-67	36.333680274154304	37.0	37.0	37.0	37.0	37.0
68-69	36.343580185510845	37.0	37.0	37.0	37.0	37.0
70-71	36.34590116453408	37.0	37.0	37.0	37.0	37.0
72-73	36.335280665811965	37.0	37.0	37.0	37.0	37.0
74-75	36.31591125444013	37.0	37.0	37.0	37.0	37.0
76-77	36.28251774111576	37.0	37.0	37.0	37.0	37.0
78-79	36.25945458944386	37.0	37.0	37.0	37.0	37.0
80-81	36.223574964604836	37.0	37.0	37.0	37.0	37.0
82-83	36.191527894547804	37.0	37.0	37.0	37.0	37.0
84-85	36.184960545046145	37.0	37.0	37.0	37.0	37.0
86-87	36.13176015907398	37.0	37.0	37.0	37.0	37.0
88-89	36.14024406969686	37.0	37.0	37.0	37.0	37.0
90-91	36.103257352357915	37.0	37.0	37.0	37.0	37.0
92-93	36.06169187383027	37.0	37.0	37.0	37.0	37.0
94-95	35.7594235212963	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.07246793054639511
1101	2	-0.08449469619297645
1101	3	-0.5821681980192039
1101	4	0.26375821791859977
1101	5	-0.1300780941009947
1101	6	-0.13148377011063417
1101	7	-0.39375501432198945
1101	8	-0.02028932467485589
1101	9	-0.27050474659075974
1101	10-11	-0.2960304002301868
1101	12-13	-0.4241852708877474
1101	14-15	-0.3249554933143983
1101	16-17	-0.713302326156878
1101	18-19	-0.16260743539415756
1101	20-21	-0.5423776916952576
1101	22-23	-0.0023433645187154184
1101	24-25	0.015246729932343328
1101	26-27	-0.26592404072958686
1101	28-29	-1.510079954485377E-4
1101	30-31	-0.1066949095249825
1101	32-33	-0.3677508069487416
1101	34-35	-0.09749883323054576
1101	36-37	-0.040626276175323994
1101	38-39	-0.20482533684029391
1101	40-41	-0.3953321853222249
1101	42-43	-0.3130835452982339
1101	44-45	-0.14916513993508573
1101	46-47	0.08395272036130308
1101	48-49	-0.02079026713726506
1101	50-51	-0.43440723753167276
1101	52-53	-0.34923668818409226
1101	54-55	-0.5059657587154476
1101	56-57	-0.09578740364309368
1101	58-59	-0.24353665573949002
1101	60-61	-0.3423101220148723
1101	62-63	-0.6744191463852616
1101	64-65	0.35416707099466294
1101	66-67	-0.21067873466834897
1101	68-69	-0.45252544854399446
1101	70-71	0.03746218609104801
1101	72-73	-0.31316051560838076
1101	74-75	0.20349552576243468
1101	76-77	-0.12972748889939822
1101	78-79	-0.22118160415237043
1101	80-81	0.010991424602131872
1101	82-83	0.04095594094059862
1101	84-85	0.11896362121680681
1101	86-87	0.20377344338093906
1101	88-89	0.6408303939735944
1101	90-91	-0.04157346584128163
1101	92-93	-0.13841261306727404
1101	94-95	0.23588221062326653
1102	1	-0.30235298801765964
1102	2	-0.45001193757229174
1102	3	-0.35604489603383627
1102	4	-0.19225014153803244
1102	5	-0.6328994107154173
1102	6	-0.09010445976580428
1102	7	-0.27170694744633295
1102	8	-0.6533091783843616
1102	9	-0.6857607549502163
1102	10-11	-0.19320908361576983
1102	12-13	-0.37737231372996405
1102	14-15	-0.0300756605035275
1102	16-17	-0.1252145518622001
1102	18-19	-0.550799702896775
1102	20-21	-0.14093552501942241
1102	22-23	-0.15941583379349566
1102	24-25	-0.28301917079973293
1102	26-27	-0.4138740282342752
1102	28-29	0.06180925023105743
1102	30-31	-0.27085133152344554
1102	32-33	-0.07103124245202252
1102	34-35	-0.46901127382321306
1102	36-37	-0.42732424733603835
1102	38-39	0.13305228157287274
1102	40-41	-0.17928543828013943
1102	42-43	0.05456351352529509
1102	44-45	0.24535349496060377
1102	46-47	0.008227946429457234
1102	48-49	-0.4838525345020983
1102	50-51	0.06884261339259723
1102	52-53	-0.1848459318815685
1102	54-55	-0.15762677566459615
1102	56-57	-0.3498362703917053
1102	58-59	-0.3388353478568433
1102	60-61	-0.699766262365749
1102	62-63	-0.5356112399302901
1102	64-65	-0.430900013079075
1102	66-67	-0.7169758297504885
1102	68-69	-0.8934675891916442
1102	70-71	-0.03698189778699401
1102	72-73	-0.20870082435623516
1102	74-75	0.07600721002761901
1102	76-77	-0.22604210267981983
1102	78-79	-0.2574389397822969
1102	80-81	-0.21458226294406302
1102	82-83	-0.8570319633935597
1102	84-85	-0.6284915004140856
1102	86-87	-0.015950797083029045
1102	88-89	0.04020391896822417
1102	90-91	-0.41232707610654273
1102	92-93	-0.0337792313102554
1102	94-95	-0.7410408662998123
1103	1	0.1597682241035514
1103	2	0.27574563818528475
1103	3	-0.04846913845807421
1103	4	-0.03012892941681855
1103	5	-0.06699031980632952
1103	6	-0.045407490068839707
1103	7	-0.08837361411300293
1103	8	0.2694180943429103
1103	9	-0.11454863373809587
1103	10-11	-0.008739386646070102
