##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	2-ten_S247_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1171980
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.65205378931381	37.0	37.0	37.0	37.0	37.0
2	36.419602723595965	37.0	37.0	37.0	37.0	37.0
3	36.61502585368351	37.0	37.0	37.0	37.0	37.0
4	36.6183364903838	37.0	37.0	37.0	37.0	37.0
5	36.57525213740849	37.0	37.0	37.0	37.0	37.0
6	36.559651188586834	37.0	37.0	37.0	37.0	37.0
7	36.54640693527193	37.0	37.0	37.0	37.0	37.0
8	36.546359152886566	37.0	37.0	37.0	37.0	37.0
9	36.53070530213826	37.0	37.0	37.0	37.0	37.0
10-11	36.52735029608014	37.0	37.0	37.0	37.0	37.0
12-13	36.530451031587575	37.0	37.0	37.0	37.0	37.0
14-15	36.519755456577755	37.0	37.0	37.0	37.0	37.0
16-17	36.5173944947866	37.0	37.0	37.0	37.0	37.0
18-19	36.500932609771496	37.0	37.0	37.0	37.0	37.0
20-21	36.51121429826654	37.0	37.0	37.0	37.0	37.0
22-23	36.50401273910779	37.0	37.0	37.0	37.0	37.0
24-25	36.51156086704262	37.0	37.0	37.0	37.0	37.0
26-27	36.51859112397963	37.0	37.0	37.0	37.0	37.0
28-29	36.50910415924254	37.0	37.0	37.0	37.0	37.0
30-31	36.51650252927995	37.0	37.0	37.0	37.0	37.0
32-33	36.51101476381939	37.0	37.0	37.0	37.0	37.0
34-35	36.50525826726194	37.0	37.0	37.0	37.0	37.0
36-37	36.49567913965588	37.0	37.0	37.0	37.0	37.0
38-39	36.49054265120155	37.0	37.0	37.0	37.0	37.0
40-41	36.47401386927444	37.0	37.0	37.0	37.0	37.0
42-43	36.46289694753099	37.0	37.0	37.0	37.0	37.0
44-45	36.452925738543854	37.0	37.0	37.0	37.0	37.0
46-47	36.44240359513668	37.0	37.0	37.0	37.0	37.0
48-49	36.42385547204242	37.0	37.0	37.0	37.0	37.0
50-51	36.42021959535947	37.0	37.0	37.0	37.0	37.0
52-53	36.39901936665697	37.0	37.0	37.0	37.0	37.0
54-55	36.39292315525914	37.0	37.0	37.0	37.0	37.0
56-57	36.385341719999374	37.0	37.0	37.0	37.0	37.0
58-59	36.36824033135089	37.0	37.0	37.0	37.0	37.0
60-61	36.354118590573535	37.0	37.0	37.0	37.0	37.0
62-63	36.34905616071763	37.0	37.0	37.0	37.0	37.0
64-65	36.352926086558696	37.0	37.0	37.0	37.0	37.0
66-67	36.35196003712531	37.0	37.0	37.0	37.0	37.0
68-69	36.34937544198555	37.0	37.0	37.0	37.0	37.0
70-71	36.352229561990775	37.0	37.0	37.0	37.0	37.0
72-73	36.348939204978734	37.0	37.0	37.0	37.0	37.0
74-75	36.33020146826452	37.0	37.0	37.0	37.0	37.0
76-77	36.30301063298181	37.0	37.0	37.0	37.0	37.0
78-79	36.27109879205396	37.0	37.0	37.0	37.0	37.0
80-81	36.23343528922027	37.0	37.0	37.0	37.0	37.0
82-83	36.197200469302295	37.0	37.0	37.0	37.0	37.0
84-85	36.18563348684869	37.0	37.0	37.0	37.0	37.0
86-87	36.14674523572663	37.0	37.0	37.0	37.0	37.0
88-89	36.1243137148676	37.0	37.0	37.0	37.0	37.0
90-91	36.09560630985969	37.0	37.0	37.0	37.0	37.0
92-93	36.04993290614125	37.0	37.0	37.0	37.0	37.0
94-95	35.89144607198199	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.08414010141022032
1101	2	-0.26229502866077326
1101	3	-0.17666615459542356
1101	4	-0.2901055567041553
1101	5	-0.10245731947910741
1101	6	-0.4396144826145161
1101	7	-0.08658937870186634
1101	8	-0.02407827339199997
1101	9	-0.020114361498535516
1101	10-11	-0.2760088620160914
1101	12-13	-0.312398876091585
1101	14-15	-0.3648306033279596
1101	16-17	-0.32451542743504547
1101	18-19	-0.44032402670388393
1101	20-21	-0.6049807071588447
1101	22-23	-0.2622415914866636
1101	24-25	-0.2791055785464778
1101	26-27	0.03024001619237282
1101	28-29	0.09926799390476049
1101	30-31	0.021918880279208963
1101	32-33	-0.24519895577007844
1101	34-35	-0.04629806124322755
1101	36-37	-0.3359256235808843
1101	38-39	-0.22516168593129748
1101	40-41	-0.3212346575515852
1101	42-43	-0.15142837767517392
1101	44-45	-0.26278054472494006
1101	46-47	0.048870392130339724
1101	48-49	-0.2997081423794157
1101	50-51	-0.28498958051354606
1101	52-53	-0.14288166345021835
1101	54-55	-0.16703508641491993
1101	56-57	-0.21472363238865455
1101	58-59	-0.3053437429682191
1101	60-61	0.01180969589812264
1101	62-63	-0.29804879163258846
1101	64-65	-0.01474806504124615
1101	66-67	-0.19814962891702237
1101	68-69	0.09763840422313308
1101	70-71	-0.01062098379215115
1101	72-73	-0.2661304620020246
1101	74-75	0.1855567700389642
1101	76-77	-0.20098910684959748
1101	78-79	-0.2844862918659956
1101	80-81	-0.17105120073895108
1101	82-83	-0.5319504983735612
1101	84-85	-0.2508498097585701
1101	86-87	-0.2866067691584675
1101	88-89	-0.21839152920002647
1101	90-91	-0.11787182293509346
1101	92-93	-0.4093626346100052
1101	94-95	0.36743614653883583
1102	1	-0.45687382374208596
1102	2	-0.6872025569462394
1102	3	-0.47209968375121036
1102	4	-0.4081565793325268
1102	5	-0.6271663055539562
1102	6	-0.5310662885327062
1102	7	-0.14766150663920286
1102	8	-0.4811605188228114
1102	9	-0.3261141439180335
1102	10-11	-0.45636270231199916
1102	12-13	-0.276518490974091
1102	14-15	-0.35741926738366203
1102	16-17	0.018724618256861447
1102	18-19	-0.4665016811860383
1102	20-21	-0.24213080584509328
1102	22-23	-0.17814698357973668
1102	24-25	-0.21264038360776993
1102	26-27	-0.20962770216068805
1102	28-29	-0.23403812631448773
1102	30-31	-0.17420724772257046
1102	32-33	-0.2759423610015972
1102	34-35	-0.6605491887934178
1102	36-37	-0.6786476983498844
1102	38-39	-0.2973775593850263
1102	40-41	-0.20955350678012508
1102	42-43	-0.16203310104823032
1102	44-45	-0.2062898154286117
1102	46-47	-0.16431836638670916
1102	48-49	-0.20407525844956353
1102	50-51	-0.01791366987621501
1102	52-53	-0.2602182333496401
1102	54-55	-0.4045666564518271
1102	56-57	0.008085134725845933
1102	58-59	-0.22513844175349362
1102	60-61	-0.48701054467389326
1102	62-63	-0.34017689341788326
1102	64-65	-0.8221235295709306
1102	66-67	-0.143898994527639
1102	68-69	-0.35023093238072533
1102	70-71	-0.1935556380706771
1102	72-73	-0.4021706191047656
1102	74-75	-0.5175282989608334
1102	76-77	-0.06569130988869887
1102	78-79	-0.28073016211163093
1102	80-81	-0.22135669107041878
1102	82-83	-0.45072781974901943
1102	84-85	-0.56891102062567
1102	86-87	-0.2395581547223813
1102	88-89	-0.4731524727220986
1102	90-91	-0.637624715308732
1102	92-93	-0.0959887515287221
1102	94-95	-0.43331857044228883
1103	1	-0.02542221083886176
1103	2	0.05170873337633708
1103	3	0.17793391839933292
1103	4	-0.05718211696693487
1103	5	-0.026191843188364317
1103	6	0.1418167759834219
1103	7	0.13375650411348516
1103	8	0.015479266123428204
1103	9	-0.2175791976814736
1103	10-11	-0.04801256790339892
1103	12-13	0.25061524558504544
1103	14-15	-0.06995286953419111
1103	16-17	-0.014961537657114832
1103	18-19	-0.12695195000324588
1103	20-21	-0.1716816069394156
1103	22-23	-0.09214904744183627
1103	24-25	-0.10333435151594017
1103	26-27	-0.13845979857870816
1103	28-29	-0.20914240821102936
1103	30-31	-0.40059077198468884
1103	32-33	-0.19123572462353877
1103	34-35	-0.23469195021096567
1103	36-37	-0.19708279430475528
1103	38-39	0.037150037847666795
1103	40-41	-0.39560197906947536
1103	42-43	-0.32255788582129696
1103	44-45	-0.43087449606087347
1103	46-47	-0.46915737127113033
1103	48-49	-0.24517667259840437
1103	50-51	-0.24019390167153887
1103	52-53	-0.4843297945717282
1103	54-55	0.05897660360381707
1103	56-57	-0.3249024879728921
1103	58-59	-0.4247953000104374
1103	60-61	0.10229754482696762
1103	62-63	-0.23175218561831912
1103	64-65	-0.05665028018467666
1103	66-67	-0.048828925112019306
1103	68-69	-0.14459741354963285
1103	70-71	-0.29483403168316613
1103	72-73	0.11590044748588468
1103	74-75	-0.481814952185843
1103	76-77	-0.3797020789803085
1103	78-79	-0.043887516180014075
1103	80-81	-0.2743286106381362
1103	82-83	-0.44989958618715775
1103	84-85	-0.2612187129333634
1103	86-87	-0.4565237085876106
1103	88-89	-0.18359132380160048
1103	90-91	-0.5423846801029342
1103	92-93	-0.42954998606914785
1103	94-95	0.6241462182901074
1104	1	-0.17187382374208937
1104	2	-0.4241192236129052
1104	3	-0.4871413504178719
1104	4	-0.34169824599918996
1104	5	-0.17737463888728655
1104	6	-0.27710795519936937
1104	7	-0.2102865066391999
1104	8	0.296339481177192
1104	9	0.2466358560819657
1104	10-11	-0.07855020231200172
1104	12-13	-0.099664324307426
1104	14-15	-0.15621093405032127
1104	16-17	-0.2510045484098029
1104	18-19	-0.08454334785270845
1104	20-21	-0.46995434509788936
1104	22-23	-0.11428554279846992
1104	24-25	-0.10258650773315026
1104	26-27	-0.3763765604805087
1104	28-29	-0.17688615232140137
1104	30-31	-0.044344754882111204
1104	32-33	-0.2051506413945603
1104	34-35	-0.3801371225473602
1104	36-37	-0.1649554678139893
1104	38-39	-0.012814844574066342
1104	40-41	-0.01797212790171443
1104	42-43	-0.01798297979374297
1104	44-45	-0.24954621026555657
1104	46-47	0.008607272853161874
1104	48-49	-0.15420437469013848
1104	50-51	-0.23433579827993611
1104	52-53	0.06583644289973734
1104	54-55	-0.04808213651312343
1104	56-57	-0.297386653017071
1104	58-59	-0.3259294200410494
1104	60-61	-0.25413390425394766
1104	62-63	-0.3066894150276269
1104	64-65	-0.2887896317251091
1104	66-67	-0.2684500609981839
1104	68-69	-0.36615212222396565
1104	70-71	-0.29156680564706505
1104	72-73	-0.2070726863686403
1104	74-75	-0.028722382654912337
1104	76-77	-0.3102429018953714
1104	78-79	-0.44390191031464354
1104	80-81	-0.4014006655115381
1104	82-83	-0.22260583672455425
1104	84-85	-0.17266264677672893
1104	86-87	-0.33444182705450487
1104	88-89	-0.5175515614824135
1104	90-91	-0.6277789430897514
1104	92-93	0.044437803791453234
1104	94-95	-1.109568570442292
1105	1	-0.7246666165348827
1105	2	-0.6159750794687611
1105	3	-0.5961143233908501
1105	4	-0.25413067843162196
1105	5	-0.4663836478962935
1105	6	-0.3084593065507235
1105	7	-0.527475695828393
1105	8	-0.23555241071470334
1105	9	-0.2537605403144241
1105	10-11	-0.334586238348038
1105	12-13	-0.40730396394706503
1105	14-15	-0.20536408720347765
1105	16-17	-0.10952707093233016
1105	18-19	-0.13038118569054546
1105	20-21	-0.12260816222359949
1105	22-23	-0.24514909768081594
1105	24-25	-0.17471304464952198
1105	26-27	-0.3237980829578433
1105	28-29	-0.5890456166787317
1105	30-31	-0.3381391419801574
1105	32-33	-0.32317627395823934
1105	34-35	-0.16476289625656904
1105	36-37	-0.15751743315740185
1105	38-39	-0.43920787787918414
1105	40-41	-0.31611719803200344
1105	42-43	-0.1765701967790534
1105	44-45	-0.27663491816557695
1105	46-47	0.04008969456095457
1105	48-49	-0.5371655185308484
1105	50-51	-0.11925628294483914
1105	52-53	-0.09994876139389675
1105	54-55	-0.035481778753556625
1105	56-57	-0.12553346055621262
1105	58-59	0.10839867627044697
1105	60-61	-0.2480652239002481
1105	62-63	0.0769770494187938
1105	64-65	0.007051277732145422
1105	66-67	0.19417741260757992
1105	68-69	0.031143987785540617
1105	70-71	-0.11445452443210513
1105	72-73	-0.23962014354230377
1105	74-75	-0.16752791369345488
1105	76-77	-0.30802360835081544
1105	78-79	-0.2695883519120912
1105	80-81	0.07430858540424623
1105	82-83	0.24731345530282312
1105	84-85	0.10359918580294192
1105	86-87	-0.41103887865155286
1105	88-89	0.0647481888381165
1105	90-91	0.29198311506755203
1105	92-93	-0.13272062371774496
1105	94-95	0.22849961137589503
1106	1	-0.501185993054257
1106	2	-0.3262567897504738
1106	3	-0.1786969059734318
1106	4	-0.4682590925600394
1106	5	-0.35261273412537975
1106	6	-0.3772137753051936
1106	7	-0.06209603044872836
1106	8	-0.32672930189159644
1106	9	-0.5451948317487165
1106	10-11	-0.322888826650626
1106	12-13	-0.19306114970425625
1106	14-15	-0.3442744261138131
1106	16-17	-0.00975587116112564
1106	18-19	-4.7985578921583283E-4
1106	20-21	-0.04652274883927987
1106	22-23	-0.12129134453248724
1106	24-25	-0.21410520282088896
1106	26-27	-0.09433145591017222
1106	28-29	0.1640207468945789
1106	30-31	-0.1827127779943467
1106	32-33	-0.09779166712566223
1106	34-35	-0.24362283647110416
1106	36-37	-0.22903745936162778
1106	38-39	-0.36021817559252156
1106	40-41	-0.16601183770164596
1106	42-43	-0.17479234578365777
1106	44-45	-0.26462397457439124
1106	46-47	-0.5020991064574076
1106	48-49	-0.3926954341137048
1106	50-51	-0.40184175017162715
1106	52-53	-0.526067440769566
1106	54-55	-0.20080196299523578
1106	56-57	-0.11433535238644765
1106	58-59	-0.29882554633596214
1106	60-61	-0.2575617005448052
1106	62-63	-0.19055164457783036
1106	64-65	-0.07970385743267627
1106	66-67	-0.09973635381300738
1106	68-69	-0.3101378575720588
1106	70-71	-0.36606443034298763
1106	72-73	-0.12693307262253484
1106	74-75	-0.3766490174236523
1106	76-77	-0.08240993408542607
1106	78-79	-0.2938594513862185
1106	80-81	0.004132665573941097
1106	82-83	-0.06554329043476059
1106	84-85	0.1387080269933776
1106	86-87	-0.22155876756598758
1106	88-89	-0.26993670590077556
1106	90-91	-0.22112100214940256
1106	92-93	0.15304730799120847
1106	94-95	-0.953318570442292
1107	1	-0.3817020024362492
1107	2	-0.15874465316617403
1107	3	-0.035512484438491754
1107	4	-0.32272917383424016
1107	5	-0.17318219902474397
1107	6	-0.551953316024111
1107	7	-0.14653392931961662
1107	8	-0.2292275291320891
1107	9	-0.23537101677026584
1107	10-11	-0.26384229853192664
1107	12-13	-0.09103202190193116
1107	14-15	0.009472914746922356
1107	16-17	-0.36312138689778095
1107	18-19	-0.1317186055846733
1107	20-21	-0.42792720127970085
1107	22-23	-0.3378710157360345
1107	24-25	-0.1624418879289493
1107	26-27	-0.16800719808470888
1107	28-29	-0.37517551126920523
1107	30-31	-0.5799723896432951
1107	32-33	-0.42557404384980657
1107	34-35	-0.7468168491957741
1107	36-37	-0.43839280001409975
1107	38-39	-0.2637916524857715
