##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	2A_S215_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3087430
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.66064850053281	37.0	37.0	37.0	37.0	37.0
2	36.377547021308985	37.0	37.0	37.0	37.0	37.0
3	36.60792309461267	37.0	37.0	37.0	37.0	37.0
4	36.61856171637899	37.0	37.0	37.0	37.0	37.0
5	36.57164761630223	37.0	37.0	37.0	37.0	37.0
6	36.575220814722925	37.0	37.0	37.0	37.0	37.0
7	36.56875524303385	37.0	37.0	37.0	37.0	37.0
8	36.57623006837402	37.0	37.0	37.0	37.0	37.0
9	36.5701544650405	37.0	37.0	37.0	37.0	37.0
10-11	36.569998348140686	37.0	37.0	37.0	37.0	37.0
12-13	36.570197219046264	37.0	37.0	37.0	37.0	37.0
14-15	36.55889429072076	37.0	37.0	37.0	37.0	37.0
16-17	36.5623006837402	37.0	37.0	37.0	37.0	37.0
18-19	36.556982020645	37.0	37.0	37.0	37.0	37.0
20-21	36.56527860003443	37.0	37.0	37.0	37.0	37.0
22-23	36.565086147292575	37.0	37.0	37.0	37.0	37.0
24-25	36.5695329419605	37.0	37.0	37.0	37.0	37.0
26-27	36.56933429499365	37.0	37.0	37.0	37.0	37.0
28-29	36.56191268960492	37.0	37.0	37.0	37.0	37.0
30-31	36.56849852780614	37.0	37.0	37.0	37.0	37.0
32-33	36.5582174884876	37.0	37.0	37.0	37.0	37.0
34-35	36.55418483059903	37.0	37.0	37.0	37.0	37.0
36-37	36.544369503376124	37.0	37.0	37.0	37.0	37.0
38-39	36.54032670798395	37.0	37.0	37.0	37.0	37.0
40-41	36.53018783923341	37.0	37.0	37.0	37.0	37.0
42-43	36.51901784866347	37.0	37.0	37.0	37.0	37.0
44-45	36.50417981871685	37.0	37.0	37.0	37.0	37.0
46-47	36.4948067299617	37.0	37.0	37.0	37.0	37.0
48-49	36.48690523354888	37.0	37.0	37.0	37.0	37.0
50-51	36.481366746946804	37.0	37.0	37.0	37.0	37.0
52-53	36.4690164132242	37.0	37.0	37.0	37.0	37.0
54-55	36.46122830065448	37.0	37.0	37.0	37.0	37.0
56-57	36.44375037754125	37.0	37.0	37.0	37.0	37.0
58-59	36.4366554696649	37.0	37.0	37.0	37.0	37.0
60-61	36.41459044954717	37.0	37.0	37.0	37.0	37.0
62-63	36.41801811279184	37.0	37.0	37.0	37.0	37.0
64-65	36.42247382275939	37.0	37.0	37.0	37.0	37.0
66-67	36.41856116296245	37.0	37.0	37.0	37.0	37.0
68-69	36.42109710182769	37.0	37.0	37.0	37.0	37.0
70-71	36.41945431821064	37.0	37.0	37.0	37.0	37.0
72-73	36.416187885640696	37.0	37.0	37.0	37.0	37.0
74-75	36.39704027500967	37.0	37.0	37.0	37.0	37.0
76-77	36.36769206974023	37.0	37.0	37.0	37.0	37.0
78-79	36.32786473697385	37.0	37.0	37.0	37.0	37.0
80-81	36.303110701910974	37.0	37.0	37.0	37.0	37.0
82-83	36.28022158695269	37.0	37.0	37.0	37.0	37.0
84-85	36.26007006682124	37.0	37.0	37.0	37.0	37.0
86-87	36.22360130943168	37.0	37.0	37.0	37.0	37.0
88-89	36.19558953204928	37.0	37.0	37.0	37.0	37.0
90-91	36.14971293611629	37.0	37.0	37.0	37.0	37.0
92-93	36.09289892603793	37.0	37.0	37.0	37.0	37.0
94-95	36.01583927358823	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.29528554713888155
1101	2	-0.3141262245310159
1101	3	-0.32912067790970667
1101	4	-0.34814192460197546
1101	5	-0.21818549771212048
1101	6	-0.3431362150203796
1101	7	-0.1846442670167292
1101	8	-0.3877983763327748
1101	9	-0.335512619436237
1101	10-11	-0.24267949781182097
1101	12-13	-0.445266399066675
1101	14-15	-0.422145771520384
1101	16-17	-0.4410641997261422
1101	18-19	-0.4751065602287028
1101	20-21	-0.4336183098055386
1101	22-23	-0.2765138541500676
1101	24-25	-0.17104226002972922
1101	26-27	-0.16368320232421496
1101	28-29	-0.22478270348344864
1101	30-31	-0.26069238180118504
1101	32-33	-0.08907190697758693
1101	34-35	-0.18948019485858225
1101	36-37	-0.21767768824305733
1101	38-39	-0.24300949496726076
1101	40-41	-0.30089563894861016
1101	42-43	-0.3120599265529336
1101	44-45	-0.2778453625182493
1101	46-47	-0.16547718954660695
1101	48-49	-0.10352517230989378
1101	50-51	-0.14645852782453517
1101	52-53	-0.15739385685790097
1101	54-55	-0.013268447575072173
1101	56-57	-0.11560596868437045
1101	58-59	-0.10532686670421754
1101	60-61	-0.03774286868427623
1101	62-63	-0.2087331143261153
1101	64-65	-0.2291343066292768
1101	66-67	0.01611083001292002
1101	68-69	0.06318608688865623
1101	70-71	0.05401507452290133
1101	72-73	-0.1299791468928575
1101	74-75	-0.1285959134457073
1101	76-77	-0.033614548398404054
1101	78-79	-0.19905333756138788
1101	80-81	0.10236815283887779
1101	82-83	0.036304092393208975
1101	84-85	0.046927050618656097
1101	86-87	-0.16835714531241308
1101	88-89	-0.17855337735764465
1101	90-91	-0.13099756825159403
1101	92-93	-0.18301338978786674
1101	94-95	0.7140048515350159
1102	1	-0.4173217022062232
1102	2	-0.5158740307360006
1102	3	-0.3724784419709266
1102	4	-0.42745292385188094
1102	5	-0.4322797081417278
1102	6	-0.6785933046007173
1102	7	-0.20517089831758284
1102	8	-0.32014393707973454
1102	9	-0.33143832110421556
1102	10-11	-0.38983321257780545
1102	12-13	-0.22886768717756212
1102	14-15	-0.2095773519264057
1102	16-17	-0.3525412194785815
1102	18-19	-0.18863518876415242
1102	20-21	-0.08158696904859397
1102	22-23	-0.13366120098132228
1102	24-25	-0.14945940614658326
1102	26-27	-0.0322358482615428
1102	28-29	-0.1383571901132754
1102	30-31	-0.33326562696453266
1102	32-33	-0.31353254887545035
1102	34-35	-0.25546892135816535
1102	36-37	-0.31764639159207775
1102	38-39	-0.22984980033748315
1102	40-41	-0.2726411647394471
1102	42-43	-0.13500861543550968
1102	44-45	-0.2688013864843981
1102	46-47	-0.2255185908376447
1102	48-49	-0.05515361122515117
1102	50-51	-0.12325867681534675
1102	52-53	-0.3369695678672713
1102	54-55	-0.17266866598188102
1102	56-57	-0.11611470046594974
1102	58-59	-0.20701536751946037
1102	60-61	-0.2259999116722895
1102	62-63	-0.305688992286143
1102	64-65	-0.20697982559293138
1102	66-67	-0.088083814579754
1102	68-69	-0.07703222018385247
1102	70-71	-0.11476957704413593
1102	72-73	-0.041701166604248385
1102	74-75	-0.14149805338286114
1102	76-77	-0.11890709855100567
1102	78-79	-0.21931629445173684
1102	80-81	-0.42105585526587674
1102	82-83	-0.35211088047948635
1102	84-85	-0.3505031341147813
1102	86-87	-0.345476483564795
1102	88-89	-0.3288470809212072
1102	90-91	-0.7399940902816198
1102	92-93	0.30254666778201766
1102	94-95	-0.4451458607415475
1103	1	-0.06319879331299916
1103	2	-0.12107183646384101
1103	3	-0.07787022333444327
1103	4	0.00582316401784766
1103	5	-0.05091372430224084
1103	6	0.032345932840286196
1103	7	-0.04465297101520349
1103	8	-0.02209481305887806
1103	9	-0.021003173213237858
1103	10-11	-0.12249277915962153
