##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	2D_S217_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3216388
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.665651034638856	37.0	37.0	37.0	37.0	37.0
2	36.35688045099037	37.0	37.0	37.0	37.0	37.0
3	36.601543097412375	37.0	37.0	37.0	37.0	37.0
4	36.60574843582304	37.0	37.0	37.0	37.0	37.0
5	36.563808222142356	37.0	37.0	37.0	37.0	37.0
6	36.57589134146751	37.0	37.0	37.0	37.0	37.0
7	36.568232439618605	37.0	37.0	37.0	37.0	37.0
8	36.57473663003344	37.0	37.0	37.0	37.0	37.0
9	36.571601436145144	37.0	37.0	37.0	37.0	37.0
10-11	36.5716965739208	37.0	37.0	37.0	37.0	37.0
12-13	36.57470211927168	37.0	37.0	37.0	37.0	37.0
14-15	36.5616467913697	37.0	37.0	37.0	37.0	37.0
16-17	36.56806796941165	37.0	37.0	37.0	37.0	37.0
18-19	36.56332196240006	37.0	37.0	37.0	37.0	37.0
20-21	36.577631804041246	37.0	37.0	37.0	37.0	37.0
22-23	36.57513730457486	37.0	37.0	37.0	37.0	37.0
24-25	36.57595236923375	37.0	37.0	37.0	37.0	37.0
26-27	36.5749956009921	37.0	37.0	37.0	37.0	37.0
28-29	36.57197191940267	37.0	37.0	37.0	37.0	37.0
30-31	36.5759122512724	37.0	37.0	37.0	37.0	37.0
32-33	36.56194061357215	37.0	37.0	37.0	37.0	37.0
34-35	36.5595319504522	37.0	37.0	37.0	37.0	37.0
36-37	36.550812001608975	37.0	37.0	37.0	37.0	37.0
38-39	36.53796153746234	37.0	37.0	37.0	37.0	37.0
40-41	36.53350288726678	37.0	37.0	37.0	37.0	37.0
42-43	36.524672687283264	37.0	37.0	37.0	37.0	37.0
44-45	36.50696377332169	37.0	37.0	37.0	37.0	37.0
46-47	36.50073086263595	37.0	37.0	37.0	37.0	37.0
48-49	36.4924778442477	37.0	37.0	37.0	37.0	37.0
50-51	36.48655589540029	37.0	37.0	37.0	37.0	37.0
52-53	36.47080387037827	37.0	37.0	37.0	37.0	37.0
54-55	36.46333660597009	37.0	37.0	37.0	37.0	37.0
56-57	36.449111919455945	37.0	37.0	37.0	37.0	37.0
58-59	36.440265490702544	37.0	37.0	37.0	37.0	37.0
60-61	36.4231929313613	37.0	37.0	37.0	37.0	37.0
62-63	36.42163317279265	37.0	37.0	37.0	37.0	37.0
64-65	36.42836268257386	37.0	37.0	37.0	37.0	37.0
66-67	36.42245271608202	37.0	37.0	37.0	37.0	37.0
68-69	36.42222615680264	37.0	37.0	37.0	37.0	37.0
70-71	36.414344081788386	37.0	37.0	37.0	37.0	37.0
72-73	36.42085953359824	37.0	37.0	37.0	37.0	37.0
74-75	36.389847259674724	37.0	37.0	37.0	37.0	37.0
76-77	36.35975019589068	37.0	37.0	37.0	37.0	37.0
78-79	36.32624069633433	37.0	37.0	37.0	37.0	37.0
80-81	36.2997584118607	37.0	37.0	37.0	37.0	37.0
82-83	36.2747634185203	37.0	37.0	37.0	37.0	37.0
84-85	36.26308351203707	37.0	37.0	37.0	37.0	37.0
86-87	36.22412290974136	37.0	37.0	37.0	37.0	37.0
88-89	36.19117460610396	37.0	37.0	37.0	37.0	37.0
90-91	36.16000688479596	37.0	37.0	37.0	37.0	37.0
92-93	36.09415794987702	37.0	37.0	37.0	37.0	37.0
94-95	35.927162911632834	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.28122754938028294
1101	2	-0.33075488924272634
1101	3	-0.15467063482839905
1101	4	-0.29453870791919456
1101	5	-0.1982244248066678
1101	6	-0.2778425103759119
1101	7	-0.45245903442773994
1101	8	-0.18959740868061203
1101	9	-0.16266355091441653
1101	10-11	-0.2752717972518255
1101	12-13	-0.3565354981607669
1101	14-15	-0.5211429831440668
1101	16-17	-0.453979902458407
1101	18-19	-0.4439062168666581
1101	20-21	-0.38622500239780777
1101	22-23	-0.29668101188027407
1101	24-25	-0.2995925576400893
1101	26-27	-0.022609692378942725
1101	28-29	-0.1077783736326765
1101	30-31	-0.17355932756365178
1101	32-33	-0.17843051121587905
1101	34-35	-0.22077728987950707
1101	36-37	-0.17777314349028472
1101	38-39	-0.3653652020230709
1101	40-41	-0.1445038895455113
1101	42-43	-0.20966916809913982
1101	44-45	-0.2930160125921333
1101	46-47	-0.2213038272322123
1101	48-49	-0.08316301115331015
1101	50-51	-0.2452415724533168
1101	52-53	-0.02988271267715703
1101	54-55	-0.17230245307648318
1101	56-57	-0.2388634801044489
1101	58-59	-0.08872053150831505
1101	60-61	0.008947731004660398
1101	62-63	-0.18509574537381468
1101	64-65	-0.01996524026127844
1101	66-67	-0.14321893522438245
1101	68-69	0.09424621966455504
1101	70-71	0.0446533197915997
1101	72-73	0.05280835241678972
1101	74-75	0.13284956367740364
1101	76-77	-0.2413093958932322
1101	78-79	-0.11598640840684737
1101	80-81	-0.39664072767880043
1101	82-83	-0.09920265412524287
1101	84-85	0.04384074162156537
1101	86-87	-0.12052993276944335
1101	88-89	-0.222453353322571
1101	90-91	-0.4148284092954455
1101	92-93	0.10425988015310139
1101	94-95	-1.5763168837859496
1102	1	-0.3732739677625787
1102	2	-0.37439466761532714
1102	3	-0.3508871621517926
1102	4	-0.5106020127229556
1102	5	-0.22978595064299867
1102	6	-0.3702909864121722
1102	7	-0.3683243396060192
1102	8	-0.34610523503576474
1102	9	-0.16901661261098866
1102	10-11	-0.2501521437924836
1102	12-13	-0.17892721797615252
1102	14-15	-0.20390641352199879
1102	16-17	-0.10952802270119122
1102	18-19	-0.1560632286419903
1102	20-21	-0.1438556517846763
1102	22-23	-0.051725847217909404
1102	24-25	-0.1618732102763616
1102	26-27	-0.08172358365934684
1102	28-29	-0.27016128465486844
1102	30-31	-0.0955678337121384
1102	32-33	-0.26150606681868993
1102	34-35	-0.33027692239566164
1102	36-37	-0.29521756742572336
1102	38-39	-0.15320419485890113
1102	40-41	-0.1201970534337562
1102	42-43	-0.0813086823044884
1102	44-45	-0.19830653481898253
1102	46-47	-0.1644929527231369
1102	48-49	0.00904630510239457
1102	50-51	-0.175845179305945
1102	52-53	-0.4983737272118347
1102	54-55	-0.13860550687611095
1102	56-57	-0.3483775199684871
1102	58-59	-0.38023615793982657
1102	60-61	-0.3083313523917681
1102	62-63	-0.45036823351752275
1102	64-65	-0.28189132898000224
1102	66-67	-0.25337578127356153
1102	68-69	-0.2538228377074958
1102	70-71	-0.07458130235519889
1102	72-73	-0.1751263834211585
1102	74-75	-0.38312178124041196
1102	76-77	-0.23056202368868384
1102	78-79	-0.41511799888798606
1102	80-81	-0.31605319136136245
1102	82-83	-0.45844476810588475
1102	84-85	-0.516147475768058
1102	86-87	-0.24490974189861703
1102	88-89	-0.5350406378388897
1102	90-91	-0.24530141669933414
1102	92-93	-0.006602744743084088
1102	94-95	-1.6985270679679658
1103	1	-0.01953704022783853
1103	2	-0.05202304579007233
1103	3	-0.18823964618928812
1103	4	0.0331608767600855
1103	5	-0.10967211417313649
1103	6	5.816880990465734E-4
1103	7	0.06686766256392929
1103	8	0.07716924260380864
1103	9	-0.12349924652168909
1103	10-11	-0.041149848980133186
