##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	3-6_S248_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	695851
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.621048184165865	37.0	37.0	37.0	37.0	37.0
2	36.349308975628404	37.0	37.0	37.0	37.0	37.0
3	36.5862620014917	37.0	37.0	37.0	37.0	37.0
4	36.58630798834808	37.0	37.0	37.0	37.0	37.0
5	36.521184851354676	37.0	37.0	37.0	37.0	37.0
6	36.520739353683474	37.0	37.0	37.0	37.0	37.0
7	36.513970663259805	37.0	37.0	37.0	37.0	37.0
8	36.510573384244616	37.0	37.0	37.0	37.0	37.0
9	36.51327223787851	37.0	37.0	37.0	37.0	37.0
10-11	36.50703814466028	37.0	37.0	37.0	37.0	37.0
12-13	36.50478478869758	37.0	37.0	37.0	37.0	37.0
14-15	36.489659424215816	37.0	37.0	37.0	37.0	37.0
16-17	36.48998708056753	37.0	37.0	37.0	37.0	37.0
18-19	36.47140839058937	37.0	37.0	37.0	37.0	37.0
20-21	36.48399983154305	37.0	37.0	37.0	37.0	37.0
22-23	36.48466907383049	37.0	37.0	37.0	37.0	37.0
24-25	36.48318823746888	37.0	37.0	37.0	37.0	37.0
26-27	36.49283418615896	37.0	37.0	37.0	37.0	37.0
28-29	36.48672021452323	37.0	37.0	37.0	37.0	37.0
30-31	36.49093826254126	37.0	37.0	37.0	37.0	37.0
32-33	36.48179783028989	37.0	37.0	37.0	37.0	37.0
34-35	36.48152719706482	37.0	37.0	37.0	37.0	37.0
36-37	36.47623425766345	37.0	37.0	37.0	37.0	37.0
38-39	36.464568921783076	37.0	37.0	37.0	37.0	37.0
40-41	36.45191644459577	37.0	37.0	37.0	37.0	37.0
42-43	36.4339697926864	37.0	37.0	37.0	37.0	37.0
44-45	36.43762036774466	37.0	37.0	37.0	37.0	37.0
46-47	36.42731705678678	37.0	37.0	37.0	37.0	37.0
48-49	36.41033244611086	37.0	37.0	37.0	37.0	37.0
50-51	36.40283641230974	37.0	37.0	37.0	37.0	37.0
52-53	36.3844288636037	37.0	37.0	37.0	37.0	37.0
54-55	36.379576666621375	37.0	37.0	37.0	37.0	37.0
56-57	36.36799691883107	37.0	37.0	37.0	37.0	37.0
58-59	36.36368173244644	37.0	37.0	37.0	37.0	37.0
60-61	36.34162040869786	37.0	37.0	37.0	37.0	37.0
62-63	36.34007436306207	37.0	37.0	37.0	37.0	37.0
64-65	36.34690968033544	37.0	37.0	37.0	37.0	37.0
66-67	36.34037390487147	37.0	37.0	37.0	37.0	37.0
68-69	36.3409449370694	37.0	37.0	37.0	37.0	37.0
70-71	36.34407397373769	37.0	37.0	37.0	37.0	37.0
72-73	36.33881241360017	37.0	37.0	37.0	37.0	37.0
74-75	36.32028727741205	37.0	37.0	37.0	37.0	37.0
76-77	36.29507441491026	37.0	37.0	37.0	37.0	37.0
78-79	36.260525832142804	37.0	37.0	37.0	37.0	37.0
80-81	36.23262190188751	37.0	37.0	37.0	37.0	37.0
82-83	36.20171582681188	37.0	37.0	37.0	37.0	37.0
84-85	36.1924789945828	37.0	37.0	37.0	37.0	37.0
86-87	36.15384541267325	37.0	37.0	37.0	37.0	37.0
88-89	36.13750136802736	37.0	37.0	37.0	37.0	37.0
90-91	36.090917706195214	37.0	37.0	37.0	37.0	37.0
92-93	36.047631392780204	37.0	37.0	37.0	37.0	37.0
94-95	35.90744203257319	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.31468165514967694
1101	2	-0.5030269410179926
1101	3	-0.4938444031733624
1101	4	-0.24538595816871123
1101	5	-0.15409250152719522
1101	6	-0.5224350945787037
1101	7	-0.14078338218140374
1101	8	-0.01790367384292324
1101	9	-0.15072830408023918
1101	10-11	-0.5377349848031159
1101	12-13	-0.5066133766247276
1101	14-15	-0.22356215936174095
1101	16-17	-0.4799051880983356
1101	18-19	-0.29618954668138997
1101	20-21	-0.6757494104513952
1101	22-23	-0.06905463436103787
1101	24-25	-0.4245744403556415
1101	26-27	-0.22387117488499086
1101	28-29	-0.3337892152869486
1101	30-31	-0.36218343599740166
1101	32-33	-0.3111904961617782
1101	34-35	-0.3630863735195291
1101	36-37	-0.19679029195378916
1101	38-39	-0.4997171444889972
1101	40-41	-0.45353936855571675
1101	42-43	-0.4618509321202211
1101	44-45	-0.3483222714714742
1101	46-47	-0.44804044608850546
1101	48-49	-0.395933940919555
1101	50-51	-0.04549078873827739
1101	52-53	0.076779303766358
1101	54-55	-0.35460512327914984
1101	56-57	-0.07000921758767475
1101	58-59	-0.3287940391619202
1101	60-61	-0.26230079516792415
1101	62-63	-0.19287962542789927
1101	64-65	-0.12220780291627165
1101	66-67	0.3454753423431427
1101	68-69	0.022386140408706012
1101	70-71	-0.09741008271246443
1101	72-73	-0.5151166656122257
1101	74-75	-0.12168115490365494
1101	76-77	-0.059045595775941706
1101	78-79	-0.565847165100763
1101	80-81	-0.49396749013894237
1101	82-83	-0.5876713712045145
1101	84-85	-0.7155039838212147
1101	86-87	-0.17610593659470908
1101	88-89	-1.1859857256172788
1101	90-91	-0.7478777370918621
1101	92-93	-0.9550140431549607
1101	94-95	-3.9512260030597766
1102	1	-0.9812138047326684
1102	2	-1.1070086466946165
1102	3	-0.2834596843140673
1102	4	-0.06123207062499603
1102	5	-0.30784552816157174
1102	6	-0.8444689928837903
1102	7	-0.37080759525645846
1102	8	-0.3139757749997685
1102	9	-0.02428224543078983
1102	10-11	-0.37887030898928487
1102	12-13	-0.5161640895652724
1102	14-15	-0.40892670065848336
1102	16-17	-0.1655387635624166
1102	18-19	-0.2033055004075095
1102	20-21	-0.06632472967078229
1102	22-23	-0.13075977400597338
1102	24-25	-0.10100397895001834
1102	26-27	0.015557382612755077
1102	28-29	-0.2386501584175278
1102	30-31	-0.1792022604464023
1102	32-33	-0.24744859895290716
1102	34-35	-0.19404936102457526
1102	36-37	-0.2147489612934521
1102	38-39	0.06323704485984649
1102	40-41	-0.30709896626584765
1102	42-43	-0.16205003535586116
1102	44-45	-0.040708949960666985
1102	46-47	-0.45457147636413
1102	48-49	-0.17230258085425731
1102	50-51	-0.19041725796176934
1102	52-53	-0.4018365496140035
1102	54-55	0.06844463595038519
1102	56-57	0.06002169825993775
1102	58-59	-0.3527649922218785
1102	60-61	-0.44181407977171006
1102	62-63	-0.3947211221015081
1102	64-65	-0.20960916187429035
1102	66-67	-0.3083447639012036
1102	68-69	-0.031830314105590674
1102	70-71	-0.3632384064854719
1102	72-73	-0.31308975644708426
1102	74-75	0.2132875680148203
1102	76-77	-0.1467638248300176
1102	78-79	-0.47064448766124656
1102	80-81	-0.23179311970865513
1102	82-83	-0.31124992039804766
1102	84-85	-0.8489422990060902
1102	86-87	0.1475610326822192
1102	88-89	-0.43558615958303903
1102	90-91	-0.430292220271852
1102	92-93	-0.18431182870274654
1102	94-95	0.0013431669006962466
1103	1	-0.1252816013428415
1103	2	-0.06463576533867865
1103	3	-0.37668002329711925
1103	4	-0.21377444350635244
1103	5	-0.18072688409377946
1103	6	0.07078524440434819
1103	7	0.07834494711642037
1103	8	-0.254653741101464
1103	9	-0.11750258441384176
1103	10-11	0.09994325033274265
