##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	3B_S219_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1070509
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.65084833476412	37.0	37.0	37.0	37.0	37.0
2	36.43099217288225	37.0	37.0	37.0	37.0	37.0
3	36.627545401299756	37.0	37.0	37.0	37.0	37.0
4	36.632130136224916	37.0	37.0	37.0	37.0	37.0
5	36.58345235771021	37.0	37.0	37.0	37.0	37.0
6	36.575674749114675	37.0	37.0	37.0	37.0	37.0
7	36.56448754751244	37.0	37.0	37.0	37.0	37.0
8	36.575568257716654	37.0	37.0	37.0	37.0	37.0
9	36.56176547791751	37.0	37.0	37.0	37.0	37.0
10-11	36.55899950397428	37.0	37.0	37.0	37.0	37.0
12-13	36.5540028154831	37.0	37.0	37.0	37.0	37.0
14-15	36.55469968024556	37.0	37.0	37.0	37.0	37.0
16-17	36.54256339741188	37.0	37.0	37.0	37.0	37.0
18-19	36.528276735646315	37.0	37.0	37.0	37.0	37.0
20-21	36.54324831714415	37.0	37.0	37.0	37.0	37.0
22-23	36.536967910652535	37.0	37.0	37.0	37.0	37.0
24-25	36.54314565952089	37.0	37.0	37.0	37.0	37.0
26-27	36.54541176739893	37.0	37.0	37.0	37.0	37.0
28-29	36.54112717553838	37.0	37.0	37.0	37.0	37.0
30-31	36.538111950811526	37.0	37.0	37.0	37.0	37.0
32-33	36.530913400024104	37.0	37.0	37.0	37.0	37.0
34-35	36.524868035768094	37.0	37.0	37.0	37.0	37.0
36-37	36.514679672029956	37.0	37.0	37.0	37.0	37.0
38-39	36.505734731691184	37.0	37.0	37.0	37.0	37.0
40-41	36.492145770209845	37.0	37.0	37.0	37.0	37.0
42-43	36.473596415038145	37.0	37.0	37.0	37.0	37.0
44-45	36.47217942899208	37.0	37.0	37.0	37.0	37.0
46-47	36.4540094732189	37.0	37.0	37.0	37.0	37.0
48-49	36.42891432320803	37.0	37.0	37.0	37.0	37.0
50-51	36.43332755559027	37.0	37.0	37.0	37.0	37.0
52-53	36.41913239981345	37.0	37.0	37.0	37.0	37.0
54-55	36.410359084640774	37.0	37.0	37.0	37.0	37.0
56-57	36.4072354784155	37.0	37.0	37.0	37.0	37.0
58-59	36.3935689288489	37.0	37.0	37.0	37.0	37.0
60-61	36.37586759577684	37.0	37.0	37.0	37.0	37.0
62-63	36.37103724294431	37.0	37.0	37.0	37.0	37.0
64-65	36.37171990125218	37.0	37.0	37.0	37.0	37.0
66-67	36.37019256392985	37.0	37.0	37.0	37.0	37.0
68-69	36.37444622458906	37.0	37.0	37.0	37.0	37.0
70-71	36.38174056325819	37.0	37.0	37.0	37.0	37.0
72-73	36.37304474639443	37.0	37.0	37.0	37.0	37.0
74-75	36.358285959304396	37.0	37.0	37.0	37.0	37.0
76-77	36.325758395141406	37.0	37.0	37.0	37.0	37.0
78-79	36.29532187718462	37.0	37.0	37.0	37.0	37.0
80-81	36.25708759808148	37.0	37.0	37.0	37.0	37.0
82-83	36.22086907517545	37.0	37.0	37.0	37.0	37.0
84-85	36.208268602372414	37.0	37.0	37.0	37.0	37.0
86-87	36.16721361192863	37.0	37.0	37.0	37.0	37.0
88-89	36.141338552592444	37.0	37.0	37.0	37.0	37.0
90-91	36.110135730886185	37.0	37.0	37.0	37.0	37.0
92-93	36.09716531808381	37.0	37.0	37.0	37.0	37.0
94-95	35.908685291394654	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.5177150466429765
1101	2	-0.2948824376258159
1101	3	-0.5677801345727786
1101	4	-0.21161008868638476
1101	5	-0.21440083319506442
1101	6	0.06878730786278453
1101	7	-0.48874335158360793
1101	8	-0.05394920754719834
1101	9	-0.19972795422926737
1101	10-11	-0.3030063924840718
1101	12-13	-0.42134530843488704
1101	14-15	-0.43033005912701583
1101	16-17	-0.7049380484833847
1101	18-19	-0.3217027226653286
1101	20-21	-0.37759002436252587
1101	22-23	-0.08947467238182583
1101	24-25	-0.2519224697824143
1101	26-27	-0.05748426151974684
1101	28-29	-0.023676244546173564
1101	30-31	-0.1728552167056776
1101	32-33	0.0583701846328708
1101	34-35	0.06600574001770809
1101	36-37	-0.1645309295056876
1101	38-39	-0.2901866191583622
1101	40-41	-0.21644237173985914
1101	42-43	-0.07057588645316315
1101	44-45	0.041275279783505425
1101	46-47	-0.34524805746423937
1101	48-49	-0.1836054934017639
1101	50-51	-0.03521569235363131
1101	52-53	-0.010475805625652868
1101	54-55	-0.16119046369151846
1101	56-57	-0.10253824648454923
1101	58-59	0.0011363704820297471
1101	60-61	0.1004571988230083
1101	62-63	-0.1669559116246262
1101	64-65	-0.046341858702845684
1101	66-67	-0.27906832245153623
1101	68-69	-0.33194241881529507
1101	70-71	-0.00763819748615191
1101	72-73	0.048020457320305354
1101	74-75	-0.13493189631654445
1101	76-77	-0.239174565958173
1101	78-79	-0.17965673077713973
1101	80-81	-0.05317556699364445
1101	82-83	-0.480234416013964
1101	84-85	-0.18171181963840155
1101	86-87	-0.2786453777743034
1101	88-89	0.002025439319368161
1101	90-91	-0.19476445776228246
1101	92-93	-0.5340848712877815
1101	94-95	-0.9015050791520451
1102	1	-0.09896703772293591
1102	2	-0.4869340464184262
1102	3	-0.5839477038623571
1102	4	-0.2121835197153743
1102	5	-0.5206448599551763
1102	6	-0.20943824167528646
1102	7	-0.1608841607585063
1102	8	-0.14767332350769635
1102	9	-0.6270614999444604
1102	10-11	-0.36817842179276994
1102	12-13	-0.0586661112383311
1102	14-15	-0.19315261408081597
1102	16-17	-0.0891368379067714
1102	18-19	0.03984554111294614
1102	20-21	-0.21155930315699578
1102	22-23	-0.027194072238515332
1102	24-25	0.005992985012838403
1102	26-27	-0.18309109865062112
1102	28-29	-0.2075545361025135
1102	30-31	-0.47139119897114057
1102	32-33	0.06767559039614213
1102	34-35	-0.31800503698966054
1102	36-37	-0.33967735586979586
1102	38-39	-0.1962575825438151
1102	40-41	-0.17951291960717697
1102	42-43	-0.10503926877147762
1102	44-45	-0.28393828428612267
1102	46-47	-0.29850485881181754
1102	48-49	-0.3696726958734118
1102	50-51	-0.2590612400917749
1102	52-53	-0.4314765050911973
1102	54-55	-0.15941751654622038
1102	56-57	-0.2109938080814473
1102	58-59	-0.060828114333553174
1102	60-61	-0.49158661477252963
1102	62-63	-0.925970178810104
1102	64-65	-0.30011308021126837
1102	66-67	-0.38483337434168874
1102	68-69	-0.5906019749959412
1102	70-71	-0.1316013621769585
1102	72-73	-0.15060048958332573
1102	74-75	-0.42537850205450667
1102	76-77	-0.0991689547390493
1102	78-79	-0.24197516734799507
1102	80-81	-0.2294814212126255
1102	82-83	-0.2928753253776364
1102	84-85	-0.4119274001343598
1102	86-87	-0.7767385383489156
1102	88-89	-0.5321217662108921
1102	90-91	-0.9847418430192363
1102	92-93	-0.11945889550561617
1102	94-95	0.5323113459687292
1103	1	-0.02762640844797204
1103	2	-0.12872611208189966
1103	3	-9.791676106516434E-4
1103	4	0.04568241735713485
1103	5	0.09180384045522061
1103	6	-0.14055999270127728
1103	7	-0.15602779960939728
1103	8	0.15136908415304617
1103	9	0.1312148338448651
1103	10-11	-0.11287746420043021
