##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	3C_S220_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2485479
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.67699827679091	37.0	37.0	37.0	37.0	37.0
2	36.38042284807074	37.0	37.0	37.0	37.0	37.0
3	36.61653588704632	37.0	37.0	37.0	37.0	37.0
4	36.618759200942755	37.0	37.0	37.0	37.0	37.0
5	36.58090895155421	37.0	37.0	37.0	37.0	37.0
6	36.584787479596486	37.0	37.0	37.0	37.0	37.0
7	36.57941950022511	37.0	37.0	37.0	37.0	37.0
8	36.57947180402651	37.0	37.0	37.0	37.0	37.0
9	36.57718089752519	37.0	37.0	37.0	37.0	37.0
10-11	36.578367791480034	37.0	37.0	37.0	37.0	37.0
12-13	36.579373633814654	37.0	37.0	37.0	37.0	37.0
14-15	36.56883522250641	37.0	37.0	37.0	37.0	37.0
16-17	36.567906226526155	37.0	37.0	37.0	37.0	37.0
18-19	36.56324595782141	37.0	37.0	37.0	37.0	37.0
20-21	36.57400318094694	37.0	37.0	37.0	37.0	37.0
22-23	36.57069423109716	37.0	37.0	37.0	37.0	37.0
24-25	36.57170671608476	37.0	37.0	37.0	37.0	37.0
26-27	36.57155190138137	37.0	37.0	37.0	37.0	37.0
28-29	36.5696133297306	37.0	37.0	37.0	37.0	37.0
30-31	36.57157352255278	37.0	37.0	37.0	37.0	37.0
32-33	36.56254138391487	37.0	37.0	37.0	37.0	37.0
34-35	36.55733547360222	37.0	37.0	37.0	37.0	37.0
36-37	36.54915124584622	37.0	37.0	37.0	37.0	37.0
38-39	36.53738072453168	37.0	37.0	37.0	37.0	37.0
40-41	36.528583692479614	37.0	37.0	37.0	37.0	37.0
42-43	36.520142905756074	37.0	37.0	37.0	37.0	37.0
44-45	36.50421358026716	37.0	37.0	37.0	37.0	37.0
46-47	36.49863543894871	37.0	37.0	37.0	37.0	37.0
48-49	36.48379049301083	37.0	37.0	37.0	37.0	37.0
50-51	36.47966953478738	37.0	37.0	37.0	37.0	37.0
52-53	36.462157312479	37.0	37.0	37.0	37.0	37.0
54-55	36.45827298734345	37.0	37.0	37.0	37.0	37.0
56-57	36.445237882425964	37.0	37.0	37.0	37.0	37.0
58-59	36.4357113254693	37.0	37.0	37.0	37.0	37.0
60-61	36.415538434589	37.0	37.0	37.0	37.0	37.0
62-63	36.41002104997534	37.0	37.0	37.0	37.0	37.0
64-65	36.42070868527841	37.0	37.0	37.0	37.0	37.0
66-67	36.415794472172465	37.0	37.0	37.0	37.0	37.0
68-69	36.4146536923363	37.0	37.0	37.0	37.0	37.0
70-71	36.41099125749527	37.0	37.0	37.0	37.0	37.0
72-73	36.417263606868026	37.0	37.0	37.0	37.0	37.0
74-75	36.39175870457093	37.0	37.0	37.0	37.0	37.0
76-77	36.358017637214544	37.0	37.0	37.0	37.0	37.0
78-79	36.32572559724754	37.0	37.0	37.0	37.0	37.0
80-81	36.2942260879466	37.0	37.0	37.0	37.0	37.0
82-83	36.27125503184045	37.0	37.0	37.0	37.0	37.0
84-85	36.25180494363195	37.0	37.0	37.0	37.0	37.0
86-87	36.2159479961763	37.0	37.0	37.0	37.0	37.0
88-89	36.1828196662143	37.0	37.0	37.0	37.0	37.0
90-91	36.14771208429514	37.0	37.0	37.0	37.0	37.0
92-93	36.09008733733472	37.0	37.0	37.0	37.0	37.0
94-95	35.89684927446919	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.16897547035004834
1101	2	-0.050906052289484194
1101	3	-0.3518926767938666
1101	4	-0.05214451489003835
1101	5	-0.3893410422593391
1101	6	-0.22695295111649472
1101	7	-0.30359176322572523
1101	8	-0.16736786212837984
1101	9	-0.2403664117358133
1101	10-11	-0.4372001877749838
1101	12-13	-0.21387430067362345
1101	14-15	-0.3309552794463002
1101	16-17	-0.574546082493967
1101	18-19	-0.4122898545100284
1101	20-21	-0.2760984359525338
1101	22-23	-0.35509525608257064
1101	24-25	-0.1900371371523164
1101	26-27	-0.12874779390461555
1101	28-29	-0.2631187731806648
1101	30-31	-0.1495156300710434
1101	32-33	-0.12801561957410001
1101	34-35	-0.07965527298159003
1101	36-37	-0.2777368358893213
1101	38-39	-0.2095567347648597
1101	40-41	-0.11748745382650583
1101	42-43	-0.20101968513967705
1101	44-45	-0.2672653374173919
1101	46-47	-0.13749017685694298
1101	48-49	-0.19762871459902698
1101	50-51	-0.17364841897872196
1101	52-53	0.002105165643150997
1101	54-55	0.032042480154970576
1101	56-57	-0.05075752942626366
1101	58-59	-0.23085077961504652
1101	60-61	-0.16370387071296477
1101	62-63	-0.1955686809515811
1101	64-65	0.02850347820725574
1101	66-67	-0.0052485430159947555
1101	68-69	-0.05656063908628539
1101	70-71	-0.06792998462149313
1101	72-73	-0.2830665842677931
1101	74-75	-0.20534432594694607
1101	76-77	-0.045090102078816585
1101	78-79	-0.10871172983556932
1101	80-81	-0.2575495881131715
1101	82-83	-0.18693233533470988
1101	84-85	-0.3225493797826431
1101	86-87	-0.14253687945173965
1101	88-89	-0.2792155370478966
1101	90-91	-0.08667965247995824
1101	92-93	-0.31073770920598065
1101	94-95	-0.040112266967675225
1102	1	-0.24911221233936942
1102	2	-0.5247514130336981
1102	3	-0.24124414171923547
1102	4	-0.44462162258346893
1102	5	-0.43934611931339873
1102	6	-0.4438525113655061
1102	7	-0.27804767226574967
1102	8	-0.2564037686168561
1102	9	-0.47631403736686906
1102	10-11	-0.2196497231594421
1102	12-13	-0.22065672417284077
1102	14-15	-0.23351359396850313
1102	16-17	-0.15853878195059679
1102	18-19	-0.2498058993026646
1102	20-21	-0.15732717988966272
1102	22-23	0.04952101542004783
1102	24-25	-0.1722249210120168
1102	26-27	-0.18466169563801316
1102	28-29	-0.20785454372561674
1102	30-31	-0.16035332836982974
1102	32-33	-0.1262695440217314
1102	34-35	-0.3111107793475938
1102	36-37	-0.29251230082770263
1102	38-39	-0.2925810724217044
1102	40-41	-0.20283124632940286
1102	42-43	-0.21033782879054286
1102	44-45	-0.18957256806832135
1102	46-47	-0.2304499024669724
1102	48-49	-0.23642856206763696
1102	50-51	-0.07084780356580467
1102	52-53	-0.039536766829087355
1102	54-55	-0.18185494656536605
1102	56-57	-0.1955736702552784
1102	58-59	-0.15929089827817222
1102	60-61	-0.37242718726948
1102	62-63	-0.121130999017808
1102	64-65	-0.170273281077165
1102	66-67	-0.11506619266829432
1102	68-69	-0.02868579734754917
1102	70-71	-0.02020022974112834
1102	72-73	-0.14891971181599217
1102	74-75	-0.4105896856616269
1102	76-77	-0.37727101650453676
1102	78-79	-0.3609493776616475
1102	80-81	-0.28563632106504855
1102	82-83	-0.5333771554497915
1102	84-85	-0.5468303787341
1102	86-87	-0.20836076060112418
1102	88-89	-0.4549327269464314
1102	90-91	-0.38847776398368694
1102	92-93	-0.08767144736557952
1102	94-95	-0.22465559249460654
1103	1	-0.10097971455847699
1103	2	-0.02573207095151986
1103	3	0.09127862070641868
1103	4	-0.4805339002079876
1103	5	-0.24020080653933462
1103	6	-0.10646632349376972
1103	7	0.06838501845760447
1103	8	-0.08050722404077248
1103	9	0.02471977274161219
