##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	4C_S222_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2261919
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.63928947057786	37.0	37.0	37.0	37.0	37.0
2	36.36171542835972	37.0	37.0	37.0	37.0	37.0
3	36.58338207513178	37.0	37.0	37.0	37.0	37.0
4	36.589940223323644	37.0	37.0	37.0	37.0	37.0
5	36.54378295597676	37.0	37.0	37.0	37.0	37.0
6	36.54651249668976	37.0	37.0	37.0	37.0	37.0
7	36.53821688575055	37.0	37.0	37.0	37.0	37.0
8	36.53953700375654	37.0	37.0	37.0	37.0	37.0
9	36.533106181078985	37.0	37.0	37.0	37.0	37.0
10-11	36.529961064034566	37.0	37.0	37.0	37.0	37.0
12-13	36.53330645350253	37.0	37.0	37.0	37.0	37.0
14-15	36.5192617419103	37.0	37.0	37.0	37.0	37.0
16-17	36.521767136665815	37.0	37.0	37.0	37.0	37.0
18-19	36.512711993665555	37.0	37.0	37.0	37.0	37.0
20-21	36.52499696268619	37.0	37.0	37.0	37.0	37.0
22-23	36.52103466824609	37.0	37.0	37.0	37.0	37.0
24-25	36.52646001334819	37.0	37.0	37.0	37.0	37.0
26-27	36.52303304750991	37.0	37.0	37.0	37.0	37.0
28-29	36.52019124511516	37.0	37.0	37.0	37.0	37.0
30-31	36.52552967273921	37.0	37.0	37.0	37.0	37.0
32-33	36.515307949019885	37.0	37.0	37.0	37.0	37.0
34-35	36.51238153635087	37.0	37.0	37.0	37.0	37.0
36-37	36.501077787868184	37.0	37.0	37.0	37.0	37.0
38-39	36.49184466948116	37.0	37.0	37.0	37.0	37.0
40-41	36.484468194149244	37.0	37.0	37.0	37.0	37.0
42-43	36.472409219052096	37.0	37.0	37.0	37.0	37.0
44-45	36.45801579274212	37.0	37.0	37.0	37.0	37.0
46-47	36.4502918396418	37.0	37.0	37.0	37.0	37.0
48-49	36.43637345259475	37.0	37.0	37.0	37.0	37.0
50-51	36.434174202794324	37.0	37.0	37.0	37.0	37.0
52-53	36.414996873115	37.0	37.0	37.0	37.0	37.0
54-55	36.40669379173451	37.0	37.0	37.0	37.0	37.0
56-57	36.3950293231113	37.0	37.0	37.0	37.0	37.0
58-59	36.37908987100994	37.0	37.0	37.0	37.0	37.0
60-61	36.363162568761005	37.0	37.0	37.0	37.0	37.0
62-63	36.36162312815905	37.0	37.0	37.0	37.0	37.0
64-65	36.36585901848837	37.0	37.0	37.0	37.0	37.0
66-67	36.366609127762146	37.0	37.0	37.0	37.0	37.0
68-69	36.369247926201595	37.0	37.0	37.0	37.0	37.0
70-71	36.36530564235148	37.0	37.0	37.0	37.0	37.0
72-73	36.36727082243322	37.0	37.0	37.0	37.0	37.0
74-75	36.343215151123275	37.0	37.0	37.0	37.0	37.0
76-77	36.31139063805813	37.0	37.0	37.0	37.0	37.0
78-79	36.27677041431568	37.0	37.0	37.0	37.0	37.0
80-81	36.24583884700763	37.0	37.0	37.0	37.0	37.0
82-83	36.2140391873721	37.0	37.0	37.0	37.0	37.0
84-85	36.201941847182376	37.0	37.0	37.0	37.0	37.0
86-87	36.15804006387901	37.0	37.0	37.0	37.0	37.0
88-89	36.13232626338164	37.0	37.0	37.0	37.0	37.0
90-91	36.09920268733683	37.0	37.0	37.0	37.0	37.0
92-93	36.037168269836954	37.0	37.0	37.0	37.0	37.0
94-95	35.88882244699772	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.35765742099473385
1101	2	-0.17282835553019282
1101	3	-0.4407073220321607
1101	4	-0.007672369302106574
1101	5	-0.231007295813626
1101	6	0.010677422142386206
1101	7	-0.1936184952647224
1101	8	-0.1275987955559259
1101	9	-0.32155896344309554
1101	10-11	-0.3618788180589547
1101	12-13	-0.26181626120668966
1101	14-15	-0.4332927733440357
1101	16-17	-0.5182919509609434
1101	18-19	-0.577020558472924
1101	20-21	-0.3632522525242834
1101	22-23	-0.1848467524254147
1101	24-25	-0.24655294097561864
1101	26-27	-0.16575614024732488
1101	28-29	-0.054910294814440874
1101	30-31	-0.15781032952536123
1101	32-33	-0.12128913661227614
1101	34-35	-0.26739594528953603
1101	36-37	-0.286102096342681
1101	38-39	-0.17958662999603803
1101	40-41	-0.29376814671068985
1101	42-43	-0.23810625983424671
1101	44-45	-0.26498628985988404
1101	46-47	-0.04312169009744338
1101	48-49	-0.012884318445060217
1101	50-51	-0.1361670817602132
1101	52-53	-0.024265163645011967
1101	54-55	-0.14243155168165345
1101	56-57	-0.06588565808108626
1101	58-59	0.03729651692102465
1101	60-61	-0.18073560226558527
1101	62-63	-0.06252058370634472
1101	64-65	-0.0454917664469221
1101	66-67	-0.015016498393947586
1101	68-69	-0.03980334578471911
1101	70-71	-0.021831142854182417
1101	72-73	-0.05343975799324596
1101	74-75	0.018726653132397075
1101	76-77	-0.0663608103792015
1101	78-79	-0.044958895309370916
1101	80-81	-0.14528268098191433
1101	82-83	0.042501722003756015
1101	84-85	-0.02130582783514967
1101	86-87	-0.2816700018349394
1101	88-89	-0.18842374512417592
1101	90-91	-0.017420944131202987
1101	92-93	-0.34658303560600956
1101	94-95	-0.8397489532947944
1102	1	-0.5135184887505275
1102	2	-0.18232706421672873
1102	3	-0.5265134661296571
1102	4	-0.5288738983169381
1102	5	-0.3210596648831583
1102	6	-0.3400987678442533
1102	7	-0.3867485207171484
1102	8	-0.01241488074211361
1102	9	-0.19649003627691286
1102	10-11	-0.3207997846904149
1102	12-13	-0.23445100797529506
1102	14-15	-0.18189475906949326
1102	16-17	-0.16092990654225758
1102	18-19	-0.21292779574748977
1102	20-21	-0.10021939930528134
1102	22-23	0.040443267896066004
1102	24-25	-0.15232950869493322
1102	26-27	-0.14305052030652377
1102	28-29	-0.27132535833252547
1102	30-31	-0.3027191119413928
1102	32-33	-0.2704472565996525
1102	34-35	-0.5459413481738196
1102	36-37	-0.3716420892520702
1102	38-39	-0.35883684368105406
1102	40-41	-0.28428391081226323
1102	42-43	-0.12039367945757107
1102	44-45	-0.101939926409635
1102	46-47	-0.2186645529489013
1102	48-49	-0.21764516607936457
1102	50-51	-0.021450896938603137
1102	52-53	-0.40136820103474946
1102	54-55	0.033128304451359725
1102	56-57	-0.26584105931151925
1102	58-59	-0.38085511129229843
1102	60-61	-0.4903616360563632
1102	62-63	-0.6886512208753288
1102	64-65	-0.12233741372920548
1102	66-67	-0.43249528289283745
1102	68-69	-0.24588884924265386
1102	70-71	-0.04039187746244011
1102	72-73	-0.23534872907498539
1102	74-75	-0.1502460453140415
1102	76-77	-0.3285377544708368
1102	78-79	-0.48419380037686466
1102	80-81	-0.2746331962142179
1102	82-83	-0.5743574843873915
1102	84-85	-0.2516914823231531
1102	86-87	-0.2717459263082418
1102	88-89	-0.19381558507620866
1102	90-91	-0.37230749345123115
1102	92-93	0.06226729717203483
1102	94-95	0.7190443714805639
1103	1	-0.23072743486562075
1103	2	0.18564799087165795
1103	3	-0.037961081302427147
1103	4	0.023873341280378213
1103	5	-0.004629221560520591
1103	6	-0.21091243489327383
1103	7	-0.035779495008092965
1103	8	-0.0699290396120702
1103	9	0.052877024199794675
1103	10-11	-0.10872700818431014
