Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
1-1_S223_concat	1-1_S223_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2280791.0	0.0	20-95	44.0	78.9203220236068	74.38743663930627	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass	warn
1-2_S224_concat	1-2_S224_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2279020.0	0.0	20-95	44.0	72.53689902969127	73.69859062228501	pass	pass	warn	pass	fail	pass	pass	warn	pass	warn	pass	warn
1-3_S225_concat	1-3_S225_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	3067188.0	0.0	20-95	44.0	77.23787519005603	73.94242478778608	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass	warn
1-4_S226_concat	1-4_S226_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2536798.0	0.0	20-95	43.0	81.21679923814415	73.88742422534234	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass	warn
1-7_S239_concat	1-7_S239_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	774158.0	0.0	20-95	44.0	70.63699988499594	69.84836170394158	pass	pass	warn	pass	fail	warn	pass	warn	pass	warn	pass	warn
1-8_S240_concat	1-8_S240_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	775844.0	0.0	20-95	44.0	76.676881422567	69.13162955439496	pass	pass	warn	pass	fail	warn	pass	warn	pass	warn	pass	warn
1-9_S241_concat	1-9_S241_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	1405056.0	0.0	20-95	44.0	81.564305018849	71.47237547827275	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass	warn
1-ten_S242_concat	1-ten_S242_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	1623448.0	0.0	20-95	44.0	78.94686502518442	71.11992869497514	pass	pass	fail	pass	fail	pass	pass	warn	pass	warn	pass	warn
1A_S211_concat	1A_S211_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2753151.0	0.0	20-95	46.0	63.616227380562016	74.73815856812794	pass	pass	fail	pass	fail	warn	pass	warn	warn	pass	pass	warn
1B_S212_concat	1B_S212_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	1646600.0	0.0	20-95	47.0	60.56937082456112	74.28141746629419	pass	pass	fail	pass	fail	warn	pass	warn	warn	pass	pass	warn
1C_S213_concat	1C_S213_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2585564.0	0.0	20-95	47.0	60.6766975952996	74.5784463273777	pass	pass	fail	pass	fail	warn	pass	warn	warn	pass	pass	fail
1D_S214_concat	1D_S214_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	3026057.0	0.0	20-95	47.0	55.58755047599458	74.78853174279269	pass	pass	fail	pass	fail	warn	pass	warn	warn	pass	pass	warn
2-1_S227_concat	2-1_S227_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	501397.0	0.0	20-95	43.0	81.49537170945298	69.96024308083216	pass	pass	fail	pass	fail	warn	pass	warn	pass	warn	pass	warn
2-2_S228_concat	2-2_S228_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	954939.0	0.0	20-95	44.0	81.2151913562861	71.05779322029994	pass	pass	fail	pass	fail	warn	pass	warn	pass	warn	pass	fail
2-3_S229_concat	2-3_S229_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	663609.0	0.0	20-95	43.0	76.99214250030407	68.94092756427354	pass	pass	fail	pass	fail	pass	pass	warn	pass	warn	pass	fail
2-4_S230_concat	2-4_S230_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	1858711.0	0.0	20-95	45.0	62.39163575090865	71.39464284657485	pass	pass	fail	pass	fail	warn	pass	warn	warn	warn	pass	warn
2-6_S243_concat	2-6_S243_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	824843.0	0.0	20-95	44.0	78.0550284552954	70.8658423481802	pass	pass	fail	pass	fail	pass	pass	warn	pass	warn	pass	fail
2-7_S244_concat	2-7_S244_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	1007383.0	0.0	20-95	44.0	81.27748999945182	71.02302103569347	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
2-8_S245_concat	2-8_S245_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	912122.0	0.0	20-95	44.0	84.91818537975362	70.12131052644274	pass	pass	warn	pass	fail	pass	pass	warn	pass	warn	pass	fail
2-9_S246_concat	2-9_S246_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2911055.0	0.0	20-95	44.0	79.05890849593142	73.36449775081543	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass	warn
