Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
s1-2_S14_concat	54.130298740829055	47.0	75.71429749792652	25.0	2424669.0
s1-3_S15_concat	55.41015371344664	47.0	74.98431290510061	25.0	2801156.0
s1-4_S16_concat	58.176709075995326	47.0	75.65982041890814	25.0	2680349.0
s1-7_S26_concat	58.16989280765011	46.0	75.35941943020076	25.0	3075048.0
s1-8_S27_concat	58.716523549127906	47.0	75.542415593994	16.666666666666664	2641222.0
s1-9_S28_concat	62.49354053877411	47.0	76.12385920458082	25.0	2521815.0
s1A_S2_concat	56.69419946614579	46.0	73.67727743040838	33.33333333333333	2920682.0
s1B_S3_concat	58.6348945916816	47.0	75.33512721621604	25.0	2571331.0
s1C_S4_concat	58.589870336664276	47.0	75.13763922718164	16.666666666666664	2645227.0
s2-2_S17_concat	29.477926032937944	45.0	72.04960665860409	8.333333333333332	1375904.0
s2-3_S18_concat	51.89505681664235	46.0	75.12462539449258	16.666666666666664	2539338.0
s2-4_S19_concat	56.16750059552235	46.0	73.84088127987437	25.0	3535222.0
s2-7_S29_concat	38.79068531322755	47.0	75.0833038751401	8.333333333333332	1026879.0
s2-8_S30_concat	57.42079195872615	46.0	74.64306288546044	25.0	3025278.0
s2-9_S31_concat	59.349942427511664	46.0	74.99809203571226	16.666666666666664	3246392.0
s2B_S5_concat	59.01950666082702	46.0	75.02433960741725	25.0	2751318.0
s2C_S6_concat	54.44903671636373	47.0	75.85436392808111	16.666666666666664	1511425.0
s2D_S7_concat	56.48055236107967	47.0	75.76750163542616	25.0	1553112.0
s3-2_S20_concat	57.78264309724079	47.0	76.15693262306999	25.0	2514748.0
s3-3_S21_concat	57.52452727675807	47.0	74.91035299870983	25.0	2515165.0
s3-4_S22_concat	58.800556398786874	47.0	75.22561277810699	16.666666666666664	2970080.0
s3-6_S32_concat	56.50018737229354	47.0	75.9629702966726	25.0	2772585.0
s3-7_S33_concat	59.90222015175569	47.0	74.66178243949281	16.666666666666664	3240772.0
s3-8_S34_concat	59.411218221712694	46.0	74.4603041052413	33.33333333333333	2953517.0
s3A_S8_concat	49.52732070979729	47.0	75.60463591744575	16.666666666666664	1465945.0
s3B_S9_concat	57.416945425401636	46.0	74.09986664571424	25.0	3219994.0
s3C_S10_concat	58.506586590227485	47.0	75.87505216157031	25.0	1933895.0
s4-2_S23_concat	57.943212855537524	48.0	76.08179408607978	25.0	2416874.0
s4-3_S24_concat	56.540177940395274	47.0	75.51203574764054	16.666666666666664	2812829.0
s4-4_S25_concat	60.613224637205334	47.0	74.24109125037221	25.0	3183724.0
s4-6_S35_concat	62.51940712560236	47.0	75.87849854549002	25.0	3218266.0
s4-7_S36_concat	62.3719907341349	47.0	75.86149210112167	25.0	3243815.0
s4-8_S37_concat	61.16813339184617	47.0	75.27438573820588	16.666666666666664	3027333.0
s4A_S11_concat	59.33150962219771	46.0	75.31974783915196	16.666666666666664	2947801.0
s4B_S12_concat	54.702682307936726	47.0	75.91798789803237	25.0	2052063.0
s4C_S13_concat	58.14390346071973	47.0	75.16915873608521	25.0	3222021.0
