##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s1C_S4_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2645227
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.78786848916936	37.0	37.0	37.0	37.0	37.0
2	36.48454556074016	37.0	37.0	37.0	37.0	37.0
3	36.716638307411806	37.0	37.0	37.0	37.0	37.0
4	36.709357268771264	37.0	37.0	37.0	37.0	37.0
5	36.670871346769104	37.0	37.0	37.0	37.0	37.0
6	36.66786820185943	37.0	37.0	37.0	37.0	37.0
7	36.652937914213034	37.0	37.0	37.0	37.0	37.0
8	36.65113088593153	37.0	37.0	37.0	37.0	37.0
9	36.654112104556624	37.0	37.0	37.0	37.0	37.0
10-11	36.6431051096938	37.0	37.0	37.0	37.0	37.0
12-13	36.63326096399288	37.0	37.0	37.0	37.0	37.0
14-15	36.61987799156745	37.0	37.0	37.0	37.0	37.0
16-17	36.61528594710397	37.0	37.0	37.0	37.0	37.0
18-19	36.60862564914089	37.0	37.0	37.0	37.0	37.0
20-21	36.61733859953725	37.0	37.0	37.0	37.0	37.0
22-23	36.60798348376353	37.0	37.0	37.0	37.0	37.0
24-25	36.602877685959015	37.0	37.0	37.0	37.0	37.0
26-27	36.59730655753228	37.0	37.0	37.0	37.0	37.0
28-29	36.58856190066922	37.0	37.0	37.0	37.0	37.0
30-31	36.588183078832955	37.0	37.0	37.0	37.0	37.0
32-33	36.58029324777188	37.0	37.0	37.0	37.0	37.0
34-35	36.5715953960527	37.0	37.0	37.0	37.0	37.0
36-37	36.57095811632841	37.0	37.0	37.0	37.0	37.0
38-39	36.5625450161249	37.0	37.0	37.0	37.0	37.0
40-41	36.562999774645064	37.0	37.0	37.0	37.0	37.0
42-43	36.56285817601878	37.0	37.0	37.0	37.0	37.0
44-45	36.554628879504264	37.0	37.0	37.0	37.0	37.0
46-47	36.544636824044844	37.0	37.0	37.0	37.0	37.0
48-49	36.54133779168933	37.0	37.0	37.0	37.0	37.0
50-51	36.53386577999771	37.0	37.0	37.0	37.0	37.0
52-53	36.525346254976554	37.0	37.0	37.0	37.0	37.0
54-55	36.519704081700084	37.0	37.0	37.0	37.0	37.0
56-57	36.509389164628416	37.0	37.0	37.0	37.0	37.0
58-59	36.51113832937962	37.0	37.0	37.0	37.0	37.0
60-61	36.501473450449694	37.0	37.0	37.0	37.0	37.0
62-63	36.48510824149204	37.0	37.0	37.0	37.0	37.0
64-65	36.4858594967086	37.0	37.0	37.0	37.0	37.0
66-67	36.47988653603032	37.0	37.0	37.0	37.0	37.0
68-69	36.480272656566974	37.0	37.0	37.0	37.0	37.0
70-71	36.46785112482357	37.0	37.0	37.0	37.0	37.0
72-73	36.46723873359919	37.0	37.0	37.0	37.0	37.0
74-75	36.45556583748922	37.0	37.0	37.0	37.0	37.0
76-77	36.43620919390989	37.0	37.0	37.0	37.0	37.0
78-79	36.42649123651512	37.0	37.0	37.0	37.0	37.0
80-81	36.41665150927713	37.0	37.0	37.0	37.0	37.0
82-83	36.40199139703927	37.0	37.0	37.0	37.0	37.0
84-85	36.39611146226485	37.0	37.0	37.0	37.0	37.0
86-87	36.37400345465544	37.0	37.0	37.0	37.0	37.0
88-89	36.354958217683716	37.0	37.0	37.0	37.0	37.0
90-91	36.33217491640717	37.0	37.0	37.0	37.0	37.0
92-93	36.30746460073035	37.0	37.0	37.0	37.0	37.0
94-95	36.296852251115425	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.08072376556464889
1101	2	-0.1550993595494461
1101	3	-0.33575894629810676
1101	4	-0.4095855483441895
1101	5	-0.1679768412390814
1101	6	-0.3633025614748959
1101	7	-0.08093795504485968
1101	8	-0.1981970506420936
1101	9	-0.30866304236761977
1101	10-11	-0.33099958520101325
1101	12-13	-0.5194135661079358
1101	14-15	-0.351001387570939
1101	16-17	-0.47583962129139934
1101	18-19	-0.5168279801803308
1101	20-21	-0.27398243954093005
1101	22-23	-0.2372223965309317
1101	24-25	-0.4368372937044782
1101	26-27	-0.2691364932380367
1101	28-29	-0.23762245105466917
1101	30-31	-0.29150697926233704
1101	32-33	-0.13199007052708112
1101	34-35	-0.3338554067197066
1101	36-37	-0.18292690146753898
1101	38-39	-0.3849225646464376
1101	40-41	-0.31161428110507217
1101	42-43	-0.3849610343784562
1101	44-45	-0.5636820927021802
1101	46-47	-0.534129673573382
1101	48-49	-0.39618309162440113
1101	50-51	-0.5268299993260328
1101	52-53	-0.7435990160122117
1101	54-55	-0.37426195974914833
1101	56-57	-0.5253341150130311
1101	58-59	-0.44045926376838196
1101	60-61	-0.225992179452831
1101	62-63	-0.1052427818947308
1101	64-65	-0.1964897586555594
1101	66-67	-0.10315317037978389
1101	68-69	-0.0953532156731427
1101	70-71	-0.2980685147197448
1101	72-73	-0.174039880877487
1101	74-75	-0.4572725303997629
1101	76-77	-0.352356045983619
1101	78-79	-0.37464266909641
1101	80-81	-0.34628215941378215
1101	82-83	-0.19526093249044152
1101	84-85	-0.5139843466487974
1101	86-87	-0.18611227766630378
1101	88-89	-0.41658918977881143
1101	90-91	-0.24841552388324573
1101	92-93	-0.5082148498770209
1101	94-95	0.3168798919353222
1102	1	-0.055035786721617797
1102	2	-0.21858315595224553
1102	3	-0.2742425126538137
1102	4	-0.1699372075358596
1102	5	-0.3559087546603976
1102	6	-0.40354423975126963
1102	7	-0.38988200207017343
1102	8	-0.49774597429775014
1102	9	-0.4712566485306695
1102	10-11	-0.2865912939356221
1102	12-13	-0.23679978941557778
1102	14-15	-0.1251715156795683
1102	16-17	-0.27063945271289214
1102	18-19	-0.12733616341560605
1102	20-21	-0.13285900794086558
1102	22-23	-0.20598818639238914
1102	24-25	-0.5300733632214758
1102	26-27	-0.37174107540845824
1102	28-29	-0.3727839166684319
1102	30-31	-0.19600810337034602
1102	32-33	-0.1394887855014204
1102	34-35	0.07943595867945419
1102	36-37	-0.4438497624053426
1102	38-39	-0.28079234483376325
1102	40-41	-0.20736717648327385
1102	42-43	-0.20785286701417505
1102	44-45	-0.25088409285730506
1102	46-47	-0.16536239332493352
1102	48-49	-0.31694212271108313
1102	50-51	-0.2516251147936899
1102	52-53	-0.13100478088384193
1102	54-55	-0.33484531770253767
1102	56-57	-0.19758595792247036
1102	58-59	-0.16459935295299744
1102	60-61	-0.1331120461328794
1102	62-63	-0.08514336160635594
1102	64-65	-0.17503214929119792
1102	66-67	-0.14347640173949117
1102	68-69	-0.1197674368139161
1102	70-71	3.8454876563775997E-4
1102	72-73	-0.018080688038239145
1102	74-75	-0.2188491942659354
1102	76-77	-0.17355521978645783
1102	78-79	-0.14757822607013793
1102	80-81	-0.2073495147415514
1102	82-83	-0.026356462095918687
1102	84-85	0.11331613400035678
1102	86-87	-0.22272559763676014
1102	88-89	-0.1447593239931919
1102	90-91	0.011617316951848977
1102	92-93	0.22919010488429592
1102	94-95	-0.18531309052081468
1103	1	-0.3330709819053155
1103	2	-0.4147333425876809
1103	3	-0.3678436101340026
1103	4	-0.38588257374104984
1103	5	-0.36125165153517
1103	6	-0.609625796341497
1103	7	-0.41682356425289413
1103	8	-0.275902215090305
1103	9	-0.19729759384996015
1103	10-11	-0.22718605012725135
