##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s2-2_S17_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1375904
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.789778938065446	37.0	37.0	37.0	37.0	37.0
2	36.49912929971858	37.0	37.0	37.0	37.0	37.0
3	36.72934303556062	37.0	37.0	37.0	37.0	37.0
4	36.73312963695142	37.0	37.0	37.0	37.0	37.0
5	36.68521495685746	37.0	37.0	37.0	37.0	37.0
6	36.680389038770144	37.0	37.0	37.0	37.0	37.0
7	36.663839919064124	37.0	37.0	37.0	37.0	37.0
8	36.65352088517803	37.0	37.0	37.0	37.0	37.0
9	36.64858594785683	37.0	37.0	37.0	37.0	37.0
10-11	36.63833159871619	37.0	37.0	37.0	37.0	37.0
12-13	36.62840430727725	37.0	37.0	37.0	37.0	37.0
14-15	36.61542956485336	37.0	37.0	37.0	37.0	37.0
16-17	36.60550954136335	37.0	37.0	37.0	37.0	37.0
18-19	36.59501098913878	37.0	37.0	37.0	37.0	37.0
20-21	36.59957759479186	37.0	37.0	37.0	37.0	37.0
22-23	36.59251867445464	37.0	37.0	37.0	37.0	37.0
24-25	36.58672229186284	37.0	37.0	37.0	37.0	37.0
26-27	36.58007355954142	37.0	37.0	37.0	37.0	37.0
28-29	36.57774323987821	37.0	37.0	37.0	37.0	37.0
30-31	36.571606089305305	37.0	37.0	37.0	37.0	37.0
32-33	36.56268663455198	37.0	37.0	37.0	37.0	37.0
34-35	36.55814929086709	37.0	37.0	37.0	37.0	37.0
36-37	36.54926294841269	37.0	37.0	37.0	37.0	37.0
38-39	36.54483084917531	37.0	37.0	37.0	37.0	37.0
40-41	36.54082514969303	37.0	37.0	37.0	37.0	37.0
42-43	36.53589361849409	37.0	37.0	37.0	37.0	37.0
44-45	36.530286761736946	37.0	37.0	37.0	37.0	37.0
46-47	36.52111104219273	37.0	37.0	37.0	37.0	37.0
48-49	36.51366179260656	37.0	37.0	37.0	37.0	37.0
50-51	36.50718613089981	37.0	37.0	37.0	37.0	37.0
52-53	36.499439566427796	37.0	37.0	37.0	37.0	37.0
54-55	36.491418428987714	37.0	37.0	37.0	37.0	37.0
56-57	36.48738349058012	37.0	37.0	37.0	37.0	37.0
58-59	36.486588728525994	37.0	37.0	37.0	37.0	37.0
60-61	36.47439908509887	37.0	37.0	37.0	37.0	37.0
62-63	36.456495952768954	37.0	37.0	37.0	37.0	37.0
64-65	36.456543213608384	37.0	37.0	37.0	37.0	37.0
66-67	36.44798569915851	37.0	37.0	37.0	37.0	37.0
68-69	36.44868988814054	37.0	37.0	37.0	37.0	37.0
70-71	36.43282888504626	37.0	37.0	37.0	37.0	37.0
72-73	36.43433247054293	37.0	37.0	37.0	37.0	37.0
74-75	36.43133675181977	37.0	37.0	37.0	37.0	37.0
76-77	36.404277194111984	37.0	37.0	37.0	37.0	37.0
78-79	36.39877414178226	37.0	37.0	37.0	37.0	37.0
80-81	36.38129774852555	37.0	37.0	37.0	37.0	37.0
82-83	36.37145280521477	37.0	37.0	37.0	37.0	37.0
84-85	36.36172955285409	37.0	37.0	37.0	37.0	37.0
86-87	36.33345769944266	37.0	37.0	37.0	37.0	37.0
88-89	36.31745256262233	37.0	37.0	37.0	37.0	37.0
90-91	36.29488688659593	37.0	37.0	37.0	37.0	37.0
92-93	36.27679379145347	37.0	37.0	37.0	37.0	37.0
94-95	36.12397134642869	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.10267255915625384
1101	2	-0.196866549013194
1101	3	-0.15346041148693246
1101	4	-0.11386384995749665
1101	5	-0.34360738814623204
1101	6	-0.2010339883890353
1101	7	-0.4004080157729888
1101	8	-0.24683920612943666
1101	9	-0.36255334336775746
1101	10-11	-0.3374883878312076
1101	12-13	-0.4007910097431804
1101	14-15	-0.3116764974758226
1101	16-17	-0.3357166315589808
1101	18-19	-0.37895804464452
1101	20-21	-0.3606025883459125
1101	22-23	-0.0824112639577379
1101	24-25	-0.19317885078692143
1101	26-27	-0.4141228125659353
1101	28-29	-0.25948420176769105
1101	30-31	-0.27103494781114534
1101	32-33	-0.24504931844855804
1101	34-35	-0.15812097707425465
1101	36-37	-0.2434396759838222
1101	38-39	-0.2559653037724061
1101	40-41	-0.268150087376398
1101	42-43	-0.3342856083344401
1101	44-45	-0.502238059970864
1101	46-47	-0.32307380847734635
1101	48-49	-0.34080845829576134
1101	50-51	-0.4577269552122587
1101	52-53	-0.5019374376345098
1101	54-55	-0.41518242347203227
1101	56-57	-0.4273702883776025
1101	58-59	-0.21415916776168586
1101	60-61	-0.1442596386831454
1101	62-63	-0.2751000146742655
1101	64-65	-0.13788814707878316
1101	66-67	-0.15419666020963518
1101	68-69	-0.023092125832086197
1101	70-71	-0.36377321213004876
1101	72-73	-0.25144441145346264
1101	74-75	0.13834830973183188
1101	76-77	-0.1211633273472188
1101	78-79	-0.0178251408600687
1101	80-81	-0.5471269763770579
1101	82-83	-0.4475562406841931
1101	84-85	-0.07225543693787984
1101	86-87	-0.22394782174227856
1101	88-89	-0.34527985016792684
1101	90-91	-0.32281793488125743
1101	92-93	-0.05187660684642026
1101	94-95	0.09325607787933876
1102	1	-0.1239898972579141
1102	2	-0.2101773751517868
1102	3	-0.06509520778791966
1102	4	0.025522851226128296
1102	5	-0.433613926797662
1102	6	-0.4081024040337624
1102	7	-0.26038079363231503
1102	8	-0.42459711589604154
1102	9	-0.27002475344795585
1102	10-11	-0.3672292437273441
1102	12-13	-0.16761135695890772
1102	14-15	-0.1607704272053283
1102	16-17	-0.08986000149985784
1102	18-19	-0.23336296064285733
1102	20-21	-0.13688930646336672
1102	22-23	-0.06627368932677768
1102	24-25	-0.24848151422517617
1102	26-27	-0.41639874280679834
1102	28-29	-0.184766344682032
1102	30-31	-0.33269624014960186
1102	32-33	-0.3531935432948927
1102	34-35	-0.15179665107779527
1102	36-37	-0.4159917043941306
1102	38-39	-0.36181061131152603
1102	40-41	-7.679408123806297E-5
1102	42-43	-0.35328871285833685
1102	44-45	-0.2835422694612433
1102	46-47	-0.17665854719042784
1102	48-49	-0.047062056586064216
1102	50-51	-0.3897113285231839
1102	52-53	-0.21526685158117687
1102	54-55	-0.3978159188670034
1102	56-57	-0.17103276311554083
1102	58-59	-0.2733075068877966
1102	60-61	0.039470828947408165
1102	62-63	-0.06820312370637538
1102	64-65	-0.05393612124378677
1102	66-67	-0.09179060036156272
1102	68-69	-0.01484657919023391
1102	70-71	-0.24020666166106963
1102	72-73	-0.21530302264107348
1102	74-75	0.03217386950642265
1102	76-77	-0.08653649333809454
1102	78-79	-0.37829444757425534
1102	80-81	-0.23765423703517286
1102	82-83	-8.054558039276571E-4
1102	84-85	-0.3109848497116232
1102	86-87	0.12834482308493733
1102	88-89	0.10971732597554507
1102	90-91	-0.5297799148604128
1102	92-93	-0.035227710264734924
1102	94-95	0.6932560778793402
1103	1	-0.3823598167235289
1103	2	-0.4542989039583176
1103	3	-0.27545424568486965
1103	4	-0.23179661977879817
1103	5	-0.5638695359230965
1103	6	-0.715116167602055
1103	7	-0.4330179579601605
1103	8	-0.18584903498457805
1103	9	-0.15504104886638714
1103	10-11	-0.229573359869228
