##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s2B_S5_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2751318
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.7953715273916	37.0	37.0	37.0	37.0	37.0
2	36.49393127221208	37.0	37.0	37.0	37.0	37.0
3	36.73215746053346	37.0	37.0	37.0	37.0	37.0
4	36.725503195195905	37.0	37.0	37.0	37.0	37.0
5	36.68514944473885	37.0	37.0	37.0	37.0	37.0
6	36.68753375654868	37.0	37.0	37.0	37.0	37.0
7	36.669029170746526	37.0	37.0	37.0	37.0	37.0
8	36.66679024380315	37.0	37.0	37.0	37.0	37.0
9	36.669429706053606	37.0	37.0	37.0	37.0	37.0
10-11	36.65692188253048	37.0	37.0	37.0	37.0	37.0
12-13	36.64814172698321	37.0	37.0	37.0	37.0	37.0
14-15	36.63340369960869	37.0	37.0	37.0	37.0	37.0
16-17	36.62871285689259	37.0	37.0	37.0	37.0	37.0
18-19	36.620147144023335	37.0	37.0	37.0	37.0	37.0
20-21	36.62543258585839	37.0	37.0	37.0	37.0	37.0
22-23	36.61970457568839	37.0	37.0	37.0	37.0	37.0
24-25	36.61571269547528	37.0	37.0	37.0	37.0	37.0
26-27	36.60962428130722	37.0	37.0	37.0	37.0	37.0
28-29	36.60307754868733	37.0	37.0	37.0	37.0	37.0
30-31	36.59989290443853	37.0	37.0	37.0	37.0	37.0
32-33	36.59556691613118	37.0	37.0	37.0	37.0	37.0
34-35	36.584791184755744	37.0	37.0	37.0	37.0	37.0
36-37	36.58121003282483	37.0	37.0	37.0	37.0	37.0
38-39	36.57667614696085	37.0	37.0	37.0	37.0	37.0
40-41	36.573882725892275	37.0	37.0	37.0	37.0	37.0
42-43	36.57334551148173	37.0	37.0	37.0	37.0	37.0
44-45	36.56558405701735	37.0	37.0	37.0	37.0	37.0
46-47	36.55828754260274	37.0	37.0	37.0	37.0	37.0
48-49	36.553111791998525	37.0	37.0	37.0	37.0	37.0
50-51	36.54030411426041	37.0	37.0	37.0	37.0	37.0
52-53	36.538428343437616	37.0	37.0	37.0	37.0	37.0
54-55	36.535261384218416	37.0	37.0	37.0	37.0	37.0
56-57	36.52518357634631	37.0	37.0	37.0	37.0	37.0
58-59	36.52829833956093	37.0	37.0	37.0	37.0	37.0
60-61	36.51562389065343	37.0	37.0	37.0	37.0	37.0
62-63	36.49875024112572	37.0	37.0	37.0	37.0	37.0
64-65	36.49864390468874	37.0	37.0	37.0	37.0	37.0
66-67	36.49505571939255	37.0	37.0	37.0	37.0	37.0
68-69	36.493497905593735	37.0	37.0	37.0	37.0	37.0
70-71	36.48010263170546	37.0	37.0	37.0	37.0	37.0
72-73	36.482592513746816	37.0	37.0	37.0	37.0	37.0
74-75	36.47241953391287	37.0	37.0	37.0	37.0	37.0
76-77	36.451706537718145	37.0	37.0	37.0	37.0	37.0
78-79	36.442639179839816	37.0	37.0	37.0	37.0	37.0
80-81	36.43143387823838	37.0	37.0	37.0	37.0	37.0
82-83	36.42236752974617	37.0	37.0	37.0	37.0	37.0
84-85	36.41168374841283	37.0	37.0	37.0	37.0	37.0
86-87	36.38428966812637	37.0	37.0	37.0	37.0	37.0
88-89	36.37123769741531	37.0	37.0	37.0	37.0	37.0
90-91	36.34622275597968	37.0	37.0	37.0	37.0	37.0
92-93	36.33025212011859	37.0	37.0	37.0	37.0	37.0
94-95	36.222067481378005	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.19738593209403632
1101	2	-0.24539664321845578
1101	3	-0.21930826679030702
1101	4	-0.13113565764604118
1101	5	-0.30889099408607734
1101	6	-0.16828902176100513
1101	7	-0.3196298785368583
1101	8	-0.2990045070359244
1101	9	-0.20088970771092107
1101	10-11	-0.21949534312119567
1101	12-13	-0.25580731159182335
1101	14-15	-0.33380040076133355
1101	16-17	-0.3397508842789634
1101	18-19	-0.2726604703174331
1101	20-21	-0.33983796698863955
1101	22-23	-0.11584186516487449
1101	24-25	-0.21975786516103568
1101	26-27	-0.2687289807599669
1101	28-29	-0.32573377157451233
1101	30-31	-0.19973554920044023
1101	32-33	-0.23112959901754238
1101	34-35	-0.2901224166630456
1101	36-37	-0.27090139528120005
1101	38-39	-0.26627782944386524
1101	40-41	-0.2790012974344833
1101	42-43	-0.3875929347534637
1101	44-45	-0.33265825960273077
1101	46-47	-0.41767656681904697
1101	48-49	-0.4068987984703014
1101	50-51	-0.4482867186026738
1101	52-53	-0.22497210958035652
1101	54-55	-0.43528377989046163
1101	56-57	-0.3039791455579959
1101	58-59	-0.2970184464517942
1101	60-61	-0.14852535492042307
1101	62-63	0.032513805637734094
1101	64-65	-0.08753167267627049
1101	66-67	-0.10943881293225388
1101	68-69	0.017321515067060034
1101	70-71	-0.13540220955248117
1101	72-73	-0.34242983760832146
1101	74-75	-0.28318895997146853
1101	76-77	-0.20513686779875684
1101	78-79	-0.12954448427581866
1101	80-81	-0.16848201760113568
1101	82-83	-0.056267435008074074
1101	84-85	-0.24766619461485817
1101	86-87	-0.30941161295446307
1101	88-89	-0.2712435410015601
1101	90-91	-0.1207517869919954
1101	92-93	-0.34937360679902696
1101	94-95	-1.2355732926995913
1102	1	-0.07799805360472334
1102	2	-0.22689595576856192
1102	3	-0.240466198140858
1102	4	-0.17014638664149828
1102	5	-0.3563720612232899
1102	6	-0.549760269038444
1102	7	-0.3031893015267926
1102	8	-0.30483700811449665
1102	9	-0.3463185764266541
1102	10-11	-0.24438088010093395
1102	12-13	-0.26910472734748936
1102	14-15	-0.16495718262997627
1102	16-17	-0.4451098585231037
1102	18-19	-0.2118715375890048
1102	20-21	-0.11800635064811615
1102	22-23	-0.1750076173560018
1102	24-25	-0.3009239494481477
1102	26-27	-0.23290378827305602
1102	28-29	-0.25248443907345575
1102	30-31	-0.2661232770163764
1102	32-33	-0.2894203671296438
1102	34-35	-0.30542767849385655
1102	36-37	-0.1845962670105621
1102	38-39	-0.24357179246396043
1102	40-41	-0.27915814192925126
1102	42-43	-0.28346413046559604
1102	44-45	-0.2528374088268279
1102	46-47	-0.1866788731781739
1102	48-49	-0.30197930958568975
1102	50-51	-0.2760180897580824
1102	52-53	-0.21784589973346868
1102	54-55	-0.3466607390054648
1102	56-57	-0.3063341426882289
1102	58-59	-0.21790852011408646
1102	60-61	-0.23720078171879067
1102	62-63	-0.1650317461812918
1102	64-65	-0.06859080212726099
1102	66-67	-0.1732079515730618
1102	68-69	-0.19056612021262254
1102	70-71	-0.07477719795288351
1102	72-73	-0.10688814132610247
1102	74-75	-0.24441633078929925
1102	76-77	-0.1528147972049112
1102	78-79	-0.20632422203497924
1102	80-81	-0.22248379404024377
1102	82-83	-0.38686410513886216
1102	84-85	-0.019732454899830998
1102	86-87	-0.01700188453271778
1102	88-89	-0.102927340367863
1102	90-91	-0.12678267597716086
1102	92-93	0.3830433413656493
1102	94-95	0.7644267073004087
1103	1	-0.5165218863702137
1103	2	-0.5357528644037046
1103	3	-0.27310722268835974
1103	4	-0.3304893977661365
1103	5	-0.3885092151281242
1103	6	-0.3273511355537906
1103	7	-0.24687583396485024
1103	8	-0.3174148197995521
1103	9	-0.37171586816143787
