##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s2D_S7_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1553112
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.780979092299845	37.0	37.0	37.0	37.0	37.0
2	36.467080287835	37.0	37.0	37.0	37.0	37.0
3	36.71613380103946	37.0	37.0	37.0	37.0	37.0
4	36.70796053343223	37.0	37.0	37.0	37.0	37.0
5	36.666607430758376	37.0	37.0	37.0	37.0	37.0
6	36.66671302520359	37.0	37.0	37.0	37.0	37.0
7	36.654209097605325	37.0	37.0	37.0	37.0	37.0
8	36.65027248517814	37.0	37.0	37.0	37.0	37.0
9	36.64981276302031	37.0	37.0	37.0	37.0	37.0
10-11	36.64147466505957	37.0	37.0	37.0	37.0	37.0
12-13	36.63335870175493	37.0	37.0	37.0	37.0	37.0
14-15	36.621723352855426	37.0	37.0	37.0	37.0	37.0
16-17	36.6145789872205	37.0	37.0	37.0	37.0	37.0
18-19	36.61146266334946	37.0	37.0	37.0	37.0	37.0
20-21	36.62376929921152	37.0	37.0	37.0	37.0	37.0
22-23	36.61578531417322	37.0	37.0	37.0	37.0	37.0
24-25	36.613224719141854	37.0	37.0	37.0	37.0	37.0
26-27	36.60148983290978	37.0	37.0	37.0	37.0	37.0
28-29	36.59332048443741	37.0	37.0	37.0	37.0	37.0
30-31	36.59745075338233	37.0	37.0	37.0	37.0	37.0
32-33	36.58870150793571	37.0	37.0	37.0	37.0	37.0
34-35	36.57881417424689	37.0	37.0	37.0	37.0	37.0
36-37	36.57299125178454	37.0	37.0	37.0	37.0	37.0
38-39	36.56829449517409	37.0	37.0	37.0	37.0	37.0
40-41	36.56662855016056	37.0	37.0	37.0	37.0	37.0
42-43	36.573224809036006	37.0	37.0	37.0	37.0	37.0
44-45	36.557727686897564	37.0	37.0	37.0	37.0	37.0
46-47	36.5540526384324	37.0	37.0	37.0	37.0	37.0
48-49	36.551828215683685	37.0	37.0	37.0	37.0	37.0
50-51	36.546619780854556	37.0	37.0	37.0	37.0	37.0
52-53	36.532627930015295	37.0	37.0	37.0	37.0	37.0
54-55	36.531662424650065	37.0	37.0	37.0	37.0	37.0
56-57	36.522908149822484	37.0	37.0	37.0	37.0	37.0
58-59	36.527828484523965	37.0	37.0	37.0	37.0	37.0
60-61	36.51532463433221	37.0	37.0	37.0	37.0	37.0
62-63	36.49447863467481	37.0	37.0	37.0	37.0	37.0
64-65	36.50128746105573	37.0	37.0	37.0	37.0	37.0
66-67	36.49297934268198	37.0	37.0	37.0	37.0	37.0
68-69	36.498528729218926	37.0	37.0	37.0	37.0	37.0
70-71	36.48482108256318	37.0	37.0	37.0	37.0	37.0
72-73	36.48276460798676	37.0	37.0	37.0	37.0	37.0
74-75	36.47334024892358	37.0	37.0	37.0	37.0	37.0
76-77	36.45223346300004	37.0	37.0	37.0	37.0	37.0
78-79	36.44247125340436	37.0	37.0	37.0	37.0	37.0
80-81	36.43583284996407	37.0	37.0	37.0	37.0	37.0
82-83	36.42536044838954	37.0	37.0	37.0	37.0	37.0
84-85	36.41382755698773	37.0	37.0	37.0	37.0	37.0
86-87	36.3921436337841	37.0	37.0	37.0	37.0	37.0
88-89	36.37735320545751	37.0	37.0	37.0	37.0	37.0
90-91	36.363593136837835	37.0	37.0	37.0	37.0	37.0
92-93	36.32889041960287	37.0	37.0	37.0	37.0	37.0
94-95	36.325542637769416	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.2280582640156794
1101	2	-0.09640437879706099
1101	3	-0.1969875069633673
1101	4	-0.27269574510563643
1101	5	-0.28504580544328917
1101	6	-0.3061585551180954
1101	7	-0.14913815727277324
1101	8	-0.21362287099130128
1101	9	-0.39856781760049387
1101	10-11	-0.41758060989288737
1101	12-13	-0.5298152668988578
1101	14-15	-0.2947638689722254
1101	16-17	-0.48946286489355373
1101	18-19	-0.3362610570848261
1101	20-21	-0.3015973892578856
1101	22-23	-0.25598515389137333
1101	24-25	-0.22826248266797933
1101	26-27	-0.29899230616572936
1101	28-29	-0.3031608655203897
1101	30-31	-0.2582412364995861
1101	32-33	-0.1049919421091019
1101	34-35	-0.22717075653248742
1101	36-37	-0.2672321772200519
1101	38-39	-0.2532691800888358
1101	40-41	-0.17532954814495127
1101	42-43	-0.2779166654199656
1101	44-45	-0.387297725529109
1101	46-47	-0.5413456920277824
1101	48-49	-0.47967126183191766
1101	50-51	-0.3574096654168031
1101	52-53	-0.39721051018776876
1101	54-55	-0.539630890519156
1101	56-57	-0.40147452056967836
1101	58-59	-0.27395142501354286
1101	60-61	-0.1990737568342027
1101	62-63	-0.14733831274556763
1101	64-65	-0.08614092238218518
1101	66-67	-0.21838085045966693
1101	68-69	-0.08569580272703092
1101	70-71	-0.241525449057022
1101	72-73	-0.1905834647404987
1101	74-75	-0.555701307337209
1101	76-77	-0.11228263352623458
1101	78-79	-0.16557060889791586
1101	80-81	-0.37055354324652967
1101	82-83	-0.09462234611626741
1101	84-85	-0.31706035726639215
1101	86-87	-0.36979422235054926
1101	88-89	-0.3916876247044243
1101	90-91	-0.03902087520334874
1101	92-93	-0.15722227567630398
1101	94-95	-0.3526370719248959
1102	1	-0.15406027459307126
1102	2	-0.09590901915139227
1102	3	-0.2062536462177107
1102	4	-0.27588353011955036
1102	5	-0.16037835202894968
1102	6	-0.4351939150551516
1102	7	-0.43837865438074175
1102	8	-0.2813676733573729
1102	9	-0.4276570843225187
1102	10-11	-0.3012672512087988
1102	12-13	-0.13499905989680627
1102	14-15	-0.25315220179562914
1102	16-17	-0.12395737951395347
1102	18-19	-0.2986632599783121
1102	20-21	-0.222501978218979
1102	22-23	-0.3105411094390078
1102	24-25	-0.08508180802554222
1102	26-27	-0.2602703875403023
1102	28-29	-0.25975263670130033
1102	30-31	-0.18168275540134715
1102	32-33	-0.1771586175309494
1102	34-35	-0.13320621980020775
1102	36-37	-0.2240501232286931
1102	38-39	-0.08047364431909187
1102	40-41	-0.23486892990833752
1102	42-43	-0.12935949909708455
1102	44-45	-0.1295337208050995
1102	46-47	-0.25544007063565743
1102	48-49	-0.35573883548010343
1102	50-51	-0.255861518051006
1102	52-53	-0.10790567167352805
1102	54-55	-0.13582684003331025
1102	56-57	-0.17660067013488856
1102	58-59	-0.0637210160435231
1102	60-61	-0.2460538294751231
1102	62-63	-0.08129366011139183
1102	64-65	-0.05472658086345206
1102	66-67	0.028882761972738535
1102	68-69	0.006960193825371164
1102	70-71	-0.08864914964674853
1102	72-73	-0.3870052219770912
1102	74-75	-0.1640036955230073
1102	76-77	-0.18664479040606352
1102	78-79	-0.17150932125696983
1102	80-81	-0.27575177048944965
1102	82-83	-0.014278058156236284
1102	84-85	-0.24788982805589654
1102	86-87	-0.15591755344001967
1102	88-89	-0.19673860849075453
1102	90-91	-0.2621835699194932
1102	92-93	0.025325618561105046
1102	94-95	0.2306962614084398
1103	1	-0.4494694562297923
1103	2	-0.16064521839469847
1103	3	-0.31225060751899036
1103	4	-0.5365770684160935
1103	5	-0.5502344607071166
1103	6	-0.059181760260266
1103	7	-0.4140362943247382
1103	8	-0.211498456567071
1103	9	-0.17648480202144867
