##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s3-6_S32_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2772585
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.8026852197498	37.0	37.0	37.0	37.0	37.0
2	36.52361640851407	37.0	37.0	37.0	37.0	37.0
3	36.7326682500266	37.0	37.0	37.0	37.0	37.0
4	36.728863858096325	37.0	37.0	37.0	37.0	37.0
5	36.6878515897619	37.0	37.0	37.0	37.0	37.0
6	36.68934045304292	37.0	37.0	37.0	37.0	37.0
7	36.67426426962564	37.0	37.0	37.0	37.0	37.0
8	36.67186001511225	37.0	37.0	37.0	37.0	37.0
9	36.67107735200183	37.0	37.0	37.0	37.0	37.0
10-11	36.660421592124315	37.0	37.0	37.0	37.0	37.0
12-13	36.65133187981613	37.0	37.0	37.0	37.0	37.0
14-15	36.63792092938539	37.0	37.0	37.0	37.0	37.0
16-17	36.63283109444796	37.0	37.0	37.0	37.0	37.0
18-19	36.626673303072764	37.0	37.0	37.0	37.0	37.0
20-21	36.63100851863126	37.0	37.0	37.0	37.0	37.0
22-23	36.62336837642445	37.0	37.0	37.0	37.0	37.0
24-25	36.621853312979766	37.0	37.0	37.0	37.0	37.0
26-27	36.61389315296753	37.0	37.0	37.0	37.0	37.0
28-29	36.60847468082288	37.0	37.0	37.0	37.0	37.0
30-31	36.60564600901951	37.0	37.0	37.0	37.0	37.0
32-33	36.596261945490745	37.0	37.0	37.0	37.0	37.0
34-35	36.58995108591698	37.0	37.0	37.0	37.0	37.0
36-37	36.58713204271213	37.0	37.0	37.0	37.0	37.0
38-39	36.57991749889892	37.0	37.0	37.0	37.0	37.0
40-41	36.57711327447797	37.0	37.0	37.0	37.0	37.0
42-43	36.57769526884937	37.0	37.0	37.0	37.0	37.0
44-45	36.56733114675042	37.0	37.0	37.0	37.0	37.0
46-47	36.56204135658603	37.0	37.0	37.0	37.0	37.0
48-49	36.55548711234076	37.0	37.0	37.0	37.0	37.0
50-51	36.54803807788513	37.0	37.0	37.0	37.0	37.0
52-53	36.53742513104842	37.0	37.0	37.0	37.0	37.0
54-55	36.5331928296647	37.0	37.0	37.0	37.0	37.0
56-57	36.52696927131993	37.0	37.0	37.0	37.0	37.0
58-59	36.52846700746318	37.0	37.0	37.0	37.0	37.0
60-61	36.52012649680561	37.0	37.0	37.0	37.0	37.0
62-63	36.50553331604179	37.0	37.0	37.0	37.0	37.0
64-65	36.50644131364041	37.0	37.0	37.0	37.0	37.0
66-67	36.49953754222539	37.0	37.0	37.0	37.0	37.0
68-69	36.49868278080203	37.0	37.0	37.0	37.0	37.0
70-71	36.48675313939516	37.0	37.0	37.0	37.0	37.0
72-73	36.48458925145739	37.0	37.0	37.0	37.0	37.0
74-75	36.47586974740337	37.0	37.0	37.0	37.0	37.0
76-77	36.455529755584834	37.0	37.0	37.0	37.0	37.0
78-79	36.44646418283362	37.0	37.0	37.0	37.0	37.0
80-81	36.436952939248926	37.0	37.0	37.0	37.0	37.0
82-83	36.427075685667745	37.0	37.0	37.0	37.0	37.0
84-85	36.41240147402666	37.0	37.0	37.0	37.0	37.0
86-87	36.39242652755761	37.0	37.0	37.0	37.0	37.0
88-89	36.3781392381893	37.0	37.0	37.0	37.0	37.0
90-91	36.356061299296016	37.0	37.0	37.0	37.0	37.0
92-93	36.33462706762663	37.0	37.0	37.0	37.0	37.0
94-95	36.33684421720303	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.06782206828430049
1101	2	-0.16516664351405552
1101	3	-0.28260480694656565
1101	4	-0.2545075118521041
1101	5	-0.276785137203575
1101	6	-0.37363476148070873
1101	7	-0.25737648704639327
1101	8	-0.3728924270364615
1101	9	-0.13611019777289357
1101	10-11	-0.28986496772921555
1101	12-13	-0.3431529928732502
1101	14-15	-0.46527870668889904
1101	16-17	-0.2907192074995564
1101	18-19	-0.35399881136397227
1101	20-21	-0.2591818387471889
1101	22-23	-0.22557062260185745
1101	24-25	-0.3377561179357613
1101	26-27	-0.18666851923030237
1101	28-29	-0.19271641554053787
1101	30-31	-0.22672938505267837
1101	32-33	-0.327771104562693
1101	34-35	-0.17505650445443166
1101	36-37	-0.41911540526865565
1101	38-39	-0.4832896103106563
1101	40-41	-0.1703658026775443
1101	42-43	-0.26311963536523564
1101	44-45	-0.3068509729532636
1101	46-47	-0.3305638109449376
1101	48-49	-0.3196090266066349
1101	50-51	-0.46443187838105615
1101	52-53	-0.46982967853901414
1101	54-55	-0.38346690089457525
1101	56-57	-0.4342299330289663
1101	58-59	-0.39600959950756476
1101	60-61	-0.20027332588006885
1101	62-63	-0.1987704824387464
1101	64-65	-0.17790675686204338
1101	66-67	-0.201798059156161
1101	68-69	-0.0860591687338399
1101	70-71	-0.24433987158121795
1101	72-73	-0.2775616243887171
1101	74-75	-0.2467943191776314
1101	76-77	-0.10654785795348687
1101	78-79	-0.3481118238400356
1101	80-81	-0.2613314050711466
1101	82-83	-0.1824326344584435
1101	84-85	-0.33375227372815885
1101	86-87	-0.19711718597071837
1101	88-89	-0.4682317845567141
1101	90-91	-0.26531961346820765
1101	92-93	-0.0673819268120539
1101	94-95	-0.031121999664719624
1102	1	-0.0774355067099819
1102	2	-0.2116042640144471
1102	3	-0.13870609745501383
1102	4	-0.31667500463131404
1102	5	-0.3954498635522512
1102	6	-0.4474205237819078
1102	7	-0.5288264807674423
1102	8	-0.43974918576973465
1102	9	-0.5297765861959931
1102	10-11	-0.4221372820016285
1102	12-13	-0.3465148153932489
1102	14-15	-0.035679008078396635
1102	16-17	-0.16283255358776927
1102	18-19	-0.3400913113455033
1102	20-21	-0.16998462334003506
1102	22-23	-0.20902385039695304
1102	24-25	-0.30717052351983654
1102	26-27	-0.4080677027324384
1102	28-29	-0.3159081890386233
1102	30-31	-0.32132879026504924
1102	32-33	-0.24489955298515298
1102	34-35	-0.2640100178581761
1102	36-37	-0.13996209641209845
1102	38-39	-0.24826492422504742
1102	40-41	-0.29169961072575035
1102	42-43	-0.10786592988643662
1102	44-45	-0.22227258144813078
1102	46-47	-0.19280425315874794
1102	48-49	-0.33596691868056183
1102	50-51	-0.1976198593001257
1102	52-53	-0.3567571260987137
1102	54-55	-0.255480595345027
1102	56-57	-0.15917834438100442
1102	58-59	-0.3533898883236688
1102	60-61	-0.14918094934092352
1102	62-63	-0.1368705078795287
1102	64-65	-0.13790711302854675
1102	66-67	-0.19308583908608057
1102	68-69	-0.11715597043776427
1102	70-71	-0.3011316185316062
1102	72-73	-0.2566630810095063
1102	74-75	-0.11075242097805216
1102	76-77	-0.32562759591220924
1102	78-79	-0.17935264919507432
1102	80-81	-0.23801270216667092
1102	82-83	-0.25149597001215085
1102	84-85	-0.09558642549789198
1102	86-87	-0.002408126792687426
1102	88-89	-0.007255796112083601
1102	90-91	-0.26642065314162267
1102	92-93	0.05956806407671422
1102	94-95	0.4342477806472047
1103	1	-0.36724274751691155
1103	2	-0.25825677407112124
1103	3	-0.4669799381333348
1103	4	-0.4839059418088638
1103	5	-0.5574408611446344
1103	6	-0.3017863923946109
1103	7	-0.37254797438949083
1103	8	-0.376250808296696
1103	9	-0.2741186776855713
