##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s3A_S8_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1465945
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.78286224926583	37.0	37.0	37.0	37.0	37.0
2	36.47624638032123	37.0	37.0	37.0	37.0	37.0
3	36.707960394148486	37.0	37.0	37.0	37.0	37.0
4	36.70691806309241	37.0	37.0	37.0	37.0	37.0
5	36.663829134108035	37.0	37.0	37.0	37.0	37.0
6	36.661261507082465	37.0	37.0	37.0	37.0	37.0
7	36.64679438860257	37.0	37.0	37.0	37.0	37.0
8	36.64413262434812	37.0	37.0	37.0	37.0	37.0
9	36.644473701264374	37.0	37.0	37.0	37.0	37.0
10-11	36.6306512181562	37.0	37.0	37.0	37.0	37.0
12-13	36.628818952962085	37.0	37.0	37.0	37.0	37.0
14-15	36.61119141577617	37.0	37.0	37.0	37.0	37.0
16-17	36.606938186630465	37.0	37.0	37.0	37.0	37.0
18-19	36.60015825968914	37.0	37.0	37.0	37.0	37.0
20-21	36.60744179440702	37.0	37.0	37.0	37.0	37.0
22-23	36.60246369618021	37.0	37.0	37.0	37.0	37.0
24-25	36.597258878696906	37.0	37.0	37.0	37.0	37.0
26-27	36.590744746720645	37.0	37.0	37.0	37.0	37.0
28-29	36.58496604400016	37.0	37.0	37.0	37.0	37.0
30-31	36.5862037288672	37.0	37.0	37.0	37.0	37.0
32-33	36.57367175646662	37.0	37.0	37.0	37.0	37.0
34-35	36.572134472937655	37.0	37.0	37.0	37.0	37.0
36-37	36.567336901305154	37.0	37.0	37.0	37.0	37.0
38-39	36.55830314577094	37.0	37.0	37.0	37.0	37.0
40-41	36.56058779770433	37.0	37.0	37.0	37.0	37.0
42-43	36.559443038540245	37.0	37.0	37.0	37.0	37.0
44-45	36.54309144570982	37.0	37.0	37.0	37.0	37.0
46-47	36.54416950608696	37.0	37.0	37.0	37.0	37.0
48-49	36.54050742747098	37.0	37.0	37.0	37.0	37.0
50-51	36.53263759258176	37.0	37.0	37.0	37.0	37.0
52-53	36.5183551810903	37.0	37.0	37.0	37.0	37.0
54-55	36.5202546265544	37.0	37.0	37.0	37.0	37.0
56-57	36.51051552232005	37.0	37.0	37.0	37.0	37.0
58-59	36.51257384033593	37.0	37.0	37.0	37.0	37.0
60-61	36.49739994295355	37.0	37.0	37.0	37.0	37.0
62-63	36.48271330330053	37.0	37.0	37.0	37.0	37.0
64-65	36.483930114946226	37.0	37.0	37.0	37.0	37.0
66-67	36.47835425030743	37.0	37.0	37.0	37.0	37.0
68-69	36.47556239615366	37.0	37.0	37.0	37.0	37.0
70-71	36.46504368338263	37.0	37.0	37.0	37.0	37.0
72-73	36.469166835056356	37.0	37.0	37.0	37.0	37.0
74-75	36.457333570648245	37.0	37.0	37.0	37.0	37.0
76-77	36.43742309797618	37.0	37.0	37.0	37.0	37.0
78-79	36.43128609812839	37.0	37.0	37.0	37.0	37.0
80-81	36.4167804200242	37.0	37.0	37.0	37.0	37.0
82-83	36.406135221062314	37.0	37.0	37.0	37.0	37.0
84-85	36.39555045570913	37.0	37.0	37.0	37.0	37.0
86-87	36.37324102850785	37.0	37.0	37.0	37.0	37.0
88-89	36.354717891604864	37.0	37.0	37.0	37.0	37.0
90-91	36.33550137967407	37.0	37.0	37.0	37.0	37.0
92-93	36.31788190881775	37.0	37.0	37.0	37.0	37.0
94-95	36.20701035366777	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.10707320196669201
1101	2	-0.19178103170627736
1101	3	-0.15796702097019022
1101	4	-0.11621944418328667
1101	5	-0.17163843600180684
1101	6	-0.2856346091089179
1101	7	-0.35581342279201067
1101	8	-0.3541983319139348
1101	9	-0.07971596264710712
1101	10-11	-0.20727776584038082
1101	12-13	-0.3314723941684008
1101	14-15	-0.40692332722064606
1101	16-17	-0.29969782477326845
1101	18-19	-0.2888216075568195
1101	20-21	-0.3085241649724253
1101	22-23	-0.23367792244501118
1101	24-25	-0.22450635780072048
1101	26-27	-0.22871980187320418
1101	28-29	-0.2613088395437231
1101	30-31	-0.16878714778501092
1101	32-33	-0.38432416588059937
1101	34-35	-0.09742389011845631
1101	36-37	-0.26748626056153313
1101	38-39	-0.3656367896393107
1101	40-41	-0.21721339975346865
1101	42-43	-0.2616775354784906
1101	44-45	-0.282441442908258
1101	46-47	-0.3286095497009427
1101	48-49	-0.36061897017810907
1101	50-51	-0.20137068472983088
1101	52-53	-0.42952128211754825
1101	54-55	-0.4475744462633031
1101	56-57	-0.41798449433601803
1101	58-59	-0.2625873090211215
1101	60-61	-0.17546101395215885
1101	62-63	-0.0483551475800823
1101	64-65	0.0079892191266282
1101	66-67	0.2016994186273564
1101	68-69	-0.07583652115425821
1101	70-71	-0.21903172109201563
1101	72-73	-0.23597287380366083
1101	74-75	-0.3376976926679589
1101	76-77	-0.18999560109273972
1101	78-79	-0.10260554649222087
1101	80-81	-0.11200170149569999
1101	82-83	-0.259708686257234
1101	84-85	-0.3093223436216448
1101	86-87	-0.41996544556845805
1101	88-89	-0.419159879866271
1101	90-91	-0.32421898823379536
1101	92-93	-0.1441974041478531
1101	94-95	-1.3955060421516947
1102	1	-0.21970825404665106
1102	2	-0.36752305437848776
1102	3	-0.3925101621575706
1102	4	-0.5876419568169027
1102	5	-0.0019059163954437963
1102	6	-0.43709421389064573
1102	7	-0.48138759630562333
1102	8	-0.11366725286308821
1102	9	-0.5108331120148861
1102	10-11	-0.18611870809595388
1102	12-13	-0.19052582555151787
1102	14-15	-0.26413652799986664
1102	16-17	-0.13513735953996786
1102	18-19	-0.059331912129358955
1102	20-21	-0.08343358463864803
1102	22-23	-0.2469819336785477
1102	24-25	-0.28417846637032795
1102	26-27	-0.23956795636467376
1102	28-29	-0.27280677173536105
1102	30-31	-0.18116196742058577
1102	32-33	-0.28605524840892826
1102	34-35	-0.4421223379839958
1102	36-37	-0.2578644079060126
1102	38-39	-0.16314360401826633
1102	40-41	-0.12821574512005185
1102	42-43	-0.10230624264026034
1102	44-45	-0.3281156677350481
1102	46-47	-0.15944114626504557
1102	48-49	-0.19731323948381885
1102	50-51	-0.42460956090462787
1102	52-53	-0.405557747504524
1102	54-55	-0.14502853793515413
1102	56-57	-0.11472360680321714
1102	58-59	-0.15093729943045275
1102	60-61	-0.07739199146751474
1102	62-63	-0.09596624443452129
1102	64-65	-0.37096575554980404
1102	66-67	-0.0017517526504846614
1102	68-69	-0.087503462803042
1102	70-71	-0.03749100661298854
1102	72-73	-0.06844657046069358
1102	74-75	-0.19973958184492346
1102	76-77	-0.19212757216740073
1102	78-79	-0.3377007828761407
1102	80-81	-0.29652095053427985
1102	82-83	-0.28164951531281446
1102	84-85	-0.0940306167285172
1102	86-87	-0.05591036413566286
1102	88-89	-0.21409977814036552
1102	90-91	-0.32630052084493855
1102	92-93	0.07214191259895131
1102	94-95	-0.07456140413388113
1103	1	-0.5083098903899099
1103	2	-0.3581308923879831
1103	3	-0.4263055071719535
1103	4	-0.29010394359166014
1103	5	-0.2504582382843381
1103	6	-0.270351583039222
1103	7	-0.29638367356493944
1103	8	-0.31177686544574357
1103	9	-0.27428064068825364
