##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s4-7_S36_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3243815
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.799108765450555	37.0	37.0	37.0	37.0	37.0
2	36.50374358587034	37.0	37.0	37.0	37.0	37.0
3	36.726944354101576	37.0	37.0	37.0	37.0	37.0
4	36.72037492890316	37.0	37.0	37.0	37.0	37.0
5	36.680743815538186	37.0	37.0	37.0	37.0	37.0
6	36.685662098485885	37.0	37.0	37.0	37.0	37.0
7	36.665344047055704	37.0	37.0	37.0	37.0	37.0
8	36.66429096603844	37.0	37.0	37.0	37.0	37.0
9	36.66657161397922	37.0	37.0	37.0	37.0	37.0
10-11	36.65707384668978	37.0	37.0	37.0	37.0	37.0
12-13	36.649127030980495	37.0	37.0	37.0	37.0	37.0
14-15	36.63826790368748	37.0	37.0	37.0	37.0	37.0
16-17	36.630659270026186	37.0	37.0	37.0	37.0	37.0
18-19	36.628313883498286	37.0	37.0	37.0	37.0	37.0
20-21	36.63051000113427	37.0	37.0	37.0	37.0	37.0
22-23	36.62605597851262	37.0	37.0	37.0	37.0	37.0
24-25	36.6234207125859	37.0	37.0	37.0	37.0	37.0
26-27	36.61313165375539	37.0	37.0	37.0	37.0	37.0
28-29	36.60794180509667	37.0	37.0	37.0	37.0	37.0
30-31	36.60601016260158	37.0	37.0	37.0	37.0	37.0
32-33	36.595350503200684	37.0	37.0	37.0	37.0	37.0
34-35	36.59102907718268	37.0	37.0	37.0	37.0	37.0
36-37	36.58826176226673	37.0	37.0	37.0	37.0	37.0
38-39	36.58227378156987	37.0	37.0	37.0	37.0	37.0
40-41	36.57985130547112	37.0	37.0	37.0	37.0	37.0
42-43	36.57943334553018	37.0	37.0	37.0	37.0	37.0
44-45	36.56983242061734	37.0	37.0	37.0	37.0	37.0
46-47	36.563830400818304	37.0	37.0	37.0	37.0	37.0
48-49	36.55841839824109	37.0	37.0	37.0	37.0	37.0
50-51	36.54930738503472	37.0	37.0	37.0	37.0	37.0
52-53	36.5408549633178	37.0	37.0	37.0	37.0	37.0
54-55	36.536125518944296	37.0	37.0	37.0	37.0	37.0
56-57	36.532783754637194	37.0	37.0	37.0	37.0	37.0
58-59	36.532931237523975	37.0	37.0	37.0	37.0	37.0
60-61	36.51933445841674	37.0	37.0	37.0	37.0	37.0
62-63	36.505367044819	37.0	37.0	37.0	37.0	37.0
64-65	36.50212698738642	37.0	37.0	37.0	37.0	37.0
66-67	36.494965661166354	37.0	37.0	37.0	37.0	37.0
68-69	36.49612523545088	37.0	37.0	37.0	37.0	37.0
70-71	36.48708857620482	37.0	37.0	37.0	37.0	37.0
72-73	36.48525091280865	37.0	37.0	37.0	37.0	37.0
74-75	36.47226300160134	37.0	37.0	37.0	37.0	37.0
76-77	36.45429166223353	37.0	37.0	37.0	37.0	37.0
78-79	36.44327908278012	37.0	37.0	37.0	37.0	37.0
80-81	36.432436997476955	37.0	37.0	37.0	37.0	37.0
82-83	36.42468406092439	37.0	37.0	37.0	37.0	37.0
84-85	36.411356965617	37.0	37.0	37.0	37.0	37.0
86-87	36.38717367133461	37.0	37.0	37.0	37.0	37.0
88-89	36.37751959172407	37.0	37.0	37.0	37.0	37.0
90-91	36.35423286321853	37.0	37.0	37.0	37.0	37.0
92-93	36.33073260089535	37.0	37.0	37.0	37.0	37.0
94-95	36.38437756402334	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.18185177072653858
1101	2	-0.2659852667442877
1101	3	-0.3797874387146649
1101	4	-0.38354181046629776
1101	5	-0.32251511861928606
1101	6	-0.21677304461846347
1101	7	-0.224468841090939
1101	8	-0.19887072325250443
1101	9	-0.3423431029625732
1101	10-11	-0.21978198033367846
1101	12-13	-0.5106969508504449
1101	14-15	-0.33812757632988877
1101	16-17	-0.23405982666634628
1101	18-19	-0.20991351953826154
1101	20-21	-0.2787055934866771
1101	22-23	-0.3791321473666187
1101	24-25	-0.3016770168962992
1101	26-27	-0.28339107880603365
1101	28-29	-0.18629405970908408
1101	30-31	-0.301293969510823
1101	32-33	-0.20472887206321388
1101	34-35	-0.3156282533058885
1101	36-37	-0.4077272980799549
1101	38-39	-0.21465785940930715
1101	40-41	-0.29852787279057225
1101	42-43	-0.36477889062146573
1101	44-45	-0.45628117745757635
1101	46-47	-0.35396488583709385
1101	48-49	-0.45697122971513693
1101	50-51	-0.4188032507504076
1101	52-53	-0.6135571981086798
1101	54-55	-0.503354825570355
1101	56-57	-0.5950368938302759
1101	58-59	-0.4433532245084564
1101	60-61	-0.27646804323630647
1101	62-63	-0.2875609904238132
1101	64-65	-0.09403302679434233
1101	66-67	-0.10932379522742508
1101	68-69	-0.001589000108090488
1101	70-71	-0.24539820071248641
1101	72-73	-0.26088345882232034
1101	74-75	-0.3789742822489117
1101	76-77	-0.22884026150357073
1101	78-79	-0.2581492748610188
1101	80-81	-0.37842841450888187
1101	82-83	-0.23444338237118245
1101	84-85	-0.2772269284178037
1101	86-87	-0.17354861209247474
1101	88-89	-0.24648718946905035
1101	90-91	-0.42009497913352334
1101	92-93	-0.4815135363232983
1101	94-95	-0.384815890590545
1102	1	-0.20006813902264042
1102	2	-0.011582090838686554
1102	3	-0.2949756991247341
1102	4	-0.2941284867000462
1102	5	-0.6356505758223179
1102	6	-0.2459366285899378
1102	7	-0.2549221503463528
1102	8	-0.5655578172451001
1102	9	-0.2965687270688733
1102	10-11	-0.3361204651296248
1102	12-13	-0.24269901761518753
1102	14-15	-0.11881820304826363
1102	16-17	-0.20613275393648678
1102	18-19	-0.11512386091492033
1102	20-21	-0.17938758407701272
1102	22-23	-0.10235925759929643
1102	24-25	-0.2871583178345034
1102	26-27	-0.30682765627587116
1102	28-29	-0.31797674922675867
1102	30-31	-0.20979580721818536
1102	32-33	-0.2181923614284358
1102	34-35	-0.18541752763948693
1102	36-37	-0.053747191210703704
1102	38-39	-0.0738157609023915
1102	40-41	-0.20600007892476668
1102	42-43	-0.1431652434564583
1102	44-45	-0.29223054885201094
1102	46-47	-0.2404287670585461
1102	48-49	-0.180754397441369
1102	50-51	-0.280232654121356
1102	52-53	-0.29221811692827515
1102	54-55	-0.2556958256817694
1102	56-57	-0.12297377187454828
1102	58-59	-0.3167439450650704
1102	60-61	-0.23190654708351133
1102	62-63	-0.1521234992153282
1102	64-65	-0.21407968504988872
1102	66-67	-0.10994930533595948
1102	68-69	-0.22210709814006435
1102	70-71	-0.17556504754682578
1102	72-73	-0.29430207826809607
1102	74-75	-0.11192329885628283
1102	76-77	-0.1796807274866694
1102	78-79	-0.2521072403757856
1102	80-81	0.0015557348400321303
1102	82-83	-0.05832317108736618
1102	84-85	-0.2541943086053209
1102	86-87	-0.21888853709970846
1102	88-89	-0.2899481791425771
1102	90-91	0.014580825540789988
1102	92-93	0.07872777265971109
1102	94-95	0.15594497897467363
1103	1	-0.3882155012910218
1103	2	-0.47815645321572475
1103	3	-0.4299727562718587
1103	4	-0.3567900458368598
1103	5	-0.23225952616218137
1103	6	-0.24344987433296694
1103	7	-0.3718681604711591
1103	8	-0.26580399429619206
1103	9	-0.20316437792160258
