##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s4A_S11_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2947801
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.79666741411649	37.0	37.0	37.0	37.0	37.0
2	36.51293930628289	37.0	37.0	37.0	37.0	37.0
3	36.73078508352497	37.0	37.0	37.0	37.0	37.0
4	36.72485998885271	37.0	37.0	37.0	37.0	37.0
5	36.68682892773291	37.0	37.0	37.0	37.0	37.0
6	36.682760132044194	37.0	37.0	37.0	37.0	37.0
7	36.66993565712204	37.0	37.0	37.0	37.0	37.0
8	36.66603173009304	37.0	37.0	37.0	37.0	37.0
9	36.66576034135276	37.0	37.0	37.0	37.0	37.0
10-11	36.65871780354237	37.0	37.0	37.0	37.0	37.0
12-13	36.64926092365123	37.0	37.0	37.0	37.0	37.0
14-15	36.63254202030598	37.0	37.0	37.0	37.0	37.0
16-17	36.63169901903147	37.0	37.0	37.0	37.0	37.0
18-19	36.620880106900024	37.0	37.0	37.0	37.0	37.0
20-21	36.6282324627342	37.0	37.0	37.0	37.0	37.0
22-23	36.620298704043265	37.0	37.0	37.0	37.0	37.0
24-25	36.614710398474976	37.0	37.0	37.0	37.0	37.0
26-27	36.60659913038184	37.0	37.0	37.0	37.0	37.0
28-29	36.60157596850195	37.0	37.0	37.0	37.0	37.0
30-31	36.60078508782006	37.0	37.0	37.0	37.0	37.0
32-33	36.588487989533434	37.0	37.0	37.0	37.0	37.0
34-35	36.5863148249681	37.0	37.0	37.0	37.0	37.0
36-37	36.58340026864648	37.0	37.0	37.0	37.0	37.0
38-39	36.5737897581709	37.0	37.0	37.0	37.0	37.0
40-41	36.57058510642984	37.0	37.0	37.0	37.0	37.0
42-43	36.57459935207383	37.0	37.0	37.0	37.0	37.0
44-45	36.56460748795023	37.0	37.0	37.0	37.0	37.0
46-47	36.55814341684709	37.0	37.0	37.0	37.0	37.0
48-49	36.55154791535695	37.0	37.0	37.0	37.0	37.0
50-51	36.54493821118645	37.0	37.0	37.0	37.0	37.0
52-53	36.53659242646388	37.0	37.0	37.0	37.0	37.0
54-55	36.53277897722495	37.0	37.0	37.0	37.0	37.0
56-57	36.52322327308505	37.0	37.0	37.0	37.0	37.0
58-59	36.523665314621155	37.0	37.0	37.0	37.0	37.0
60-61	36.51539868086837	37.0	37.0	37.0	37.0	37.0
62-63	36.50013736917239	37.0	37.0	37.0	37.0	37.0
64-65	36.50102558422854	37.0	37.0	37.0	37.0	37.0
66-67	36.49523326274489	37.0	37.0	37.0	37.0	37.0
68-69	36.49590462373065	37.0	37.0	37.0	37.0	37.0
70-71	36.4809676123549	37.0	37.0	37.0	37.0	37.0
72-73	36.48275593692934	37.0	37.0	37.0	37.0	37.0
74-75	36.472230977846735	37.0	37.0	37.0	37.0	37.0
76-77	36.45229584592788	37.0	37.0	37.0	37.0	37.0
78-79	36.44640071773583	37.0	37.0	37.0	37.0	37.0
80-81	36.43191984993409	37.0	37.0	37.0	37.0	37.0
82-83	36.42321699625716	37.0	37.0	37.0	37.0	37.0
84-85	36.409491840394935	37.0	37.0	37.0	37.0	37.0
86-87	36.387808001807485	37.0	37.0	37.0	37.0	37.0
88-89	36.369631140673036	37.0	37.0	37.0	37.0	37.0
90-91	36.352116098952436	37.0	37.0	37.0	37.0	37.0
92-93	36.32668069299237	37.0	37.0	37.0	37.0	37.0
94-95	36.29938798773852	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.15380692182515077
1101	2	-0.3305902199874282
1101	3	-0.22703888233036906
1101	4	-0.4466982371890822
1101	5	-0.2142183189386344
1101	6	-0.27020432936230065
1101	7	-0.13791275667016833
1101	8	-0.28860484072489356
1101	9	-0.389024704382706
1101	10-11	-0.24508137934090257
1101	12-13	-0.3616602103896014
1101	14-15	-0.32631179091291784
1101	16-17	-0.30770717579023454
1101	18-19	-0.32537543936749813
1101	20-21	-0.4066853603646976
1101	22-23	-0.3689854561098116
1101	24-25	-0.304333340428542
1101	26-27	-0.2516886146654329
1101	28-29	-0.19431414682114223
1101	30-31	-0.2168926939827429
1101	32-33	-0.2903449939161362
1101	34-35	-0.21173012231315624
1101	36-37	-0.21549543921980074
1101	38-39	-0.20814944968545035
1101	40-41	-0.2870323302083406
1101	42-43	-0.3337664371314162
1101	44-45	-0.2940299264814641
1101	46-47	-0.362599230253025
1101	48-49	-0.3631187123381281
1101	50-51	-0.47705628144245793
1101	52-53	-0.4680642971467819
1101	54-55	-0.2847105420646159
1101	56-57	-0.4508132511302705
1101	58-59	-0.3323713058202742
1101	60-61	-0.23466947345752232
1101	62-63	-0.04113035365039508
1101	64-65	0.016094385602762884
1101	66-67	-0.060976595434112824
1101	68-69	-0.1541487339855081
1101	70-71	-0.25211511887268756
1101	72-73	-0.32404791643139674
1101	74-75	-0.32541711948709207
1101	76-77	-0.4138678700251077
1101	78-79	-0.27891527071273714
1101	80-81	-0.26614137743139565
1101	82-83	-0.14131447987170986
1101	84-85	-0.2910068386729492
1101	86-87	-0.26088955728911856
1101	88-89	-0.3696094899317117
1101	90-91	-0.3094641040725534
1101	92-93	-0.022999217026438146
1101	94-95	-2.5713070699525673
1102	1	-0.056959187516120835
1102	2	-0.10462318661696912
1102	3	-0.4209117882641209
1102	4	-0.3386425830572364
1102	5	-0.3852018111497486
1102	6	-0.2938267427545398
1102	7	-0.3564873843577274
1102	8	-0.47418591734110294
1102	9	-0.3949682426051453
1102	10-11	-0.2899320260693301
1102	12-13	-0.2101097753622554
1102	14-15	-0.14595593731706202
1102	16-17	-0.11114456489191582
1102	18-19	-0.16654517957478987
1102	20-21	-0.07191473081069688
1102	22-23	-0.2998067628008343
1102	24-25	-0.32750458111912195
1102	26-27	-0.34369103723786765
1102	28-29	-0.13545021743856012
1102	30-31	-0.22516055032812687
1102	32-33	-0.19799136011153706
1102	34-35	-0.10626509590655786
1102	36-37	-0.2537494395820872
1102	38-39	-0.19742249830999725
1102	40-41	-0.35160675075851344
1102	42-43	-0.1684472263625736
1102	44-45	-0.22617751960500954
1102	46-47	-0.28130265844345104
1102	48-49	-0.3142209354579393
1102	50-51	-0.25559507007746163
1102	52-53	-0.21826162507171176
1102	54-55	-0.2054543623468561
1102	56-57	-0.36413019433722127
1102	58-59	-0.22135335759938357
1102	60-61	-0.312421271711564
1102	62-63	-0.05781555159067153
1102	64-65	-0.21208226143269115
1102	66-67	-0.14663851318401555
1102	68-69	-0.2100256632683397
1102	70-71	-0.23331880631365465
1102	72-73	-0.2140073133932887
1102	74-75	-0.22325873818584796
1102	76-77	-0.22892938049227496
1102	78-79	-0.480618170908528
1102	80-81	-0.21719580577286024
1102	82-83	-0.3921487412393745
1102	84-85	-0.2192170575460537
1102	86-87	-0.22483140640493815
1102	88-89	-0.28305476642588445
1102	90-91	-0.30370585342743794
1102	92-93	-0.09987660298092038
1102	94-95	0.35136845186906385
1103	1	-0.47871895385419805
1103	2	-0.3985101971095375
1103	3	-0.3869292176655179
1103	4	-0.6006042637721976
1103	5	-0.5201479196946011
1103	6	-0.6185152199836139
1103	7	-0.31602831487823124
1103	8	-0.562640923135028
1103	9	-0.19141569248371582
