##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s4C_S13_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3222021
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.79528935410415	37.0	37.0	37.0	37.0	37.0
2	36.50274874061963	37.0	37.0	37.0	37.0	37.0
3	36.72400862688356	37.0	37.0	37.0	37.0	37.0
4	36.72004527593085	37.0	37.0	37.0	37.0	37.0
5	36.679872353408	37.0	37.0	37.0	37.0	37.0
6	36.67976372593475	37.0	37.0	37.0	37.0	37.0
7	36.66513129492328	37.0	37.0	37.0	37.0	37.0
8	36.65952922094549	37.0	37.0	37.0	37.0	37.0
9	36.65795195003385	37.0	37.0	37.0	37.0	37.0
10-11	36.64749329690899	37.0	37.0	37.0	37.0	37.0
12-13	36.64265409815765	37.0	37.0	37.0	37.0	37.0
14-15	36.62667313465679	37.0	37.0	37.0	37.0	37.0
16-17	36.62178862273089	37.0	37.0	37.0	37.0	37.0
18-19	36.61535011720905	37.0	37.0	37.0	37.0	37.0
20-21	36.619634217661336	37.0	37.0	37.0	37.0	37.0
22-23	36.613329070511625	37.0	37.0	37.0	37.0	37.0
24-25	36.609843860708665	37.0	37.0	37.0	37.0	37.0
26-27	36.60131609142948	37.0	37.0	37.0	37.0	37.0
28-29	36.5959287812988	37.0	37.0	37.0	37.0	37.0
30-31	36.59487377490687	37.0	37.0	37.0	37.0	37.0
32-33	36.58422651430405	37.0	37.0	37.0	37.0	37.0
34-35	36.57596402759923	37.0	37.0	37.0	37.0	37.0
36-37	36.57442528326726	37.0	37.0	37.0	37.0	37.0
38-39	36.567804960963315	37.0	37.0	37.0	37.0	37.0
40-41	36.566438034523976	37.0	37.0	37.0	37.0	37.0
42-43	36.56663517755062	37.0	37.0	37.0	37.0	37.0
44-45	36.558892291129794	37.0	37.0	37.0	37.0	37.0
46-47	36.55045636893624	37.0	37.0	37.0	37.0	37.0
48-49	36.547014836772604	37.0	37.0	37.0	37.0	37.0
50-51	36.53571528266547	37.0	37.0	37.0	37.0	37.0
52-53	36.52723830439652	37.0	37.0	37.0	37.0	37.0
54-55	36.526393593149145	37.0	37.0	37.0	37.0	37.0
56-57	36.515204395452116	37.0	37.0	37.0	37.0	37.0
58-59	36.5149555364377	37.0	37.0	37.0	37.0	37.0
60-61	36.507264943493645	37.0	37.0	37.0	37.0	37.0
62-63	36.48956573627905	37.0	37.0	37.0	37.0	37.0
64-65	36.49093020662518	37.0	37.0	37.0	37.0	37.0
66-67	36.48425406592446	37.0	37.0	37.0	37.0	37.0
68-69	36.4802774263448	37.0	37.0	37.0	37.0	37.0
70-71	36.47244485086645	37.0	37.0	37.0	37.0	37.0
72-73	36.471348193084445	37.0	37.0	37.0	37.0	37.0
74-75	36.4604280476142	37.0	37.0	37.0	37.0	37.0
76-77	36.44063397602521	37.0	37.0	37.0	37.0	37.0
78-79	36.43163666930613	37.0	37.0	37.0	37.0	37.0
80-81	36.416676466568944	37.0	37.0	37.0	37.0	37.0
82-83	36.40970434145472	37.0	37.0	37.0	37.0	37.0
84-85	36.39745726630878	37.0	37.0	37.0	37.0	37.0
86-87	36.37656991146107	37.0	37.0	37.0	37.0	37.0
88-89	36.35986408084538	37.0	37.0	37.0	37.0	37.0
90-91	36.33506169670673	37.0	37.0	37.0	37.0	37.0
92-93	36.31482942744069	37.0	37.0	37.0	37.0	37.0
94-95	36.22359997998493	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.10830549425628533
1101	2	-0.07140637123475813
1101	3	-0.13238619336062385
1101	4	-0.4001879713731711
1101	5	-0.2014617270205079
1101	6	-0.2990383738390534
1101	7	-0.17028401815676375
1101	8	-0.11478831589727179
1101	9	-0.30695078609408455
1101	10-11	-0.2850533940909159
1101	12-13	-0.34021344159619105
1101	14-15	-0.2323548757481504
1101	16-17	-0.2953975218103082
1101	18-19	-0.32311638248442165
1101	20-21	-0.17936117091004178
1101	22-23	-0.16559245942615064
1101	24-25	-0.33600400334066194
1101	26-27	-0.2705790599018769
1101	28-29	-0.26322103877073744
1101	30-31	-0.2180317621409955
1101	32-33	-0.3057289362687996
1101	34-35	-0.1900219333839459
1101	36-37	-0.2604603588509562
1101	38-39	-0.449455807441808
1101	40-41	-0.2281375819656546
1101	42-43	-0.28771002506820054
1101	44-45	-0.3796161598129473
1101	46-47	-0.3079977409889949
1101	48-49	-0.5066515004849634
1101	50-51	-0.44112460632111805
1101	52-53	-0.4008187233803895
1101	54-55	-0.5611255351250435
1101	56-57	-0.47928272036038067
1101	58-59	-0.2873025619383611
1101	60-61	-0.20559996759819654
1101	62-63	-0.02918740496550498
1101	64-65	-0.07848245053764202
1101	66-67	-0.09642928754321645
1101	68-69	-0.22297044219025963
1101	70-71	-0.14800111306392694
1101	72-73	-0.3172208324326107
1101	74-75	-0.3324549808708994
1101	76-77	-0.33568554594436506
1101	78-79	-0.23145747950000128
1101	80-81	-0.30611551823064076
1101	82-83	-0.18468980138978708
1101	84-85	-0.34170025902707835
1101	86-87	-0.19752827278251317
1101	88-89	-0.44064001631026173
1101	90-91	-0.519053967054802
1101	92-93	-0.4186713443014298
1101	94-95	-0.527009835515436
1102	1	-0.1875075005697866
1102	2	-0.2584917866104277
1102	3	-0.314677833206062
1102	4	-0.38910358135507295
1102	5	-0.34910520698798564
1102	6	-0.33177772073433687
1102	7	-0.5919462990166267
1102	8	-0.251737636798147
1102	9	-0.24131416892724644
1102	10-11	-0.19896970500084876
1102	12-13	-0.17246391264843197
1102	14-15	-0.07051831843197931
1102	16-17	-0.2502480295969107
1102	18-19	-0.25227229920387373
1102	20-21	-0.16295159491289724
1102	22-23	-0.22818948364688652
1102	24-25	-0.3937531517586095
1102	26-27	-0.35474291127572855
1102	28-29	-0.236437525747192
1102	30-31	-0.29277968875024385
1102	32-33	-0.19915415627993127
1102	34-35	-0.37030406114929804
1102	36-37	-0.31037829770541236
1102	38-39	-0.3247998123763267
1102	40-41	-0.12635625556762875
1102	42-43	-0.24673861135768504
1102	44-45	-0.17492378263248298
1102	46-47	-0.3243711346739673
1102	48-49	-0.24683769081509865
1102	50-51	-0.17112951506156548
1102	52-53	-0.14466627556335254
1102	54-55	-0.1812900116222238
1102	56-57	-0.2966751021322196
1102	58-59	-0.10809829309366137
1102	60-61	-0.10157126966873165
1102	62-63	-0.06897295164661443
1102	64-65	-0.07368150062808354
1102	66-67	-0.07457025409127027
1102	68-69	-0.1338507254494985
1102	70-71	-0.15599592046925892
1102	72-73	-0.1554742578078887
1102	74-75	-0.14258792776447393
1102	76-77	-0.20768346518001835
1102	78-79	-0.18874985087880702
1102	80-81	-0.06202865227234611
1102	82-83	-0.209715996033232
1102	84-85	-0.20197366173227493
1102	86-87	-0.014491628210379304
1102	88-89	-0.11841471709151818
1102	90-91	-0.2435942045429158
1102	92-93	0.1725665561842078
1102	94-95	0.10984653304824832
1103	1	-0.23756782418826106
1103	2	-0.34055201560361326
1103	3	-0.42563307544678963
1103	4	-0.33392757832706366
1103	5	-0.45638070850198886
1103	6	-0.3325122495004251
1103	7	-0.37172251022025904
1103	8	-0.1535118608708146
1103	9	-0.022436424794008758
