##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	1B_S212_concat.fastq.trim2
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1733146
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.39743564592943	37.0	37.0	37.0	37.0	37.0
2	36.16711806160589	37.0	37.0	37.0	37.0	37.0
3	36.389233220975036	37.0	37.0	37.0	37.0	37.0
4	36.39239163925024	37.0	37.0	37.0	37.0	37.0
5	36.30801790501204	37.0	37.0	37.0	37.0	37.0
6	36.29111453968679	37.0	37.0	37.0	37.0	37.0
7	36.25388628540238	37.0	37.0	37.0	37.0	37.0
8	36.26130862604766	37.0	37.0	37.0	37.0	37.0
9	36.247260184658415	37.0	37.0	37.0	37.0	37.0
10-11	36.21109993041556	37.0	37.0	37.0	37.0	37.0
12-13	36.172735014822756	37.0	37.0	37.0	37.0	37.0
14-15	36.13889424203154	37.0	37.0	37.0	37.0	37.0
16-17	36.11141877256735	37.0	37.0	37.0	37.0	37.0
18-19	36.08379328688985	37.0	37.0	37.0	37.0	37.0
20-21	36.08390311051268	37.0	37.0	37.0	37.0	37.0
22-23	36.07933903952052	37.0	37.0	37.0	37.0	37.0
24-25	36.076874949929795	37.0	37.0	37.0	37.0	37.0
26-27	36.07064984679429	37.0	37.0	37.0	37.0	37.0
28-29	36.0617701566275	37.0	37.0	37.0	37.0	37.0
30-31	36.05704812212858	37.0	37.0	37.0	37.0	37.0
32-33	36.038094662162436	37.0	37.0	37.0	37.0	37.0
34-35	36.032801649874045	37.0	37.0	37.0	37.0	37.0
36-37	36.0173596709032	37.0	37.0	37.0	37.0	37.0
38-39	36.00569094943624	37.0	37.0	37.0	37.0	37.0
40-41	35.97870309252404	37.0	37.0	37.0	37.0	37.0
42-43	35.964480171460956	37.0	37.0	37.0	37.0	37.0
44-45	35.9502538405667	37.0	37.0	37.0	37.0	37.0
46-47	35.94059794915595	37.0	37.0	37.0	37.0	37.0
48-49	35.90928138860647	37.0	37.0	37.0	37.0	37.0
50-51	35.91131033227743	37.0	37.0	37.0	37.0	37.0
52-53	35.8885916569004	37.0	37.0	37.0	37.0	37.0
54-55	35.87623464633755	37.0	37.0	37.0	37.0	37.0
56-57	35.868589923112324	37.0	37.0	37.0	37.0	37.0
58-59	35.853546793074905	37.0	37.0	37.0	37.0	37.0
60-61	35.83469896777285	37.0	37.0	37.0	37.0	37.0
62-63	35.84222499936768	37.0	37.0	37.0	37.0	37.0
64-65	35.844653303856916	37.0	37.0	37.0	37.0	37.0
66-67	35.839847582978194	37.0	37.0	37.0	37.0	37.0
68-69	35.838358371033145	37.0	37.0	37.0	37.0	37.0
70-71	35.835922759758084	37.0	37.0	37.0	37.0	37.0
72-73	35.84575255601579	37.0	37.0	37.0	37.0	37.0
74-75	35.8179087506554	37.0	37.0	37.0	37.0	37.0
76-77	35.798902761477386	37.0	37.0	37.0	37.0	37.0
78-79	35.76425269432575	37.0	37.0	37.0	37.0	37.0
80-81	35.749171846209975	37.0	37.0	37.0	37.0	37.0
82-83	35.7495291354574	37.0	37.0	37.0	37.0	37.0
84-85	35.76701882221302	37.0	37.0	37.0	37.0	37.0
86-87	35.76633544712676	37.0	37.0	37.0	37.0	37.0
88-89	35.78854444091102	37.0	37.0	37.0	37.0	37.0
90-91	35.78029991602814	37.0	37.0	37.0	37.0	37.0
92-93	35.80720951326327	37.0	37.0	37.0	37.0	37.0
94-95	35.185829513847466	37.0	37.0	37.0	31.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.3735787761237219
1101	2	-0.17735671913708728
1101	3	-0.13657597204603178
1101	4	-0.33840236838640436
1101	5	-0.7058385588941363
1101	6	-0.6326181588355411
1101	7	-0.1350042126309674
1101	8	-0.2558463286265251
1101	9	-0.25977130153059136
1101	10-11	-0.29541801927372546
1101	12-13	-0.33766588973414
1101	14-15	-0.4002285247235662
1101	16-17	-0.33484539623984233
1101	18-19	-0.4548921465875395
1101	20-21	-0.3756833827008563
1101	22-23	-0.18119233578669736
1101	24-25	-0.21505272015962618
1101	26-27	0.025162030627079446
1101	28-29	-0.2658791081703171
1101	30-31	-0.31495885412994795
1101	32-33	-0.14786925791081273
1101	34-35	-0.09789562339934577
1101	36-37	-0.11227066620595849
1101	38-39	-0.25983662293379695
1101	40-41	-0.31088447509824846
1101	42-43	-0.35293917294234234
1101	44-45	-0.5006396579655643
1101	46-47	-0.3684274126377929
1101	48-49	-0.3487101573524498
1101	50-51	-0.2208040498127417
1101	52-53	-0.1464360743187072
1101	54-55	0.11757463789788147
1101	56-57	-0.046621234182829596
1101	58-59	-0.22984154251176392
1101	60-61	-0.27752399526568894
1101	62-63	-0.2299784804124485
1101	64-65	-0.27346089857404365
1101	66-67	-0.027605653530166308
1101	68-69	-0.4121921341020993
1101	70-71	-0.28323362195743584
1101	72-73	-0.24648426875995
1101	74-75	-0.34812167308385966
1101	76-77	-0.32299977595924645
1101	78-79	-0.14344820055872987
1101	80-81	-0.5527868499132182
1101	82-83	-0.43195341775565765
1101	84-85	-0.4146751411558469
1101	86-87	-0.1651661449096622
1101	88-89	-0.609615669000263
1101	90-91	-0.7239453409248426
1101	92-93	-0.4788614198243337
1101	94-95	-1.068741054607628
1102	1	-0.1674663570317847
1102	2	-0.10393723273112698
1102	3	-0.1168826597837338
1102	4	-0.39755177011955567
1102	5	-0.24304820162102914
1102	6	-0.5083304846459811
1102	7	-0.19498223193726005
1102	8	0.06143481337718981
1102	9	-0.36672250984852184
1102	10-11	-0.24423723923199958
1102	12-13	0.27691281777129007
1102	14-15	-0.0718453957742966
1102	16-17	0.19204125929589821
1102	18-19	0.28475571575278025
1102	20-21	0.23408165472808662
1102	22-23	0.180639531636956
1102	24-25	0.13308497879857129
1102	26-27	0.1324738517154529
1102	28-29	-0.053457705547117484
1102	30-31	0.09542656655130344
1102	32-33	0.045392231982376074
1102	34-35	-0.07768050376207469
1102	36-37	0.07468488214792046
1102	38-39	-0.03448444815440155
1102	40-41	0.06445208474340092
1102	42-43	0.38807912103346354
1102	44-45	0.49821984111980555
1102	46-47	0.14793254911999298
1102	48-49	0.15963356096133197
1102	50-51	0.021008110267672464
1102	52-53	0.23102034159482088
1102	54-55	0.07126692547056734
1102	56-57	0.01783659534611104
1102	58-59	-0.0646423824912219
1102	60-61	0.08542484843761855
1102	62-63	-0.04880058213702654
1102	64-65	0.08999142323944653
1102	66-67	0.10157120354310223
1102	68-69	0.21894554764470797
1102	70-71	0.11986260521256753
1102	72-73	-0.06155948937979616
1102	74-75	0.06940363880455891
1102	76-77	-0.022789932181176198
1102	78-79	-0.025841919597205276
1102	80-81	-0.4422839417472346
1102	82-83	-0.22465854963541432
1102	84-85	-0.47347987751050624
1102	86-87	0.19208902934138194
1102	88-89	-0.22141740283262124
1102	90-91	-0.18710477136367842
1102	92-93	0.19705402896700974
1102	94-95	0.5629919664696601
1103	1	-0.12134955248801305
1103	2	-0.041537553758416834
1103	3	-0.09970461311130663
1103	4	-0.18439273814029633
1103	5	0.014869442532571497
1103	6	-0.2531498039035043
1103	7	-0.007561974292279672
1103	8	0.0016537704500834138
1103	9	-0.07323977535455128
1103	10-11	-0.07590884478000959
1103	12-13	-0.14366894129361185
