##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	1C_S213_concat.fastq.trim2
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2702358
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.43034268590616	37.0	37.0	37.0	37.0	37.0
2	36.18621514988022	37.0	37.0	37.0	37.0	37.0
3	36.407026752191975	37.0	37.0	37.0	37.0	37.0
4	36.41086488170701	37.0	37.0	37.0	37.0	37.0
5	36.33403790319417	37.0	37.0	37.0	37.0	37.0
6	36.32353374349365	37.0	37.0	37.0	37.0	37.0
7	36.2956647490821	37.0	37.0	37.0	37.0	37.0
8	36.2981788497305	37.0	37.0	37.0	37.0	37.0
9	36.282706436378895	37.0	37.0	37.0	37.0	37.0
10-11	36.25998109798924	37.0	37.0	37.0	37.0	37.0
12-13	36.23585476091621	37.0	37.0	37.0	37.0	37.0
14-15	36.20645710153873	37.0	37.0	37.0	37.0	37.0
16-17	36.187604677100516	37.0	37.0	37.0	37.0	37.0
18-19	36.16515354368296	37.0	37.0	37.0	37.0	37.0
20-21	36.169790151176265	37.0	37.0	37.0	37.0	37.0
22-23	36.16647298377035	37.0	37.0	37.0	37.0	37.0
24-25	36.169300834972006	37.0	37.0	37.0	37.0	37.0
26-27	36.16052285620712	37.0	37.0	37.0	37.0	37.0
28-29	36.15342553670547	37.0	37.0	37.0	37.0	37.0
30-31	36.15867602111122	37.0	37.0	37.0	37.0	37.0
32-33	36.13501544711963	37.0	37.0	37.0	37.0	37.0
34-35	36.125999265499885	37.0	37.0	37.0	37.0	37.0
36-37	36.11808949959918	37.0	37.0	37.0	37.0	37.0
38-39	36.104993922610724	37.0	37.0	37.0	37.0	37.0
40-41	36.08627443157543	37.0	37.0	37.0	37.0	37.0
42-43	36.07244367290579	37.0	37.0	37.0	37.0	37.0
44-45	36.054678677852806	37.0	37.0	37.0	37.0	37.0
46-47	36.04484311413993	37.0	37.0	37.0	37.0	37.0
48-49	36.02780729938445	37.0	37.0	37.0	37.0	37.0
50-51	36.0199850790823	37.0	37.0	37.0	37.0	37.0
52-53	35.99792850440387	37.0	37.0	37.0	37.0	37.0
54-55	35.9889069619813	37.0	37.0	37.0	37.0	37.0
56-57	35.97530454814731	37.0	37.0	37.0	37.0	37.0
58-59	35.9649111137512	37.0	37.0	37.0	37.0	37.0
60-61	35.946960855597915	37.0	37.0	37.0	37.0	37.0
62-63	35.94394003195406	37.0	37.0	37.0	37.0	37.0
64-65	35.952018908521495	37.0	37.0	37.0	37.0	37.0
66-67	35.94853641111789	37.0	37.0	37.0	37.0	37.0
68-69	35.946249947165555	37.0	37.0	37.0	37.0	37.0
70-71	35.94168330491568	37.0	37.0	37.0	37.0	37.0
72-73	35.951202290018834	37.0	37.0	37.0	37.0	37.0
74-75	35.92976606991906	37.0	37.0	37.0	37.0	37.0
76-77	35.903269830030865	37.0	37.0	37.0	37.0	37.0
78-79	35.87152108952449	37.0	37.0	37.0	37.0	37.0
80-81	35.85205168947723	37.0	37.0	37.0	37.0	37.0
82-83	35.84767811915851	37.0	37.0	37.0	37.0	37.0
84-85	35.8577459926627	37.0	37.0	37.0	37.0	37.0
86-87	35.85315986556124	37.0	37.0	37.0	37.0	37.0
88-89	35.86221391486541	37.0	37.0	37.0	37.0	37.0
90-91	35.84931602159648	37.0	37.0	37.0	37.0	37.0
92-93	35.84043916710779	37.0	37.0	37.0	37.0	37.0
94-95	35.506566961499175	37.0	37.0	37.0	31.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.3859947190378392
1101	2	-0.36251875850000914
1101	3	-0.3832268561517367
1101	4	-0.1594318672469015
1101	5	-0.43569266546442975
1101	6	-0.12706059072764475
1101	7	-0.22017998453203802
1101	8	-0.26291835149840637
1101	9	-0.270405288282177
1101	10-11	-0.2967496130653444
1101	12-13	-0.5354140880102918
1101	14-15	-0.5720006951268743
1101	16-17	-0.4688645165561667
1101	18-19	-0.48966550778803253
1101	20-21	-0.2274006796282606
1101	22-23	-0.16660776353634787
1101	24-25	-0.20112392946954571
1101	26-27	-0.16660527597713326
1101	28-29	-0.09276978026272786
1101	30-31	-0.15315057309043567
1101	32-33	-0.06643050936486361
1101	34-35	-0.08245407617778255
1101	36-37	-0.11289075782759994
1101	38-39	-0.18716125960413876
1101	40-41	-0.20528641519653945
1101	42-43	-0.15424420473515
1101	44-45	-0.1229706911865378
1101	46-47	-0.2402031166559695
1101	48-49	-0.17984821181082822
1101	50-51	-0.17424388334843854
1101	52-53	-0.21407271365152525
1101	54-55	-0.07753877381009744
1101	56-57	-0.013726289359503596
1101	58-59	0.07781904405016604
1101	60-61	-0.05644298668644154
1101	62-63	0.07739389873784575
1101	64-65	0.013946069356258306
1101	66-67	0.005262227114428697
1101	68-69	0.24138484602728028
1101	70-71	0.14369598799704875
1101	72-73	0.043347225546249035
1101	74-75	0.03907158548115319
1101	76-77	-0.07823405050718435
1101	78-79	-0.32870321868816177
1101	80-81	-0.19035951868247025
1101	82-83	-0.012093925898945201
1101	84-85	-0.27383362955872315
1101	86-87	-0.17560533083815955
1101	88-89	-0.3511209055709017
1101	90-91	-0.2402973627554843
1101	92-93	0.2764303576716287
1101	94-95	-0.3673477024260947
1102	1	-0.5461246559434727
1102	2	-0.6550286455260235
1102	3	-0.5897458060847001
1102	4	-0.38847257344244923
1102	5	-0.05324183629974755
1102	6	-0.5307453399599922
1102	7	-0.32062351916186316
1102	8	-0.14327452470276114
1102	9	-0.2170965583866007
1102	10-11	-0.39139692374622115
1102	12-13	-0.13643090196121221
1102	14-15	-0.29765987023895946
1102	16-17	-0.09744102507846719
1102	18-19	-0.17126242466974162
1102	20-21	-0.030122643931569826
1102	22-23	-0.08107046929826822
1102	24-25	-0.10165956928780417
1102	26-27	0.07207097363998116
1102	28-29	-0.08866916739748376
1102	30-31	-0.15024809257408123
1102	32-33	-0.16820448100401109
1102	34-35	-0.3508193332184888
1102	36-37	-0.29877981435220136
1102	38-39	-0.040790642964886104
1102	40-41	-0.036712555522406376
1102	42-43	-0.17267382888912408
1102	44-45	-0.29679446697986833
1102	46-47	-0.21151700509954452
1102	48-49	-0.2774517345607279
1102	50-51	-0.06977089248810131
1102	52-53	-0.10652867208902705
1102	54-55	-0.19341120767344933
1102	56-57	-0.03945545826432806
1102	58-59	-0.3025857009306705
1102	60-61	-0.2752977348772703
1102	62-63	-0.03702365397354157
1102	64-65	-0.34384480546722074
1102	66-67	0.13430757422015915
1102	68-69	-0.1056086911302927
1102	70-71	-0.17182590732015512
1102	72-73	0.05794365016524239
1102	74-75	-0.19821807596848373
1102	76-77	-0.025599457735637543
1102	78-79	-0.33913787774191206
1102	80-81	-0.4425344840304888
1102	82-83	-0.24818056624500429
1102	84-85	-0.2238985756172056
1102	86-87	-0.10751388790287564
1102	88-89	-0.43613193979782494
1102	90-91	-0.48936883659347785
1102	92-93	0.04706291581572941
1102	94-95	0.09854489554197698
1103	1	-0.10994028560832447
1103	2	-0.12435250608354664
1103	3	-0.017098238604667415
1103	4	-0.14426554816948567
1103	5	0.034396564982486666
1103	6	-0.04308493149844139
1103	7	-0.09617728000195314
1103	8	-0.15785116678090105
1103	9	-0.25511707489094704
1103	10-11	-0.07577141119693209
