##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	1D_S214_concat.fastq.trim2
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3184109
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.36812904332107	37.0	37.0	37.0	37.0	37.0
2	36.1259476355866	37.0	37.0	37.0	37.0	37.0
3	36.36255636977252	37.0	37.0	37.0	37.0	37.0
4	36.368868339620285	37.0	37.0	37.0	37.0	37.0
5	36.29016751625023	37.0	37.0	37.0	37.0	37.0
6	36.27877280583046	37.0	37.0	37.0	37.0	37.0
7	36.2405787615939	37.0	37.0	37.0	37.0	37.0
8	36.244678495616824	37.0	37.0	37.0	37.0	37.0
9	36.22549259463165	37.0	37.0	37.0	37.0	37.0
10-11	36.20286962538029	37.0	37.0	37.0	37.0	37.0
12-13	36.16687745300177	37.0	37.0	37.0	37.0	37.0
14-15	36.132969066071546	37.0	37.0	37.0	37.0	37.0
16-17	36.11044282717708	37.0	37.0	37.0	37.0	37.0
18-19	36.089923743188436	37.0	37.0	37.0	37.0	37.0
20-21	36.09543397055172	37.0	37.0	37.0	37.0	37.0
22-23	36.08921639423098	37.0	37.0	37.0	37.0	37.0
24-25	36.08594978205501	37.0	37.0	37.0	37.0	37.0
26-27	36.07996550441266	37.0	37.0	37.0	37.0	37.0
28-29	36.07423257053623	37.0	37.0	37.0	37.0	37.0
30-31	36.07259690688245	37.0	37.0	37.0	37.0	37.0
32-33	36.05176896611794	37.0	37.0	37.0	37.0	37.0
34-35	36.05024241462188	37.0	37.0	37.0	37.0	37.0
36-37	36.0348851185926	37.0	37.0	37.0	37.0	37.0
38-39	36.02456028243317	37.0	37.0	37.0	37.0	37.0
40-41	36.00639926215359	37.0	37.0	37.0	37.0	37.0
42-43	35.99493220323534	37.0	37.0	37.0	37.0	37.0
44-45	35.98489258745385	37.0	37.0	37.0	37.0	37.0
46-47	35.97036718524207	37.0	37.0	37.0	37.0	37.0
48-49	35.951196276949716	37.0	37.0	37.0	37.0	37.0
50-51	35.94470004439742	37.0	37.0	37.0	37.0	37.0
52-53	35.92035589596739	37.0	37.0	37.0	37.0	37.0
54-55	35.915457222601546	37.0	37.0	37.0	37.0	37.0
56-57	35.902471049983596	37.0	37.0	37.0	37.0	37.0
58-59	35.891541016500824	37.0	37.0	37.0	37.0	37.0
60-61	35.87898758312139	37.0	37.0	37.0	37.0	37.0
62-63	35.87743618495239	37.0	37.0	37.0	37.0	37.0
64-65	35.88145418614383	37.0	37.0	37.0	37.0	37.0
66-67	35.881027230081926	37.0	37.0	37.0	37.0	37.0
68-69	35.88513329413726	37.0	37.0	37.0	37.0	37.0
70-71	35.879552057926816	37.0	37.0	37.0	37.0	37.0
72-73	35.89243791464081	37.0	37.0	37.0	37.0	37.0
74-75	35.86999468314358	37.0	37.0	37.0	37.0	37.0
76-77	35.85162339904123	37.0	37.0	37.0	37.0	37.0
78-79	35.822397589393226	37.0	37.0	37.0	37.0	37.0
80-81	35.81146736314375	37.0	37.0	37.0	37.0	37.0
82-83	35.816737187755955	37.0	37.0	37.0	37.0	37.0
84-85	35.839285805655564	37.0	37.0	37.0	37.0	37.0
86-87	35.83779671016579	37.0	37.0	37.0	37.0	37.0
88-89	35.84836353141806	37.0	37.0	37.0	37.0	37.0
90-91	35.84247034361822	37.0	37.0	37.0	37.0	37.0
92-93	35.83808846778064	37.0	37.0	37.0	37.0	37.0
94-95	35.68828186279393	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.3313395831781776
1101	2	-0.16116999137648946
1101	3	-0.4702653888744166
1101	4	-0.2120309831102105
1101	5	-0.3423141975194355
1101	6	-0.18493661726926547
1101	7	-0.20092383451694218
1101	8	-0.1674791089930494
1101	9	-0.2197283955958227
1101	10-11	-0.13628383227893437
1101	12-13	-0.32998637100838124
1101	14-15	-0.22055571154481157
1101	16-17	-0.31394216450576806
1101	18-19	-0.3584975131572179
1101	20-21	-0.1986186632262701
1101	22-23	-0.2624693916485086
1101	24-25	-0.14248584907454642
1101	26-27	-0.09906251828376611
1101	28-29	-0.08523084164646377
1101	30-31	0.03846895967525654
1101	32-33	-0.19875339821501825
1101	34-35	-0.08920819183300921
1101	36-37	-0.25794738931614347
1101	38-39	0.040766120937000494
1101	40-41	-0.08406115226990352
1101	42-43	-0.26128422374829796
1101	44-45	-0.15336346904519615
1101	46-47	-0.06273220210154307
1101	48-49	0.01210942251937297
1101	50-51	-0.09987082571289818
1101	52-53	-0.17158750971380954
1101	54-55	-0.16768433333384536
1101	56-57	-0.09435632253249082
1101	58-59	-0.11135987535220693
1101	60-61	-0.023512545965310494
1101	62-63	0.019306783635144598
1101	64-65	0.04810082749062161
1101	66-67	0.18147315748939974
1101	68-69	-9.880242496080882E-4
1101	70-71	0.09414860481729903
1101	72-73	0.1231708614483793
1101	74-75	0.026601078061446515
1101	76-77	0.06792240804211502
1101	78-79	-0.10308203585780973
1101	80-81	0.08433266955219665
1101	82-83	-0.06011177106065446
1101	84-85	0.08292017795749018
1101	86-87	-0.018292407526004695
1101	88-89	-0.3107473766362858
1101	90-91	-0.032857388057422554
1101	92-93	-0.08306447252913784
1101	94-95	0.40392869663008923
1102	1	-0.6539836892131419
1102	2	-0.16251009289933194
1102	3	-0.3577871034824227
1102	4	-0.30662319969227525
1102	5	-0.15810212758147912
1102	6	-0.42475162008934575
1102	7	-0.20196162357503766
1102	8	-0.12227211519721948
1102	9	-0.1655919037740503
1102	10-11	-0.22623081479444807
1102	12-13	-0.04361976074329732
1102	14-15	-0.11534871774899358
1102	16-17	-0.0030950127855220444
1102	18-19	0.045937907034542036
1102	20-21	0.07227504520280803
1102	22-23	-0.10474107100035468
1102	24-25	0.005936864206418591
1102	26-27	0.029202380229492064
1102	28-29	-0.0869331789149328
1102	30-31	-0.02477146212381598
1102	32-33	-0.10248636968036351
1102	34-35	-0.18687889169052596
1102	36-37	-0.3897678403272167
1102	38-39	-0.24179276998417265
1102	40-41	-0.2793545276430649
1102	42-43	-0.0329309638988704
1102	44-45	-0.10665238281403333
1102	46-47	-0.1546790994121352
1102	48-49	0.048897922264671934
1102	50-51	-0.01697590522611847
1102	52-53	-0.2729419374431288
1102	54-55	-0.15370672934622576
1102	56-57	-0.19921314999980666
1102	58-59	-0.376115366154977
1102	60-61	-0.3029734715163599
1102	62-63	-0.30331075179218203
1102	64-65	-0.10659787048337677
1102	66-67	-0.05093648738068879
1102	68-69	-0.12270111095675418
1102	70-71	-0.11383357464038113
1102	72-73	0.044107887348886265
1102	74-75	-0.08192140970376727
1102	76-77	-0.377681545840872
1102	78-79	-0.37238299608173264
1102	80-81	-0.3278515092126071
1102	82-83	-0.6958392362102046
1102	84-85	-0.6600478259514801
1102	86-87	-0.3749411559137883
1102	88-89	-0.25993397788930395
1102	90-91	-0.9504893640308438
1102	92-93	-0.057175412695819716
1102	94-95	0.02715450308170375
1103	1	0.10991313618367826
1103	2	-0.035033902423144525
1103	3	-0.03725535745067532
1103	4	-0.1983374854065616
1103	5	0.08438993591058619
1103	6	-0.08702146135918554
1103	7	-0.20092987754328817
1103	8	0.15233899591389388
1103	9	0.03196365178150273
1103	10-11	-0.03615541796904864
1103	12-13	-0.05114753852107157
1103	14-15	-0.1135352256855029
1103	16-17	-0.38392040961091567
1103	18-19	-0.21333193423529906
1103	20-21	-0.13005226188865038
1103	22-23	-0.3371310519774937
1103	24-25	-0.14199835132419025
1103	26-27	-0.09970744538384224
1103	28-29	-0.22108453198896427
1103	30-31	-0.34459131223064077
1103	32-33	-0.326201787078098
1103	34-35	-0.5307224291883941
1103	36-37	-0.2813785562739568
1103	38-39	-0.28096927337458055
1103	40-41	-0.365854802369725
1103	42-43	-0.18978762798025883
1103	44-45	-0.3954789980110647
1103	46-47	-0.5742154502433934
1103	48-49	-0.709110987523033
1103	50-51	-0.5983206418285505
1103	52-53	-0.6475366057571961
1103	54-55	-0.3745312266841765
1103	56-57	-0.33478440975121515
1103	58-59	-0.5734078610980617
1103	60-61	-0.11163254571245318
1103	62-63	-0.310581109495331
1103	64-65	-0.556579507634801
1103	66-67	-0.23573664823700113
1103	68-69	-0.1042265769108397
1103	70-71	-0.344832021043743
1103	72-73	-0.28331060650673123
1103	74-75	-0.18726523650792615
1103	76-77	-0.18466228818034836
1103	78-79	-0.43246787563752065
1103	80-81	-0.2120568477321001
1103	82-83	-0.43300499393001246
1103	84-85	-0.28664263022169933
1103	86-87	-0.36649522778954235
1103	88-89	-0.30621524225563945
1103	90-91	-0.2903858961437322
1103	92-93	-0.24614026809813794
1103	94-95	0.39357425616812236
1104	1	-0.23136657467150457
1104	2	-0.33673079044078236
1104	3	-0.32259289726935236
1104	4	-0.273429374649389
1104	5	-0.4066845556356071
1104	6	-0.1133569183550236
1104	7	0.05852246256942806
1104	8	-0.03790542947204045
1104	9	-0.28321645113445015
1104	10-11	-0.1310785373025496
1104	12-13	-0.25431005996189526
1104	14-15	-0.20904949914788773
1104	16-17	-0.23885792492578872
1104	18-19	-0.2765884890012842
1104	20-21	-0.24606062115498162
1104	22-23	-0.1456045894086273
1104	24-25	-0.3362609251131303
1104	26-27	-0.3428482601361722
1104	28-29	-0.25699382359867684
1104	30-31	-0.24039556685182362
