##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	2-ten_S247_concat.fastq.trim2
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1217208
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.5273527614015	37.0	37.0	37.0	37.0	37.0
2	36.278902208989756	37.0	37.0	37.0	37.0	37.0
3	36.47397486707284	37.0	37.0	37.0	37.0	37.0
4	36.47892389796978	37.0	37.0	37.0	37.0	37.0
5	36.423748447266206	37.0	37.0	37.0	37.0	37.0
6	36.40190337230777	37.0	37.0	37.0	37.0	37.0
7	36.37529822347536	37.0	37.0	37.0	37.0	37.0
8	36.37332485491387	37.0	37.0	37.0	37.0	37.0
9	36.35423033696788	37.0	37.0	37.0	37.0	37.0
10-11	36.336441265584845	37.0	37.0	37.0	37.0	37.0
12-13	36.323358045625724	37.0	37.0	37.0	37.0	37.0
14-15	36.300278999152155	37.0	37.0	37.0	37.0	37.0
16-17	36.27549441015833	37.0	37.0	37.0	37.0	37.0
18-19	36.24036812114281	37.0	37.0	37.0	37.0	37.0
20-21	36.2502836694627	37.0	37.0	37.0	37.0	37.0
22-23	36.234914304578695	37.0	37.0	37.0	37.0	37.0
24-25	36.24357147237333	37.0	37.0	37.0	37.0	37.0
26-27	36.24733067846547	37.0	37.0	37.0	37.0	37.0
28-29	36.23187195674947	37.0	37.0	37.0	37.0	37.0
30-31	36.237658683630286	37.0	37.0	37.0	37.0	37.0
32-33	36.223396423127156	37.0	37.0	37.0	37.0	37.0
34-35	36.21696116372371	37.0	37.0	37.0	37.0	37.0
36-37	36.203493754563596	37.0	37.0	37.0	37.0	37.0
38-39	36.19688860120323	37.0	37.0	37.0	37.0	37.0
40-41	36.173237491909475	37.0	37.0	37.0	37.0	37.0
42-43	36.15512043831143	37.0	37.0	37.0	37.0	37.0
44-45	36.14431382726107	37.0	37.0	37.0	37.0	37.0
46-47	36.127197298508094	37.0	37.0	37.0	37.0	37.0
48-49	36.10181475302821	37.0	37.0	37.0	37.0	37.0
50-51	36.09046570642833	37.0	37.0	37.0	37.0	37.0
52-53	36.055984557162695	37.0	37.0	37.0	37.0	37.0
54-55	36.047138879399064	37.0	37.0	37.0	37.0	37.0
56-57	36.04045568288176	37.0	37.0	37.0	37.0	37.0
58-59	36.02130505362193	37.0	37.0	37.0	37.0	37.0
60-61	36.0034693727351	37.0	37.0	37.0	37.0	37.0
62-63	35.99594460273451	37.0	37.0	37.0	37.0	37.0
64-65	36.00108469232994	37.0	37.0	37.0	37.0	37.0
66-67	35.99812918275225	37.0	37.0	37.0	37.0	37.0
68-69	35.99419946475369	37.0	37.0	37.0	37.0	37.0
70-71	35.99583086529127	37.0	37.0	37.0	37.0	37.0
72-73	35.99096051597925	37.0	37.0	37.0	37.0	37.0
74-75	35.97059375311149	37.0	37.0	37.0	37.0	37.0
76-77	35.94625425235558	37.0	37.0	37.0	37.0	37.0
78-79	35.91582745845295	37.0	37.0	37.0	37.0	37.0
80-81	35.88182327392879	37.0	37.0	37.0	37.0	37.0
82-83	35.857720678088114	37.0	37.0	37.0	37.0	37.0
84-85	35.859853050913024	37.0	37.0	37.0	37.0	37.0
86-87	35.834243872364	37.0	37.0	37.0	37.0	37.0
88-89	35.830500265060124	37.0	37.0	37.0	37.0	37.0
90-91	35.81906363512576	37.0	37.0	37.0	37.0	37.0
92-93	35.80345814666971	37.0	37.0	37.0	37.0	37.0
94-95	35.578540189227006	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.22972425683607867
1101	2	-0.18564407645628478
1101	3	-0.47898643624842663
1101	4	0.12819270697122676
1101	5	-0.5171165168123011
1101	6	-0.4611979220390623
1101	7	-0.22678585710394827
1101	8	-0.016601453206121164
1101	9	-0.18371900744956093
1101	10-11	-0.5476819702319631
1101	12-13	-0.4052313708764217
1101	14-15	-0.32995594499087133
1101	16-17	-0.4804860374853277
1101	18-19	-0.4896552191413548
1101	20-21	-0.4163756944924444
1101	22-23	-0.5740529444741114
1101	24-25	-0.11860278916042688
1101	26-27	-0.20175659528661072
1101	28-29	-0.03640539209523297
1101	30-31	-0.2526553413187145
1101	32-33	-0.06521764774858241
1101	34-35	-0.1616282381234413
1101	36-37	-0.35164836938674426
1101	38-39	-0.20468417213537293
1101	40-41	-0.43644398733918166
1101	42-43	-0.09291459821655934
1101	44-45	-0.05599827188937212
1101	46-47	-0.1970350850767204
1101	48-49	-0.4018769633208308
1101	50-51	-0.3070200269772627
1101	52-53	-0.3047849418688031
1101	54-55	-0.2408066315995896
1101	56-57	0.002786137825260937
1101	58-59	0.09217816824823188
1101	60-61	-0.2966518252952426
1101	62-63	-0.5026034131293926
1101	64-65	-0.08289547540596942
1101	66-67	-0.1542099732604285
1101	68-69	-0.24872154359173493
1101	70-71	0.15375123413895864
1101	72-73	-0.0658699293959728
1101	74-75	-0.10583540402718228
1101	76-77	-0.4612020219484094
1101	78-79	-0.2044695499315452
1101	80-81	-0.37440710142668365
1101	82-83	-0.2137880201345439
1101	84-85	-0.49971573329640506
1101	86-87	-0.40038304346854403
1101	88-89	-0.81957910145168
1101	90-91	-0.3178725983511299
1101	92-93	-0.09621363371736891
1101	94-95	-1.3510281383176164
1102	1	-0.4989384394247196
1102	2	-0.34054504458733703
1102	3	-0.15824693162652181
1102	4	-0.25478468663748544
1102	5	-0.26695245328690476
1102	6	-0.16070854398044787
1102	7	-0.3413615732021782
1102	8	-0.25546544610607214
1102	9	-0.293182191594461
1102	10-11	-0.3006616763551335
1102	12-13	-0.11242329082591596
1102	14-15	-0.1822362717429158
1102	16-17	-0.19329049251316377
1102	18-19	-0.31293536464225724
1102	20-21	-0.2804175928459074
1102	22-23	-0.17118736888804875
1102	24-25	-0.14129041999847658
1102	26-27	-0.42119645267957395
1102	28-29	-0.1157416880993054
1102	30-31	-0.566214959210015
1102	32-33	-0.02738948048792622
1102	34-35	-0.3969255143710342
1102	36-37	-0.41947367094594057
1102	38-39	-0.3295635158489958
1102	40-41	-0.28276992095933196
1102	42-43	0.00586225811483132
1102	44-45	-0.025546306799988372
1102	46-47	-0.1299235802655403
1102	48-49	-0.05660348102795609
1102	50-51	-0.30931534574110486
1102	52-53	-0.32095840530622866
1102	54-55	-0.024960862618634394
1102	56-57	0.0724994656278497
1102	58-59	-0.230639022248468
1102	60-61	-0.40288692552604743
1102	62-63	-0.3651753943279701
1102	64-65	-0.4124459152923663
1102	66-67	-0.2381738431439615
1102	68-69	-0.5245558892884858
1102	70-71	-0.03030600792958893
1102	72-73	-0.22524085120566895
1102	74-75	-0.14428896480472986
1102	76-77	-0.34663499012785337
1102	78-79	-0.36631670609678935
1102	80-81	-0.28180321131981145
1102	82-83	-0.5984943426186433
1102	84-85	-1.0570715961650166
1102	86-87	-0.3386052131604984
1102	88-89	-0.12086910317709254
1102	90-91	-0.03696228525068079
1102	92-93	0.6086920266599876
1102	94-95	0.28362468452469614
1103	1	-0.1490458508103245
1103	2	0.028323555484270457
1103	3	0.002870146783791938
1103	4	-0.17189890074418201
1103	5	0.00882627925874857
1103	6	0.14729360424726679
1103	7	-0.1750529444875326
1103	8	0.014316150743191258
1103	9	-0.003977035847952948
1103	10-11	-0.2134346802935454
1103	12-13	-0.05513721850225295
1103	14-15	-0.13421443142784284
1103	16-17	-0.29895644310393266
1103	18-19	-0.3090417019140119
1103	20-21	-0.33709363832053185
1103	22-23	-0.5625865295678452
1103	24-25	-0.5045276960144562
1103	26-27	-0.3179028291033177
1103	28-29	-0.3760647146312692
1103	30-31	-0.6792641524787939
1103	32-33	-0.7653404650893592
1103	34-35	-0.6306753535861276
1103	36-37	-0.4627415382017901
1103	38-39	-0.7597257603965488
1103	40-41	-0.22101156610833783
1103	42-43	-0.7936380328307706
1103	44-45	-0.32024214275509877
1103	46-47	-0.5810992894967058
1103	48-49	-0.6482259128252679
1103	50-51	-0.6258543600186286
1103	52-53	-0.45082165848784683
1103	54-55	-0.75803192268544
1103	56-57	-0.3269817720570316
1103	58-59	-0.5778025006959666
1103	60-61	-0.12117039118582795
1103	62-63	-0.5691687196838586
1103	64-65	-0.029025894340591663
1103	66-67	-0.09390662815761885
1103	68-69	-0.20653048805754537
1103	70-71	-0.037389120817245214
1103	72-73	-0.3435816660841766
1103	74-75	-0.08147883931899003
1103	76-77	-0.3111805503324092
1103	78-79	-0.5646284185164347
1103	80-81	-0.06335655527119854
1103	82-83	-0.6579944846799606
1103	84-85	-0.272992263869547
1103	86-87	-0.4777835446119312
1103	88-89	-0.20779154985445558
1103	90-91	-0.9135649254778286
1103	92-93	-1.3007733179422303
1103	94-95	0.49524515360784704
1104	1	-0.3429234018307312
1104	2	0.018119473851619716
1104	3	-0.4920278123998827
1104	4	-0.1923070640094835
1104	5	-0.3330104554351294
1104	6	-0.3578084365690586
1104	7	-0.20056314856916657
1104	8	-0.15915323701190687
1104	9	0.0011250049683724228
1104	10-11	-0.0884346802935454
1104	12-13	-0.019422932787961145
1104	14-15	-0.009214431427835734
1104	16-17	-0.2759972594304614
1104	18-19	-0.26822537538340185
1104	20-21	-0.35813298189301435
1104	22-23	-0.1849811807524091
1104	24-25	-0.14142136948697015
1104	26-27	-0.0715132499332185
1104	28-29	-0.237178381632269
1104	30-31	-0.13362853774255257
1104	32-33	-0.1704101845334094
1104	34-35	-0.016802240213181108
1104	36-37	-0.10312438019249726
1104	38-39	0.12345391157714403
1104	40-41	0.06781758222727063
1104	42-43	-0.009976067766586993
1104	44-45	0.006995863673218139
1104	46-47	-0.12510356863581507
1104	48-49	0.23515885073489073
1104	50-51	0.023620709506879223
1104	52-53	-0.1446703991783096
1104	54-55	-0.23912625381803565
1104	56-57	-0.20273103242873702
1104	58-59	-0.24402758494225196
1104	60-61	0.04387543729568222
1104	62-63	-0.29063072541825363
1104	64-65	-0.14992916291586766
1104	66-67	-0.1695553373474823
1104	68-69	0.081814375611998
1104	70-71	0.04200962395545815
1104	72-73	-0.018645273201059354
1104	74-75	0.16967094768310886
1104	76-77	-0.1875468980517212
1104	78-79	-0.03597558829290648
1104	80-81	0.133989394666294
1104	82-83	-0.13109959744612354
1104	84-85	0.04847511407260896
1104	86-87	-2.501432058537034E-4
1104	88-89	-0.18440740840453174
1104	90-91	-0.3805821458005809
1104	92-93	0.6794859244564151
1104	94-95	0.38810229646499295
1105	1	-0.32460363869231657
1105	2	-0.3554397944152754
