##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	2A_S215_concat.fastq.trim2
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3176643
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.556114426455856	37.0	37.0	37.0	37.0	37.0
2	36.263225990455965	37.0	37.0	37.0	37.0	37.0
3	36.49580736645572	37.0	37.0	37.0	37.0	37.0
4	36.50563535153305	37.0	37.0	37.0	37.0	37.0
5	36.44934070337775	37.0	37.0	37.0	37.0	37.0
6	36.44884710053979	37.0	37.0	37.0	37.0	37.0
7	36.4361280131258	37.0	37.0	37.0	37.0	37.0
8	36.438454368337894	37.0	37.0	37.0	37.0	37.0
9	36.43255505890967	37.0	37.0	37.0	37.0	37.0
10-11	36.42433128305573	37.0	37.0	37.0	37.0	37.0
12-13	36.41456405393996	37.0	37.0	37.0	37.0	37.0
14-15	36.39290911821064	37.0	37.0	37.0	37.0	37.0
16-17	36.38382248178344	37.0	37.0	37.0	37.0	37.0
18-19	36.3715554439073	37.0	37.0	37.0	37.0	37.0
20-21	36.377513637876746	37.0	37.0	37.0	37.0	37.0
22-23	36.37370969739935	37.0	37.0	37.0	37.0	37.0
24-25	36.377835701266136	37.0	37.0	37.0	37.0	37.0
26-27	36.37614882022659	37.0	37.0	37.0	37.0	37.0
28-29	36.36406577079953	37.0	37.0	37.0	37.0	37.0
30-31	36.36796119004552	37.0	37.0	37.0	37.0	37.0
32-33	36.354592044162494	37.0	37.0	37.0	37.0	37.0
34-35	36.349479520888096	37.0	37.0	37.0	37.0	37.0
36-37	36.3311828814535	37.0	37.0	37.0	37.0	37.0
38-39	36.33019256247469	37.0	37.0	37.0	37.0	37.0
40-41	36.31313955758725	37.0	37.0	37.0	37.0	37.0
42-43	36.30031301739945	37.0	37.0	37.0	37.0	37.0
44-45	36.28147260009395	37.0	37.0	37.0	37.0	37.0
46-47	36.27032176787078	37.0	37.0	37.0	37.0	37.0
48-49	36.26008802928314	37.0	37.0	37.0	37.0	37.0
50-51	36.250013359525646	37.0	37.0	37.0	37.0	37.0
52-53	36.23624185205608	37.0	37.0	37.0	37.0	37.0
54-55	36.2274587089057	37.0	37.0	37.0	37.0	37.0
56-57	36.210734232683606	37.0	37.0	37.0	37.0	37.0
58-59	36.2017119014469	37.0	37.0	37.0	37.0	37.0
60-61	36.18012013313402	37.0	37.0	37.0	37.0	37.0
62-63	36.18416163922787	37.0	37.0	37.0	37.0	37.0
64-65	36.18685548343008	37.0	37.0	37.0	37.0	37.0
66-67	36.18281443699942	37.0	37.0	37.0	37.0	37.0
68-69	36.185851602851464	37.0	37.0	37.0	37.0	37.0
70-71	36.18215548324386	37.0	37.0	37.0	37.0	37.0
72-73	36.17750920763925	37.0	37.0	37.0	37.0	37.0
74-75	36.15761483463436	37.0	37.0	37.0	37.0	37.0
76-77	36.13027497959254	37.0	37.0	37.0	37.0	37.0
78-79	36.090947880233436	37.0	37.0	37.0	37.0	37.0
80-81	36.0705146746418	37.0	37.0	37.0	37.0	37.0
82-83	36.05501672191228	37.0	37.0	37.0	37.0	37.0
84-85	36.041214822669815	37.0	37.0	37.0	37.0	37.0
86-87	36.00986755205858	37.0	37.0	37.0	37.0	37.0
88-89	35.98948212665256	37.0	37.0	37.0	37.0	37.0
90-91	35.948572661265636	37.0	37.0	37.0	37.0	37.0
92-93	35.90700074564895	37.0	37.0	37.0	37.0	37.0
94-95	35.78163374652456	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.14579521363810954
1101	2	-0.14761488839874204
1101	3	-0.1471895275214692
1101	4	-0.25485949267174135
1101	5	-0.3514653038443285
1101	6	-0.09616787280573647
1101	7	-0.2653614787501297
1101	8	-0.24059991437687245
1101	9	-0.1539280978532176
1101	10-11	-0.2604801766696383
1101	12-13	-0.26865348750710893
1101	14-15	-0.36969527598130725
1101	16-17	-0.4258632078809512
1101	18-19	-0.49578970509975306
1101	20-21	-0.27226661384000295
1101	22-23	-0.16792310984579473
1101	24-25	-0.11465180101691175
1101	26-27	-0.06744911888824134
1101	28-29	-0.11763270727120556
1101	30-31	-0.09476166764655858
1101	32-33	-0.08087132070100722
1101	34-35	-0.07237166452798505
1101	36-37	-0.3886333944658418
1101	38-39	-0.1166562303275569
1101	40-41	-0.0644623338238901
1101	42-43	-0.06667756459012963
1101	44-45	-0.18353940133081892
1101	46-47	-0.2617656502023422
1101	48-49	-0.0783467984321291
1101	50-51	-0.12390797279062582
1101	52-53	-0.09483656863451984
1101	54-55	-0.03851773111735923
1101	56-57	-0.10497521544506583
1101	58-59	-0.02388095013814251
1101	60-61	0.032371712530377295
1101	62-63	0.011654478219526254
1101	64-65	0.024783762515660612
1101	66-67	0.03510247565866109
1101	68-69	0.11846867901786595
1101	70-71	0.09341859632419158
1101	72-73	-0.009706612578206375
1101	74-75	-0.01034612761374376
1101	76-77	-0.041167294009966326
1101	78-79	-0.127384958591648
1101	80-81	0.017161790239853758
1101	82-83	-0.10607745504651689
1101	84-85	-0.03770540592685734
1101	86-87	-0.1360136819271105
1101	88-89	-0.03649188844178042
1101	90-91	-0.232013741407755
1101	92-93	-0.39667334108496277
1101	94-95	-0.5825311705858383
1102	1	-0.49139873224201835
1102	2	-0.4820737966383817
1102	3	-0.3578801244781573
1102	4	-0.32867214120151544
1102	5	-0.45677513252520896
1102	6	-0.5781031049555594
1102	7	-0.1721539449651459
1102	8	-0.26285366530795073
1102	9	-0.28674120749036547
1102	10-11	-0.35449287485712944
1102	12-13	-0.24939693446202682
1102	14-15	-0.3164409220636628
1102	16-17	-0.24055834497171702
1102	18-19	-0.2497428140275062
1102	20-21	0.0657910763201528
1102	22-23	-0.10953700381555365
1102	24-25	-0.10845127186715331
1102	26-27	-0.11158877411630641
1102	28-29	-0.0462270968074634
1102	30-31	-0.14094112104011458
1102	32-33	-0.21848034490376023
1102	34-35	-0.3016182311080158
1102	36-37	-0.3756749128637793
1102	38-39	-0.13143928367866664
1102	40-41	-0.22917922975164373
1102	42-43	-0.0332662706153215
1102	44-45	-0.08031103078413082
1102	46-47	-0.059570985000995336
1102	48-49	-0.08771725638669636
1102	50-51	-0.06097811858234792
1102	52-53	-0.18041427600450533
1102	54-55	-0.18084389235787768
1102	56-57	-0.3192958290879062
1102	58-59	-0.23420891735474925
1102	60-61	-0.27043938317429905
1102	62-63	-0.30880723061427773
1102	64-65	-0.5027627224802131
1102	66-67	0.04084080222934716
1102	68-69	-0.12601334374226525
1102	70-71	0.10846287785128084
1102	72-73	-0.03564157293209291
1102	74-75	-0.04738674046269864
1102	76-77	-0.2562978885093301
1102	78-79	-0.09824407927116852
1102	80-81	-0.4456209363021344
1102	82-83	-0.31527816836941014
1102	84-85	-0.4583752610889462
1102	86-87	-0.2617226130130419
1102	88-89	-0.3621056607440849
1102	90-91	-0.46170062546824653
1102	92-93	-0.3425694946011646
1102	94-95	-0.3329989599469769
1103	1	-0.17451614305834084
1103	2	-0.05276009284465033
1103	3	-0.15705658354237073
1103	4	-0.023578885167360397
1103	5	0.05900674159275354
1103	6	-0.006288521387922685
1103	7	-0.07470039158554442
1103	8	-0.17598061758974382
1103	9	-0.020061963987082265
1103	10-11	0.021417645787622064
