##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	2B_S216_concat.fastq.trim2
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2931037
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.45961855820995	37.0	37.0	37.0	37.0	37.0
2	36.18625182827784	37.0	37.0	37.0	37.0	37.0
3	36.41462697332037	37.0	37.0	37.0	37.0	37.0
4	36.41678661852443	37.0	37.0	37.0	37.0	37.0
5	36.35746426947186	37.0	37.0	37.0	37.0	37.0
6	36.35067486353806	37.0	37.0	37.0	37.0	37.0
7	36.33163450341978	37.0	37.0	37.0	37.0	37.0
8	36.33170069159823	37.0	37.0	37.0	37.0	37.0
9	36.32021670146095	37.0	37.0	37.0	37.0	37.0
10-11	36.30571330215211	37.0	37.0	37.0	37.0	37.0
12-13	36.284680814332944	37.0	37.0	37.0	37.0	37.0
14-15	36.252500736087605	37.0	37.0	37.0	37.0	37.0
16-17	36.24154898078734	37.0	37.0	37.0	37.0	37.0
18-19	36.22450791306967	37.0	37.0	37.0	37.0	37.0
20-21	36.228774565369264	37.0	37.0	37.0	37.0	37.0
22-23	36.2260453937534	37.0	37.0	37.0	37.0	37.0
24-25	36.2250420530407	37.0	37.0	37.0	37.0	37.0
26-27	36.22090004000076	37.0	37.0	37.0	37.0	37.0
28-29	36.21228024502909	37.0	37.0	37.0	37.0	37.0
30-31	36.2143542428281	37.0	37.0	37.0	37.0	37.0
32-33	36.19824983118616	37.0	37.0	37.0	37.0	37.0
34-35	36.19289809070269	37.0	37.0	37.0	37.0	37.0
36-37	36.178220241408965	37.0	37.0	37.0	37.0	37.0
38-39	36.16565006687009	37.0	37.0	37.0	37.0	37.0
40-41	36.15071613819789	37.0	37.0	37.0	37.0	37.0
42-43	36.14001398389079	37.0	37.0	37.0	37.0	37.0
44-45	36.121157610774034	37.0	37.0	37.0	37.0	37.0
46-47	36.113062464532334	37.0	37.0	37.0	37.0	37.0
48-49	36.09552986528574	37.0	37.0	37.0	37.0	37.0
50-51	36.086378631322226	37.0	37.0	37.0	37.0	37.0
52-53	36.067068169135844	37.0	37.0	37.0	37.0	37.0
54-55	36.055700091099574	37.0	37.0	37.0	37.0	37.0
56-57	36.041147154140404	37.0	37.0	37.0	37.0	37.0
58-59	36.02909068014455	37.0	37.0	37.0	37.0	37.0
60-61	36.01081979723528	37.0	37.0	37.0	37.0	37.0
62-63	36.007354152585236	37.0	37.0	37.0	37.0	37.0
64-65	36.014719992067434	37.0	37.0	37.0	37.0	37.0
66-67	36.00991318893058	37.0	37.0	37.0	37.0	37.0
68-69	36.01292071915704	37.0	37.0	37.0	37.0	37.0
70-71	36.00714469882228	37.0	37.0	37.0	37.0	37.0
72-73	36.011878223739124	37.0	37.0	37.0	37.0	37.0
74-75	35.987447252756404	37.0	37.0	37.0	37.0	37.0
76-77	35.962375972531476	37.0	37.0	37.0	37.0	37.0
78-79	35.928284592477915	37.0	37.0	37.0	37.0	37.0
80-81	35.90755987261352	37.0	37.0	37.0	37.0	37.0
82-83	35.88826250076481	37.0	37.0	37.0	37.0	37.0
84-85	35.89693688996003	37.0	37.0	37.0	37.0	37.0
86-87	35.87137558052038	37.0	37.0	37.0	37.0	37.0
88-89	35.86872150489751	37.0	37.0	37.0	37.0	37.0
90-91	35.840315601021345	37.0	37.0	37.0	37.0	37.0
92-93	35.81800755524446	37.0	37.0	37.0	37.0	37.0
94-95	35.63198565211245	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.33309873814003055
1101	2	-0.1549894308703017
1101	3	-0.252896939219994
1101	4	-0.4007281853907898
1101	5	-0.25333035355733813
1101	6	-0.22118727443400843
1101	7	-0.18356539236282998
1101	8	-0.23327044803576769
1101	9	-0.5729853731787458
1101	10-11	-0.19594025981893992
1101	12-13	-0.3391012992555602
1101	14-15	-0.5409234808996217
1101	16-17	-0.4946448303216471
1101	18-19	-0.41186292158453597
1101	20-21	-0.38475052604900384
1101	22-23	-0.23866961496304384
1101	24-25	-0.279508017262188
1101	26-27	-0.2151034403975487
1101	28-29	0.03921690626155083
1101	30-31	-0.14445864498176775
1101	32-33	-0.05937228541905171
1101	34-35	-0.12651206588851238
1101	36-37	-0.1456024511116425
1101	38-39	-0.09816179627315336
1101	40-41	-0.09841513267853941
1101	42-43	-0.22430323494391757
1101	44-45	-0.09611688801265217
1101	46-47	-0.029229796352765902
1101	48-49	0.007066549872092764
1101	50-51	-0.17652664868611367
1101	52-53	-0.1256585421053984
1101	54-55	-0.05247714580536211
1101	56-57	-0.002650533510049513
1101	58-59	-0.08940068617242503
1101	60-61	-0.19047584922390826
1101	62-63	-0.018037168663425973
1101	64-65	0.15036776378512684
1101	66-67	-0.0665499364209623
1101	68-69	0.010864218827123295
1101	70-71	-0.0045049461375299416
1101	72-73	0.09331892299869082
1101	74-75	-0.26012310988902243
1101	76-77	-0.416060466948295
1101	78-79	-0.03863535586816624
1101	80-81	-0.13751215583270238
1101	82-83	-0.16564767793757795
1101	84-85	-0.23740921222986344
1101	86-87	-0.2624894359936363
1101	88-89	-0.09450206273408668
1101	90-91	-0.7532262435993005
1101	92-93	0.25518676610187896
1101	94-95	0.1800118700341784
1102	1	-0.2509767023353646
1102	2	-0.3883008939877399
1102	3	-0.3230590912492346
1102	4	-0.4212436976224936
1102	5	-0.2653202307716924
1102	6	-0.1444715559974199
1102	7	-0.23658629404058473
1102	8	0.022041202540663107
1102	9	-0.35470062296785443
1102	10-11	-0.24475458168603836
1102	12-13	-0.060994635088349014
1102	14-15	-0.034090600592186604
1102	16-17	-0.024407694695057103
1102	18-19	-0.044222093015790165
1102	20-21	0.034688374688656154
1102	22-23	-0.01566465821048979
1102	24-25	0.07527066154403883
1102	26-27	-0.03940320279783549
1102	28-29	0.004213360998555515
1102	30-31	-0.13628844838449083
1102	32-33	0.003875851661959473
1102	34-35	-0.21682543538082655
1102	36-37	-0.30440315941593354
1102	38-39	-0.08123239020503092
1102	40-41	0.05029838115459029
1102	42-43	0.08972992317634265
1102	44-45	0.017772153859830553
1102	46-47	0.08777103007349751
1102	48-49	0.1089516655468259
1102	50-51	0.14736955343957447
1102	52-53	-0.04716942497309162
1102	54-55	-0.05154882171343189
1102	56-57	-0.137882419660329
1102	58-59	-0.29713383211502986
1102	60-61	-0.2718445265628944
1102	62-63	-0.17357528851810855
1102	64-65	-0.028290413334140396
1102	66-67	-0.07135488198732531
1102	68-69	-0.12685673132786235
1102	70-71	0.10380066943972821
1102	72-73	0.010056288406296687
1102	74-75	0.01755289595477194
1102	76-77	-0.14199250937730312
1102	78-79	0.08492941852495761
1102	80-81	-0.08827578296293126
1102	82-83	-0.20823156362268236
1102	84-85	0.004515829103489466
1102	86-87	-0.08570175524914703
1102	88-89	-0.22002533461525076
1102	90-91	-0.2940542339387804
1102	92-93	-5.4286819761273364E-5
1102	94-95	0.7627496380385708
1103	1	-0.013933173724474557
1103	2	-0.03557595443327699
1103	3	-0.12963024483958208
1103	4	-0.08112272830300071
1103	5	-0.14819751655193159
1103	6	0.044544179403715134
1103	7	-0.24739215627953826
1103	8	-0.03821810685440852
1103	9	-0.11610468083907222
1103	10-11	0.07815368976724102
