##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	3A_S218_concat.fastq.trim2
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1037956
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.546323736266274	37.0	37.0	37.0	37.0	37.0
2	36.304982099433886	37.0	37.0	37.0	37.0	37.0
3	36.49574163066642	37.0	37.0	37.0	37.0	37.0
4	36.49905390979964	37.0	37.0	37.0	37.0	37.0
5	36.44162180285099	37.0	37.0	37.0	37.0	37.0
6	36.424044949882266	37.0	37.0	37.0	37.0	37.0
7	36.40126941797148	37.0	37.0	37.0	37.0	37.0
8	36.414684244804214	37.0	37.0	37.0	37.0	37.0
9	36.39444061212614	37.0	37.0	37.0	37.0	37.0
10-11	36.372140052179475	37.0	37.0	37.0	37.0	37.0
12-13	36.35902581612323	37.0	37.0	37.0	37.0	37.0
14-15	36.34362535598812	37.0	37.0	37.0	37.0	37.0
16-17	36.30746968079572	37.0	37.0	37.0	37.0	37.0
18-19	36.26837457464478	37.0	37.0	37.0	37.0	37.0
20-21	36.30147904646789	37.0	37.0	37.0	37.0	37.0
22-23	36.27920527902369	37.0	37.0	37.0	37.0	37.0
24-25	36.30098691086263	37.0	37.0	37.0	37.0	37.0
26-27	36.294971928646	37.0	37.0	37.0	37.0	37.0
28-29	36.286165883362116	37.0	37.0	37.0	37.0	37.0
30-31	36.28801982012897	37.0	37.0	37.0	37.0	37.0
32-33	36.273995621279354	37.0	37.0	37.0	37.0	37.0
34-35	36.26340971273955	37.0	37.0	37.0	37.0	37.0
36-37	36.25428853073336	37.0	37.0	37.0	37.0	37.0
38-39	36.24207755344406	37.0	37.0	37.0	37.0	37.0
40-41	36.2258290233267	37.0	37.0	37.0	37.0	37.0
42-43	36.20375731640274	37.0	37.0	37.0	37.0	37.0
44-45	36.182752387482836	37.0	37.0	37.0	37.0	37.0
46-47	36.176692964099885	37.0	37.0	37.0	37.0	37.0
48-49	36.141935102358104	37.0	37.0	37.0	37.0	37.0
50-51	36.12328461869534	37.0	37.0	37.0	37.0	37.0
52-53	36.079123554205935	37.0	37.0	37.0	37.0	37.0
54-55	36.09031341344167	37.0	37.0	37.0	37.0	37.0
56-57	36.0704949138251	37.0	37.0	37.0	37.0	37.0
58-59	36.061440921597644	37.0	37.0	37.0	37.0	37.0
60-61	36.03835043061446	37.0	37.0	37.0	37.0	37.0
62-63	36.02374589618438	37.0	37.0	37.0	37.0	37.0
64-65	36.03434164244496	37.0	37.0	37.0	37.0	37.0
66-67	36.02584536314304	37.0	37.0	37.0	37.0	37.0
68-69	36.02207105027004	37.0	37.0	37.0	37.0	37.0
70-71	36.01897795800494	37.0	37.0	37.0	37.0	37.0
72-73	36.02204778288649	37.0	37.0	37.0	37.0	37.0
74-75	36.00033234603202	37.0	37.0	37.0	37.0	37.0
76-77	35.974464817746394	37.0	37.0	37.0	37.0	37.0
78-79	35.94117097826177	37.0	37.0	37.0	37.0	37.0
80-81	35.90018581912125	37.0	37.0	37.0	37.0	37.0
82-83	35.87446076963111	37.0	37.0	37.0	37.0	37.0
84-85	35.86515977085511	37.0	37.0	37.0	37.0	37.0
86-87	35.832201235363215	37.0	37.0	37.0	37.0	37.0
88-89	35.80867484021511	37.0	37.0	37.0	37.0	37.0
90-91	35.81682430247736	37.0	37.0	37.0	37.0	37.0
92-93	35.82434597916409	37.0	37.0	37.0	37.0	37.0
94-95	35.68216265170582	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.056572764503265205
1101	2	-0.40840669883913705
1101	3	-0.35020579221275483
1101	4	-0.37152928853051037
1101	5	-0.8244069265728484
1101	6	-0.11297496320528211
1101	7	-0.571476272148864
1101	8	-0.4176391450972332
1101	9	-0.31480544562806756
1101	10-11	-0.7727627745113708
1101	12-13	-0.7486796952893471
1101	14-15	-0.5034380849652607
1101	16-17	-0.5309243461860049
1101	18-19	-0.5825352819505838
1101	20-21	-0.7577550749226489
1101	22-23	-0.2827697939301004
1101	24-25	-0.37200260378868677
1101	26-27	-0.15930466892137218
1101	28-29	-0.07400536359350696
1101	30-31	-0.17218831654999178
1101	32-33	-0.19210366392317724
1101	34-35	-0.17386440929128355
1101	36-37	-0.4189187897563045
1101	38-39	-0.12571621634118912
1101	40-41	-0.18532657914259687
1101	42-43	-0.3128635883092201
1101	44-45	-0.3573823281230375
1101	46-47	-0.24251156190406675
1101	48-49	-0.005698095200727948
1101	50-51	-0.06053064133909203
1101	52-53	-0.48152581239281744
1101	54-55	-0.4824607357413342
1101	56-57	-0.12099912927266843
1101	58-59	-0.2622914030764605
1101	60-61	-0.06139113033759003
1101	62-63	-0.40154078183763886
1101	64-65	-0.5317801799301165
1101	66-67	-0.26858334117378035
1101	68-69	-0.08794266433432796
1101	70-71	-0.35409883651081486
1101	72-73	-0.13956877727641626
1101	74-75	-0.07152009958933547
1101	76-77	-0.3582090906535953
1101	78-79	-0.27714701236173767
1101	80-81	-0.062356964714538776
1101	82-83	-0.07585305610177073
1101	84-85	-0.580222849178341
1101	86-87	-0.11032847670658441
1101	88-89	-0.12034928829015001
1101	90-91	-0.1055881130100289
1101	92-93	0.4885361177666496
1101	94-95	0.07511933532962445
1102	1	-0.3747154061753122
1102	2	-0.33471568397165186
1102	3	-0.41172270667084376
1102	4	-0.579243143303195
1102	5	-0.11227592032419409
1102	6	-0.08711846676055046
1102	7	-0.3312263260165622
1102	8	-0.49337713259993166
1102	9	-0.33850723403573824
1102	10-11	-0.548296064750545
1102	12-13	-0.18780919324237288
1102	14-15	-0.5876333015134136
1102	16-17	-0.30295623586495424
1102	18-19	-0.3365753595200687
1102	20-21	-0.446409313519851
1102	22-23	-0.2149799757413433
1102	24-25	-0.2784560129267888
1102	26-27	-0.07700378939737362
1102	28-29	-0.14387556245468147
1102	30-31	-0.3910722770911548
1102	32-33	-0.16785671170063665
1102	34-35	-0.5374659106679189
1102	36-37	-0.48436020488125564
1102	38-39	-0.14853541156033856
1102	40-41	-0.26736331933303603
1102	42-43	-0.31367898296022645
1102	44-45	-0.2619209112223473
1102	46-47	0.15935003954810156
1102	48-49	-0.19090251828896498
1102	50-51	-0.5466762652734616
1102	52-53	-0.32707993341868047
1102	54-55	-0.31595688053048576
1102	56-57	-0.4527295058143679
1102	58-59	-0.35825986690763045
1102	60-61	-0.532205101914137
1102	62-63	-0.697970557395422
1102	64-65	-0.33081933492746884
1102	66-67	-0.3914824399303569
1102	68-69	-0.28385955087196635
1102	70-71	-0.515417801281167
1102	72-73	-0.01123728844455485
1102	74-75	-0.5863336298219366
1102	76-77	-0.5447598809944552
1102	78-79	-0.785969864172408
1102	80-81	-0.6657590170836869
1102	82-83	-0.3175189692215028
1102	84-85	-0.5973605695869679
1102	86-87	-0.5108665728493804
1102	88-89	-0.8377420425141722
1102	90-91	-1.1714622087158801
1102	92-93	-0.36349270613845164
1102	94-95	0.06387811753102568
1103	1	-0.5651915966515091
1103	2	-0.04900139825736005
1103	3	0.047661046830555165
1103	4	-0.15907507607629867
1103	5	0.19024508807916618
1103	6	0.10895996461199786
1103	7	0.07773725941761
1103	8	0.027631270761418136
1103	9	-0.05839518921781206
1103	10-11	-0.05249774542281216
1103	12-13	0.01667259947470967
1103	14-15	0.04822104022328233
1103	16-17	-0.2693427904868031
1103	18-19	-0.28055295055648344
1103	20-21	-0.11201266534217069
1103	22-23	-0.24885954988013737
1103	24-25	-0.1212995647238273
1103	26-27	-0.41808260468590674
1103	28-29	-0.2858993459507815
1103	30-31	-0.1504208256637014
1103	32-33	-0.24839090922762352
1103	34-35	-0.5087818531059369
1103	36-37	-0.4182785063722889
1103	38-39	-0.26097359594747616
1103	40-41	0.050017332169936424
1103	42-43	-0.09921746431826506
1103	44-45	-0.06493276815656657
1103	46-47	-0.5854512239091036
1103	48-49	-0.10344052728856923
1103	50-51	-0.33766100167348156
1103	52-53	-0.36938107010338683
1103	54-55	-0.23500295483290046
1103	56-57	-0.061304016167667896
1103	58-59	-0.4942500776447716
1103	60-61	-0.5525777608684876
1103	62-63	-0.516476647027666
1103	64-65	-0.07084185972014012
1103	66-67	-0.35395152692735365
1103	68-69	-0.6236054034933503
1103	70-71	-0.026656825957445562
1103	72-73	-0.16389386721467503
1103	74-75	0.0633620652693736
1103	76-77	-0.37340033248555216
1103	78-79	-0.35507396827651405
1103	80-81	-0.0800446448513128
1103	82-83	-0.4066867923982116
1103	84-85	-0.23200483919163162
1103	86-87	-0.1046603094368237
1103	88-89	-0.3642190991282135
1103	90-91	-0.42458540131275413
1103	92-93	-0.6980854389870004
1103	94-95	0.32102097467388546
1104	1	-0.05645331873164139
1104	2	-0.3910273390684722
1104	3	-0.35181831012962306
1104	4	-0.10653884419224369
1104	5	-0.3744547048815008
1104	6	-0.3827432384083451
1104	7	-0.24347818328121207
1104	8	-0.026275074385338826
1104	9	-0.02759808776853845
1104	10-11	0.041469189177114174
1104	12-13	-0.22535790838060876
1104	14-15	0.09059559874233969
1104	16-17	-0.20232902846025524
1104	18-19	-0.638913686155071
1104	20-21	-0.3376440149587765
1104	22-23	-0.639053352402513
1104	24-25	-0.3267678154878837
1104	26-27	-0.24835230317572865
1104	28-29	-0.5049990491867007
1104	30-31	0.004809576865810072
1104	32-33	-0.11208057967081686
1104	34-35	-0.37088323840936255
1104	36-37	-0.4249719004780701
1104	38-39	-0.15362726750421274
1104	40-41	-0.04281967556185151
1104	42-43	0.05326332479756246
1104	44-45	-0.3311626933431455
1104	46-47	-0.15699084765546445
1104	48-49	-0.02693262658667095
1104	50-51	-0.2615047791401608
1104	52-53	-0.20997668674171166
1104	54-55	-0.2155521073215496
1104	56-57	-0.08860229997008418
1104	58-59	-0.6035647140192566
1104	60-61	-0.22875789122598178
1104	62-63	0.2964965893049083
1104	64-65	-0.022236709505541796
1104	66-67	-0.5305953408724449
1104	68-69	-0.08457765460195787
1104	70-71	-0.38450470130872816
1104	72-73	-0.26326681814725106
1104	74-75	-0.8743823977903133
1104	76-77	-0.17272261562247593
1104	78-79	-0.23699984730032497
1104	80-81	-0.4382420935763207
1104	82-83	-0.4814726617213765
1104	84-85	-0.9819131299899198
1104	86-87	-0.7618661527449433
1104	88-89	-0.6536556671977536
1104	90-91	-0.6595134076029936
1104	92-93	-0.865571858869778
1104	94-95	0.4373000444413293
1105	1	-0.5599929754162645
1105	2	-0.5256439284682912
1105	3	-0.5475487950312612
1105	4	-0.43765336618196926
1105	5	-0.477793885435311
1105	6	-0.7400136305897718
1105	7	-0.04694892629586889
1105	8	-0.12684204594278725
1105	9	0.043429978889776066
1105	10-11	-0.24526649557417812
1105	12-13	-0.37901189910858335
1105	14-15	-0.13908269971650356
1105	16-17	-0.06384387622368592
1105	18-19	-0.3558038001758703
1105	20-21	-0.00741607533903732
1105	22-23	-0.035260261068771115
1105	24-25	-0.26564206041224026
1105	26-27	0.19604981377826647
1105	28-29	-0.10167830888568119
1105	30-31	-0.210171111457214
1105	32-33	-0.04137020957396231
1105	34-35	-0.2276014914247071
1105	36-37	-0.08042634579885544
1105	38-39	-0.17262649687895504
1105	40-41	-0.3355918343835782
1105	42-43	-0.27648418443865097
1105	44-45	0.0688418875731287
1105	46-47	-0.2532490150611082
1105	48-49	-0.015826962144203094
1105	50-51	-0.031221671777103666
1105	52-53	-0.23947223360363523
1105	54-55	-0.06763089605866668
1105	56-57	-0.22030226516117324
1105	58-59	-0.07207356672303433
1105	60-61	-0.1612408982545901
1105	62-63	-0.04835364941288134
1105	64-65	-0.1832813636523838
1105	66-67	0.023862298394014658
1105	68-69	-0.05348570182858481
1105	70-71	-0.5810133659366556
1105	72-73	0.015626083076853092
1105	74-75	-0.01676607377851269
1105	76-77	-0.2324459485531989
1105	78-79	-0.46772821286196375
1105	80-81	0.06005414931479436
1105	82-83	-0.15112391409514458
1105	84-85	0.007131615291356752
1105	86-87	-0.2022316610268149
1105	88-89	0.0933106166624853
1105	90-91	0.059913111129844765
1105	92-93	0.38290694684014426
1105	94-95	0.6010209746738866
1106	1	-0.3844726424031393
1106	2	-0.19839448882692068
1106	3	-0.054112996119961565
1106	4	-0.08685285385407582
1106	5	-0.20102475319067992
1106	6	-0.6149896152199332
1106	7	-0.15120765188024166
1106	8	-0.5399224173805095
1106	9	-0.39728407810670063
1106	10-11	-0.1495332262818252
1106	12-13	-0.033630855240510016
1106	14-15	-0.1328947394219071
1106	16-17	-0.039044004305658575
1106	18-19	-0.3749040243193207
1106	20-21	-0.14363277114802742
1106	22-23	-0.020928621179884033
1106	24-25	-0.18343228031150005
1106	26-27	-0.38129090878418026
1106	28-29	-0.20769043361215722
1106	30-31	-0.1499237600555361
1106	32-33	-0.37960126843846353
1106	34-35	-0.14300925170821444
1106	36-37	-0.5835412685610137
1106	38-39	-0.436992172214282
1106	40-41	-0.33931312783909817
1106	42-43	-0.18298401131796282
1106	44-45	-0.24167258978062023
1106	46-47	-0.41973578854387483
1106	48-49	-0.4563609328113216
1106	50-51	-0.47649319708779103
1106	52-53	-0.8287553913805823
1106	54-55	-0.3927013767328731
1106	56-57	-0.29242770070124635
1106	58-59	-0.3000511014938141
1106	60-61	-0.5436504474401218
1106	62-63	-0.38411477696087104
1106	64-65	-0.15756502356195057
1106	66-67	-0.3159899775103767
1106	68-69	-0.47664411490116976
1106	70-71	-0.5529338015823484
1106	72-73	-0.3636059275098873
1106	74-75	-0.394836223099702
1106	76-77	-0.40112310980139654
1106	78-79	-0.5198241836081223
1106	80-81	-0.15957537652874976
1106	82-83	-0.3405234326516151
1106	84-85	-0.35128065951322185
1106	86-87	-0.2282913337419643
1106	88-89	-0.5591335765483691
1106	90-91	-0.3004419030321728
1106	92-93	-0.9756397363234584
1106	94-95	-1.265185921877837
1107	1	0.04680755083357724
1107	2	0.054624834844574366
1107	3	-0.21594874491223237
1107	4	-0.27501710506180643
1107	5	-0.14075905270758682
1107	6	0.06290893550470145
1107	7	-0.3086955745855562
1107	8	-0.0860576830809876
1107	9	-0.2721633051598431
1107	10-11	-0.17320472386636965
1107	12-13	0.24203339596721918
1107	14-15	0.2400521204814723
1107	16-17	-0.06374207193850623
1107	18-19	-0.1579354252855012
1107	20-21	-0.12993188642861497
1107	22-23	-0.10331652388256884
1107	24-25	-0.2784415856604099
1107	26-27	-0.2568635570381588
1107	28-29	0.13532016971981875
1107	30-31	-0.03789554056767486
1107	32-33	0.016605661489322188
1107	34-35	-0.4693538121944272
1107	36-37	-0.1777407224381662
1107	38-39	-0.42621248816782753
1107	40-41	-0.5467566880484398
1107	42-43	-0.6480908865974513
1107	44-45	-0.27607234134863745
1107	46-47	-0.3949899624522075
1107	48-49	-0.1517761526632313
1107	50-51	-0.03549338741588315
1107	52-53	-0.38826971870109617
1107	54-55	-0.033496024238878874
1107	56-57	0.17761030605552008
1107	58-59	-0.3014109165108749
1107	60-61	-0.4053770831945158
1107	62-63	0.060826416990380494
1107	64-65	-0.3566970052539986
