##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	4-2_S236_concat.fastq.trim2
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	432006
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.44755859872316	37.0	37.0	37.0	37.0	37.0
2	36.15528950986792	37.0	37.0	37.0	37.0	37.0
3	36.38424466326857	37.0	37.0	37.0	37.0	37.0
4	36.396994486187694	37.0	37.0	37.0	37.0	37.0
5	36.33379166030102	37.0	37.0	37.0	37.0	37.0
6	36.31861131558358	37.0	37.0	37.0	37.0	37.0
7	36.283065512978986	37.0	37.0	37.0	37.0	37.0
8	36.27274158229284	37.0	37.0	37.0	37.0	37.0
9	36.25945935936075	37.0	37.0	37.0	37.0	37.0
10-11	36.225114928959314	37.0	37.0	37.0	37.0	37.0
12-13	36.20222867274991	37.0	37.0	37.0	37.0	37.0
14-15	36.18526594538039	37.0	37.0	37.0	37.0	37.0
16-17	36.13245186409448	37.0	37.0	37.0	37.0	37.0
18-19	36.08507983685412	37.0	37.0	37.0	37.0	37.0
20-21	36.12248810708664	37.0	37.0	37.0	37.0	37.0
22-23	36.09787202714386	37.0	37.0	37.0	37.0	37.0
24-25	36.11880353953178	37.0	37.0	37.0	37.0	37.0
26-27	36.1168083082369	37.0	37.0	37.0	37.0	37.0
28-29	36.106212104600324	37.0	37.0	37.0	37.0	37.0
30-31	36.1069150681266	37.0	37.0	37.0	37.0	37.0
32-33	36.0983388839864	37.0	37.0	37.0	37.0	37.0
34-35	36.09381997481532	37.0	37.0	37.0	37.0	37.0
36-37	36.06840309947631	37.0	37.0	37.0	37.0	37.0
38-39	36.06260859737786	37.0	37.0	37.0	37.0	37.0
40-41	36.04673625682774	37.0	37.0	37.0	37.0	37.0
42-43	36.02553293976712	37.0	37.0	37.0	37.0	37.0
44-45	35.99931885519592	37.0	37.0	37.0	37.0	37.0
46-47	35.994368155448015	37.0	37.0	37.0	37.0	37.0
48-49	35.95165528679419	37.0	37.0	37.0	37.0	37.0
50-51	35.925205027767305	37.0	37.0	37.0	37.0	37.0
52-53	35.8815626412015	37.0	37.0	37.0	37.0	37.0
54-55	35.90186348854084	37.0	37.0	37.0	37.0	37.0
56-57	35.89715683004428	37.0	37.0	37.0	37.0	37.0
58-59	35.883028203597895	37.0	37.0	37.0	37.0	37.0
60-61	35.86388933439403	37.0	37.0	37.0	37.0	37.0
62-63	35.86266209104995	37.0	37.0	37.0	37.0	37.0
64-65	35.86590745847603	37.0	37.0	37.0	37.0	37.0
66-67	35.84961117945973	37.0	37.0	37.0	37.0	37.0
68-69	35.85055382873281	37.0	37.0	37.0	37.0	37.0
70-71	35.84919155113553	37.0	37.0	37.0	37.0	37.0
72-73	35.84686761413934	37.0	37.0	37.0	37.0	37.0
74-75	35.822645104654995	37.0	37.0	37.0	37.0	37.0
76-77	35.803830745465376	37.0	37.0	37.0	37.0	37.0
78-79	35.78000736125071	37.0	37.0	37.0	37.0	37.0
80-81	35.74443118485705	37.0	37.0	37.0	37.0	37.0
82-83	35.73684160355202	37.0	37.0	37.0	37.0	37.0
84-85	35.71973006857195	37.0	37.0	37.0	37.0	37.0
86-87	35.72195620572093	37.0	37.0	37.0	37.0	37.0
88-89	35.73806208652991	37.0	37.0	37.0	37.0	37.0
90-91	35.725164294962454	37.0	37.0	37.0	37.0	37.0
92-93	35.757734077008294	37.0	37.0	37.0	37.0	37.0
94-95	35.42933761571752	37.0	37.0	37.0	31.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.5115643593157273
1101	2	0.12311861624466047
1101	3	-0.07514256692881105
1101	4	-0.16327701803968608
1101	5	-0.5552017595422356
1101	6	0.016631245095247493
1101	7	0.3400413888239342
1101	8	-0.6244816599125684
1101	9	-0.718206093083289
1101	10-11	-0.31795874938462987
1101	12-13	-0.2968826045503832
1101	14-15	-0.31946021542588454
1101	16-17	-0.5979941638689326
1101	18-19	-0.45684823831216903
1101	20-21	-0.7263109719530618
1101	22-23	-0.48464303175654777
1101	24-25	-0.006217785276540155
1101	26-27	-0.20251992008498831
1101	28-29	-0.045042926070408384
1101	30-31	0.0946368573264138
1101	32-33	-0.07807854228325795
1101	34-35	-0.07068617753835582
1101	36-37	0.22047845722688209
1101	38-39	-0.21931506669643852
1101	40-41	-0.14881617449493234
1101	42-43	-0.32584733139331234
1101	44-45	-0.11195955489365161
1101	46-47	-0.07594530559548218
1101	48-49	-0.2779666294686649
1101	50-51	-0.0095889370846578
1101	52-53	-0.5281844355646825
1101	54-55	0.27710873331400165
1101	56-57	0.45843223315459625
1101	58-59	-0.40640915230124364
1101	60-61	-0.015073916923370234
1101	62-63	0.26808814334601294
1101	64-65	0.4877313183768308
1101	66-67	0.152011365582851
1101	68-69	0.4162186139962216
1101	70-71	0.3306314659062153
1101	72-73	0.4985437516022486
1101	74-75	0.3155232420476679
1101	76-77	0.6438727663443089
1101	78-79	0.6798172970488068
1101	80-81	-0.2769444377554535
1101	82-83	-0.052535974336748836
1101	84-85	0.19296764322458415
1101	86-87	-0.09321558649354245
1101	88-89	-0.4654561972096829
1101	90-91	0.9656794221972831
1101	92-93	0.25234673753547554
1101	94-95	-0.39379548548883747
1102	1	-0.8254388905815659
1102	2	0.025317866270000877
1102	3	9.69726574787444E-4
1102	4	0.17066440285825024
1102	5	-0.4978388326140859
1102	6	-0.7328366782857145
1102	7	0.15345985441631171
1102	8	0.3838288701370942
1102	9	0.20010747740419532
1102	10-11	-0.5246578473880703
1102	12-13	0.10460720998290896
1102	14-15	-0.1726070685727379
1102	16-17	0.05169672495239297
1102	18-19	-0.3913268032255104
1102	20-21	-0.25887183859227036
1102	22-23	-0.13238442668688322
1102	24-25	-0.6443337519980545
1102	26-27	-0.4589582655579534
1102	28-29	-0.20258093574110347
1102	30-31	-0.2832867037867999
1102	32-33	-0.4726015656265474
1102	34-35	-0.17423816296675199
1102	36-37	-0.2153709684283669
1102	38-39	-0.29926937851825386
1102	40-41	-0.504335677307111
1102	42-43	-0.20549612314902532
1102	44-45	0.10330675365209885
1102	46-47	0.06192564828096181
1102	48-49	0.39094175683102605
1102	50-51	0.38387788042934545
1102	52-53	-0.37857280716016817
1102	54-55	-0.36247708906752507
1102	56-57	-0.6844791740450304
1102	58-59	-0.7966869300790194
1102	60-61	-0.8747021462069569
1102	62-63	-0.2930107158083146
1102	64-65	-0.7567413699561953
1102	66-67	-0.12907212158052062
1102	68-69	-0.2554070883685853
1102	70-71	-0.3859671201110757
1102	72-73	-0.46050620744771464
1102	74-75	-0.933023606841644
1102	76-77	-1.2150691918565073
1102	78-79	-0.9594134614705254
1102	80-81	-0.5916503201083927
1102	82-83	-1.7143504264870941
1102	84-85	-1.22836935311242
1102	86-87	-0.7782122837853223
1102	88-89	-0.9997655065189832
1102	90-91	0.3858119212771456
1102	92-93	0.8497161200711005
1102	94-95	-0.7687954854888375
1103	1	-0.2629130106643842
1103	2	0.12241931554535768
1103	3	0.4527295609433182
1103	4	0.1913683366056631
1103	5	-0.25270425704472643
1103	6	-0.19805406959006433
1103	7	0.1468345956171362
1103	8	0.4890048535739453
1103	9	0.0077679328907365175
1103	10-11	-0.07020650163237718
1103	12-13	0.06485565718787711
1103	14-15	0.12739293142725927
1103	16-17	-0.15803412390889093
1103	18-19	-0.36523984670377274
1103	20-21	-0.012000852813002894
1103	22-23	-0.3396715008199038
1103	24-25	-0.26861137712002403
1103	26-27	-0.420171113951902
1103	28-29	-0.1643902825905954
1103	30-31	0.0044181114258563525
1103	32-33	-0.03481141566035717
1103	34-35	-0.3608110617150473
1103	36-37	0.1770802845183752
1103	38-39	-0.43841304198064535
1103	40-41	-0.4192130404462162
1103	42-43	-0.6103326974101506
1103	44-45	-0.6614014990880719
1103	46-47	-0.3187735884237668
1103	48-49	-0.31837066987270646
1103	50-51	-1.3105281581545682
1103	52-53	-0.1773826015939619
1103	54-55	-0.42925408476609306
1103	56-57	-0.3175237285004755
1103	58-59	-0.3414326546514772
1103	60-61	0.055311657866994324
1103	62-63	-0.3099051816435505
1103	64-65	-0.17960778044980685
1103	66-67	-0.24931419834433655
1103	68-69	-0.33322748463562846
1103	70-71	0.2004428274153227
1103	72-73	-0.1547002487005784
1103	74-75	-0.045622253175238825
1103	76-77	0.05595738099666647
1103	78-79	-0.5825829093425199
1103	80-81	-0.6916503201084012
1103	82-83	-0.5969395727239615
1103	84-85	0.1214058716628088
1103	86-87	0.10142793900558189
1103	88-89	-0.26481517156865664
1103	90-91	-0.6181365112427102
1103	92-93	-1.2137883268004899
1103	94-95	-0.4051591218524706
1104	1	-0.04322189097326401
1104	2	-0.3397428466168009
1104	3	-0.3893553811416268
1104	4	-0.8260061807688501
1104	5	-0.4194996238400961
1104	6	-0.05481082634682366
1104	7	-0.24274069395815445
1104	8	0.07047203504112787
1104	9	-0.2636606385378357
1104	10-11	-0.15225283367871612
1104	12-13	-0.36719067485845613
1104	14-15	-0.37530977127543963
1104	16-17	-0.5551383710131432
1104	18-19	-0.3084830899470177
1104	20-21	-0.56047557511463
1104	22-23	-0.03394069153090129
1104	24-25	-0.15493635920206827
1104	26-27	0.19847039177319914
1104	28-29	-0.37373202281758466
1104	30-31	-0.7366431352907838
1104	32-33	-0.18534333434001837
1104	34-35	0.2295538157319399
1104	36-37	0.11039157441273062
1104	38-39	-0.036534865009748785
1104	40-41	0.34736047298337525
1104	42-43	0.46216647685893264
