##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	4-6_S251_concat.fastq.trim2
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1527694
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.452868179098694	37.0	37.0	37.0	37.0	37.0
2	36.188383275708354	37.0	37.0	37.0	37.0	37.0
3	36.40392382244088	37.0	37.0	37.0	37.0	37.0
4	36.4099721541094	37.0	37.0	37.0	37.0	37.0
5	36.343634261835156	37.0	37.0	37.0	37.0	37.0
6	36.33270144413737	37.0	37.0	37.0	37.0	37.0
7	36.29825999185701	37.0	37.0	37.0	37.0	37.0
8	36.29989382690513	37.0	37.0	37.0	37.0	37.0
9	36.28972948771155	37.0	37.0	37.0	37.0	37.0
10-11	36.26129905596278	37.0	37.0	37.0	37.0	37.0
12-13	36.234031160690556	37.0	37.0	37.0	37.0	37.0
14-15	36.20667293319212	37.0	37.0	37.0	37.0	37.0
16-17	36.16913727487311	37.0	37.0	37.0	37.0	37.0
18-19	36.13775140833177	37.0	37.0	37.0	37.0	37.0
20-21	36.145082418676765	37.0	37.0	37.0	37.0	37.0
22-23	36.13331617034534	37.0	37.0	37.0	37.0	37.0
24-25	36.13625232924573	37.0	37.0	37.0	37.0	37.0
26-27	36.133268424667065	37.0	37.0	37.0	37.0	37.0
28-29	36.12395358559729	37.0	37.0	37.0	37.0	37.0
30-31	36.12333593291551	37.0	37.0	37.0	37.0	37.0
32-33	36.107685716183184	37.0	37.0	37.0	37.0	37.0
34-35	36.10193264254859	37.0	37.0	37.0	37.0	37.0
36-37	36.08389143538217	37.0	37.0	37.0	37.0	37.0
38-39	36.075075003516616	37.0	37.0	37.0	37.0	37.0
40-41	36.05427411090588	37.0	37.0	37.0	37.0	37.0
42-43	36.03735808567785	37.0	37.0	37.0	37.0	37.0
44-45	36.02407323758665	37.0	37.0	37.0	37.0	37.0
46-47	36.00668729833468	37.0	37.0	37.0	37.0	37.0
48-49	35.984914127803556	37.0	37.0	37.0	37.0	37.0
50-51	35.962131533707606	37.0	37.0	37.0	37.0	37.0
52-53	35.92982703394925	37.0	37.0	37.0	37.0	37.0
54-55	35.91860325504723	37.0	37.0	37.0	37.0	37.0
56-57	35.91283832301545	37.0	37.0	37.0	37.0	37.0
58-59	35.902435250883734	37.0	37.0	37.0	37.0	37.0
60-61	35.880659946004855	37.0	37.0	37.0	37.0	37.0
62-63	35.881030815229124	37.0	37.0	37.0	37.0	37.0
64-65	35.878833290056605	37.0	37.0	37.0	37.0	37.0
66-67	35.87001264288344	37.0	37.0	37.0	37.0	37.0
68-69	35.87249033337861	37.0	37.0	37.0	37.0	37.0
70-71	35.87132576543175	37.0	37.0	37.0	37.0	37.0
72-73	35.87499194628866	37.0	37.0	37.0	37.0	37.0
74-75	35.84346336261423	37.0	37.0	37.0	37.0	37.0
76-77	35.81612354389746	37.0	37.0	37.0	37.0	37.0
78-79	35.79573484574392	37.0	37.0	37.0	37.0	37.0
80-81	35.7671887084942	37.0	37.0	37.0	37.0	37.0
82-83	35.75361147704321	37.0	37.0	37.0	37.0	37.0
84-85	35.76658467962129	37.0	37.0	37.0	37.0	37.0
86-87	35.74983833546586	37.0	37.0	37.0	37.0	37.0
88-89	35.755253138489394	37.0	37.0	37.0	37.0	37.0
90-91	35.746783202228215	37.0	37.0	37.0	37.0	37.0
92-93	35.75184865258263	37.0	37.0	37.0	37.0	37.0
94-95	35.36741283685214	37.0	37.0	37.0	31.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.18240001532275585
1101	2	-0.44540087292347863
1101	3	-0.6485496411852765
1101	4	-0.5055136766461388
1101	5	-0.3612822361981287
1101	6	-0.2697569070269381
1101	7	-0.16555358029284406
1101	8	-0.1300601677637161
1101	9	-0.24279043922523869
1101	10-11	-0.1252606834725185
1101	12-13	-0.4597678263171474
1101	14-15	-0.4692693773317558
1101	16-17	-0.18862610737426877
1101	18-19	-0.31185849223213324
1101	20-21	-0.3474096077804134
1101	22-23	-0.2775776993970567
1101	24-25	-0.09618822449246522
1101	26-27	0.022705518609392072
1101	28-29	-0.2575132701811924
1101	30-31	0.08659732467211967
1101	32-33	-0.20245262700849054
1101	34-35	-0.16564140811507144
1101	36-37	-0.03883321143679552
1101	38-39	-0.14399196010689508
1101	40-41	-0.2811348691438553
1101	42-43	-0.21541535026784686
1101	44-45	-0.5413562166138064
1101	46-47	-0.2752949339498372
1101	48-49	-0.16747930456027404
1101	50-51	-0.3300181442639598
1101	52-53	-0.13324860300657804
1101	54-55	-0.025289980199580953
1101	56-57	-0.03638947162994555
1101	58-59	-0.3549784267627345
1101	60-61	0.07084271739977765
1101	62-63	-0.0901458910321864
1101	64-65	-0.07260700110928298
1101	66-67	-0.17370742257330107
1101	68-69	-0.09182931856116028
1101	70-71	0.0478704766004725
1101	72-73	0.2220233026013716
1101	74-75	-0.19242938738207016
1101	76-77	-0.415632812279199
1101	78-79	-0.5464736733603459
1101	80-81	-0.2359683269036239
1101	82-83	-0.2232094208516031
1101	84-85	-0.3633332272252048
1101	86-87	-0.28240638802117246
1101	88-89	-0.16265714071857929
1101	90-91	-0.4549427300411608
1101	92-93	0.49301080045014345
1101	94-95	0.6075489279396038
1102	1	-0.4117764690338106
1102	2	-0.340942593560257
1102	3	-0.4224183580197689
1102	4	-0.2583236043610029
1102	5	-0.5895583960332189
1102	6	-0.3169581215285291
1102	7	-0.18771266328842984
1102	8	-0.3248957504319989
1102	9	-0.6631723386945936
1102	10-11	-0.5046252985785884
1102	12-13	-0.26729996464776207
1102	14-15	-0.35368280927369966
1102	16-17	-0.2880425337868928
1102	18-19	-0.08639574205455602
1102	20-21	-0.013425499366647387
1102	22-23	-0.04291548405979739
1102	24-25	-0.17303702521730457
1102	26-27	-0.12969854491854704
1102	28-29	-0.21010692307452672
1102	30-31	-0.3172433066907203
1102	32-33	-0.04001129082954691
1102	34-35	-0.022055452291787958
1102	36-37	-0.3163636264344518
1102	38-39	-0.19761725404827502
1102	40-41	-0.3787006214343762
1102	42-43	0.11582394643471616
1102	44-45	-0.1313790832106676
1102	46-47	-0.1457663072105504
1102	48-49	0.06466216531603663
1102	50-51	0.0764772079987992
1102	52-53	-0.035956489458619956
1102	54-55	0.11567868888913324
1102	56-57	-0.07901929316442846
1102	58-59	-0.19823974854976
1102	60-61	-0.365977513489959
1102	62-63	-0.49127676922302754
1102	64-65	-0.24442710785496047
1102	66-67	-0.3472040615849892
1102	68-69	0.13120299997986962
1102	70-71	0.14484316610032266
1102	72-73	0.20927481801963665
1102	74-75	0.010389979544008554
1102	76-77	-0.15987875174885602
1102	78-79	-0.11402844883834007
1102	80-81	-0.2091170308384207
1102	82-83	-0.6461911260408684
1102	84-85	-0.14590877793330748
1102	86-87	-0.7521996344649651
1102	88-89	-0.5894525627999201
1102	90-91	-0.48032743080044327
1102	92-93	-0.2280974211800597
1102	94-95	0.40754892793960096
1103	1	-0.17672235964510463
1103	2	-0.3388074663300671
1103	3	-0.01887931151494371
1103	4	-0.20661257774503383
1103	5	0.23468845977257047
1103	6	-0.47451881178884037
1103	7	-0.24046200520126604
1103	8	-0.08280742051096723
1103	9	0.055561209126409494
1103	10-11	0.09049023227839825
