Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
1-1_S223_concat	1-1_S223_concat.fastq.trim2	Conventional base calls	Sanger / Illumina 1.9	2343846.0	0.0	20-95	44.0	79.11649032967598	74.3980176171984	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass	warn
1-2_S224_concat	1-2_S224_concat.fastq.trim2	Conventional base calls	Sanger / Illumina 1.9	2360419.0	0.0	20-95	44.0	72.93821955966084	73.67220141847697	pass	pass	fail	pass	fail	pass	pass	warn	pass	warn	pass	warn
1-3_S225_concat	1-3_S225_concat.fastq.trim2	Conventional base calls	Sanger / Illumina 1.9	3156638.0	0.0	20-95	44.0	77.52564323903034	73.93706658793312	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass	warn
1-4_S226_concat	1-4_S226_concat.fastq.trim2	Conventional base calls	Sanger / Illumina 1.9	2629536.0	0.0	20-95	44.0	81.48428083281316	73.85785553040536	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass	fail
1-7_S239_concat	1-7_S239_concat.fastq.trim2	Conventional base calls	Sanger / Illumina 1.9	806548.0	0.0	20-95	44.0	70.88382436391967	69.85655906406066	pass	pass	fail	pass	fail	warn	pass	warn	pass	warn	pass	warn
1-8_S240_concat	1-8_S240_concat.fastq.trim2	Conventional base calls	Sanger / Illumina 1.9	818697.0	0.0	20-95	44.0	77.18263919745776	69.13182044150645	pass	pass	fail	pass	fail	pass	pass	warn	pass	warn	pass	warn
1-9_S241_concat	1-9_S241_concat.fastq.trim2	Conventional base calls	Sanger / Illumina 1.9	1485264.0	0.0	20-95	44.0	81.89739347524727	71.40608403623868	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass	fail
1-ten_S242_concat	1-ten_S242_concat.fastq.trim2	Conventional base calls	Sanger / Illumina 1.9	1718006.0	0.0	20-95	44.0	79.33724020360388	71.05726289663714	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass	warn
1A_S211_concat	1A_S211_concat.fastq.trim2	Conventional base calls	Sanger / Illumina 1.9	2863213.0	0.0	20-95	46.0	64.39977407892194	74.6537906889917	pass	pass	fail	pass	fail	warn	pass	warn	warn	pass	pass	warn
1B_S212_concat	1B_S212_concat.fastq.trim2	Conventional base calls	Sanger / Illumina 1.9	1733146.0	0.0	20-95	47.0	61.73904561975807	74.16999029510497	pass	pass	fail	pass	fail	warn	pass	warn	warn	pass	pass	warn
1C_S213_concat	1C_S213_concat.fastq.trim2	Conventional base calls	Sanger / Illumina 1.9	2702358.0	0.0	20-95	47.0	61.65467165198788	74.47645944763795	pass	pass	fail	pass	fail	warn	pass	warn	warn	pass	pass	warn
