Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1-1_S223_concat	20.883509670324017	44.0	74.3980176171984	16.666666666666664	2343846.0
1-2_S224_concat	27.061780440339163	44.0	73.67220141847697	16.666666666666664	2360419.0
1-3_S225_concat	22.474356760969656	44.0	73.93706658793312	16.666666666666664	3156638.0
1-4_S226_concat	18.515719167186845	44.0	73.85785553040536	25.0	2629536.0
1-7_S239_concat	29.116175636080328	44.0	69.85655906406066	16.666666666666664	806548.0
1-8_S240_concat	22.81736080254224	44.0	69.13182044150645	16.666666666666664	818697.0
1-9_S241_concat	18.10260652475273	44.0	71.40608403623868	25.0	1485264.0
1-ten_S242_concat	20.662759796396116	44.0	71.05726289663714	16.666666666666664	1718006.0
1A_S211_concat	35.600225921078064	46.0	74.6537906889917	16.666666666666664	2863213.0
1B_S212_concat	38.26095438024193	47.0	74.16999029510497	16.666666666666664	1733146.0
1C_S213_concat	38.34532834801212	47.0	74.47645944763795	16.666666666666664	2702358.0
1D_S214_concat	43.03079730846551	47.0	74.61272651156101	25.0	3184109.0
2-1_S227_concat	18.26454904982603	44.0	69.96540766418158	8.333333333333332	526475.0
2-2_S228_concat	18.557250994181203	44.0	71.03565928065382	25.0	999908.0
2-3_S229_concat	22.644471068194875	44.0	68.93911175300842	16.666666666666664	694469.0
2-4_S230_concat	37.23182454623555	45.0	71.40722661564804	16.666666666666664	1910936.0
2-6_S243_concat	21.50314990940292	44.0	70.83486213120733	16.666666666666664	866476.0
2-7_S244_concat	18.377017516528554	44.0	70.9671530423806	16.666666666666664	1069475.0
2-8_S245_concat	14.909867825356969	44.0	70.11452990386336	8.333333333333332	961548.0
2-9_S246_concat	20.58312350860308	44.0	73.31712600063132	25.0	3028588.0
2-ten_S247_concat	18.35270185857415	43.0	70.7664080420109	16.666666666666664	1217208.0
2A_S215_concat	52.062401260754484	47.0	75.2672239216053	25.0	3176643.0
2B_S216_concat	44.924829381851616	47.0	74.7270593991137	8.333333333333332	2931037.0
2D_S217_concat	59.20132411978398	48.0	74.80869174099985	25.0	3314917.0
3-1_S231_concat	18.87865317047023	44.0	68.74705014846629	16.666666666666664	757411.0
3-2_S232_concat	30.47170590119231	42.0	61.81729927035464	16.666666666666664	518334.0
3-3_S233_concat	21.91448656049627	44.0	68.60961482798652	16.666666666666664	963907.0
3-4_S234_concat	33.56383510965382	44.0	68.53452965330501	25.0	1480206.0
3-6_S248_concat	28.06170614129087	44.0	68.54497340663424	25.0	726685.0
3-7_S249_concat	32.13589573311992	45.0	72.22820999638492	16.666666666666664	1867175.0
3-8_S250_concat	30.00653905850737	45.0	71.94275595952666	16.666666666666664	2332400.0
3A_S218_concat	16.613618752114363	44.0	71.54794808257768	16.666666666666664	1037956.0
3B_S219_concat	22.3280321571266	44.0	73.21913641062739	16.666666666666664	1111431.0
3C_S220_concat	47.8088860903745	46.0	73.57895086895506	25.0	2556001.0
4-1_S235_concat	17.71016906153416	43.0	70.06722892399156	16.666666666666664	636482.0
4-2_S236_concat	22.075517688030118	43.0	66.57364944005407	8.333333333333332	432006.0
4-3_S237_concat	23.996283067217888	43.0	68.44389610665421	8.333333333333332	753388.0
4-4_S238_concat	24.90257959277261	44.0	71.0244829086587	16.666666666666664	1036519.0
4-6_S251_concat	28.043948090950124	44.0	70.30547216916477	25.0	1527694.0
4-7_S252_concat	16.424349638189412	44.0	72.12359247788565	16.666666666666664	1669956.0
4-8_S253_concat	22.557831783245646	44.0	71.63269102694552	25.0	1888922.0
4-9_S254_concat	26.729639587942145	45.0	72.59683223502869	16.666666666666664	2427074.0
4A_S221_concat	51.177684831140645	46.0	70.29093533013715	41.66666666666667	841211.0
4C_S222_concat	39.17790559099876	46.0	73.38504180706032	25.0	2338959.0
