##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s1-7_S26_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3203186
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.67910636472562	37.0	37.0	37.0	37.0	37.0
2	36.356113569427436	37.0	37.0	37.0	37.0	37.0
3	36.56206289612904	37.0	37.0	37.0	37.0	37.0
4	36.555302127319486	37.0	37.0	37.0	37.0	37.0
5	36.504492714441184	37.0	37.0	37.0	37.0	37.0
6	36.50330077616473	37.0	37.0	37.0	37.0	37.0
7	36.48344429577302	37.0	37.0	37.0	37.0	37.0
8	36.469686743136364	37.0	37.0	37.0	37.0	37.0
9	36.47128952236929	37.0	37.0	37.0	37.0	37.0
10-11	36.45755444735336	37.0	37.0	37.0	37.0	37.0
12-13	36.43918617276674	37.0	37.0	37.0	37.0	37.0
14-15	36.41340215647796	37.0	37.0	37.0	37.0	37.0
16-17	36.401530850846626	37.0	37.0	37.0	37.0	37.0
18-19	36.38488679708266	37.0	37.0	37.0	37.0	37.0
20-21	36.3825235933778	37.0	37.0	37.0	37.0	37.0
22-23	36.37753115848873	37.0	37.0	37.0	37.0	37.0
24-25	36.37166571874782	37.0	37.0	37.0	37.0	37.0
26-27	36.360259958195726	37.0	37.0	37.0	37.0	37.0
28-29	36.35530653558824	37.0	37.0	37.0	37.0	37.0
30-31	36.34596051244186	37.0	37.0	37.0	37.0	37.0
32-33	36.33096203740156	37.0	37.0	37.0	37.0	37.0
34-35	36.3206663797547	37.0	37.0	37.0	37.0	37.0
36-37	36.312567615072375	37.0	37.0	37.0	37.0	37.0
38-39	36.30187698868535	37.0	37.0	37.0	37.0	37.0
40-41	36.293278545682895	37.0	37.0	37.0	37.0	37.0
42-43	36.29217236301308	37.0	37.0	37.0	37.0	37.0
44-45	36.28010700031128	37.0	37.0	37.0	37.0	37.0
46-47	36.26859460042995	37.0	37.0	37.0	37.0	37.0
48-49	36.25906631974773	37.0	37.0	37.0	37.0	37.0
50-51	36.244372423418625	37.0	37.0	37.0	37.0	37.0
52-53	36.23451320137157	37.0	37.0	37.0	37.0	37.0
54-55	36.22288250097659	37.0	37.0	37.0	37.0	37.0
56-57	36.21158753518464	37.0	37.0	37.0	37.0	37.0
58-59	36.20918347970961	37.0	37.0	37.0	37.0	37.0
60-61	36.195166128580574	37.0	37.0	37.0	37.0	37.0
62-63	36.175874006171725	37.0	37.0	37.0	37.0	37.0
64-65	36.174578618063975	37.0	37.0	37.0	37.0	37.0
66-67	36.169151470165716	37.0	37.0	37.0	37.0	37.0
68-69	36.16482807824797	37.0	37.0	37.0	37.0	37.0
70-71	36.152394326833175	37.0	37.0	37.0	37.0	37.0
72-73	36.14858851839348	37.0	37.0	37.0	37.0	37.0
74-75	36.140744996797885	37.0	37.0	37.0	37.0	37.0
76-77	36.117841350973656	37.0	37.0	37.0	37.0	37.0
78-79	36.10754972254323	37.0	37.0	37.0	37.0	37.0
80-81	36.09344134228313	37.0	37.0	37.0	37.0	37.0
82-83	36.09001714323705	37.0	37.0	37.0	37.0	37.0
84-85	36.078456507437934	37.0	37.0	37.0	37.0	37.0
86-87	36.06132663616779	37.0	37.0	37.0	37.0	37.0
88-89	36.04972971939762	37.0	37.0	37.0	37.0	37.0
90-91	36.0340827706998	37.0	37.0	37.0	37.0	37.0
92-93	36.017955455546094	37.0	37.0	37.0	37.0	37.0
94-95	35.88499371817265	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.1959767095999041
1101	2	-0.15471042760187004
1101	3	-0.14557917453320357
1101	4	-0.16878937160156227
1101	5	-0.24079029036593624
1101	6	-0.154445492523692
1101	7	-0.4843253235803573
1101	8	-0.308259132512525
1101	9	-0.23580429399996206
1101	10-11	-0.30506628302021
1101	12-13	-0.30384595608619946
1101	14-15	-0.27545951482012043
1101	16-17	-0.25322627012472765
1101	18-19	-0.4771866267919336
1101	20-21	-0.31522933588831137
1101	22-23	-0.30222704319262306
1101	24-25	-0.298135096529883
1101	26-27	-0.290592240019258
1101	28-29	-0.21690786648827043
1101	30-31	-0.18458261422930633
1101	32-33	-0.2946183141906715
1101	34-35	-0.1784312252826723
1101	36-37	-0.39622900495566427
1101	38-39	-0.4168987308904022
1101	40-41	-0.2755592792015804
1101	42-43	-0.2815969546065773
1101	44-45	-0.47365587060891556
1101	46-47	-0.5568902127213846
1101	48-49	-0.34546441068128786
1101	50-51	-0.42772972363832906
1101	52-53	-0.449043791899264
1101	54-55	-0.4593405030935358
1101	56-57	-0.4927758263715205
1101	58-59	-0.40496929954689875
1101	60-61	-0.3205736117535807
1101	62-63	-0.008442538638824715
1101	64-65	-0.12181106117969165
1101	66-67	-0.1410190206807087
1101	68-69	-0.02886351078564786
1101	70-71	-0.29556272489652713
1101	72-73	-0.394480404690178
1101	74-75	-0.28522027062850697
1101	76-77	-0.3859478652309676
1101	78-79	-0.19645911114638182
1101	80-81	-0.31595142104497853
1101	82-83	-0.1968051103063928
1101	84-85	-0.38727791707903236
1101	86-87	-0.3123913122389297
1101	88-89	-0.25479917657477813
1101	90-91	-0.42128056109195455
1101	92-93	-0.22285176310127497
1101	94-95	0.46854792473301643
1102	1	-0.14581770736710808
1102	2	0.09067174159454794
1102	3	-0.1331724318438603
1102	4	-0.1821341089139068
1102	5	-0.2734558663680815
1102	6	-0.4000069331955345
1102	7	-0.31273938979861526
1102	8	-0.2965983904789695
1102	9	-0.4248304508648175
1102	10-11	-0.20226623606264837
1102	12-13	-0.24276353804940953
1102	14-15	-0.18854696865048481
1102	16-17	-0.039554333454972834
1102	18-19	-0.1511779789672758
1102	20-21	-0.1365651588625596
1102	22-23	-0.23806545564674053
1102	24-25	-0.39564134782024496
1102	26-27	-0.45080161811757335
1102	28-29	-0.14799154621535848
1102	30-31	-0.09593056720542847
1102	32-33	-0.3058092423854717
1102	34-35	-0.2159933424453513
1102	36-37	-0.13976524387270928
1102	38-39	-0.16049304884470672
1102	40-41	-0.10515866741899771
1102	42-43	-0.1304342151695792
1102	44-45	-0.08099412393020344
1102	46-47	6.477577319685679E-4
1102	48-49	-0.20801025764892955
1102	50-51	-0.06587502762568676
1102	52-53	-0.20551474865738584
1102	54-55	-0.07665186829000703
1102	56-57	0.033390294964519285
1102	58-59	-0.09208611614632645
1102	60-61	-0.08890693534812044
1102	62-63	-0.10883524302721526
1102	64-65	0.023540188543130114
1102	66-67	-0.015438180816751412
1102	68-69	-0.14667194837260666
1102	70-71	-0.039672798482989435
1102	72-73	0.02490870003667567
1102	74-75	-0.049929491557549
1102	76-77	-0.11873932460038361
1102	78-79	-0.14413548601091009
1102	80-81	-0.1960025838319197
1102	82-83	-0.14340193132765222
1102	84-85	-0.13491611261045477
1102	86-87	0.01420122586171857
1102	88-89	0.032068233883066455
1102	90-91	-0.1047167503800992
1102	92-93	0.2603390664323939
1102	94-95	0.4606904077083982
1103	1	-0.33550310463572686
1103	2	-0.256640436270942
1103	3	-0.3655746586615507
1103	4	-0.35824305642413634
1103	5	-0.3776516191787209
1103	6	-0.5347357016225871
1103	7	-0.27153066587992214
1103	8	-0.37064952610700175
1103	9	-0.24839608845058336
1103	10-11	-0.18472532301141342
