##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s1A_S2_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3045100
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.67515483892154	37.0	37.0	37.0	37.0	37.0
2	36.35012380545795	37.0	37.0	37.0	37.0	37.0
3	36.56023447505829	37.0	37.0	37.0	37.0	37.0
4	36.55163180191127	37.0	37.0	37.0	37.0	37.0
5	36.50704410364192	37.0	37.0	37.0	37.0	37.0
6	36.49717710420019	37.0	37.0	37.0	37.0	37.0
7	36.479879150110015	37.0	37.0	37.0	37.0	37.0
8	36.46589143213688	37.0	37.0	37.0	37.0	37.0
9	36.46702308626975	37.0	37.0	37.0	37.0	37.0
10-11	36.451955272404845	37.0	37.0	37.0	37.0	37.0
12-13	36.43348001707662	37.0	37.0	37.0	37.0	37.0
14-15	36.40740698170832	37.0	37.0	37.0	37.0	37.0
16-17	36.39774063249155	37.0	37.0	37.0	37.0	37.0
18-19	36.371342156251025	37.0	37.0	37.0	37.0	37.0
20-21	36.373206348441045	37.0	37.0	37.0	37.0	37.0
22-23	36.365111120586995	37.0	37.0	37.0	37.0	37.0
24-25	36.35719261321961	37.0	37.0	37.0	37.0	37.0
26-27	36.348412323463165	37.0	37.0	37.0	37.0	37.0
28-29	36.34103644909705	37.0	37.0	37.0	37.0	37.0
30-31	36.329787697089344	37.0	37.0	37.0	37.0	37.0
32-33	36.316669077342695	37.0	37.0	37.0	37.0	37.0
34-35	36.30496090769629	37.0	37.0	37.0	37.0	37.0
36-37	36.2969193657513	37.0	37.0	37.0	37.0	37.0
38-39	36.283775958849745	37.0	37.0	37.0	37.0	37.0
40-41	36.273938631293696	37.0	37.0	37.0	37.0	37.0
42-43	36.27015322320762	37.0	37.0	37.0	37.0	37.0
44-45	36.26114672336513	37.0	37.0	37.0	37.0	37.0
46-47	36.24871907184159	37.0	37.0	37.0	37.0	37.0
48-49	36.23723952858475	37.0	37.0	37.0	37.0	37.0
50-51	36.218264386715965	37.0	37.0	37.0	37.0	37.0
52-53	36.20839903143045	37.0	37.0	37.0	37.0	37.0
54-55	36.198389843810375	37.0	37.0	37.0	37.0	37.0
56-57	36.18148451540672	37.0	37.0	37.0	37.0	37.0
58-59	36.180574356631155	37.0	37.0	37.0	37.0	37.0
60-61	36.16870756934335	37.0	37.0	37.0	37.0	37.0
62-63	36.14258613743576	37.0	37.0	37.0	37.0	37.0
64-65	36.14517526483104	37.0	37.0	37.0	37.0	37.0
66-67	36.14072426181935	37.0	37.0	37.0	37.0	37.0
68-69	36.135204577892026	37.0	37.0	37.0	37.0	37.0
70-71	36.11983414255221	37.0	37.0	37.0	37.0	37.0
72-73	36.11872480464136	37.0	37.0	37.0	37.0	37.0
74-75	36.111300611995915	37.0	37.0	37.0	37.0	37.0
76-77	36.08305633997593	37.0	37.0	37.0	37.0	37.0
78-79	36.0816395393898	37.0	37.0	37.0	37.0	37.0
80-81	36.060966079773934	37.0	37.0	37.0	37.0	37.0
82-83	36.05873610147452	37.0	37.0	37.0	37.0	37.0
84-85	36.047242467222276	37.0	37.0	37.0	37.0	37.0
86-87	36.0223041994076	37.0	37.0	37.0	37.0	37.0
88-89	36.01689393232485	37.0	37.0	37.0	37.0	37.0
90-91	35.993255632856304	37.0	37.0	37.0	37.0	37.0
92-93	35.97849962488817	37.0	37.0	37.0	37.0	37.0
94-95	35.827051305118886	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.3327072471229755
1101	2	-0.16110896294895838
1101	3	-0.2914351585525239
1101	4	-0.22144204806537715
1101	5	-0.33099486895358154
1101	6	-0.3572569188660921
1101	7	-0.20283064009810658
1101	8	-0.2748974140940419
1101	9	-0.30427796504186944
1101	10-11	-0.28967100816056046
1101	12-13	-0.21390838408436252
1101	14-15	-0.2736485379829148
1101	16-17	-0.35345884725779086
1101	18-19	-0.31888013220955
1101	20-21	-0.28504121200219856
1101	22-23	-0.3354111511212281
1101	24-25	-0.376919360935851
1101	26-27	-0.4171248955923872
1101	28-29	-0.3790078675653561
1101	30-31	-0.38441401893052074
1101	32-33	-0.4196956035330004
1101	34-35	-0.22360231274183207
1101	36-37	-0.5092737919649295
1101	38-39	-0.39199693101588196
1101	40-41	-0.41126913285099675
1101	42-43	-0.3163597071908413
1101	44-45	-0.533635607958935
1101	46-47	-0.5620882493875214
1101	48-49	-0.4171872515109172
1101	50-51	-0.52303654677835
1101	52-53	-0.5296528504997795
1101	54-55	-0.44510563808618286
1101	56-57	-0.3946147227695107
1101	58-59	-0.5362060209468069
1101	60-61	-0.23896299936553334
1101	62-63	-0.131620330093412
1101	64-65	-0.19041706877347053
1101	66-67	-0.14827591679950558
1101	68-69	-0.09793073454583379
1101	70-71	-0.07425062052123366
1101	72-73	-0.3778452838975852
1101	74-75	-0.2623654341573243
1101	76-77	-0.3495562212384016
1101	78-79	-0.3420009520924481
1101	80-81	-0.11497371293704362
1101	82-83	-0.3178729181563966
1101	84-85	-0.19698687803395387
1101	86-87	-0.38539233834411135
1101	88-89	-0.23772250952549
1101	90-91	-0.05123427296626204
1101	92-93	-0.2989979198140986
1101	94-95	-0.006183959579914244
1102	1	-0.11138727790731195
1102	2	-0.05030051058892582
1102	3	-0.11132862536543087
1102	4	-0.3066867774601718
1102	5	-0.21332963040529052
1102	6	-0.250481335448427
1102	7	-0.39915045781606295
1102	8	-0.34791324863430617
1102	9	-0.25326868732233265
1102	10-11	-0.3016984110656864
1102	12-13	-0.14038200227378184
1102	14-15	-0.16345516631056256
1102	16-17	-0.24354574634214288
1102	18-19	-0.3095084840962983
1102	20-21	-0.141807876151276
1102	22-23	-0.3018080163981196
1102	24-25	-0.18394034729566755
1102	26-27	-0.5307477198165174
1102	28-29	-0.31309331239837945
1102	30-31	-0.2955871592551631
1102	32-33	-0.23525858153900714
1102	34-35	-0.16212873533505956
1102	36-37	-0.3288920327593061
1102	38-39	-0.12495361561835239
1102	40-41	-0.18104694105602448
1102	42-43	-0.2233947316406386
1102	44-45	-0.3348104184708376
1102	46-47	-0.1780222053553402
1102	48-49	-0.30108550165181924
1102	50-51	-0.43514032775711087
1102	52-53	-0.1788628238384149
1102	54-55	-0.2505165472487434
1102	56-57	-0.21021561266914546
1102	58-59	-0.25228739870021855
1102	60-61	-0.2928601388984404
1102	62-63	-0.17341978207097242
1102	64-65	-0.14420685214870588
1102	66-67	-0.1825105147724031
1102	68-69	-0.2071122460680499
1102	70-71	-0.19864092692417046
1102	72-73	-0.16447473813625635
1102	74-75	-0.16962461865366407
1102	76-77	-0.2693408683747691
1102	78-79	-0.24738569713665015
1102	80-81	-0.25416126461600186
1102	82-83	-0.31291450267878673
1102	84-85	-0.021763390788372305
1102	86-87	-0.1810580378203568
1102	88-89	-0.21679347551056338
1102	90-91	-0.18602774256446253
1102	92-93	0.29540196129545393
1102	94-95	0.5352906947979648
1103	1	-0.18553655682841708
1103	2	-0.3560559564913319
1103	3	-0.5428963223959542
1103	4	-0.45530488408708436
1103	5	-0.3809701969683914
1103	6	-0.14579808430324448
1103	7	-0.29819475875656565
1103	8	-0.26777165439611395
1103	9	-0.06393758359152457
