##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s1B_S3_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2682729
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.65465091703262	37.0	37.0	37.0	37.0	37.0
2	36.30923622922778	37.0	37.0	37.0	37.0	37.0
3	36.53030813026586	37.0	37.0	37.0	37.0	37.0
4	36.52148129758913	37.0	37.0	37.0	37.0	37.0
5	36.474333039229826	37.0	37.0	37.0	37.0	37.0
6	36.46352986082456	37.0	37.0	37.0	37.0	37.0
7	36.44878517360494	37.0	37.0	37.0	37.0	37.0
8	36.433477626700274	37.0	37.0	37.0	37.0	37.0
9	36.44338097511899	37.0	37.0	37.0	37.0	37.0
10-11	36.42718179883246	37.0	37.0	37.0	37.0	37.0
12-13	36.40859960137606	37.0	37.0	37.0	37.0	37.0
14-15	36.37833377877527	37.0	37.0	37.0	37.0	37.0
16-17	36.37161860180436	37.0	37.0	37.0	37.0	37.0
18-19	36.35285375451639	37.0	37.0	37.0	37.0	37.0
20-21	36.352345158570714	37.0	37.0	37.0	37.0	37.0
22-23	36.34758464695466	37.0	37.0	37.0	37.0	37.0
24-25	36.336783383202295	37.0	37.0	37.0	37.0	37.0
26-27	36.327189095572784	37.0	37.0	37.0	37.0	37.0
28-29	36.31698935093284	37.0	37.0	37.0	37.0	37.0
30-31	36.31380723278313	37.0	37.0	37.0	37.0	37.0
32-33	36.296399940000626	37.0	37.0	37.0	37.0	37.0
34-35	36.28748057896403	37.0	37.0	37.0	37.0	37.0
36-37	36.27843718240394	37.0	37.0	37.0	37.0	37.0
38-39	36.268005338085786	37.0	37.0	37.0	37.0	37.0
40-41	36.26285666813911	37.0	37.0	37.0	37.0	37.0
42-43	36.258380257506246	37.0	37.0	37.0	37.0	37.0
44-45	36.24488595144495	37.0	37.0	37.0	37.0	37.0
46-47	36.23474617417281	37.0	37.0	37.0	37.0	37.0
48-49	36.22780570935457	37.0	37.0	37.0	37.0	37.0
50-51	36.212988642867344	37.0	37.0	37.0	37.0	37.0
52-53	36.202413631593245	37.0	37.0	37.0	37.0	37.0
54-55	36.19111197688435	37.0	37.0	37.0	37.0	37.0
56-57	36.17991089569058	37.0	37.0	37.0	37.0	37.0
58-59	36.17817159253509	37.0	37.0	37.0	37.0	37.0
60-61	36.167799329892404	37.0	37.0	37.0	37.0	37.0
62-63	36.14416123829871	37.0	37.0	37.0	37.0	37.0
64-65	36.141015286769395	37.0	37.0	37.0	37.0	37.0
66-67	36.13783323787662	37.0	37.0	37.0	37.0	37.0
68-69	36.1379435500305	37.0	37.0	37.0	37.0	37.0
70-71	36.12675200815316	37.0	37.0	37.0	37.0	37.0
72-73	36.12577180125349	37.0	37.0	37.0	37.0	37.0
74-75	36.10751648152896	37.0	37.0	37.0	37.0	37.0
76-77	36.0886861039204	37.0	37.0	37.0	37.0	37.0
78-79	36.07855408036437	37.0	37.0	37.0	37.0	37.0
80-81	36.06721305260507	37.0	37.0	37.0	37.0	37.0
82-83	36.06245513309902	37.0	37.0	37.0	37.0	37.0
84-85	36.05393099618897	37.0	37.0	37.0	37.0	37.0
86-87	36.028432816537475	37.0	37.0	37.0	37.0	37.0
88-89	36.02293772410075	37.0	37.0	37.0	37.0	37.0
90-91	36.00552076646314	37.0	37.0	37.0	37.0	37.0
92-93	35.98409130313053	37.0	37.0	37.0	37.0	37.0
94-95	35.887563326975425	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.1025596735334986
1101	2	-0.14612498559237963
1101	3	-0.445522514107779
1101	4	-0.31924771932031604
1101	5	-0.2790773077997315
1101	6	-0.3472727893243075
1101	7	-0.4055315000778421
1101	8	-0.3082650100794382
1101	9	-0.5848171203133461
1101	10-11	-0.2930762344303446
1101	12-13	-0.3726125523074657
1101	14-15	-0.27685936650451026
1101	16-17	-0.24139660287118403
1101	18-19	-0.2565595937007359
1101	20-21	-0.356488231365212
1101	22-23	-0.3055999148120421
1101	24-25	-0.3978533869927432
1101	26-27	-0.2964116395599632
1101	28-29	-0.3523425040726451
1101	30-31	-0.36404228117033455
1101	32-33	-0.46496794713031875
1101	34-35	-0.4241878329682436
1101	36-37	-0.3943808813597087
1101	38-39	-0.4551499150655971
1101	40-41	-0.33255470461431
1101	42-43	-0.3742217666741965
1101	44-45	-0.6801718019847911
1101	46-47	-0.32028979319292716
1101	48-49	-0.5443824107065538
1101	50-51	-0.48172370619920457
1101	52-53	-0.4429335482245875
1101	54-55	-0.386973925662879
1101	56-57	-0.5943795338626501
1101	58-59	-0.4416229788528838
1101	60-61	-0.3670227314332877
1101	62-63	-0.21107544480506135
1101	64-65	-0.21219447387618118
1101	66-67	-0.10357525763190267
1101	68-69	-0.2675203588109909
1101	70-71	-0.1551349161190103
1101	72-73	-0.4222835058998484
1101	74-75	-0.3748803976094237
1101	76-77	-0.38495665067816276
1101	78-79	-0.4581045027114712
1101	80-81	-0.38031405400184326
1101	82-83	-0.4399090690771317
1101	84-85	-0.593421882759678
1101	86-87	-0.23366512633383252
1101	88-89	-0.13323955094818274
1101	90-91	-0.3161301337214866
1101	92-93	-0.24931970399048708
1101	94-95	-0.3251648844979158
1102	1	-0.18834885443205707
1102	2	-0.23661638307146404
1102	3	-0.34225723419744725
1102	4	-0.4845792556140438
1102	5	-0.3619690959347679
1102	6	-0.3556713918368857
1102	7	-0.45840683295691065
1102	8	-0.32022321890022454
1102	9	-0.6060563270248878
1102	10-11	-0.2847960630554809
1102	12-13	-0.40540296505665907
1102	14-15	-0.23124586402037295
1102	16-17	-0.3037672773198352
1102	18-19	-0.3099511862575852
1102	20-21	-0.27134644550132236
1102	22-23	-0.21208078949247522
1102	24-25	-0.3129285118492291
1102	26-27	-0.5995740176352626
1102	28-29	-0.42932129542455755
1102	30-31	-0.3063836217436062
1102	32-33	-0.3764765812457114
1102	34-35	-0.25712820817788185
1102	36-37	-0.4006695432785179
1102	38-39	-0.6117790493567199
1102	40-41	-0.47118820168670794
1102	42-43	-0.3268408009523327
1102	44-45	-0.2448683654679087
1102	46-47	-0.47951877884908356
1102	48-49	-0.3468853970149226
1102	50-51	-0.16362001392936776
1102	52-53	-0.06689882758166021
1102	54-55	-0.43744752932524733
1102	56-57	-0.19598987160800618
1102	58-59	-0.22043689443845693
1102	60-61	-0.12885103183257485
1102	62-63	-0.0857278930236447
1102	64-65	-0.14050004556477802
1102	66-67	-0.12810413696664114
1102	68-69	-0.008727464632393378
1102	70-71	-0.1080409211055553
1102	72-73	-0.14777517654033545
1102	74-75	-0.11461612729224413
1102	76-77	-0.03892255848199966
1102	78-79	-0.32214294835831936
1102	80-81	-0.05268164990436475
1102	82-83	-0.2340772501152344
1102	84-85	-0.2793382998419105
1102	86-87	0.03705313244669384
1102	88-89	-0.1428710299310083
1102	90-91	-0.0795917294612849
1102	92-93	-0.06149454979365032
1102	94-95	0.7596017002686679
1103	1	-0.4632105044324035
1103	2	-0.33167644385587636
1103	3	-0.4493776934574214
1103	4	-0.5672722392187879
1103	5	-0.3337322572753294
1103	6	-0.29965773257415407
1103	7	-0.6608233922286004
1103	8	-0.27144924455096486
1103	9	-0.16388421480115767
