##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s2C_S6_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1582785
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.63260076384348	37.0	37.0	37.0	37.0	37.0
2	36.296579131088556	37.0	37.0	37.0	37.0	37.0
3	36.51014698774628	37.0	37.0	37.0	37.0	37.0
4	36.50231648644636	37.0	37.0	37.0	37.0	37.0
5	36.45178403889347	37.0	37.0	37.0	37.0	37.0
6	36.44231844501938	37.0	37.0	37.0	37.0	37.0
7	36.42301955098134	37.0	37.0	37.0	37.0	37.0
8	36.410853653528434	37.0	37.0	37.0	37.0	37.0
9	36.41577156720591	37.0	37.0	37.0	37.0	37.0
10-11	36.400937587859374	37.0	37.0	37.0	37.0	37.0
12-13	36.38139987427225	37.0	37.0	37.0	37.0	37.0
14-15	36.34664025752076	37.0	37.0	37.0	37.0	37.0
16-17	36.34042336767155	37.0	37.0	37.0	37.0	37.0
18-19	36.319444523419165	37.0	37.0	37.0	37.0	37.0
20-21	36.32642628521911	37.0	37.0	37.0	37.0	37.0
22-23	36.32173405313782	37.0	37.0	37.0	37.0	37.0
24-25	36.31232809140347	37.0	37.0	37.0	37.0	37.0
26-27	36.30478000553288	37.0	37.0	37.0	37.0	37.0
28-29	36.29495284243964	37.0	37.0	37.0	37.0	37.0
30-31	36.29075892791861	37.0	37.0	37.0	37.0	37.0
32-33	36.278142864157516	37.0	37.0	37.0	37.0	37.0
34-35	36.27071558106931	37.0	37.0	37.0	37.0	37.0
36-37	36.265578486147085	37.0	37.0	37.0	37.0	37.0
38-39	36.25127140818843	37.0	37.0	37.0	37.0	37.0
40-41	36.242875650372056	37.0	37.0	37.0	37.0	37.0
42-43	36.240903541795916	37.0	37.0	37.0	37.0	37.0
44-45	36.22934644263066	37.0	37.0	37.0	37.0	37.0
46-47	36.220522005520984	37.0	37.0	37.0	37.0	37.0
48-49	36.210547573577884	37.0	37.0	37.0	37.0	37.0
50-51	36.19740980565342	37.0	37.0	37.0	37.0	37.0
52-53	36.18823040861235	37.0	37.0	37.0	37.0	37.0
54-55	36.179536982577304	37.0	37.0	37.0	37.0	37.0
56-57	36.163110432711775	37.0	37.0	37.0	37.0	37.0
58-59	36.16098138811414	37.0	37.0	37.0	37.0	37.0
60-61	36.15349296886247	37.0	37.0	37.0	37.0	37.0
62-63	36.130465689273734	37.0	37.0	37.0	37.0	37.0
64-65	36.12828428203361	37.0	37.0	37.0	37.0	37.0
66-67	36.12178541673811	37.0	37.0	37.0	37.0	37.0
68-69	36.12009834695303	37.0	37.0	37.0	37.0	37.0
70-71	36.11052644580335	37.0	37.0	37.0	37.0	37.0
72-73	36.11252591031368	37.0	37.0	37.0	37.0	37.0
74-75	36.10654512470874	37.0	37.0	37.0	37.0	37.0
76-77	36.07694036783943	37.0	37.0	37.0	37.0	37.0
78-79	36.0719893648759	37.0	37.0	37.0	37.0	37.0
80-81	36.05850016492133	37.0	37.0	37.0	37.0	37.0
82-83	36.055253143125555	37.0	37.0	37.0	37.0	37.0
84-85	36.04183648578369	37.0	37.0	37.0	37.0	37.0
86-87	36.01702028691746	37.0	37.0	37.0	37.0	37.0
88-89	36.0167643664646	37.0	37.0	37.0	37.0	37.0
90-91	36.00631923929613	37.0	37.0	37.0	37.0	37.0
92-93	35.98526522033604	37.0	37.0	37.0	37.0	37.0
94-95	35.84117157017077	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.23216268789510508
1101	2	-0.1699651514220406
1101	3	-0.5301536727932117
1101	4	-0.31630039342073246
1101	5	-0.1047650542943046
1101	6	-1.8392130369448978E-4
1101	7	-0.23467934904474674
1101	8	-0.28595560989977287
1101	9	-0.5439080477511951
1101	10-11	-0.1163012962904304
1101	12-13	-0.32096466059960704
1101	14-15	-0.25963515093319245
1101	16-17	-0.22173597316430715
1101	18-19	-0.6142959708475004
1101	20-21	-0.35813794458330506
1101	22-23	-0.4629425285836106
1101	24-25	-0.23469708864754324
1101	26-27	-0.16143209185273832
1101	28-29	-0.1300005592957305
1101	30-31	-0.1034983500701614
1101	32-33	-0.2323870416234115
1101	34-35	-0.36203859611058675
1101	36-37	-0.05255233757488753
1101	38-39	-0.2624497135057524
1101	40-41	-0.09863032091293178
1101	42-43	-0.02540576927424354
1101	44-45	-0.23224090883516624
1101	46-47	-0.32775265084231364
1101	48-49	-0.326110348952831
1101	50-51	-0.36248842160912886
1101	52-53	-0.17080171114461962
1101	54-55	-0.5866827084458706
1101	56-57	-0.3467509548237402
1101	58-59	-0.35672107919580043
1101	60-61	-0.21114310959428195
1101	62-63	-0.17928173355088006
1101	64-65	-0.07599427118364588
1101	66-67	-0.3063336271851611
1101	68-69	-0.07765737144815432
1101	70-71	-0.2341288993648547
1101	72-73	0.03365302309763507
1101	74-75	-0.2568469714801793
1101	76-77	-0.4909179813458877
1101	78-79	-0.3753509152763286
1101	80-81	-0.3921435415791592
1101	82-83	-0.10757985983063634
1101	84-85	-0.23479857662398018
1101	86-87	-0.43050834696347096
1101	88-89	-0.35562210602539324
1101	90-91	-0.07855224548317352
1101	92-93	-0.24613081308740448
1101	94-95	-1.5860877923189207
1102	1	-0.3255795825561023
1102	2	-0.18756636724899778
1102	3	-0.2835888498415926
1102	4	-0.36273894258959416
1102	5	-0.2797072591373677
1102	6	-0.23709988497668633
1102	7	0.0025482827434757382
1102	8	-0.2785655411882004
1102	9	-0.5212880113470746
1102	10-11	-0.3751496986700289
1102	12-13	-0.13767971079584385
1102	14-15	-0.08549300135499038
1102	16-17	-0.22289749918136437
1102	18-19	-0.0774637077353475
1102	20-21	-0.19041348041008632
1102	22-23	-0.21997427251997692
1102	24-25	-0.22172771578255634
1102	26-27	-0.035572778462089616
1102	28-29	-0.30084673518562965
1102	30-31	-0.26972053485958014
1102	32-33	-0.1555119724843621
1102	34-35	-0.06839988104922412
1102	36-37	0.02437249924473406
1102	38-39	-0.33632055524757476
1102	40-41	-0.20235246588617173
1102	42-43	-0.22595563202291657
1102	44-45	-0.11272524025204689
1102	46-47	-0.18837469253242745
1102	48-49	-0.09365070681776189
1102	50-51	-0.18523947322606915
1102	52-53	-0.3307146813066737
1102	54-55	-0.10279175099638138
1102	56-57	-0.18720285629727584
1102	58-59	0.100244097948611
1102	60-61	-0.025130268421328594
1102	62-63	-0.10302065211926248
1102	64-65	0.03285366974974835
1102	66-67	0.06805713101417155
1102	68-69	0.16435135603741458
1102	70-71	-0.39569600155758167
1102	72-73	0.14461355858284008
1102	74-75	0.02837022122951538
1102	76-77	-0.05936488352310221
1102	78-79	-0.008132915032099675
1102	80-81	-0.08809956876627467
1102	82-83	0.1282792560247259
1102	84-85	0.0295941036991465
1102	86-87	0.07597397435987574
1102	88-89	-0.08288661294538713
1102	90-91	0.11877362083045995
1102	92-93	0.388742346142962
1102	94-95	0.272035777475125
1103	1	-0.36042748584381457
1103	2	-0.538370959018259
1103	3	-0.37217941923258735
1103	4	-0.481384377107851
1103	5	-0.603456666458527
1103	6	-0.33915676279291773
1103	7	-0.39721238789481106
1103	8	-0.25588408469808144
1103	9	-0.1600780756305582
1103	10-11	-0.15382487195803662
