##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s2D_S7_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1630216
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.61785309431388	37.0	37.0	37.0	37.0	37.0
2	36.261239001457476	37.0	37.0	37.0	37.0	37.0
3	36.492219435952045	37.0	37.0	37.0	37.0	37.0
4	36.48541420278049	37.0	37.0	37.0	37.0	37.0
5	36.42758750987599	37.0	37.0	37.0	37.0	37.0
6	36.42626253208164	37.0	37.0	37.0	37.0	37.0
7	36.41263611693174	37.0	37.0	37.0	37.0	37.0
8	36.39976665668844	37.0	37.0	37.0	37.0	37.0
9	36.40008440599283	37.0	37.0	37.0	37.0	37.0
10-11	36.38328540512423	37.0	37.0	37.0	37.0	37.0
12-13	36.36276297128724	37.0	37.0	37.0	37.0	37.0
14-15	36.33366069281617	37.0	37.0	37.0	37.0	37.0
16-17	36.320081510670974	37.0	37.0	37.0	37.0	37.0
18-19	36.30191765999107	37.0	37.0	37.0	37.0	37.0
20-21	36.30753003753388	37.0	37.0	37.0	37.0	37.0
22-23	36.3036750791244	37.0	37.0	37.0	37.0	37.0
24-25	36.2976529611065	37.0	37.0	37.0	37.0	37.0
26-27	36.28306122512266	37.0	37.0	37.0	37.0	37.0
28-29	36.27276801001585	37.0	37.0	37.0	37.0	37.0
30-31	36.27036701930945	37.0	37.0	37.0	37.0	37.0
32-33	36.259778191373556	37.0	37.0	37.0	37.0	37.0
34-35	36.2469792647924	37.0	37.0	37.0	37.0	37.0
36-37	36.23822104775987	37.0	37.0	37.0	37.0	37.0
38-39	36.229088872859265	37.0	37.0	37.0	37.0	37.0
40-41	36.219911629808024	37.0	37.0	37.0	37.0	37.0
42-43	36.22714164718948	37.0	37.0	37.0	37.0	37.0
44-45	36.21147107441752	37.0	37.0	37.0	37.0	37.0
46-47	36.200948898109445	37.0	37.0	37.0	37.0	37.0
48-49	36.19261810706122	37.0	37.0	37.0	37.0	37.0
50-51	36.18451556380002	37.0	37.0	37.0	37.0	37.0
52-53	36.167684141707824	37.0	37.0	37.0	37.0	37.0
54-55	36.16029745070206	37.0	37.0	37.0	37.0	37.0
56-57	36.15203189292562	37.0	37.0	37.0	37.0	37.0
58-59	36.15213352918026	37.0	37.0	37.0	37.0	37.0
60-61	36.135251541853435	37.0	37.0	37.0	37.0	37.0
62-63	36.112338080910874	37.0	37.0	37.0	37.0	37.0
64-65	36.11576342900653	37.0	37.0	37.0	37.0	37.0
66-67	36.105363077104386	37.0	37.0	37.0	37.0	37.0
68-69	36.11101121899331	37.0	37.0	37.0	37.0	37.0
70-71	36.09679765912037	37.0	37.0	37.0	37.0	37.0
72-73	36.09178235917618	37.0	37.0	37.0	37.0	37.0
74-75	36.08298810647277	37.0	37.0	37.0	37.0	37.0
76-77	36.061209784058164	37.0	37.0	37.0	37.0	37.0
78-79	36.050827949338995	37.0	37.0	37.0	37.0	37.0
80-81	36.04611819110279	37.0	37.0	37.0	37.0	37.0
82-83	36.042034216630995	37.0	37.0	37.0	37.0	37.0
84-85	36.03358486429359	37.0	37.0	37.0	37.0	37.0
86-87	36.015225610793394	37.0	37.0	37.0	37.0	37.0
88-89	36.013540686817194	37.0	37.0	37.0	37.0	37.0
90-91	36.01137047325562	37.0	37.0	37.0	37.0	37.0
92-93	35.97823137009742	37.0	37.0	37.0	37.0	37.0
94-95	36.00004694327086	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.2197194449491846
1101	2	6.854866118288783E-4
1101	3	0.03779704442727905
1101	4	-0.10352292044768774
1101	5	-0.23335609147928693
1101	6	-0.4093318984377845
1101	7	-0.22497780790891397
1101	8	-0.03302042065550381
1101	9	-0.3922124430676135
1101	10-11	-0.30333952916747364
1101	12-13	-0.3910604135319815
1101	14-15	-0.2160456246203637
1101	16-17	-0.40841837816219595
1101	18-19	-0.41256282296156144
1101	20-21	-0.3147557397485272
1101	22-23	-0.42327222892387795
1101	24-25	-0.26745837012975215
1101	26-27	-0.3603874150696882
1101	28-29	-0.21072071686045746
1101	30-31	-0.46778527208684295
1101	32-33	-0.3240604159967333
1101	34-35	-0.30049392737061
1101	36-37	-0.26798719523630155
1101	38-39	-0.15678071564619955
1101	40-41	-0.37557448870331456
1101	42-43	-0.4814739570291664
1101	44-45	-0.42255440654787435
1101	46-47	-0.4648915237149396
1101	48-49	-0.5282994615627743
1101	50-51	-0.46991378709530096
1101	52-53	-0.5475555434869719
1101	54-55	-0.6834040604171392
1101	56-57	-0.43261174301620997
1101	58-59	-0.4959875307022372
1101	60-61	-0.3782878355549144
1101	62-63	-0.44334872211488374
1101	64-65	-0.252060162495539
1101	66-67	-0.2764456706438665
1101	68-69	-0.2875921967489816
1101	70-71	-0.2562463634121599
1101	72-73	-0.17255541898894222
1101	74-75	-0.4207041365026143
1101	76-77	-0.48131593614845514
1101	78-79	-0.08651405296669168
1101	80-81	-0.2921200479094921
1101	82-83	-0.2689332806599296
1101	84-85	-0.3656363201838957
1101	86-87	-0.2292200259655246
1101	88-89	-0.2227954266421861
1101	90-91	-0.29454686403777686
1101	92-93	0.038907462942887605
1101	94-95	0.7568907224732371
1102	1	-0.13160921446364426
1102	2	-0.19617471904403772
1102	3	-0.1777906903786146
1102	4	-0.1802128276840449
1102	5	-0.4869179901874858
1102	6	-0.3841208462557475
1102	7	-0.19912846771596548
1102	8	-0.2379188176521012
1102	9	-0.532119348363949
1102	10-11	-0.24106936913198496
1102	12-13	0.010237350473609297
1102	14-15	-0.08179061399326315
1102	16-17	-0.13605081961383547
1102	18-19	-0.17202491302372636
1102	20-21	-0.0010436315375272898
1102	22-23	-0.17559753989773697
1102	24-25	-0.1667141649230146
1102	26-27	-0.20833779662306284
1102	28-29	-0.19368495056464496
1102	30-31	-0.19430285511576528
1102	32-33	-0.24641329886621577
1102	34-35	-0.032095378076633096
1102	36-37	-0.1507008121147848
1102	38-39	-0.1450486725256397
1102	40-41	-0.043944539410432526
1102	42-43	-0.19861981186875965
1102	44-45	-0.08898656116408432
1102	46-47	-0.2510590522108487
1102	48-49	-0.10822812735242593
1102	50-51	-0.14869591898681733
1102	52-53	-0.22108153022669086
1102	54-55	-0.13326446306069784
1102	56-57	-0.22351141538241137
1102	58-59	-0.03204522627086703
1102	60-61	-0.03629740580596774
1102	62-63	-0.1760354260151118
1102	64-65	-0.18623444193533345
1102	66-67	-0.25449909176496277
1102	68-69	-0.42170541181410925
1102	70-71	-0.23005267868343537
1102	72-73	-0.02956189133852405
1102	74-75	-0.3006081735910229
1102	76-77	-0.22262594740799813
1102	78-79	-0.31648736369358943
1102	80-81	-0.254450990788321
1102	82-83	-0.11490979063155038
1102	84-85	-0.04917276017127392
1102	86-87	0.10358914124712015
1102	88-89	-0.0030095364223612364
1102	90-91	-0.06983065106395259
1102	92-93	-0.6432168170804573
1102	94-95	0.46831182099111146
1103	1	-0.5063298874773707
1103	2	-0.10522075535051556
1103	3	-0.3734604179057044
1103	4	-0.44186408274412514
1103	5	-0.3049376322733721
1103	6	-0.21613835834762796
1103	7	-0.14889923851090714
1103	8	-0.06468914045081675
1103	9	0.054146750661999477
