##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s3-2_S20_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2626772
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.655665584984156	37.0	37.0	37.0	37.0	37.0
2	36.31696546179113	37.0	37.0	37.0	37.0	37.0
3	36.52500178926835	37.0	37.0	37.0	37.0	37.0
4	36.5202621316201	37.0	37.0	37.0	37.0	37.0
5	36.466175214293436	37.0	37.0	37.0	37.0	37.0
6	36.46347456117242	37.0	37.0	37.0	37.0	37.0
7	36.44490347848995	37.0	37.0	37.0	37.0	37.0
8	36.430000776618606	37.0	37.0	37.0	37.0	37.0
9	36.43086114820776	37.0	37.0	37.0	37.0	37.0
10-11	36.418125745211235	37.0	37.0	37.0	37.0	37.0
12-13	36.40211065140027	37.0	37.0	37.0	37.0	37.0
14-15	36.37465870657979	37.0	37.0	37.0	37.0	37.0
16-17	36.360895806716385	37.0	37.0	37.0	37.0	37.0
18-19	36.34339029044013	37.0	37.0	37.0	37.0	37.0
20-21	36.34532939318058	37.0	37.0	37.0	37.0	37.0
22-23	36.33860285959311	37.0	37.0	37.0	37.0	37.0
24-25	36.330879461514456	37.0	37.0	37.0	37.0	37.0
26-27	36.3230948623832	37.0	37.0	37.0	37.0	37.0
28-29	36.31301383967747	37.0	37.0	37.0	37.0	37.0
30-31	36.30464340892292	37.0	37.0	37.0	37.0	37.0
32-33	36.28772135374102	37.0	37.0	37.0	37.0	37.0
34-35	36.280249452840955	37.0	37.0	37.0	37.0	37.0
36-37	36.2744039220797	37.0	37.0	37.0	37.0	37.0
38-39	36.26001964493177	37.0	37.0	37.0	37.0	37.0
40-41	36.255432950829174	37.0	37.0	37.0	37.0	37.0
42-43	36.25716328810339	37.0	37.0	37.0	37.0	37.0
44-45	36.239517120277185	37.0	37.0	37.0	37.0	37.0
46-47	36.230219186402636	37.0	37.0	37.0	37.0	37.0
48-49	36.21897503933072	37.0	37.0	37.0	37.0	37.0
50-51	36.20769310175409	37.0	37.0	37.0	37.0	37.0
52-53	36.19387789071874	37.0	37.0	37.0	37.0	37.0
54-55	36.18418767891314	37.0	37.0	37.0	37.0	37.0
56-57	36.1754651190397	37.0	37.0	37.0	37.0	37.0
58-59	36.17010172081966	37.0	37.0	37.0	37.0	37.0
60-61	36.158918312295626	37.0	37.0	37.0	37.0	37.0
62-63	36.136970394200816	37.0	37.0	37.0	37.0	37.0
64-65	36.136260741759045	37.0	37.0	37.0	37.0	37.0
66-67	36.12763527275147	37.0	37.0	37.0	37.0	37.0
68-69	36.1274307406983	37.0	37.0	37.0	37.0	37.0
70-71	36.11391908444859	37.0	37.0	37.0	37.0	37.0
72-73	36.1114387715801	37.0	37.0	37.0	37.0	37.0
74-75	36.10394640051226	37.0	37.0	37.0	37.0	37.0
76-77	36.078638233556205	37.0	37.0	37.0	37.0	37.0
78-79	36.072038220272795	37.0	37.0	37.0	37.0	37.0
80-81	36.05630694905527	37.0	37.0	37.0	37.0	37.0
82-83	36.048683335785825	37.0	37.0	37.0	37.0	37.0
84-85	36.03910929895761	37.0	37.0	37.0	37.0	37.0
86-87	36.01751726856083	37.0	37.0	37.0	37.0	37.0
88-89	36.006782410295	37.0	37.0	37.0	37.0	37.0
90-91	35.99449147920969	37.0	37.0	37.0	37.0	37.0
92-93	35.979380638325246	37.0	37.0	37.0	37.0	37.0
94-95	36.04886645391118	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.14708131034678473
1101	2	-0.08568238412389206
1101	3	-0.12680453105588185
1101	4	-0.07247435163365168
1101	5	-0.16579347858765914
1101	6	-0.3590158752089181
1101	7	-0.18119004109106385
1101	8	-0.27176791137586775
1101	9	-0.2517012241936172
1101	10-11	-0.20886120853935353
1101	12-13	-0.36594572025650507
1101	14-15	-0.09813843912326803
1101	16-17	-0.24736618123753829
1101	18-19	-0.20632052720429783
1101	20-21	-0.2863667844433877
1101	22-23	-0.042384306365541136
1101	24-25	-0.2985810046818713
1101	26-27	-0.20402397779953674
1101	28-29	-0.05114016769550034
1101	30-31	-0.21241225576419964
1101	32-33	-0.3010516611198426
1101	34-35	-0.07737935203789448
1101	36-37	-0.19459958136336297
1101	38-39	-0.09534064659590769
1101	40-41	-0.23489607019055825
1101	42-43	-0.23953416976281972
1101	44-45	-0.21963542679328896
1101	46-47	-0.2954918646507565
1101	48-49	-0.26127008905463356
1101	50-51	-0.37755926155673336
1101	52-53	-0.34607950476450355
1101	54-55	-0.3048586024437938
1101	56-57	-0.31144349827564355
1101	58-59	-0.3176287500343875
1101	60-61	-0.06583032265467637
1101	62-63	0.07831555548643365
1101	64-65	0.09652973083816363
1101	66-67	0.02548819967012861
1101	68-69	0.01463396489281621
1101	70-71	0.047623762265857295
1101	72-73	0.01270310064477087
1101	74-75	-0.0391416157195934
1101	76-77	-0.318933152353047
1101	78-79	-0.23469867628560337
1101	80-81	-0.17169450922781948
1101	82-83	-0.0595650954816449
1101	84-85	-0.07609007502626497
1101	86-87	-0.09624728326433996
1101	88-89	0.005642550097135768
1101	90-91	-0.22116796036061004
1101	92-93	-0.6554992282542145
1101	94-95	-0.8580634096697608
1102	1	-0.04712701047704826
1102	2	-0.2521367800920302
1102	3	-0.36331594541084655
1102	4	-0.33350666205285506
1102	5	-0.2414250586589901
1102	6	-0.42283375805428847
1102	7	-0.595937088734523
1102	8	-0.3527605011211037
1102	9	-0.4559816606939293
1102	10-11	-0.343747492093712
1102	12-13	-0.29467914328168376
1102	14-15	-0.25140471712526846
1102	16-17	-0.27180592753774135
1102	18-19	-0.28254236503289576
1102	20-21	-0.16920834876388824
1102	22-23	-0.3143368917577263
1102	24-25	-0.4052747902865761
1102	26-27	-0.18066165936681955
1102	28-29	-0.17583316790886272
1102	30-31	-0.3736182187263495
1102	32-33	-0.2588207763288324
1102	34-35	-0.3099940840108175
1102	36-37	-0.3239515484895179
1102	38-39	-0.08623165608653238
1102	40-41	-0.15907800389894788
1102	42-43	-0.12500194236287143
1102	44-45	-0.21538037790892872
1102	46-47	-0.19811880595551656
1102	48-49	-0.19162034466333466
1102	50-51	-0.2076641898986722
1102	52-53	-0.3674658227592573
1102	54-55	-0.2547672714289959
1102	56-57	-0.047864092824873694
1102	58-59	-0.19612652650506845
1102	60-61	-0.017043907719084928
1102	62-63	0.011395034833363127
1102	64-65	-0.11089827417002596
1102	66-67	-0.10441552356641637
1102	68-69	0.010427457370546733
1102	70-71	-0.06408456446769861
1102	72-73	-0.25619725193807596
1102	74-75	-0.0646179633694075
1102	76-77	-0.11850652042858201
1102	78-79	-0.13762903149314099
1102	80-81	0.015206006954478823
1102	82-83	0.01807575808402362
1102	84-85	-0.012616222567650937
1102	86-87	-0.11704742542183055
1102	88-89	-0.14798136892097347
1102	90-91	0.05996532966138801
1102	92-93	0.16499698438866517
1102	94-95	0.6310974294910778
1103	1	-0.4491323682240349
1103	2	-0.6255617336605184
1103	3	-0.4826604499228111
1103	4	-0.40337485871530987
1103	5	-0.32140634797041656
1103	6	-0.315616679545343
1103	7	-0.31852523955233636
1103	8	-0.3519095445285174
1103	9	-0.1981918694113105
1103	10-11	-0.32326757328844025
1103	12-13	-0.17204818572250247
1103	14-15	-0.11123076295609735
1103	16-17	-0.43414358987540425
1103	18-19	-0.4905537847668029
1103	20-21	-0.5394408367999972
1103	22-23	-0.28046779740079586
1103	24-25	-0.3422175268539078
1103	26-27	-0.3857996547382925
1103	28-29	-0.4811109543904095
1103	30-31	-0.4839519583967231
1103	32-33	-0.5874893690819363
1103	34-35	-0.23944388015929263
1103	36-37	-0.47071943961093154
1103	38-39	-0.3653748751766699
1103	40-41	-0.27378516428053956
1103	42-43	-0.22397928499649566
1103	44-45	-0.39410602962259134
1103	46-47	-0.2898671023234769
1103	48-49	-0.1914080722201632
1103	50-51	-0.200682346867886
1103	52-53	-0.2761053837090657
1103	54-55	-0.20579334767958102
1103	56-57	-0.1756780896818313
1103	58-59	-0.015694846339428636
1103	60-61	0.08570311972979994
1103	62-63	-8.255934897647421E-4
1103	64-65	0.04518898981365993
1103	66-67	-0.20276518082972217
1103	68-69	-0.14053037259481016
1103	70-71	0.016528956070338552
1103	72-73	-0.28417704235531716
1103	74-75	8.529787181004167E-4
1103	76-77	-0.11419681464211351
1103	78-79	-0.21081146431677666
1103	80-81	-0.18248610013541366
1103	82-83	-0.25425236212986135
