##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	s4B_S12_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2145724
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.65353978424066	37.0	37.0	37.0	37.0	37.0
2	36.3292072978631	37.0	37.0	37.0	37.0	37.0
3	36.534096649895325	37.0	37.0	37.0	37.0	37.0
4	36.52114531039407	37.0	37.0	37.0	37.0	37.0
5	36.47567534314758	37.0	37.0	37.0	37.0	37.0
6	36.46591919557222	37.0	37.0	37.0	37.0	37.0
7	36.44876414674022	37.0	37.0	37.0	37.0	37.0
8	36.43311907775651	37.0	37.0	37.0	37.0	37.0
9	36.43619403054633	37.0	37.0	37.0	37.0	37.0
10-11	36.4219582760877	37.0	37.0	37.0	37.0	37.0
12-13	36.40243712611687	37.0	37.0	37.0	37.0	37.0
14-15	36.372162030158584	37.0	37.0	37.0	37.0	37.0
16-17	36.3590293998669	37.0	37.0	37.0	37.0	37.0
18-19	36.33866517781411	37.0	37.0	37.0	37.0	37.0
20-21	36.34104849679561	37.0	37.0	37.0	37.0	37.0
22-23	36.33767302218812	37.0	37.0	37.0	37.0	37.0
24-25	36.32986761307117	37.0	37.0	37.0	37.0	37.0
26-27	36.32173104398218	37.0	37.0	37.0	37.0	37.0
28-29	36.31017801854017	37.0	37.0	37.0	37.0	37.0
30-31	36.30795532938333	37.0	37.0	37.0	37.0	37.0
32-33	36.29018124612451	37.0	37.0	37.0	37.0	37.0
34-35	36.27849280240853	37.0	37.0	37.0	37.0	37.0
36-37	36.2679791869235	37.0	37.0	37.0	37.0	37.0
38-39	36.2580032492242	37.0	37.0	37.0	37.0	37.0
40-41	36.25341778705628	37.0	37.0	37.0	37.0	37.0
42-43	36.251864162050396	37.0	37.0	37.0	37.0	37.0
44-45	36.23822067331294	37.0	37.0	37.0	37.0	37.0
46-47	36.22637804349753	37.0	37.0	37.0	37.0	37.0
48-49	36.21668222003785	37.0	37.0	37.0	37.0	37.0
50-51	36.19933660893315	37.0	37.0	37.0	37.0	37.0
52-53	36.193894234424405	37.0	37.0	37.0	37.0	37.0
54-55	36.18066516848337	37.0	37.0	37.0	37.0	37.0
56-57	36.164392652179615	37.0	37.0	37.0	37.0	37.0
58-59	36.16668755250585	37.0	37.0	37.0	37.0	37.0
60-61	36.15475162165147	37.0	37.0	37.0	37.0	37.0
62-63	36.13517544967482	37.0	37.0	37.0	37.0	37.0
64-65	36.135504779093544	37.0	37.0	37.0	37.0	37.0
66-67	36.127483120767934	37.0	37.0	37.0	37.0	37.0
68-69	36.12466023822474	37.0	37.0	37.0	37.0	37.0
70-71	36.11153439487003	37.0	37.0	37.0	37.0	37.0
72-73	36.109225151788664	37.0	37.0	37.0	37.0	37.0
74-75	36.09875730146196	37.0	37.0	37.0	37.0	37.0
76-77	36.082018448489826	37.0	37.0	37.0	37.0	37.0
78-79	36.07227324185085	37.0	37.0	37.0	37.0	37.0
80-81	36.05690141571232	37.0	37.0	37.0	37.0	37.0
82-83	36.04955805276356	37.0	37.0	37.0	37.0	37.0
84-85	36.041995862558764	37.0	37.0	37.0	37.0	37.0
86-87	36.02053698206652	37.0	37.0	37.0	37.0	37.0
88-89	36.0134075976339	37.0	37.0	37.0	37.0	37.0
90-91	36.001509579497494	37.0	37.0	37.0	37.0	37.0
92-93	35.98687305414258	37.0	37.0	37.0	37.0	37.0
94-95	35.96857742764574	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.1806372479633893
1101	2	-0.22410080710790226
1101	3	-0.2591832394652229
1101	4	-0.22447183627866707
1101	5	-0.11927733230034221
1101	6	-0.5376814133362728
1101	7	-0.2305937231124915
1101	8	-0.28445080867582817
1101	9	-0.4395602163024819
1101	10-11	-0.4606071713436535
1101	12-13	-0.41355072093656275
1101	14-15	-0.6345961719912978
1101	16-17	-0.323355183624912
1101	18-19	-0.4409499250464748
1101	20-21	-0.3167902739519377
1101	22-23	-0.23253293786742546
1101	24-25	-0.14873916674032017
1101	26-27	-0.15887788192549124
1101	28-29	-0.13919099340654384
1101	30-31	-0.3365492568674071
1101	32-33	-0.07328923843309809
1101	34-35	-0.2767383926274576
1101	36-37	-0.05457753447116431
1101	38-39	-0.4652119309278149
1101	40-41	-0.20502660921336258
1101	42-43	-0.13233604797868992
1101	44-45	-0.2616130518688706
1101	46-47	-0.3306764703014693
1101	48-49	-0.35462275043981606
1101	50-51	-0.43380964409709577
1101	52-53	-0.5707375718703886
1101	54-55	-0.4869420565699869
1101	56-57	-0.28853450418024806
1101	58-59	-0.39926291125102154
1101	60-61	-0.21105549933013634
1101	62-63	-0.04013978675975238
1101	64-65	-0.04127149873804825
1101	66-67	-0.11418844289730146
1101	68-69	-0.047305051991322955
1101	70-71	-0.14969372056067698
1101	72-73	-0.2800699718118267
1101	74-75	-0.24722180891032508
1101	76-77	-0.3656131971813963
1101	78-79	-0.12609018835330232
1101	80-81	0.1024434351307093
1101	82-83	-0.08712911515809907
1101	84-85	-0.31006548744284856
1101	86-87	-0.34597167169324905
1101	88-89	-0.4361866360733444
1101	90-91	-0.43895324845263417
1101	92-93	-0.3570591928111284
1101	94-95	-0.24308883380309254
1102	1	-0.15218962233338829
1102	2	-0.07009103001180961
1102	3	-0.44569917853036856
1102	4	-0.22089931440012833
1102	5	-0.2799650743213462
1102	6	-0.33011536744262315
1102	7	-0.1763810191994395
1102	8	-0.6190749206737607
1102	9	-0.2519270751657814
1102	10-11	-0.14330915926903742
1102	12-13	-0.30436157610109404
1102	14-15	-0.07136537508537799
1102	16-17	-0.3001590389188493
1102	18-19	-0.27922072346724036
1102	20-21	-0.2381972281592155
1102	22-23	-0.3370827443360511
1102	24-25	-0.3637856416426928
1102	26-27	-0.20275151742160347
1102	28-29	-0.050819951677041786
1102	30-31	-0.1275347806165925
1102	32-33	-0.2697307413627996
1102	34-35	-0.06855051201144846
1102	36-37	-0.2943305323793908
1102	38-39	-0.24825379936103786
1102	40-41	-0.3201657734485863
1102	42-43	-0.29167852465025845
1102	44-45	-0.1576663787260273
1102	46-47	-0.19806712817191396
1102	48-49	-0.3860787803159198
1102	50-51	-0.12811147305182402
1102	52-53	-0.3059738743806406
1102	54-55	-0.38535100156023816
1102	56-57	-0.1963501510695238
1102	58-59	-0.059403770071433826
1102	60-61	-0.22792638160767353
1102	62-63	-0.08299360451255211
1102	64-65	-0.1197948028672613
1102	66-67	-0.1480225991249
1102	68-69	-0.16649233488832493
1102	70-71	-0.1236581184471035
1102	72-73	-0.17529761478313333
1102	74-75	-0.3925150263746673
1102	76-77	0.013036275242598094
1102	78-79	-0.15171010063174606
1102	80-81	-0.28845574061580237
1102	82-83	0.0812008358800469
1102	84-85	-0.13679221930926388
1102	86-87	-0.35340848517556367
1102	88-89	-0.05185205178800345
1102	90-91	-0.5117732513491831
1102	92-93	-0.15669842407260148
1102	94-95	-1.2127440062168873
1103	1	-0.5899423467266871
1103	2	-0.2515852761710491
1103	3	-0.5355473654052503
1103	4	-0.5611710073209224
1103	5	-0.21082811798303425
1103	6	-0.5177171873827788
1103	7	-0.37032407142861246
1103	8	-0.1870338487004517
1103	9	-0.1454437006176832
