Probe Set ID	Gene Symbol	Gene Title	Gene ID
ENSMUSG00000025545	CLYBL	citrate lyase beta like	171425
ENSMUSG00000020163	AC005943.1		na
ENSMUSG00000016128	STARD13	StAR related lipid transfer domain containing 13	90627
ENSMUSG00000024048	MYL12A	myosin light chain 12A	10627
ENSMUSG00000021207	AKR1C1	aldo-keto reductase family 1 member C1	1645
ENSMUSG00000021062	RAB15	RAB15, member RAS oncogene family	376267
ENSMUSG00000024878	CBWD6	COBW domain containing 6	150472
ENSMUSG00000002020	LTBP2	latent transforming growth factor beta binding protein 2	4053
ENSMUSG00000020601	TRIB2	tribbles pseudokinase 2	28951
ENSMUSG00000021974	FGF9	fibroblast growth factor 9	2254
ENSMUSG00000024887	ASAH2B	N-acylsphingosine amidohydrolase 2B	653308
ENSMUSG00000020607	FAM84A	family with sequence similarity 84 member A	151354
ENSMUSG00000024976	SHOC2	SHOC2, leucine rich repeat scaffold protein	8036
ENSMUSG00000025544	TM9SF2	transmembrane 9 superfamily member 2	9375
ENSMUSG00000021214	AKR1C1	aldo-keto reductase family 1 member C1	1645
ENSMUSG00000021213	AKR1C1	aldo-keto reductase family 1 member C1	1645
ENSMUSG00000023110	PRMT5	protein arginine methyltransferase 5	10419
ENSMUSG00000002546	GOLGA6L22	golgin A6 family-like 22	440243
ENSMUSG00000021090	LRRC9	leucine rich repeat containing 9	na
ENSMUSG00000024785	RCL1	RNA terminal phosphate cyclase like 1	10171
ENSMUSG00000021973	MICU2	mitochondrial calcium uptake 2	221154
ENSMUSG00000009535	RNMT	RNA guanine-7 methyltransferase	8731
ENSMUSG00000020317	THEG	theg spermatid protein	51298
ENSMUSG00000025324	ATP10A	ATPase phospholipid transporting 10A (putative)	57194
ENSMUSG00000021210	AKR1C1	aldo-keto reductase family 1 member C1	1645
ENSMUSG00000025413	TTC4	tetratricopeptide repeat domain 4	7268
ENSMUSG00000001909	TRMT1	tRNA methyltransferase 1	55621
ENSMUSG00000024104	WASHC2C	WASH complex subunit 2C	253725
ENSMUSG00000002015	BCAP31	B-cell receptor-associated protein 31	10134
ENSMUSG00000022889	MRPL39	mitochondrial ribosomal protein L39	54148
ENSMUSG00000001910	NACC1	nucleus accumbens associated 1	112939
ENSMUSG00000025955	AKR1C1	aldo-keto reductase family 1 member C1	1645
ENSMUSG00000005813	METAP1	methionyl aminopeptidase 1	23173
ENSMUSG00000021359	TFAP2A	transcription factor AP-2 alpha	7020
ENSMUSG00000021211	AKR1C1	aldo-keto reductase family 1 member C1	1645
ENSMUSG00000026387	SCTR	secretin receptor	6344
ENSMUSG00000026096	OSGEPL1	O-sialoglycoprotein endopeptidase like 1	64172
ENSMUSG00000024049	MYOM1	myomesin 1	8736
ENSMUSG00000026781	ACBD5	acyl-CoA binding domain containing 5	91452
ENSMUSG00000007682	DIO2	iodothyronine deiodinase 2	1734
ENSMUSG00000004207	PSAP	prosaposin	5660
ENSMUSG00000032175	TYK2	tyrosine kinase 2	7297
ENSMUSG00000029138	CCDC121	coiled-coil domain containing 121	79635
ENSMUSG00000032796	LAMA1	laminin subunit alpha 1	284217
ENSMUSG00000028345	TEX10	testis expressed 10	54881
ENSMUSG00000029236	NMU	neuromedin U	10874
ENSMUSG00000030102	ITPR1	inositol 1,4,5-trisphosphate receptor type 1	3708
ENSMUSG00000027254	MAP1A	microtubule associated protein 1A	4130
ENSMUSG00000031118	MAGEA9B	MAGE family member A9B	728269
ENSMUSG00000029141	SLC4A1AP	solute carrier family 4 member 1 adaptor protein	22950
ENSMUSG00000029217	TEC	tec protein tyrosine kinase	7006
ENSMUSG00000031481	TPTE	transmembrane phosphatase with tensin homology	7179
ENSMUSG00000029640	USP12	ubiquitin specific peptidase 12	219333
ENSMUSG00000030064	FRMD4B	FERM domain containing 4B	23150
ENSMUSG00000028078	DCLK2	doublecortin like kinase 2	166614
ENSMUSG00000028466	CREB3	cAMP responsive element binding protein 3	10488
ENSMUSG00000030310	SLC6A1	solute carrier family 6 member 1	6529
ENSMUSG00000028776	TINAGL1	tubulointerstitial nephritis antigen like 1	64129
ENSMUSG00000033016	NFATC1	nuclear factor of activated T-cells 1	4772
ENSMUSG00000028894	INPP5B	inositol polyphosphate-5-phosphatase B	3633
ENSMUSG00000028583	PDPN	podoplanin	10630
ENSMUSG00000031160	ERAS	ES cell expressed Ras	3266
ENSMUSG00000028467	GBA2	glucosylceramidase beta 2	57704
ENSMUSG00000030868	DCTN5	dynactin subunit 5	84516
